"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"abena",,"Abena",,"6",,"11:48 05/09/2022"
"afia",,"Afia",,"4",,"11:48 05/09/2022"
"amadi",,"Amadi",,"4",,"11:48 05/09/2022"
"ebele",,"Ebele",,"5",,"11:48 05/09/2022"
"eshe",,"Eshe",,"5",,"11:48 05/09/2022"
"ife",,"Ife",,"8",,"11:48 05/09/2022"
"kamali",,"Kamali",,"9",,"11:48 05/09/2022"
"kamaria",,"Kamaria",,"8",,"11:48 05/09/2022"
"kia",,"Kia",,"8",,"11:48 05/09/2022"
"marjani",,"Marjani",,"3",,"11:48 05/09/2022"
"neela",,"Neela",,"7",,"11:48 05/09/2022"
"nemy",,"Nemy",,"3",,"11:48 05/09/2022"
"nuru",,"Nuru",,"4",,"11:48 05/09/2022"
"nyala",,"Nyala",,"6",,"11:48 05/09/2022"
"panya",,"Panya",,"1",,"11:48 05/09/2022"
"salana",,"Salana",,"1",,"11:48 05/09/2022"
"subira",,"Subira",,"1",,"11:48 05/09/2022"
"taci",,"Taci",,"1",,"11:48 05/09/2022"
"taraja",,"Taraja",,"4",,"11:48 05/09/2022"
"zuri",,"Zuri",,"7",,"11:48 05/09/2022"
"nia",,"Nia",,"7",,"11:48 05/09/2022"
"cadance",,"Cadance",,"1",,"11:48 05/09/2022"
"nala",,"Nala",,"10",,"11:48 05/09/2022"
"nahra",,"Nahra",,"5",,"11:48 05/09/2022"
"zendaya",,"Zendaya",,"4",,"11:48 05/09/2022"
"ayanna",,"Ayanna",,"3",,"11:48 05/09/2022"
"nahla",,"Nahla",,"4",,"11:48 05/09/2022"
"ashanti",,"Ashanti",,"7",,"11:48 05/09/2022"
"makena",,"Makena",,"1",,"11:48 05/09/2022"
"dalia",,"Dalia",,"6",,"11:48 05/09/2022"
"za'niyah",,"Za'Niyah",,"1",,"11:48 05/09/2022"
"ayah",,"Ayah",,"3",,"11:48 05/09/2022"
"nyah",,"Nyah",,"3",,"11:48 05/09/2022"
"candice",,"Candice",,"1",,"11:48 05/09/2022"
"ny'asia",,"Ny'asia",,"1",,"11:48 05/09/2022"
"kaliah",,"Kaliah",,"4",,"11:48 05/09/2022"
"iyana",,"Iyana",,"1",,"11:48 05/09/2022"
"nya",,"Nya",,"4",,"11:48 05/09/2022"
"jahzara",,"Jahzara",,"4",,"11:48 05/09/2022"
"nalah",,"Nalah",,"1",,"11:48 05/09/2022"
"tanisha",,"Tanisha",,"8",,"11:48 05/09/2022"
"keisha",,"Keisha",,"10",,"11:48 05/09/2022"
"zaniya",,"Zaniya",,"5",,"11:48 05/09/2022"
"adanna",,"Adanna",,"8",,"11:48 05/09/2022"
"ka'liyah",,"Ka'Liyah",,"5",,"11:48 05/09/2022"
"nisha",,"Nisha",,"9",,"11:48 05/09/2022"
"zehra",,"Zehra",,"3",,"11:48 05/09/2022"
"kamile",,"Kamile",,"9",,"11:48 05/09/2022"
"eshal",,"Eshal",,"4",,"11:48 05/09/2022"
"shade",,"Shade",,"7",,"11:48 05/09/2022"
"nokutenda",,"Nokutenda",,"1",,"11:48 05/09/2022"
"evte",,"Evte",,"1",,"11:48 05/09/2022"
"amrit",,"Amrit",,"1",,"11:48 05/09/2022"
"tinaye",,"Tinaye",,"4",,"11:48 05/09/2022"
"akua",,"Akua",,"1",,"11:48 05/09/2022"
"amara",,"Amara",,"8",,"11:48 05/09/2022"
"ayo",,"Ayo",,"3",,"11:48 05/09/2022"
"ayodele",,"Ayodele",,"9",,"11:48 05/09/2022"
"chipo",,"Chipo",,"5",,"11:48 05/09/2022"
"kenya",,"Kenya",,"10",,"11:48 05/09/2022"
"oni",,"Oni",,"10",,"11:48 05/09/2022"
"sade",,"Sade",,"9",,"11:48 05/09/2022"
"zula",,"Zula",,"6",,"11:48 05/09/2022"
