"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"olivia",,"Olivia",,"3",,"11:48 05/09/2022"
"mia",,"Mia",,"6",,"11:48 05/09/2022"
"charlotte",,"Charlotte",,"8",,"11:48 05/09/2022"
"amelia",,"Amelia",,"3",,"11:48 05/09/2022"
"ava",,"Ava",,"5",,"11:48 05/09/2022"
"emily",,"Emily",,"5",,"11:48 05/09/2022"
"chloe",,"Chloe",,"3",,"11:48 05/09/2022"
"ruby",,"Ruby",,"8",,"11:48 05/09/2022"
"isabella",,"Isabella","Isy","4",,"11:48 05/09/2022"
"sophie",,"Sophie",,"10",,"11:48 05/09/2022"
"grace",,"Grace",,"6",,"11:48 05/09/2022"
"ella",,"Ella",,"4",,"11:48 05/09/2022"
"isla",,"Isla",,"3",,"11:48 05/09/2022"
"sophia",,"Sophia",,"5",,"11:48 05/09/2022"
"zoe",,"Zoe",,"4",,"11:48 05/09/2022"
"sienna",,"Sienna",,"5",,"11:48 05/09/2022"
"ivy",,"Ivy",,"7",,"11:48 05/09/2022"
"evie",,"Evie",,"8",,"11:48 05/09/2022"
"scarlett",,"Scarlett",,"9",,"11:48 05/09/2022"
"emma",,"Emma",,"4",,"11:48 05/09/2022"
"lily",,"Lilie",,"7",,"11:48 05/09/2022"
"matilda",,"Matilda",,"9",,"11:48 05/09/2022"
"hannah",,"Hannah",,"7",,"11:48 05/09/2022"
"harper",,"Harper",,"1",,"11:48 05/09/2022"
"zara",,"Zara",,"5",,"11:48 05/09/2022"
"georgia",,"Georgia",,"6",,"11:48 05/09/2022"
"lucy",,"Lucy",,"9",,"11:48 05/09/2022"
"layla",,"Layla",,"4",,"11:48 05/09/2022"
"abigail",,"Abigail","Abby","10",,"11:48 05/09/2022"
"annabelle",,"Annabelle","Ann","7",,"11:48 05/09/2022"
"evelyn",,"Evelyn","Eve","5",,"11:48 05/09/2022"
"eva",,"Eva",,"3",,"11:48 05/09/2022"
"isabelle",,"Isabelle","Isy","6",,"11:48 05/09/2022"
"jasmine",,"Jasmine","Jas","7",,"11:48 05/09/2022"
"willow",,"Willow",,"4",,"11:48 05/09/2022"
"sofia",,"Sofia",,"1",,"11:48 05/09/2022"
"audrey",,"Audrey",,"1",,"11:48 05/09/2022"
"maddison",,"Maddison","Maddy","6",,"11:48 05/09/2022"
"imogen",,"Imogen",,"10",,"11:48 05/09/2022"
"jessica",,"Jessica","Jess","9",,"11:48 05/09/2022"
"aria",,"Aria",,"6",,"11:48 05/09/2022"
"mila",,"Mila",,"3",,"11:48 05/09/2022"
"maya",,"Maya",,"1",,"11:48 05/09/2022"
"sarah",,"Sarah",,"8",,"11:48 05/09/2022"
"savannah",,"Savannah",,"9",,"11:48 05/09/2022"
"alexis",,"Alexis",,"9",,"11:48 05/09/2022"
"alice",,"Alice",,"4",,"11:48 05/09/2022"
"stella",,"Stella",,"5",,"11:48 05/09/2022"
"violet",,"Violet",,"7",,"11:48 05/09/2022"
"poppy",,"Poppy",,"9",,"11:48 05/09/2022"
"elizabeth",,"Elizabeth","Liz","9",,"11:48 05/09/2022"
"ellie",,"Ellie",,"6",,"11:48 05/09/2022"
"chelsea",,"Chelsea",,"6",,"11:48 05/09/2022"
"summer",,"Summer",,"8",,"11:48 05/09/2022"
"anna",,"Anna",,"4",,"11:48 05/09/2022"
"claire",,"Claire",,"8",,"11:48 05/09/2022"
"bella",,"Bella",,"4",,"11:48 05/09/2022"
"madison",,"Madison",,"8",,"11:48 05/09/2022"
"victoria",,"Victoria","Vicky","10",,"11:48 05/09/2022"
"phoebe",,"Phoebe",,"6",,"11:48 05/09/2022"
"eloise",,"Eloise",,"7",,"11:48 05/09/2022"
"lola",,"Lola",,"6",,"11:48 05/09/2022"
"piper",,"Piper",,"9",,"11:48 05/09/2022"
"indiana",,"Indiana",,"6",,"11:48 05/09/2022"
"addison",,"Addison","Addy","5",,"11:48 05/09/2022"
"holly",,"Holly",,"10",,"11:48 05/09/2022"
"alyssa",,"Alyssa",,"5",,"11:48 05/09/2022"
"lilly",,"Lilly",,"5",,"11:48 05/09/2022"
"eden",,"Eden",,"2",,"11:48 05/09/2022"
"lara",,"Lara",,"9",,"11:48 05/09/2022"
"madeleine",,"Madeleine","Maddy","8",,"11:48 05/09/2022"
"rose",,"Ruze",,"6",,"11:48 05/09/2022"
"ariana",,"Ariana",,"3",,"11:48 05/09/2022"
"aaliyah",,"Aaliyah",,"1",,"11:48 05/09/2022"
"paige",,"Paige",,"6",,"11:48 05/09/2022"
"isabel",,"Isabel","Isy","6",,"11:48 05/09/2022"
"lillian",,"Lillian",,"4",,"11:48 05/09/2022"
"alexandra",,"Alexandra","Alex","7",,"11:48 05/09/2022"
"hayley",,"Hayley",,"5",,"11:48 05/09/2022"
"elise",,"Elise",,"4",,"11:48 05/09/2022"
"emilia",,"Emilia",,"4",,"11:48 05/09/2022"
"eleanor",,"Eleanor",,"2",,"11:48 05/09/2022"
"olive",,"Olive",,"1",,"11:48 05/09/2022"
"molly",,"Molly",,"9",,"11:48 05/09/2022"
"eliza",,"Eliza",,"7",,"11:48 05/09/2022"
"madeline",,"Madeline",,"1",,"11:48 05/09/2022"
"lexi",,"Lexi",,"5",,"11:48 05/09/2022"
"penelope",,"Penelope","Penny","8",,"11:48 05/09/2022"
"hazel",,"Hazel",,"10",,"11:48 05/09/2022"
"amelie",,"Amelie",,"4",,"11:48 05/09/2022"
"harriet",,"Harriet",,"7",,"11:48 05/09/2022"
"jade",,"Jade",,"8",,"11:48 05/09/2022"
"natalie",,"Natalie","Nat","7",,"11:48 05/09/2022"
"elsie",,"Elsie",,"5",,"11:48 05/09/2022"
"ayla",,"Ayla",,"6",,"11:48 05/09/2022"
"charlie",,"Charlie",,"2",,"11:48 05/09/2022"
"indie",,"Indie",,"1",,"11:48 05/09/2022"
"frankie",,"Frankie",,"4",,"11:48 05/09/2022"
"samantha",,"Samantha","Sam","7",,"11:48 05/09/2022"
