"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"oliver",,"Oliver","Oli","4",,"11:48 05/09/2022"
"william",,"William","Will","5",,"11:48 05/09/2022"
"jack",,"Jack",,"7",,"11:48 05/09/2022"
"noah",,"Noah",,"1",,"11:48 05/09/2022"
"james",,"James",,"6",,"11:48 05/09/2022"
"thomas",,"Thomas","Tom","7",,"11:48 05/09/2022"
"lucas",,"Lucas",,"7",,"11:48 05/09/2022"
"isaac",,"Isaac",,"4",,"11:48 05/09/2022"
"ethan",,"Ethan",,"1",,"11:48 05/09/2022"
"alexander",,"Alexander","Alex","6",,"11:48 05/09/2022"
"jacob",,"Jacob",,"8",,"11:48 05/09/2022"
"lachlan",,"Lachlan",,"1",,"11:48 05/09/2022"
"samuel",,"Samuel","Sam","7",,"11:48 05/09/2022"
"harrison",,"Harrison",,"3",,"11:48 05/09/2022"
"joshua",,"Joshua","Josh","4",,"11:48 05/09/2022"
"henry",,"Henry",,"2",,"11:48 05/09/2022"
"liam",,"Liam",,"4",,"11:48 05/09/2022"
"cooper",,"Cooper",,"5",,"11:48 05/09/2022"
"benjamin",,"Benjamin","Ben","8",,"11:48 05/09/2022"
"charlie",,"Charlie",,"6",,"11:48 05/09/2022"
"mason",,"Mason",,"1",,"11:48 05/09/2022"
"ryan",,"Ryan",,"3",,"11:48 05/09/2022"
"max",,"Max",,"4",,"11:48 05/09/2022"
"leo",,"Leo",,"5",,"11:48 05/09/2022"
"oscar",,"Oscar",,"4",,"11:48 05/09/2022"
"harry",,"Harry",,"6",,"11:48 05/09/2022"
"levi",,"Levi",,"1",,"11:48 05/09/2022"
"daniel",,"Daniel","Dan","6",,"11:48 05/09/2022"
"xavier",,"Xavier",,"1",,"11:48 05/09/2022"
"logan",,"Logan",,"1",,"11:48 05/09/2022"
"hunter",,"Hunter",,"4",,"11:48 05/09/2022"
"jackson",,"Jackson",,"5",,"11:48 05/09/2022"
"archie",,"Archie",,"8",,"11:48 05/09/2022"
"sebastian",,"Sebastian","Seb","6",,"11:48 05/09/2022"
"hudson",,"Hudson",,"6",,"11:48 05/09/2022"
"jayden",,"Jayden",,"2",,"11:48 05/09/2022"
"george",,"George",,"3",,"11:48 05/09/2022"
"elijah",,"Elijah",,"7",,"11:48 05/09/2022"
"joseph",,"Joseph","Joe","6",,"11:48 05/09/2022"
"adam",,"Adam",,"8",,"11:48 05/09/2022"
"riley",,"Riley",,"2",,"11:48 05/09/2022"
"edward",,"Edward","Ed","8",,"11:48 05/09/2022"
"hugo",,"Hugo",,"1",,"11:48 05/09/2022"
"ashton",,"Ashton","Ash","5",,"11:48 05/09/2022"
"flynn",,"Flynn",,"5",,"11:48 05/09/2022"
"zachary",,"Zachary","Zack","6",,"11:48 05/09/2022"
"archer",,"Archer",,"5",,"11:48 05/09/2022"
"tyler",,"Tyler",,"5",,"11:48 05/09/2022"
"matthew",,"Matthew","Mat","7",,"11:48 05/09/2022"
"nate",,"Nate",,"4",,"11:48 05/09/2022"
"lincoln",,"Lincoln",,"1",,"11:48 05/09/2022"
"luca",,"Luca",,"1",,"11:48 05/09/2022"
"nicholas",,"Nicholas","Nick","6",,"11:48 05/09/2022"
"jaxon",,"Jaxon",,"3",,"11:48 05/09/2022"
"theodore",,"Theodore","Theo","5",,"11:48 05/09/2022"
"eli",,"Eli",,"7",,"11:48 05/09/2022"
"patrick",,"Patrick","Pat","7",,"11:48 05/09/2022"
"beau",,"Beau",,"1",,"11:48 05/09/2022"
"christian",,"Christian",,"5",,"11:48 05/09/2022"
"harvey",,"Harvey",,"1",,"11:48 05/09/2022"
"jake",,"Jake",,"5",,"11:48 05/09/2022"
"finn",,"Finn",,"5",,"11:48 05/09/2022"
"austin",,"Austin",,"8",,"11:48 05/09/2022"
"luke",,"Luke",,"4",,"11:48 05/09/2022"
"dylan",,"Dylan",,"4",,"11:48 05/09/2022"
"charles",,"Charles",,"4",,"11:48 05/09/2022"
"connor",,"Connor",,"3",,"11:48 05/09/2022"
"jordan",,"Jordan",,"3",,"11:48 05/09/2022"
"gabriel",,"Gabriel","Gabe","8",,"11:48 05/09/2022"
"kai",,"Kai",,"1",,"11:48 05/09/2022"
"blake",,"Blake",,"9",,"11:48 05/09/2022"
"dominic",,"Dominic","Dom","8",,"11:48 05/09/2022"
"chase",,"Chase",,"7",,"11:48 05/09/2022"
"ali",,"Ali",,"5",,"11:48 05/09/2022"
"braxton",,"Braxton",,"1",,"11:48 05/09/2022"
"louis",,"Louis",,"4",,"11:48 05/09/2022"
"nathan",,"Nathan",,"5",,"11:48 05/09/2022"
"felix",,"Felix",,"4",,"11:48 05/09/2022"
"john",,"John",,"8",,"11:48 05/09/2022"
"carter",,"Carter",,"5",,"11:48 05/09/2022"
"angus",,"Angus",,"4",,"11:48 05/09/2022"
"caleb",,"Caleb",,"5",,"11:48 05/09/2022"
"marcus",,"Marcus",,"4",,"11:48 05/09/2022"
"toby",,"Toby",,"5",,"11:48 05/09/2022"
"anthony",,"Anthony","Tony","3",,"11:48 05/09/2022"
"nathaniel",,"Nathaniel",,"4",,"11:48 05/09/2022"
"hayden",,"Hayden",,"1",,"11:48 05/09/2022"
"jasper",,"Jasper",,"6",,"11:48 05/09/2022"
"arlo",,"Arlo",,"4",,"11:48 05/09/2022"
"andrew",,"Andrew","Andy","7",,"11:48 05/09/2022"
"jonathan",,"Jonathan","Jon","5",,"11:48 05/09/2022"
"owen",,"Owen",,"4",,"11:48 05/09/2022"
"harley",,"Harley",,"4",,"11:48 05/09/2022"
"ryder",,"Ryder",,"1",,"11:48 05/09/2022"
"hamish",,"Hamish",,"5",,"11:48 05/09/2022"
"jesse",,"Jesse",,"7",,"11:48 05/09/2022"
"maxwell",,"Maxwell","Max","7",,"11:48 05/09/2022"
