"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"sofia",,"Sofia",,"1",,"11:48 05/09/2022"
"valentina",,"Valentina",,"1",,"11:48 05/09/2022"
"regina",,"Regina",,"1",,"11:48 05/09/2022"
"ximena",,"Ximena",,"1",,"11:48 05/09/2022"
"alejandra",,"Alejandra",,"1",,"11:48 05/09/2022"
"aitana",,"Aitana",,"1",,"11:48 05/09/2022"
"alba",,"Alba",,"1",,"11:48 05/09/2022"
"amada",,"Amada",,"1",,"11:48 05/09/2022"
"aniceta",,"Aniceta",,"1",,"11:48 05/09/2022"
"araceli",,"Araceli",,"1",,"11:48 05/09/2022"
"arcelia",,"Arcelia",,"1",,"11:48 05/09/2022"
"aroa",,"Aroa",,"1",,"11:48 05/09/2022"
"blanca",,"Blanca",,"1",,"11:48 05/09/2022"
"brisa",,"Brisa",,"1",,"11:48 05/09/2022"
"calida",,"Calida",,"1",,"11:48 05/09/2022"
"candela",,"Candela",,"1",,"11:48 05/09/2022"
"clementina",,"Clementina",,"1",,"11:48 05/09/2022"
"dominica",,"Dominica",,"1",,"11:48 05/09/2022"
"estela",,"Estela",,"1",,"11:48 05/09/2022"
"estrella",,"Estrella",,"1",,"11:48 05/09/2022"
"eulalia",,"Eulalia",,"1",,"11:48 05/09/2022"
"felicidad",,"Felicidad",,"1",,"11:48 05/09/2022"
"flor",,"Flor",,"1",,"11:48 05/09/2022"
"floriana",,"Floriana",,"1",,"11:48 05/09/2022"
"ines",,"Ines",,"1",,"11:48 05/09/2022"
"iola",,"Iola",,"1",,"11:48 05/09/2022"
"irati",,"Irati",,"1",,"11:48 05/09/2022"
"jimena",,"Jimena",,"1",,"11:48 05/09/2022"
"laia",,"Laia",,"1",,"11:48 05/09/2022"
"lorena",,"Lorena",,"1",,"11:48 05/09/2022"
"lucia",,"Lucia",,"1",,"11:48 05/09/2022"
"mariposa",,"Mariposa",,"1",,"11:48 05/09/2022"
"marisol",,"Marisol",,"1",,"11:48 05/09/2022"
"marta",,"Marta",,"1",,"11:48 05/09/2022"
"natalia",,"Natalia",,"1",,"11:48 05/09/2022"
"nerea",,"Nerea",,"1",,"11:48 05/09/2022"
"noa",,"Noa",,"1",,"11:48 05/09/2022"
"nuria",,"Nuria",,"1",,"11:48 05/09/2022"
"pilar",,"Pilar",,"1",,"11:48 05/09/2022"
"raquel",,"Raquel",,"1",,"11:48 05/09/2022"
"reyna",,"Reyna",,"1",,"11:48 05/09/2022"
"ria",,"Ria",,"1",,"11:48 05/09/2022"
"rosalina",,"Rosalina",,"1",,"11:48 05/09/2022"
"sanchia",,"Sanchia",,"1",,"11:48 05/09/2022"
"sefarina",,"Sefarina",,"1",,"11:48 05/09/2022"
"silvia",,"Silvia",,"1",,"11:48 05/09/2022"
"soledad",,"Soledad",,"1",,"11:48 05/09/2022"
"tavia",,"Tavia",,"1",,"11:48 05/09/2022"
"teodora",,"Teodora",,"1",,"11:48 05/09/2022"
"trinidad",,"Trinidad",,"1",,"11:48 05/09/2022"
"viviana",,"Viviana",,"1",,"11:48 05/09/2022"
"ximenia",,"Ximenia",,"1",,"11:48 05/09/2022"
"yara",,"Yara",,"1",,"11:48 05/09/2022"
"ynes",,"Ynes",,"1",,"11:48 05/09/2022"
"ysabel",,"Ysabel",,"1",,"11:48 05/09/2022"
"zarita",,"Zarita",,"1",,"11:48 05/09/2022"
"ane",,"Ane",,"1",,"11:48 05/09/2022"
"june",,"June",,"1",,"11:48 05/09/2022"
"nahia",,"Nahia",,"1",,"11:48 05/09/2022"
"uxue",,"Uxue",,"1",,"11:48 05/09/2022"
"haizea",,"Haizea",,"1",,"11:48 05/09/2022"
"nora",,"Nora",,"1",,"11:48 05/09/2022"
"martina",,"Martina",,"1",,"11:48 05/09/2022"
"júlia",,"Julia",,"1",,"11:48 05/09/2022"
"emma",,"Emma",,"1",,"11:48 05/09/2022"
"maria",,"Maria",,"1",,"11:48 05/09/2022"
"aina",,"Aina",,"1",,"11:48 05/09/2022"
"paula",,"Paula",,"1",,"11:48 05/09/2022"
"carla",,"Carla",,"1",,"11:48 05/09/2022"
"clàudia",,"Claudia",,"1",,"11:48 05/09/2022"
"abril",,"Abril",,"1",,"11:48 05/09/2022"
"ona",,"Ona",,"1",,"11:48 05/09/2022"
"sara",,"Sara",,"1",,"11:48 05/09/2022"
"arlet",,"Arlet",,"1",,"11:48 05/09/2022"
"sofía",,"Sofia",,"1",,"11:48 05/09/2022"
"ariadna",,"Ariadna",,"1",,"11:48 05/09/2022"
"jana",,"Jana",,"1",,"11:48 05/09/2022"
"leonor",,"Leonor",,"1",,"11:48 05/09/2022"
"matilde",,"Matilde",,"1",,"11:48 05/09/2022"
"beatriz",,"Beatriz",,"1",,"11:48 05/09/2022"
"carolina",,"Carolina",,"1",,"11:48 05/09/2022"
"mariana",,"Mariana",,"1",,"11:48 05/09/2022"
"ana",,"Ana",,"1",,"11:48 05/09/2022"
"margarida",,"Margarida",,"1",,"11:48 05/09/2022"
"lara",,"Lara",,"1",,"11:48 05/09/2022"
"laura",,"Laura",,"1",,"11:48 05/09/2022"
"francisca",,"Francisca",,"1",,"11:48 05/09/2022"
"joana",,"Joana",,"1",,"11:48 05/09/2022"
"alice",,"Alice",,"1",,"11:48 05/09/2022"
"clara",,"Clara",,"1",,"11:48 05/09/2022"
"diana",,"Diana",,"1",,"11:48 05/09/2022"
"luana",,"Luana",,"1",,"11:48 05/09/2022"
"madalena",,"Madalena",,"1",,"11:48 05/09/2022"
"mafalda",,"Mafalda",,"1",,"11:48 05/09/2022"
"bianca",,"Bianca",,"1",,"11:48 05/09/2022"
"mara",,"Mara",,"1",,"11:48 05/09/2022"
"constança",,"Constanca",,"1",,"11:48 05/09/2022"
"iris",,"Iris",,"1",,"11:48 05/09/2022"
"daniela",,"Daniela",,"1",,"11:48 05/09/2022"
"julia",,"Julia",,"1",,"11:48 05/09/2022"
"valeria",,"Valeria",,"1",,"11:48 05/09/2022"
"claudia",,"Claudia",,"1",,"11:48 05/09/2022"
"carmen",,"Carmen",,"1",,"11:48 05/09/2022"
"irene",,"Irene",,"1",,"11:48 05/09/2022"
"adriana",,"Adriana",,"1",,"11:48 05/09/2022"
"elena",,"Elena",,"1",,"11:48 05/09/2022"
"olivia",,"Olivia",,"1",,"11:48 05/09/2022"
"lola",,"Lola",,"1",,"11:48 05/09/2022"
"vera",,"Vera",,"1",,"11:48 05/09/2022"
"vega",,"Vega",,"1",,"11:48 05/09/2022"
"alma",,"Alma",,"1",,"11:48 05/09/2022"
"marina",,"Marina",,"1",,"11:48 05/09/2022"
"ainhoa",,"Ainhoa",,"1",,"11:48 05/09/2022"
"elsa",,"Elsa",,"1",,"11:48 05/09/2022"
"triana",,"Triana",,"1",,"11:48 05/09/2022"
"leire",,"Leire",,"1",,"11:48 05/09/2022"
"carlota",,"Carlota",,"1",,"11:48 05/09/2022"
"rocío",,"Rocio",,"1",,"11:48 05/09/2022"
"ainara",,"Ainara",,"1",,"11:48 05/09/2022"
"alicia",,"Alicia",,"1",,"11:48 05/09/2022"
"angela",,"Angela",,"1",,"11:48 05/09/2022"
"leyre",,"Leyre",,"1",,"11:48 05/09/2022"
"celia",,"Celia",,"1",,"11:48 05/09/2022"
"andrea",,"Andrea",,"1",,"11:48 05/09/2022"
"victoria",,"Victoria",,"1",,"11:48 05/09/2022"
"eva",,"Eva",,"1",,"11:48 05/09/2022"
"mia",,"Mia",,"1",,"11:48 05/09/2022"
"chloe",,"Chloe",,"1",,"11:48 05/09/2022"
"manuela",,"Manuela",,"1",,"11:48 05/09/2022"
"isabel",,"Isabel",,"1",,"11:48 05/09/2022"
"zoe",,"Zoe",,"1",,"11:48 05/09/2022"
"cristina",,"Cristina",,"1",,"11:48 05/09/2022"
"alexia",,"Alexia",,"1",,"11:48 05/09/2022"
"lia",,"Lia",,"1",,"11:48 05/09/2022"
"iria",,"Iria",,"1",,"11:48 05/09/2022"
"africa",,"Africa",,"1",,"11:48 05/09/2022"
"mar",,"Mar",,"1",,"11:48 05/09/2022"
"gabriela",,"Gabriela",,"1",,"11:48 05/09/2022"
"naia",,"Naia",,"1",,"11:48 05/09/2022"
"helena",,"Helena",,"1",,"11:48 05/09/2022"
"paola",,"Paola",,"1",,"11:48 05/09/2022"
"azahara",,"Azahara",,"1",,"11:48 05/09/2022"
"noelia",,"Noelia",,"1",,"11:48 05/09/2022"
"elia",,"Elia",,"1",,"11:48 05/09/2022"
"luna",,"Luna",,"1",,"11:48 05/09/2022"
"malak",,"Malak",,"1",,"11:48 05/09/2022"
"berta",,"Berta",,"1",,"11:48 05/09/2022"
"aya",,"Aya",,"1",,"11:48 05/09/2022"
"mireia",,"Mireia",,"1",,"11:48 05/09/2022"
"salma",,"Salma",,"1",,"11:48 05/09/2022"
"cayetana",,"Cayetana",,"1",,"11:48 05/09/2022"
"miriam",,"Miriam",,"1",,"11:48 05/09/2022"
"nadia",,"Nadia",,"1",,"11:48 05/09/2022"
"naiara",,"Naiara",,"1",,"11:48 05/09/2022"
"cloe",,"Cloe",,"1",,"11:48 05/09/2022"
"anna",,"Anna",,"1",,"11:48 05/09/2022"
"nayara",,"Nayara",,"1",,"11:48 05/09/2022"
