"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"markel",,"Markel",,"1",,"11:48 05/09/2022"
"iker",,"Iker",,"1",,"11:48 05/09/2022"
"jon",,"Jon",,"1",,"11:48 05/09/2022"
"ibai",,"Ibai",,"1",,"11:48 05/09/2022"
"aimar",,"Aimar",,"1",,"11:48 05/09/2022"
"ander",,"Ander",,"1",,"11:48 05/09/2022"
"oier",,"Oier",,"1",,"11:48 05/09/2022"
"julen",,"Julen",,"1",,"11:48 05/09/2022"
"unai",,"Unai",,"1",,"11:48 05/09/2022"
"mikel",,"Mikel",,"1",,"11:48 05/09/2022"
"marc",,"Marc",,"1",,"11:48 05/09/2022"
"álex",,"Alex",,"1",,"11:48 05/09/2022"
"martí",,"Marti",,"1",,"11:48 05/09/2022"
"hugo",,"Hugo",,"1",,"11:48 05/09/2022"
"biel",,"Biel",,"1",,"11:48 05/09/2022"
"eric",,"Eric",,"1",,"11:48 05/09/2022"
"jan",,"Jan",,"1",,"11:48 05/09/2022"
"nil",,"Nil",,"1",,"11:48 05/09/2022"
"pol",,"Pol",,"1",,"11:48 05/09/2022"
"pau",,"Pau",,"1",,"11:48 05/09/2022"
"arnau",,"Arnau",,"1",,"11:48 05/09/2022"
"leo",,"Leo",,"1",,"11:48 05/09/2022"
"aleix",,"Aleix",,"1",,"11:48 05/09/2022"
"daniel",,"Daniel",,"1",,"11:48 05/09/2022"
"lucas",,"Lucas",,"1",,"11:48 05/09/2022"
"gerard",,"Gerard",,"1",,"11:48 05/09/2022"
"david",,"David",,"1",,"11:48 05/09/2022"
"bruno",,"Bruno",,"1",,"11:48 05/09/2022"
"adrià",,"Adria",,"1",,"11:48 05/09/2022"
"joel",,"Joel",,"1",,"11:48 05/09/2022"
"joão",,"Joao",,"1",,"11:48 05/09/2022"
"martim",,"Martim",,"1",,"11:48 05/09/2022"
"rodrigo",,"Rodrigo",,"1",,"11:48 05/09/2022"
"santiago",,"Santiago",,"1",,"11:48 05/09/2022"
"francisco",,"Francisco",,"1",,"11:48 05/09/2022"
"afonso",,"Afonso",,"1",,"11:48 05/09/2022"
"tomas",,"Tomas",,"1",,"11:48 05/09/2022"
"miguel",,"Miguel",,"1",,"11:48 05/09/2022"
"guilherme",,"Guilherme",,"1",,"11:48 05/09/2022"
"gabriel",,"Gabriel",,"1",,"11:48 05/09/2022"
"duarte",,"Duarte",,"1",,"11:48 05/09/2022"
"gonçalo",,"Goncalo",,"1",,"11:48 05/09/2022"
"pedro",,"Pedro",,"1",,"11:48 05/09/2022"
"tiago",,"Tiago",,"1",,"11:48 05/09/2022"
"rafael",,"Rafael",,"1",,"11:48 05/09/2022"
"diogo",,"Diogo",,"1",,"11:48 05/09/2022"
"lourenço",,"Lourenco",,"1",,"11:48 05/09/2022"
"dinis",,"Dinis",,"1",,"11:48 05/09/2022"
"salvador",,"Salvador",,"1",,"11:48 05/09/2022"
"vicente",,"Vicente",,"1",,"11:48 05/09/2022"
"gustavo",,"Gustavo",,"1",,"11:48 05/09/2022"
"simão",,"Simao",,"1",,"11:48 05/09/2022"
"josé",,"Jose",,"1",,"11:48 05/09/2022"
"pablo",,"Pablo",,"1",,"11:48 05/09/2022"
"martin",,"Martin",,"1",,"11:48 05/09/2022"
"alejandro",,"Alejandro",,"1",,"11:48 05/09/2022"
"adrian",,"Adrian",,"1",,"11:48 05/09/2022"
"alvaro",,"Alvaro",,"1",,"11:48 05/09/2022"
"mario",,"Mario",,"1",,"11:48 05/09/2022"
"diego",,"Diego",,"1",,"11:48 05/09/2022"
"manuel",,"Manuel",,"1",,"11:48 05/09/2022"
"mateo",,"Mateo",,"1",,"11:48 05/09/2022"
"javier",,"Javier",,"1",,"11:48 05/09/2022"
"izan",,"Izan",,"1",,"11:48 05/09/2022"
"marcos",,"Marcos",,"1",,"11:48 05/09/2022"
"alex",,"Alex",,"1",,"11:48 05/09/2022"
"sergio",,"Sergio",,"1",,"11:48 05/09/2022"
"carlos",,"Carlos",,"1",,"11:48 05/09/2022"
"jorge",,"Jorge",,"1",,"11:48 05/09/2022"
"enzo",,"Enzo",,"1",,"11:48 05/09/2022"
"antonio",,"Antonio",,"1",,"11:48 05/09/2022"
"angel",,"Angel",,"1",,"11:48 05/09/2022"
"gonzalo",,"Gonzalo",,"1",,"11:48 05/09/2022"
"juan",,"Juan",,"1",,"11:48 05/09/2022"
"ivan",,"Ivan",,"1",,"11:48 05/09/2022"
"ruben",,"Ruben",,"1",,"11:48 05/09/2022"
"victor",,"Victor",,"1",,"11:48 05/09/2022"
"nicolas",,"Nicolas",,"1",,"11:48 05/09/2022"
"samuel",,"Samuel",,"1",,"11:48 05/09/2022"
"hector",,"Hector",,"1",,"11:48 05/09/2022"
"dario",,"Dario",,"1",,"11:48 05/09/2022"
"oliver",,"Oliver",,"1",,"11:48 05/09/2022"
"aaron",,"Aaron",,"1",,"11:48 05/09/2022"
"adam",,"Adam",,"1",,"11:48 05/09/2022"
"dylan",,"Dylan",,"1",,"11:48 05/09/2022"
"jesus",,"Jesus",,"1",,"11:48 05/09/2022"
"marco",,"Marco",,"1",,"11:48 05/09/2022"
"aitor",,"Aitor",,"1",,"11:48 05/09/2022"
"alberto",,"Alberto",,"1",,"11:48 05/09/2022"
"guillermo",,"Guillermo",,"1",,"11:48 05/09/2022"
"raul",,"Raul",,"1",,"11:48 05/09/2022"
"erik",,"Erik",,"1",,"11:48 05/09/2022"
"luis",,"Luis",,"1",,"11:48 05/09/2022"
"jaime",,"Jaime",,"1",,"11:48 05/09/2022"
"asier",,"Asier",,"1",,"11:48 05/09/2022"
"mohamed",,"Mohamed",,"1",,"11:48 05/09/2022"
"gael",,"Gael",,"1",,"11:48 05/09/2022"
"thiago",,"Thiago",,"1",,"11:48 05/09/2022"
"ian",,"Ian",,"1",,"11:48 05/09/2022"
"fernando",,"Fernando",,"1",,"11:48 05/09/2022"
"oscar",,"Oscar",,"1",,"11:48 05/09/2022"
"luca",,"Luca",,"1",,"11:48 05/09/2022"
"andres",,"Andres",,"1",,"11:48 05/09/2022"
"ismael",,"Ismael",,"1",,"11:48 05/09/2022"
"alonso",,"Alonso",,"1",,"11:48 05/09/2022"
"rayan",,"Rayan",,"1",,"11:48 05/09/2022"
"cristian",,"Cristian",,"1",,"11:48 05/09/2022"
"saul",,"Saul",,"1",,"11:48 05/09/2022"
"isaac",,"Isaac",,"1",,"11:48 05/09/2022"
"joan",,"Joan",,"1",,"11:48 05/09/2022"
"ignacio",,"Ignacio",,"1",,"11:48 05/09/2022"
"youssef",,"Youssef",,"1",,"11:48 05/09/2022"
"eduardo",,"Eduardo",,"1",,"11:48 05/09/2022"
"mauro",,"Mauro",,"1",,"11:48 05/09/2022"
"enrique",,"Enrique",,"1",,"11:48 05/09/2022"
"yago",,"Yago",,"1",,"11:48 05/09/2022"
"abraham",,"Abraham",,"1",,"11:48 05/09/2022"
"noah",,"Noah",,"1",,"11:48 05/09/2022"
"omar",,"Omar",,"1",,"11:48 05/09/2022"
