"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"singh",,"Singh",,"1",,"11:48 05/09/2022"
"kumar",,"Kumar",,"3",,"11:48 05/09/2022"
"das",,"Das",,"1",,"11:48 05/09/2022"
"kaur",,"Kaur",,"1",,"11:48 05/09/2022"
"mandal",,"Mandal",,"5",,"11:48 05/09/2022"
"ram",,"Ram",,"5",,"11:48 05/09/2022"
"kumari",,"Kumari",,"1",,"11:48 05/09/2022"
"ali",,"Ali",,"4",,"11:48 05/09/2022"
"lal",,"Lal",,"1",,"11:48 05/09/2022"
"bibi",,"Bibi",,"1",,"11:48 05/09/2022"
"khatun",,"Khatun",,"1",,"11:48 05/09/2022"
"bai",,"Bai",,"1",,"11:48 05/09/2022"
"sharma",,"Sharma",,"6",,"11:48 05/09/2022"
"khan",,"Khan",,"10",,"11:48 05/09/2022"
"patel",,"Patel",,"10",,"11:48 05/09/2022"
"patil",,"Patil",,"1",,"11:48 05/09/2022"
"abbi",,"Abbi",,"1",,"11:48 05/09/2022"
"abraham",,"Abraham",,"10",,"11:48 05/09/2022"
"adani",,"Adani",,"1",,"11:48 05/09/2022"
"adiga",,"Adiga",,"1",,"11:48 05/09/2022"
"advani",,"Advani",,"1",,"11:48 05/09/2022"
"agate",,"Agate",,"1",,"11:48 05/09/2022"
"akash",,"Akash",,"1",,"11:48 05/09/2022"
"akhtar",,"Akhtar",,"1",,"11:48 05/09/2022"
"amble",,"Amble",,"1",,"11:48 05/09/2022"
"ameer",,"Ameer",,"7",,"11:48 05/09/2022"
"anchan",,"Anchan",,"1",,"11:48 05/09/2022"
"antony",,"Antony",,"1",,"11:48 05/09/2022"
"anumula",,"Anumula",,"1",,"11:48 05/09/2022"
"ashar",,"Ashar",,"1",,"11:48 05/09/2022"
"asthana",,"Asthana",,"1",,"11:48 05/09/2022"
"babbar",,"Babbar",,"1",,"11:48 05/09/2022"
"bachchan",,"Bachchan",,"1",,"11:48 05/09/2022"
"bahl",,"Bahl",,"5",,"11:48 05/09/2022"
"bhasi",,"Bhasi",,"1",,"11:48 05/09/2022"
"baid",,"Baid",,"1",,"11:48 05/09/2022"
"bakshi",,"Bakshi",,"1",,"11:48 05/09/2022"
"balakrishnan",,"Balakrishnan",,"1",,"11:48 05/09/2022"
"banerjee",,"Banerjee",,"1",,"11:48 05/09/2022"
"barman",,"Barman",,"1",,"11:48 05/09/2022"
"barot",,"Barot",,"1",,"11:48 05/09/2022"
"basu",,"Basu",,"1",,"11:48 05/09/2022"
"bengal",,"Bengal",,"10",,"11:48 05/09/2022"
"bhagat",,"Bhagat",,"1",,"11:48 05/09/2022"
"bhakri",,"Bhakri",,"1",,"11:48 05/09/2022"
"bhalla",,"Bhalla",,"1",,"11:48 05/09/2022"
"bhan",,"Bhan",,"1",,"11:48 05/09/2022"
"bora",,"Bora",,"1",,"11:48 05/09/2022"
"burman",,"Burman",,"1",,"11:48 05/09/2022"
"chacko",,"Chacko",,"1",,"11:48 05/09/2022"
"chakole",,"Chakole",,"1",,"11:48 05/09/2022"
"chanana",,"Chanana",,"7",,"11:48 05/09/2022"
"chanchad",,"Chanchad",,"1",,"11:48 05/09/2022"
"chandani",,"Chandani",,"5",,"11:48 05/09/2022"
"chandel",,"Chandel",,"1",,"11:48 05/09/2022"
"chander",,"Chander",,"7",,"11:48 05/09/2022"
"chandak",,"Chandak",,"3",,"11:48 05/09/2022"
"chandok",,"Chandok",,"1",,"11:48 05/09/2022"
"channe",,"Channe",,"6",,"11:48 05/09/2022"
"chary",,"Chary",,"1",,"11:48 05/09/2022"
"chatterjee",,"Chatterjee",,"4",,"11:48 05/09/2022"
"chandra",,"Chandra",,"7",,"11:48 05/09/2022"
"chauhan",,"Chauhan",,"1",,"11:48 05/09/2022"
"chitale",,"Chitale",,"1",,"11:48 05/09/2022"
"darling",,"Darling",,"4",,"11:48 05/09/2022"
"dashmunshi",,"Dashmunshi",,"1",,"11:48 05/09/2022"
"daswani",,"Daswani",,"1",,"11:48 05/09/2022"
"dawande",,"Dawande",,"1",,"11:48 05/09/2022"
"desai",,"Desai",,"1",,"11:48 05/09/2022"
"dev",,"Dev",,"9",,"11:48 05/09/2022"
"devgade",,"Devgade",,"1",,"11:48 05/09/2022"
"devgan",,"Devgan",,"1",,"11:48 05/09/2022"
"dhake",,"Dhake",,"1",,"11:48 05/09/2022"
"dhawan",,"Dhawan",,"1",,"11:48 05/09/2022"
"faasil",,"Faasil",,"1",,"11:48 05/09/2022"
"fadikar",,"Fadikar",,"1",,"11:48 05/09/2022"
"faye",,"Faye",,"4",,"11:48 05/09/2022"
"gangotri",,"Gangotri",,"1",,"11:48 05/09/2022"
"ghai",,"Ghai",,"3",,"11:48 05/09/2022"
"ghanekar",,"Ghanekar",,"4",,"11:48 05/09/2022"
"ghatate",,"Ghatate",,"1",,"11:48 05/09/2022"
"ghate",,"Ghate",,"1",,"11:48 05/09/2022"
"ghosh",,"Ghosh",,"1",,"11:48 05/09/2022"
"ghoshal",,"Ghoshal",,"3",,"11:48 05/09/2022"
"ghui",,"Ghui",,"1",,"11:48 05/09/2022"
"gilani",,"Gilani",,"1",,"11:48 05/09/2022"
"gill",,"Gill",,"1",,"11:48 05/09/2022"
"gunnam",,"Gunnam",,"1",,"11:48 05/09/2022"
"gupta",,"Gupta",,"1",,"11:48 05/09/2022"
"gupte",,"Gupte",,"1",,"11:48 05/09/2022"
"haasan",,"Haasan",,"4",,"11:48 05/09/2022"
"hadapsar",,"Hadapsar",,"1",,"11:48 05/09/2022"
"hadas",,"Hadas",,"1",,"11:48 05/09/2022"
"handoo",,"Handoo",,"1",,"11:48 05/09/2022"
"hangal",,"Hangal",,"1",,"11:48 05/09/2022"
"hardas",,"Hardas",,"1",,"11:48 05/09/2022"
"haridas",,"Haridas",,"1",,"11:48 05/09/2022"
"harode",,"Harode",,"1",,"11:48 05/09/2022"
"hashmi",,"Hashmi",,"1",,"11:48 05/09/2022"
"hasnee",,"Hasnee",,"1",,"11:48 05/09/2022"
"hassan",,"Hassan",,"1",,"11:48 05/09/2022"
"hattangadi",,"Hattangadi",,"1",,"11:48 05/09/2022"
"hazra",,"Hazra",,"1",,"11:48 05/09/2022"
"hazare",,"Hazare",,"1",,"11:48 05/09/2022"
"jadeja",,"Jadeja",,"1",,"11:48 05/09/2022"
"jadhav",,"Jadhav",,"1",,"11:48 05/09/2022"
"jadi",,"Jadi",,"1",,"11:48 05/09/2022"
"jadon",,"Jadon",,"1",,"11:48 05/09/2022"
"jena",,"Jena",,"4",,"11:48 05/09/2022"
"kale",,"Kale",,"1",,"11:48 05/09/2022"
"kamat",,"Kamat",,"1",,"11:48 05/09/2022"
"kambli",,"Kambli",,"1",,"11:48 05/09/2022"
"kanakia",,"Kanakia",,"1",,"11:48 05/09/2022"
"kanchan",,"Kanchan",,"1",,"11:48 05/09/2022"
"kane",,"Kane",,"1",,"11:48 05/09/2022"
"kanhe",,"Kanhe",,"1",,"11:48 05/09/2022"
"kanitkar",,"Kanitkar",,"1",,"11:48 05/09/2022"
"kapoor",,"Kapoor",,"8",,"11:48 05/09/2022"
"kapre",,"Kapre",,"1",,"11:48 05/09/2022"
"karkare",,"Karkare",,"1",,"11:48 05/09/2022"
"karkera",,"Karkera",,"1",,"11:48 05/09/2022"
"karlekar",,"Karlekar",,"1",,"11:48 05/09/2022"
"kelkar",,"Kelkar",,"1",,"11:48 05/09/2022"
"keshari",,"Keshari",,"1",,"11:48 05/09/2022"
"khanna",,"Khanna",,"1",,"11:48 05/09/2022"
"kumble",,"Kumble",,"1",,"11:48 05/09/2022"
"lagoo",,"Lagoo",,"1",,"11:48 05/09/2022"
"lahoti",,"Lahoti",,"1",,"11:48 05/09/2022"
"lakhani",,"Lakhani",,"1",,"11:48 05/09/2022"
"lakhotia",,"Lakhotia",,"1",,"11:48 05/09/2022"
"lamba",,"Lamba",,"1",,"11:48 05/09/2022"
"langote",,"Langote",,"1",,"11:48 05/09/2022"
"langroo",,"Langroo",,"1",,"11:48 05/09/2022"
"lapalikar",,"Lapalikar",,"1",,"11:48 05/09/2022"
"latkar",,"Latkar",,"1",,"11:48 05/09/2022"
"lobo",,"Lobo",,"1",,"11:48 05/09/2022"
"mahindrakar",,"Mahindrakar",,"1",,"11:48 05/09/2022"
"mali",,"Mali",,"1",,"11:48 05/09/2022"
"malik",,"Malik",,"8",,"11:48 05/09/2022"
"malini",,"Malini",,"5",,"11:48 05/09/2022"
"mallapur",,"Mallapur",,"1",,"11:48 05/09/2022"
"mallya",,"Mallya",,"1",,"11:48 05/09/2022"
"malpe",,"Malpe",,"1",,"11:48 05/09/2022"
"manchandha",,"Manchandha",,"1",,"11:48 05/09/2022"
"mande",,"Mande",,"1",,"11:48 05/09/2022"
"marathe",,"Marathe",,"8",,"11:48 05/09/2022"
"marwah",,"Marwah",,"1",,"11:48 05/09/2022"
"marwaha",,"Marwaha",,"1",,"11:48 05/09/2022"
"mayar",,"Mayar",,"1",,"11:48 05/09/2022"
"meghe",,"Meghe",,"1",,"11:48 05/09/2022"
"mehra",,"Mehra",,"1",,"11:48 05/09/2022"
"mendhi",,"Mendhi",,"3",,"11:48 05/09/2022"
"mendon",,"Mendon",,"1",,"11:48 05/09/2022"
"nalamolu",,"Nalamolu",,"1",,"11:48 05/09/2022"
"nambian",,"Nambian",,"1",,"11:48 05/09/2022"
"nambiar",,"Nambiar",,"1",,"11:48 05/09/2022"
"narang",,"Narang",,"1",,"11:48 05/09/2022"
"narayan",,"Narayan",,"9",,"11:48 05/09/2022"
"naresh",,"Naresh",,"1",,"11:48 05/09/2022"
"narlikar",,"Narlikar",,"1",,"11:48 05/09/2022"
"narula",,"Narula",,"1",,"11:48 05/09/2022"
"nath",,"Nath",,"1",,"11:48 05/09/2022"
"nayak",,"Nayak",,"1",,"11:48 05/09/2022"
"pai",,"Pai",,"1",,"11:48 05/09/2022"
"paintal",,"Paintal",,"1",,"11:48 05/09/2022"
"pande",,"Pande",,"1",,"11:48 05/09/2022"
"pandian",,"Pandian",,"1",,"11:48 05/09/2022"
"parkhi",,"Parkhi",,"1",,"11:48 05/09/2022"
"pednekar",,"Pednekar",,"1",,"11:48 05/09/2022"
"pitale",,"Pitale",,"1",,"11:48 05/09/2022"
"pratham",,"Pratham",,"1",,"11:48 05/09/2022"
"punwani",,"Punwani",,"1",,"11:48 05/09/2022"
"puranik",,"Puranik",,"1",,"11:48 05/09/2022"
"puri",,"Puri",,"1",,"11:48 05/09/2022"
"puthran",,"Puthran",,"1",,"11:48 05/09/2022"
"prakash",,"Prakash",,"1",,"11:48 05/09/2022"
"quereshi",,"Quereshi",,"3",,"11:48 05/09/2022"
"raaz",,"Raaz",,"5",,"11:48 05/09/2022"
"raheja",,"Raheja",,"1",,"11:48 05/09/2022"
"rahman",,"Rahman",,"1",,"11:48 05/09/2022"
"rai",,"Rai",,"5",,"11:48 05/09/2022"
"raj",,"Raj",,"10",,"11:48 05/09/2022"
"rajan",,"Rajan",,"3",,"11:48 05/09/2022"
"raju",,"Raju",,"4",,"11:48 05/09/2022"
"ramachandran",,"Ramachandran",,"3",,"11:48 05/09/2022"
"ramesh",,"Ramesh",,"6",,"11:48 05/09/2022"
"ramnani",,"Ramnani",,"1",,"11:48 05/09/2022"
"rampal",,"Rampal",,"1",,"11:48 05/09/2022"
"rana",,"Rana",,"1",,"11:48 05/09/2022"
"ranade",,"Ranade",,"1",,"11:48 05/09/2022"
"rane",,"Rane",,"1",,"11:48 05/09/2022"
"rao",,"Rao",,"1",,"11:48 05/09/2022"
"rathi",,"Rathi",,"1",,"11:48 05/09/2022"
"ray",,"Ray",,"1",,"11:48 05/09/2022"
"reddy",,"Reddy",,"1",,"11:48 05/09/2022"
"rege",,"Rege",,"1",,"11:48 05/09/2022"
"rehman",,"Rehman",,"1",,"11:48 05/09/2022"
"reshammiya",,"Reshammiya",,"1",,"11:48 05/09/2022"
"rode",,"Rode",,"1",,"11:48 05/09/2022"
"rokade",,"Rokade",,"1",,"11:48 05/09/2022"
"roshan",,"Roshan",,"1",,"11:48 05/09/2022"
"roy",,"Roy",,"1",,"11:48 05/09/2022"
"roychoudhury",,"Roychoudhury",,"1",,"11:48 05/09/2022"
"ruia",,"Ruia",,"1",,"11:48 05/09/2022"
"rungta",,"Rungta",,"1",,"11:48 05/09/2022"
"ruparel",,"Ruparel",,"1",,"11:48 05/09/2022"
"sabnis",,"Sabnis",,"1",,"11:48 05/09/2022"
"sahai",,"Sahai",,"1",,"11:48 05/09/2022"
"salmaan",,"Salmaan",,"9",,"11:48 05/09/2022"
"sapra",,"Sapra",,"1",,"11:48 05/09/2022"
"saraf",,"Saraf",,"1",,"11:48 05/09/2022"
"sarda",,"Sarda",,"1",,"11:48 05/09/2022"
"sarve",,"Sarve",,"1",,"11:48 05/09/2022"
"satija",,"Satija",,"1",,"11:48 05/09/2022"
"savarkar",,"Savarkar",,"1",,"11:48 05/09/2022"
"shinde",,"Shinde",,"1",,"11:48 05/09/2022"
