"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"yui",,"Yui",,"1",,"11:48 05/09/2022"
"rio",,"Rio",,"1",,"11:48 05/09/2022"
"yuna",,"Yuna",,"1",,"11:48 05/09/2022"
"hina",,"Hina",,"1",,"11:48 05/09/2022"
"koharu",,"Koharu",,"1",,"11:48 05/09/2022"
"hinata",,"Hinata",,"1",,"11:48 05/09/2022"
"mei",,"Mei",,"1",,"11:48 05/09/2022"
"mio",,"Mio",,"1",,"11:48 05/09/2022"
"saki",,"Saki",,"1",,"11:48 05/09/2022"
"miyu",,"Miyu",,"1",,"11:48 05/09/2022"
"kokona",,"Kokona",,"1",,"11:48 05/09/2022"
"haruka",,"Haruka",,"1",,"11:48 05/09/2022"
"rin",,"Rin",,"1",,"11:48 05/09/2022"
"akari",,"Akari",,"1",,"11:48 05/09/2022"
"honoka",,"Honoka",,"1",,"11:48 05/09/2022"
"momoka",,"Momoka",,"1",,"11:48 05/09/2022"
"aoi",,"Aoi",,"1",,"11:48 05/09/2022"
"ichika",,"Ichika",,"1",,"11:48 05/09/2022"
"sakura",,"Sakura",,"1",,"11:48 05/09/2022"
"himari",,"Himari",,"1",,"11:48 05/09/2022"
"yume",,"Yume",,"1",,"11:48 05/09/2022"
"airi",,"Airi",,"1",,"11:48 05/09/2022"
"sara",,"Sara",,"1",,"11:48 05/09/2022"
"nanami",,"Nanami",,"1",,"11:48 05/09/2022"
"ayaka",,"Ayaka",,"1",,"11:48 05/09/2022"
"yuka",,"Yuka",,"1",,"11:48 05/09/2022"
"riko",,"Riko",,"1",,"11:48 05/09/2022"
"noa",,"Noa",,"1",,"11:48 05/09/2022"
"mao",,"Mao",,"1",,"11:48 05/09/2022"
"yua",,"Yua",,"1",,"11:48 05/09/2022"
"ayane",,"Ayane",,"1",,"11:48 05/09/2022"
"hiyori",,"Hiyori",,"1",,"11:48 05/09/2022"
"misaki",,"Misaki",,"1",,"11:48 05/09/2022"
"yuzuki",,"Yuzuki",,"1",,"11:48 05/09/2022"
"rina",,"Rina",,"1",,"11:48 05/09/2022"
"sana",,"Sana",,"1",,"11:48 05/09/2022"
"ría",,"Ria",,"1",,"11:48 05/09/2022"
"ruka",,"Ruka",,"1",,"11:48 05/09/2022"
"kanon",,"Kanon",,"1",,"11:48 05/09/2022"
"kaho",,"Kaho",,"1",,"11:48 05/09/2022"
"hana",,"Hana",,"1",,"11:48 05/09/2022"
"karin",,"Karin",,"1",,"11:48 05/09/2022"
"risa",,"Risa",,"1",,"11:48 05/09/2022"
"shiori",,"Shiori",,"1",,"11:48 05/09/2022"
"fuka",,"Fuka",,"1",,"11:48 05/09/2022"
"rino",,"Rino",,"1",,"11:48 05/09/2022"
"anna",,"Anna",,"1",,"11:48 05/09/2022"
"natsuki",,"Natsuki",,"1",,"11:48 05/09/2022"
"nana",,"Nana",,"1",,"11:48 05/09/2022"
"reina",,"Reina",,"1",,"11:48 05/09/2022"
