"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"min-jun",,"Min-jun",,"1",,"11:48 05/09/2022"
"seo-jun",,"Seo-jun",,"1",,"11:48 05/09/2022"
"ha-joon",,"Ha-joon",,"1",,"11:48 05/09/2022"
"do-yun",,"Do-yun",,"1",,"11:48 05/09/2022"
"joo-won",,"Joo-won",,"1",,"11:48 05/09/2022"
"ye-jun",,"Ye-jun",,"1",,"11:48 05/09/2022"
"joon-woo",,"Joon-woo",,"1",,"11:48 05/09/2022"
"ji-ho",,"Ji-ho",,"1",,"11:48 05/09/2022"
"ji-hu",,"Ji-hu",,"1",,"11:48 05/09/2022"
"jun-seo",,"Jun-seo",,"1",,"11:48 05/09/2022"
