"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"lucia",,"Lucia",,"2",,"11:48 05/09/2022"
"maria",,"Maria",,"1",,"11:48 05/09/2022"
"martina",,"Martina",,"1",,"11:48 05/09/2022"
"paula",,"Paula",,"3",,"11:48 05/09/2022"
"sofia",,"Sofia",,"4",,"11:48 05/09/2022"
"daniela",,"Daniela",,"1",,"11:48 05/09/2022"
"alba",,"Alba",,"1",,"11:48 05/09/2022"
"julia",,"Julia",,"1",,"11:48 05/09/2022"
"carla",,"Carla",,"1",,"11:48 05/09/2022"
"sara",,"Sara",,"1",,"11:48 05/09/2022"
"valeria",,"Valeria",,"1",,"11:48 05/09/2022"
"noa",,"Noa",,"1",,"11:48 05/09/2022"
"emma",,"Emma",,"1",,"11:48 05/09/2022"
"claudia",,"Claudia",,"1",,"11:48 05/09/2022"
"carmen",,"Carmen",,"1",,"11:48 05/09/2022"
"marta",,"Marta",,"1",,"11:48 05/09/2022"
"valentina",,"Valentina",,"1",,"11:48 05/09/2022"
"irene",,"Irene",,"1",,"11:48 05/09/2022"
"adriana",,"Adriana",,"1",,"11:48 05/09/2022"
"ana",,"Ana",,"1",,"11:48 05/09/2022"
"laura",,"Laura",,"1",,"11:48 05/09/2022"
"elena",,"Elena",,"1",,"11:48 05/09/2022"
"alejandra",,"Alejandra",,"1",,"11:48 05/09/2022"
"olivia",,"Olivia",,"1",,"11:48 05/09/2022"
"ines",,"Ines",,"1",,"11:48 05/09/2022"
"lola",,"Lola",,"1",,"11:48 05/09/2022"
"aitana",,"Aitana",,"1",,"11:48 05/09/2022"
"ariadna",,"Ariadna",,"1",,"11:48 05/09/2022"
"vera",,"Vera",,"1",,"11:48 05/09/2022"
"laia",,"Laia",,"1",,"11:48 05/09/2022"
"vega",,"Vega",,"1",,"11:48 05/09/2022"
"alma",,"Alma",,"1",,"11:48 05/09/2022"
"candela",,"Candela",,"1",,"11:48 05/09/2022"
"marina",,"Marina",,"1",,"11:48 05/09/2022"
"ainhoa",,"Ainhoa",,"1",,"11:48 05/09/2022"
"elsa",,"Elsa",,"1",,"11:48 05/09/2022"
"jimena",,"Jimena",,"1",,"11:48 05/09/2022"
"triana",,"Triana",,"1",,"11:48 05/09/2022"
"leire",,"Leire",,"1",,"11:48 05/09/2022"
"carlota",,"Carlota",,"1",,"11:48 05/09/2022"
"blanca",,"Blanca",,"1",,"11:48 05/09/2022"
"rocío",,"Rocio",,"1",,"11:48 05/09/2022"
"ainara",,"Ainara",,"1",,"11:48 05/09/2022"
"alicia",,"Alicia",,"1",,"11:48 05/09/2022"
"nora",,"Nora",,"1",,"11:48 05/09/2022"
"nerea",,"Nerea",,"1",,"11:48 05/09/2022"
"angela",,"Angela",,"1",,"11:48 05/09/2022"
"clara",,"Clara",,"1",,"11:48 05/09/2022"
"abril",,"Abril",,"1",,"11:48 05/09/2022"
"leyre",,"Leyre",,"1",,"11:48 05/09/2022"
"celia",,"Celia",,"1",,"11:48 05/09/2022"
"andrea",,"Andrea",,"1",,"11:48 05/09/2022"
"victoria",,"Victoria",,"1",,"11:48 05/09/2022"
"lara",,"Lara",,"1",,"11:48 05/09/2022"
"eva",,"Eva",,"1",,"11:48 05/09/2022"
"mia",,"Mia",,"1",,"11:48 05/09/2022"
"chloe",,"Chloe",,"1",,"11:48 05/09/2022"
"natalia",,"Natalia",,"1",,"11:48 05/09/2022"
"manuela",,"Manuela",,"1",,"11:48 05/09/2022"
"isabel",,"Isabel",,"1",,"11:48 05/09/2022"
"aina",,"Aina",,"1",,"11:48 05/09/2022"
"zoe",,"Zoe",,"1",,"11:48 05/09/2022"
"cristina",,"Cristina",,"1",,"11:48 05/09/2022"
"aroa",,"Aroa",,"1",,"11:48 05/09/2022"
"nuria",,"Nuria",,"1",,"11:48 05/09/2022"
"alexia",,"Alexia",,"1",,"11:48 05/09/2022"
"lia",,"Lia",,"1",,"11:48 05/09/2022"
"carolina",,"Carolina",,"1",,"11:48 05/09/2022"
"iria",,"Iria",,"1",,"11:48 05/09/2022"
"africa",,"Africa",,"1",,"11:48 05/09/2022"
"mar",,"Mar",,"1",,"11:48 05/09/2022"
"mara",,"Mara",,"1",,"11:48 05/09/2022"
"gabriela",,"Gabriela",,"1",,"11:48 05/09/2022"
"ona",,"Ona",,"1",,"11:48 05/09/2022"
"naia",,"Naia",,"1",,"11:48 05/09/2022"
"helena",,"Helena",,"1",,"11:48 05/09/2022"
"paola",,"Paola",,"1",,"11:48 05/09/2022"
"azahara",,"Azahara",,"1",,"11:48 05/09/2022"
"noelia",,"Noelia",,"1",,"11:48 05/09/2022"
"elia",,"Elia",,"1",,"11:48 05/09/2022"
"iris",,"Iris",,"1",,"11:48 05/09/2022"
"luna",,"Luna",,"1",,"11:48 05/09/2022"
"malak",,"Malak",,"1",,"11:48 05/09/2022"
"nahia",,"Nahia",,"1",,"11:48 05/09/2022"
"berta",,"Berta",,"1",,"11:48 05/09/2022"
"aya",,"Aya",,"1",,"11:48 05/09/2022"
"mireia",,"Mireia",,"1",,"11:48 05/09/2022"
"salma",,"Salma",,"1",,"11:48 05/09/2022"
"ane",,"Ane",,"1",,"11:48 05/09/2022"
"cayetana",,"Cayetana",,"1",,"11:48 05/09/2022"
"silvia",,"Silvia",,"1",,"11:48 05/09/2022"
"diana",,"Diana",,"1",,"11:48 05/09/2022"
"miriam",,"Miriam",,"1",,"11:48 05/09/2022"
"arlet",,"Arlet",,"1",,"11:48 05/09/2022"
"nadia",,"Nadia",,"1",,"11:48 05/09/2022"
"naiara",,"Naiara",,"1",,"11:48 05/09/2022"
"jana",,"Jana",,"1",,"11:48 05/09/2022"
"cloe",,"Cloe",,"1",,"11:48 05/09/2022"
"anna",,"Anna",,"1",,"11:48 05/09/2022"
"nayara",,"Nayara",,"1",,"11:48 05/09/2022"
"júlia/julia",,"Julia/Julia",,"1",,"11:48 05/09/2022"
"maria/maría",,"Maria/Maria",,"1",,"11:48 05/09/2022"
"clàudia/claudia",,"Claudia/Claudia",,"1",,"11:48 05/09/2022"
"sofía/sofia",,"Sofia/Sofia",,"1",,"11:48 05/09/2022"
"giulia",,"Giulia",,"1",,"11:48 05/09/2022"
"aurora",,"Aurora",,"1",,"11:48 05/09/2022"
"giorgia",,"Giorgia",,"1",,"11:48 05/09/2022"
"greta",,"Greta",,"1",,"11:48 05/09/2022"
"chiara",,"Chiara",,"1",,"11:48 05/09/2022"
"alice",,"Alice",,"1",,"11:48 05/09/2022"
"gaia",,"Gaia",,"1",,"11:48 05/09/2022"
"francesca",,"Francesca",,"1",,"11:48 05/09/2022"
"ginevra",,"Ginevra",,"1",,"11:48 05/09/2022"
"noemi",,"Noemi",,"1",,"11:48 05/09/2022"
"alessia",,"Alessia",,"1",,"11:48 05/09/2022"
"matilde",,"Matilde",,"1",,"11:48 05/09/2022"
"vittoria",,"Vittoria",,"1",,"11:48 05/09/2022"
"viola",,"Viola",,"1",,"11:48 05/09/2022"
"beatrice",,"Beatrice",,"1",,"11:48 05/09/2022"
"nicole",,"Nicole",,"1",,"11:48 05/09/2022"
"giada",,"Giada",,"1",,"11:48 05/09/2022"
"elisa",,"Elisa",,"1",,"11:48 05/09/2022"
"rebecca",,"Rebecca",,"1",,"11:48 05/09/2022"
"arianna",,"Arianna",,"1",,"11:48 05/09/2022"
"camilla",,"Camilla",,"1",,"11:48 05/09/2022"
"ludovica",,"Ludovica",,"1",,"11:48 05/09/2022"
"melissa",,"Melissa",,"1",,"11:48 05/09/2022"
"bianca",,"Bianca",,"1",,"11:48 05/09/2022"
"gioia",,"Gioia",,"1",,"11:48 05/09/2022"
"asia",,"Asia",,"1",,"11:48 05/09/2022"
"adele",,"Adele",,"1",,"11:48 05/09/2022"
"eleonora",,"Eleonora",,"1",,"11:48 05/09/2022"
"serena",,"Serena",,"1",,"11:48 05/09/2022"
"benedetta",,"Benedetta",,"1",,"11:48 05/09/2022"
"angelica",,"Angelica",,"1",,"11:48 05/09/2022"
"ilaria",,"Ilaria",,"1",,"11:48 05/09/2022"
"carlotta",,"Carlotta",,"1",,"11:48 05/09/2022"
"caterina",,"Caterina",,"1",,"11:48 05/09/2022"
"margherita",,"Margherita",,"1",,"11:48 05/09/2022"
"alessandra",,"Alessandra",,"1",,"11:48 05/09/2022"
"emily",,"Emily",,"1",,"11:48 05/09/2022"
"acacia",,"Acacia",,"1",,"11:48 05/09/2022"
"acantha",,"Acantha",,"1",,"11:48 05/09/2022"
"adelpha",,"Adelpha",,"1",,"11:48 05/09/2022"
"agatha",,"Agatha",,"1",,"11:48 05/09/2022"
"agathe",,"Agathe",,"1",,"11:48 05/09/2022"
"agnes",,"Agnes",,"1",,"11:48 05/09/2022"
"aimilios",,"Aimilios",,"1",,"11:48 05/09/2022"
"alcie",,"Alcie",,"1",,"11:48 05/09/2022"
"alcina",,"Alcina",,"1",,"11:48 05/09/2022"
"alethea",,"Alethea",,"1",,"11:48 05/09/2022"
"alex",,"Alex",,"1",,"11:48 05/09/2022"
"alexa",,"Alexa",,"1",,"11:48 05/09/2022"
"alexandra",,"Alexandra",,"1",,"11:48 05/09/2022"
"alexandria",,"Alexandria",,"1",,"11:48 05/09/2022"
"alexandrina",,"Alexandrina",,"1",,"11:48 05/09/2022"
"alexina",,"Alexina",,"1",,"11:48 05/09/2022"
"alexis",,"Alexis",,"1",,"11:48 05/09/2022"
"alike",,"Alike",,"1",,"11:48 05/09/2022"
"aliz",,"Aliz",,"1",,"11:48 05/09/2022"
"alizka",,"Alizka",,"1",,"11:48 05/09/2022"
"alpha",,"Alpha",,"1",,"11:48 05/09/2022"
"alsie",,"Alsie",,"1",,"11:48 05/09/2022"
"althea",,"Althea",,"1",,"11:48 05/09/2022"
"amara",,"Amara",,"1",,"11:48 05/09/2022"
"amarantha",,"Amarantha",,"1",,"11:48 05/09/2022"
"amaryllis",,"Amaryllis",,"1",,"11:48 05/09/2022"
"ambrosia",,"Ambrosia",,"1",,"11:48 05/09/2022"
"aminta",,"Aminta",,"1",,"11:48 05/09/2022"
"anastacia",,"Anastacia",,"1",,"11:48 05/09/2022"
"anastasha",,"Anastasha",,"1",,"11:48 05/09/2022"
"anastasia",,"Anastasia",,"1",,"11:48 05/09/2022"
"anatola",,"Anatola",,"1",,"11:48 05/09/2022"
"andromeda",,"Andromeda",,"1",,"11:48 05/09/2022"
"anemone",,"Anemone",,"1",,"11:48 05/09/2022"
"ange",,"Ange",,"1",,"11:48 05/09/2022"
"angele",,"Angele",,"1",,"11:48 05/09/2022"
"angelika",,"Angelika",,"1",,"11:48 05/09/2022"
"angelina",,"Angelina",,"1",,"11:48 05/09/2022"
"aniceta",,"Aniceta",,"1",,"11:48 05/09/2022"
"annis",,"Annis",,"1",,"11:48 05/09/2022"
"annys",,"Annys",,"1",,"11:48 05/09/2022"
"anthea",,"Anthea",,"1",,"11:48 05/09/2022"
"antigone",,"Antigone",,"1",,"11:48 05/09/2022"
"antimony",,"Antimony",,"1",,"11:48 05/09/2022"
"antinea",,"Antinea",,"1",,"11:48 05/09/2022"
"aphrodite",,"Aphrodite",,"1",,"11:48 05/09/2022"
"apollonia",,"Apollonia",,"1",,"11:48 05/09/2022"
"arcadia",,"Arcadia",,"1",,"11:48 05/09/2022"
"arcangela",,"Arcangela",,"1",,"11:48 05/09/2022"
"arete",,"Arete",,"1",,"11:48 05/09/2022"
"aretha",,"Aretha",,"1",,"11:48 05/09/2022"
"ariadne",,"Ariadne",,"1",,"11:48 05/09/2022"
"arista",,"Arista",,"1",,"11:48 05/09/2022"
"arkadina",,"Arkadina",,"1",,"11:48 05/09/2022"
"artemis",,"Artemis",,"1",,"11:48 05/09/2022"
"artemisia",,"Artemisia",,"1",,"11:48 05/09/2022"
"asta",,"Asta",,"1",,"11:48 05/09/2022"
"aster",,"Aster",,"1",,"11:48 05/09/2022"
"asteria",,"Asteria",,"1",,"11:48 05/09/2022"
"astraea",,"Astraea",,"1",,"11:48 05/09/2022"
"astraia",,"Astraia",,"1",,"11:48 05/09/2022"
"atalanta",,"Atalanta",,"1",,"11:48 05/09/2022"
"athena",,"Athena",,"1",,"11:48 05/09/2022"
"basilia",,"Basilia",,"1",,"11:48 05/09/2022"
"beranice",,"Beranice",,"1",,"11:48 05/09/2022"
"beraniece",,"Beraniece",,"1",,"11:48 05/09/2022"
"berenice",,"Berenice",,"1",,"11:48 05/09/2022"
"berenike",,"Berenike",,"1",,"11:48 05/09/2022"
"bernice",,"Bernice",,"1",,"11:48 05/09/2022"
"beryl",,"Beryl",,"1",,"11:48 05/09/2022"
"beta",,"Beta",,"1",,"11:48 05/09/2022"
"bronte",,"Bronte",,"1",,"11:48 05/09/2022"
"brontë",,"Bronte",,"1",,"11:48 05/09/2022"
"bryonia",,"Bryonia",,"1",,"11:48 05/09/2022"
"calandra",,"Calandra",,"1",,"11:48 05/09/2022"
"calantha",,"Calantha",,"1",,"11:48 05/09/2022"
"calista",,"Calista",,"1",,"11:48 05/09/2022"
"calixta",,"Calixta",,"1",,"11:48 05/09/2022"
