"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"hugo",,"Hugo",,"1",,"11:48 05/09/2022"
"daniel",,"Daniel",,"1",,"11:48 05/09/2022"
"pablo",,"Pablo",,"1",,"11:48 05/09/2022"
"martin",,"Martin",,"1",,"11:48 05/09/2022"
"alejandro",,"Alejandro",,"1",,"11:48 05/09/2022"
"adrian",,"Adrian",,"1",,"11:48 05/09/2022"
"alvaro",,"Alvaro",,"1",,"11:48 05/09/2022"
"david",,"David",,"1",,"11:48 05/09/2022"
"lucas",,"Lucas",,"1",,"11:48 05/09/2022"
"mario",,"Mario",,"1",,"11:48 05/09/2022"
"diego",,"Diego",,"1",,"11:48 05/09/2022"
"manuel",,"Manuel",,"1",,"11:48 05/09/2022"
"leo",,"Leo",,"1",,"11:48 05/09/2022"
"mateo",,"Mateo",,"1",,"11:48 05/09/2022"
"javier",,"Javier",,"1",,"11:48 05/09/2022"
"izan",,"Izan",,"1",,"11:48 05/09/2022"
"marcos",,"Marcos",,"1",,"11:48 05/09/2022"
"alex",,"Alex",,"1",,"11:48 05/09/2022"
"sergio",,"Sergio",,"1",,"11:48 05/09/2022"
"marc",,"Marc",,"1",,"11:48 05/09/2022"
"carlos",,"Carlos",,"1",,"11:48 05/09/2022"
"jorge",,"Jorge",,"1",,"11:48 05/09/2022"
"miguel",,"Miguel",,"1",,"11:48 05/09/2022"
"enzo",,"Enzo",,"1",,"11:48 05/09/2022"
"antonio",,"Antonio",,"1",,"11:48 05/09/2022"
"angel",,"Angel",,"1",,"11:48 05/09/2022"
"gonzalo",,"Gonzalo",,"1",,"11:48 05/09/2022"
"iker",,"Iker",,"1",,"11:48 05/09/2022"
"juan",,"Juan",,"1",,"11:48 05/09/2022"
"eric",,"Eric",,"1",,"11:48 05/09/2022"
"ivan",,"Ivan",,"1",,"11:48 05/09/2022"
"ruben",,"Ruben",,"1",,"11:48 05/09/2022"
"victor",,"Victor",,"1",,"11:48 05/09/2022"
"nicolas",,"Nicolas",,"1",,"11:48 05/09/2022"
"bruno",,"Bruno",,"1",,"11:48 05/09/2022"
"samuel",,"Samuel",,"1",,"11:48 05/09/2022"
"hector",,"Hector",,"1",,"11:48 05/09/2022"
"josé",,"Jose",,"1",,"11:48 05/09/2022"
"gabriel",,"Gabriel",,"1",,"11:48 05/09/2022"
"dario",,"Dario",,"1",,"11:48 05/09/2022"
"oliver",,"Oliver",,"1",,"11:48 05/09/2022"
"aaron",,"Aaron",,"1",,"11:48 05/09/2022"
"adam",,"Adam",,"1",,"11:48 05/09/2022"
"dylan",,"Dylan",,"1",,"11:48 05/09/2022"
"jesus",,"Jesus",,"1",,"11:48 05/09/2022"
"marco",,"Marco",,"1",,"11:48 05/09/2022"
"aitor",,"Aitor",,"1",,"11:48 05/09/2022"
"alberto",,"Alberto",,"1",,"11:48 05/09/2022"
"guillermo",,"Guillermo",,"1",,"11:48 05/09/2022"
"raul",,"Raul",,"1",,"11:48 05/09/2022"
"rodrigo",,"Rodrigo",,"1",,"11:48 05/09/2022"
"francisco",,"Francisco",,"1",,"11:48 05/09/2022"
"joel",,"Joel",,"1",,"11:48 05/09/2022"
"erik",,"Erik",,"1",,"11:48 05/09/2022"
"pau",,"Pau",,"1",,"11:48 05/09/2022"
"pedro",,"Pedro",,"1",,"11:48 05/09/2022"
"luis",,"Luis",,"1",,"11:48 05/09/2022"
"jaime",,"Jaime",,"1",,"11:48 05/09/2022"
"rafael",,"Rafael",,"1",,"11:48 05/09/2022"
"asier",,"Asier",,"1",,"11:48 05/09/2022"
"unai",,"Unai",,"1",,"11:48 05/09/2022"
"mohamed",,"Mohamed",,"1",,"11:48 05/09/2022"
"martí",,"Marti",,"1",,"11:48 05/09/2022"
"gael",,"Gael",,"1",,"11:48 05/09/2022"
"thiago",,"Thiago",,"1",,"11:48 05/09/2022"
"ian",,"Ian",,"1",,"11:48 05/09/2022"
"fernando",,"Fernando",,"1",,"11:48 05/09/2022"
"oscar",,"Oscar",,"1",,"11:48 05/09/2022"
"luca",,"Luca",,"1",,"11:48 05/09/2022"
"andres",,"Andres",,"1",,"11:48 05/09/2022"
"biel",,"Biel",,"1",,"11:48 05/09/2022"
"ismael",,"Ismael",,"1",,"11:48 05/09/2022"
"alonso",,"Alonso",,"1",,"11:48 05/09/2022"
"pol",,"Pol",,"1",,"11:48 05/09/2022"
"nil",,"Nil",,"1",,"11:48 05/09/2022"
"jan",,"Jan",,"1",,"11:48 05/09/2022"
"rayan",,"Rayan",,"1",,"11:48 05/09/2022"
"aleix",,"Aleix",,"1",,"11:48 05/09/2022"
"arnau",,"Arnau",,"1",,"11:48 05/09/2022"
"cristian",,"Cristian",,"1",,"11:48 05/09/2022"
"saul",,"Saul",,"1",,"11:48 05/09/2022"
"isaac",,"Isaac",,"1",,"11:48 05/09/2022"
"santiago",,"Santiago",,"1",,"11:48 05/09/2022"
"julen",,"Julen",,"1",,"11:48 05/09/2022"
"joan",,"Joan",,"1",,"11:48 05/09/2022"
"aimar",,"Aimar",,"1",,"11:48 05/09/2022"
"ignacio",,"Ignacio",,"1",,"11:48 05/09/2022"
"youssef",,"Youssef",,"1",,"11:48 05/09/2022"
"eduardo",,"Eduardo",,"1",,"11:48 05/09/2022"
"mauro",,"Mauro",,"1",,"11:48 05/09/2022"
"enrique",,"Enrique",,"1",,"11:48 05/09/2022"
"yago",,"Yago",,"1",,"11:48 05/09/2022"
"gerard",,"Gerard",,"1",,"11:48 05/09/2022"
"abraham",,"Abraham",,"1",,"11:48 05/09/2022"
"noah",,"Noah",,"1",,"11:48 05/09/2022"
"omar",,"Omar",,"1",,"11:48 05/09/2022"
"ibai",,"Ibai",,"1",,"11:48 05/09/2022"
"francesco",,"Francesco",,"1",,"11:48 05/09/2022"
"alessandro",,"Alessandro",,"1",,"11:48 05/09/2022"
"lorenzo",,"Lorenzo",,"1",,"11:48 05/09/2022"
"andrea",,"Andrea",,"1",,"11:48 05/09/2022"
"leonardo",,"Leonardo",,"1",,"11:48 05/09/2022"
"mattia",,"Mattia",,"1",,"11:48 05/09/2022"
"matteo",,"Matteo",,"1",,"11:48 05/09/2022"
"gabriele",,"Gabriele",,"1",,"11:48 05/09/2022"
"riccardo",,"Riccardo",,"1",,"11:48 05/09/2022"
"tommaso",,"Tommaso",,"1",,"11:48 05/09/2022"
"davide",,"Davide",,"1",,"11:48 05/09/2022"
"giuseppe",,"Giuseppe",,"1",,"11:48 05/09/2022"
"federico",,"Federico",,"1",,"11:48 05/09/2022"
"edoardo",,"Edoardo",,"1",,"11:48 05/09/2022"
"samuele",,"Samuele",,"1",,"11:48 05/09/2022"
"giovanni",,"Giovanni",,"1",,"11:48 05/09/2022"
"christian",,"Christian",,"1",,"11:48 05/09/2022"
"pietro",,"Pietro",,"1",,"11:48 05/09/2022"
"simone",,"Simone",,"1",,"11:48 05/09/2022"
"nicolo'",,"Nicolo'",,"1",,"11:48 05/09/2022"
"filippo",,"Filippo",,"1",,"11:48 05/09/2022"
"alessio",,"Alessio",,"1",,"11:48 05/09/2022"
"michele",,"Michele",,"1",,"11:48 05/09/2022"
"emanuele",,"Emanuele",,"1",,"11:48 05/09/2022"
"jacopo",,"Jacopo",,"1",,"11:48 05/09/2022"
"daniele",,"Daniele",,"1",,"11:48 05/09/2022"
"giacomo",,"Giacomo",,"1",,"11:48 05/09/2022"
"vincenzo",,"Vincenzo",,"1",,"11:48 05/09/2022"
"salvatore",,"Salvatore",,"1",,"11:48 05/09/2022"
"gioele",,"Gioele",,"1",,"11:48 05/09/2022"
"thomas",,"Thomas",,"1",,"11:48 05/09/2022"
"stefano",,"Stefano",,"1",,"11:48 05/09/2022"
"giulio",,"Giulio",,"1",,"11:48 05/09/2022"
"nicola",,"Nicola",,"1",,"11:48 05/09/2022"
"giorgio",,"Giorgio",,"1",,"11:48 05/09/2022"
"luigi",,"Luigi",,"1",,"11:48 05/09/2022"
"elia",,"Elia",,"1",,"11:48 05/09/2022"
"angelo",,"Angelo",,"1",,"11:48 05/09/2022"
"domenico",,"Domenico",,"1",,"11:48 05/09/2022"
"paolo",,"Paolo",,"1",,"11:48 05/09/2022"
"raffaele",,"Raffaele",,"1",,"11:48 05/09/2022"
"adrià",,"Adria",,"1",,"11:48 05/09/2022"
"abacus",,"Abacus",,"1",,"11:48 05/09/2022"
"acacius",,"Acacius",,"1",,"11:48 05/09/2022"
"achilios",,"Achilios",,"1",,"11:48 05/09/2022"
"achilles",,"Achilles",,"1",,"11:48 05/09/2022"
"achilleus",,"Achilleus",,"1",,"11:48 05/09/2022"
"adonis",,"Adonis",,"1",,"11:48 05/09/2022"
"aegis",,"Aegis",,"1",,"11:48 05/09/2022"
"aeneas",,"Aeneas",,"1",,"11:48 05/09/2022"
"aesop",,"Aesop",,"1",,"11:48 05/09/2022"
"aimilios",,"Aimilios",,"1",,"11:48 05/09/2022"
"ajax",,"Ajax",,"1",,"11:48 05/09/2022"
"alec",,"Alec",,"1",,"11:48 05/09/2022"
"alexander",,"Alexander",,"1",,"11:48 05/09/2022"
"alexandre",,"Alexandre",,"1",,"11:48 05/09/2022"
"alexandros",,"Alexandros",,"1",,"11:48 05/09/2022"
"alexei",,"Alexei",,"1",,"11:48 05/09/2022"
"alexios",,"Alexios",,"1",,"11:48 05/09/2022"
"alexis",,"Alexis",,"1",,"11:48 05/09/2022"
"alipio",,"Alipio",,"1",,"11:48 05/09/2022"
"alpheus",,"Alpheus",,"1",,"11:48 05/09/2022"
"alvertos",,"Alvertos",,"1",,"11:48 05/09/2022"
"amphion",,"Amphion",,"1",,"11:48 05/09/2022"
"anastasios",,"Anastasios",,"1",,"11:48 05/09/2022"
"anatole",,"Anatole",,"1",,"11:48 05/09/2022"
"anatolios",,"Anatolios",,"1",,"11:48 05/09/2022"
"andonios",,"Andonios",,"1",,"11:48 05/09/2022"
"andreas",,"Andreas",,"1",,"11:48 05/09/2022"
"andrew",,"Andrew",,"1",,"11:48 05/09/2022"
"androcles",,"Androcles",,"1",,"11:48 05/09/2022"
"anthanasios",,"Anthanasios",,"1",,"11:48 05/09/2022"
"antonios",,"Antonios",,"1",,"11:48 05/09/2022"
"apollo",,"Apollo",,"1",,"11:48 05/09/2022"
"archimedes",,"Archimedes",,"1",,"11:48 05/09/2022"
"ares",,"Ares",,"1",,"11:48 05/09/2022"
"argo",,"Argo",,"1",,"11:48 05/09/2022"
"argus",,"Argus",,"1",,"11:48 05/09/2022"
"aristedes",,"Aristedes",,"1",,"11:48 05/09/2022"
"aristotle",,"Aristotle",,"1",,"11:48 05/09/2022"
"artemas",,"Artemas",,"1",,"11:48 05/09/2022"
"atlas",,"Atlas",,"1",,"11:48 05/09/2022"
"atticus",,"Atticus",,"1",,"11:48 05/09/2022"
"augustin",,"Augustin",,"1",,"11:48 05/09/2022"
"augustinos",,"Augustinos",,"1",,"11:48 05/09/2022"
"avram",,"Avram",,"1",,"11:48 05/09/2022"
"azarius",,"Azarius",,"1",,"11:48 05/09/2022"
"bacchus",,"Bacchus",,"1",,"11:48 05/09/2022"
"balthasar",,"Balthasar",,"1",,"11:48 05/09/2022"
"balthazar",,"Balthazar",,"1",,"11:48 05/09/2022"
"basil",,"Basil",,"1",,"11:48 05/09/2022"
"bastian",,"Bastian",,"1",,"11:48 05/09/2022"
"cadmus",,"Cadmus",,"1",,"11:48 05/09/2022"
"calix",,"Calix",,"1",,"11:48 05/09/2022"
"calixto",,"Calixto",,"1",,"11:48 05/09/2022"
"calypso",,"Calypso",,"1",,"11:48 05/09/2022"
"carolos",,"Carolos",,"1",,"11:48 05/09/2022"
"castor",,"Castor",,"1",,"11:48 05/09/2022"
"christiano",,"Christiano",,"1",,"11:48 05/09/2022"
"christion",,"Christion",,"1",,"11:48 05/09/2022"
"christopher",,"Christopher",,"1",,"11:48 05/09/2022"
"christos",,"Christos",,"1",,"11:48 05/09/2022"
"christy",,"Christy",,"1",,"11:48 05/09/2022"
"claudios",,"Claudios",,"1",,"11:48 05/09/2022"
"cleanth",,"Cleanth",,"1",,"11:48 05/09/2022"
"cleon",,"Cleon",,"1",,"11:48 05/09/2022"
"clete",,"Clete",,"1",,"11:48 05/09/2022"
"cletus",,"Cletus",,"1",,"11:48 05/09/2022"
"colin",,"Colin",,"1",,"11:48 05/09/2022"
"collins",,"Collins",,"1",,"11:48 05/09/2022"
"constantinos",,"Constantinos",,"1",,"11:48 05/09/2022"
"cosmo",,"Cosmo",,"1",,"11:48 05/09/2022"
"costa",,"Costa",,"1",,"11:48 05/09/2022"
"cronus",,"Cronus",,"1",,"11:48 05/09/2022"
"cymbeline",,"Cymbeline",,"1",,"11:48 05/09/2022"
"cyprian",,"Cyprian",,"1",,"11:48 05/09/2022"
"cyrano",,"Cyrano",,"1",,"11:48 05/09/2022"
"cyril",,"Cyril",,"1",,"11:48 05/09/2022"
"daedalus",,"Daedalus",,"1",,"11:48 05/09/2022"
"daimon",,"Daimon",,"1",,"11:48 05/09/2022"
"damian",,"Damian",,"1",,"11:48 05/09/2022"
