"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"tamar",,"Tamar",,"1",,"11:48 05/09/2022"
"adele",,"Adele",,"1",,"11:48 05/09/2022"
"miriam",,"Miriam",,"1",,"11:48 05/09/2022"
"sarah",,"Sarah",,"1",,"11:48 05/09/2022"
"avigail",,"Avigail",,"1",,"11:48 05/09/2022"
"noa",,"Noa",,"1",,"11:48 05/09/2022"
"shira",,"Shira",,"1",,"11:48 05/09/2022"
"talia",,"Talia",,"1",,"11:48 05/09/2022"
"yael",,"Yael",,"1",,"11:48 05/09/2022"
"leah",,"Leah",,"1",,"11:48 05/09/2022"
"elif",,"Elif",,"1",,"11:48 05/09/2022"
"zeynep",,"Zeynep",,"1",,"11:48 05/09/2022"
"hiranur",,"Hiranur",,"1",,"11:48 05/09/2022"
"miray",,"Miray",,"1",,"11:48 05/09/2022"
"zehra",,"Zehra",,"1",,"11:48 05/09/2022"
"ecrin",,"Ecrin",,"1",,"11:48 05/09/2022"
"azra",,"Azra",,"1",,"11:48 05/09/2022"
"eylül",,"Eylul",,"1",,"11:48 05/09/2022"
"defne",,"Defne",,"1",,"11:48 05/09/2022"
"nehir",,"Nehir",,"1",,"11:48 05/09/2022"
"yagmur",,"Yagmur",,"1",,"11:48 05/09/2022"
"meryem",,"Meryem",,"1",,"11:48 05/09/2022"
"nisanur",,"Nisanur",,"1",,"11:48 05/09/2022"
"hira nur",,"Hira Nur",,"1",,"11:48 05/09/2022"
"belinay",,"Belinay",,"1",,"11:48 05/09/2022"
"asya",,"Asya",,"1",,"11:48 05/09/2022"
"hira",,"Hira",,"1",,"11:48 05/09/2022"
"rabia",,"Rabia",,"1",,"11:48 05/09/2022"
"eslem",,"Eslem",,"1",,"11:48 05/09/2022"
"beren",,"Beren",,"1",,"11:48 05/09/2022"
"esma",,"Esma",,"1",,"11:48 05/09/2022"
"ela",,"Ela",,"1",,"11:48 05/09/2022"
"ayşe",,"Ayse",,"1",,"11:48 05/09/2022"
"buglem",,"Buglem",,"1",,"11:48 05/09/2022"
"melek",,"Melek",,"1",,"11:48 05/09/2022"
"sümeyye",,"Sumeyye",,"1",,"11:48 05/09/2022"
"öykü",,"Oyku",,"1",,"11:48 05/09/2022"
"merve",,"Merve",,"1",,"11:48 05/09/2022"
"fatma",,"Fatma",,"1",,"11:48 05/09/2022"
"hatice",,"Hatice",,"1",,"11:48 05/09/2022"
"betül",,"Betul",,"1",,"11:48 05/09/2022"
"zümra",,"Zumra",,"1",,"11:48 05/09/2022"
"esmanur",,"Esmanur",,"1",,"11:48 05/09/2022"
"elanur",,"Elanur",,"1",,"11:48 05/09/2022"
"esila",,"Esila",,"1",,"11:48 05/09/2022"
"ada",,"Ada",,"1",,"11:48 05/09/2022"
"nisa",,"Nisa",,"1",,"11:48 05/09/2022"
"erva",,"Erva",,"1",,"11:48 05/09/2022"
"büsra",,"Busra",,"1",,"11:48 05/09/2022"
"emine",,"Emine",,"1",,"11:48 05/09/2022"
"duru",,"Duru",,"1",,"11:48 05/09/2022"
"kübra",,"Kubra",,"1",,"11:48 05/09/2022"
"derin",,"Derin",,"1",,"11:48 05/09/2022"
"yaren",,"Yaren",,"1",,"11:48 05/09/2022"
"melisa",,"Melisa",,"1",,"11:48 05/09/2022"
"irem",,"Irem",,"1",,"11:48 05/09/2022"
"cemre",,"Cemre",,"1",,"11:48 05/09/2022"
"elif nur",,"Elif Nur",,"1",,"11:48 05/09/2022"
"jana",,"Jana",,"1",,"11:48 05/09/2022"
"remas",,"Remas",,"1",,"11:48 05/09/2022"
"leen",,"Leen",,"1",,"11:48 05/09/2022"
"lian",,"Lian",,"1",,"11:48 05/09/2022"
"hala",,"Hala",,"1",,"11:48 05/09/2022"
"joud",,"Joud",,"1",,"11:48 05/09/2022"
"noor",,"Noor",,"1",,"11:48 05/09/2022"
"besan",,"Besan",,"1",,"11:48 05/09/2022"
"ghazal",,"Ghazal",,"1",,"11:48 05/09/2022"
"ayah",,"Ayah",,"1",,"11:48 05/09/2022"
"farah",,"Farah",,"1",,"11:48 05/09/2022"
"salma",,"Salma",,"1",,"11:48 05/09/2022"
"mayar",,"Mayar",,"1",,"11:48 05/09/2022"
"lojain",,"Lojain",,"1",,"11:48 05/09/2022"
"ghena",,"Ghena",,"1",,"11:48 05/09/2022"
"sadeen",,"Sadeen",,"1",,"11:48 05/09/2022"
"shahed",,"Shahed",,"1",,"11:48 05/09/2022"
"tala",,"Tala",,"1",,"11:48 05/09/2022"
"raghed",,"Raghed",,"1",,"11:48 05/09/2022"
