"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"peyak",,"Peyak",,"1",,"11:48 05/09/2022"
"tapu",,"Tapu",,"1",,"11:48 05/09/2022"
"nas",,"Nas",,"1",,"11:48 05/09/2022"
"niewi",,"Niewi",,"1",,"11:48 05/09/2022"
"alenia",,"Alenia",,"1",,"11:48 05/09/2022"
"alemwa",,"Alemwa",,"1",,"11:48 05/09/2022"
"kisomma",,"Ki'somma",,"1",,"11:48 05/09/2022"
"nipahem",,"Nipahem",,"1",,"11:48 05/09/2022"
"nebi",,"Nebi",,"1",,"11:48 05/09/2022"
"wapi",,"Wapi",,"1",,"11:48 05/09/2022"
"wisaw",,"Wisaw",,"1",,"11:48 05/09/2022"
"mekwi",,"Mekwi",,"1",,"11:48 05/09/2022"
"seke",,"Seke",,"1",,"11:48 05/09/2022"
"mitsu",,"Mitsu",,"1",,"11:48 05/09/2022"
"namito",,"Namito",,"1",,"11:48 05/09/2022"
"nutomon",,"Nutomon",,"1",,"11:48 05/09/2022"
"nakamo",,"Nakamo",,"1",,"11:48 05/09/2022"
"matcaw",,"Matcaw",,"1",,"11:48 05/09/2022"
"chaske",,"Chaske",,"1",,"11:48 05/09/2022"
"chetan",,"Chetan",,"1",,"11:48 05/09/2022"
"magi",,"Magi",,"1",,"11:48 05/09/2022"
"ataian",,"Ataian",,"1",,"11:48 05/09/2022"
"biyen",,"Biyen",,"1",,"11:48 05/09/2022"
"achak",,"Achak",,"1",,"11:48 05/09/2022"
"adahy",,"Adahy",,"1",,"11:48 05/09/2022"
"ahanu",,"Ahanu",,"1",,"11:48 05/09/2022"
"ahusaka",,"Ahusaka",,"1",,"11:48 05/09/2022"
"ashkii",,"Ashkii",,"1",,"11:48 05/09/2022"
"bidziil",,"Bidziil",,"1",,"11:48 05/09/2022"
"bodaway",,"Bodaway",,"1",,"11:48 05/09/2022"
"chaska",,"Chaska",,"1",,"11:48 05/09/2022"
"chayton",,"Chayton",,"1",,"11:48 05/09/2022"
"cheveyo",,"Cheveyo",,"1",,"11:48 05/09/2022"
"dasan",,"Dasan",,"1",,"11:48 05/09/2022"
"demothi",,"Demothi",,"1",,"11:48 05/09/2022"
"dohasan",,"Dohasan",,"1",,"11:48 05/09/2022"
"elan",,"Elan",,"1",,"11:48 05/09/2022"
"etu",,"Etu",,"1",,"11:48 05/09/2022"
"hakan",,"Hakan",,"1",,"11:48 05/09/2022"
"ki'somma",,"Ki'somma",,,,"11:48 05/09/2022"
