"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"begay",,"Begay",,"1",,"11:48 05/09/2022"
"cardinal",,"Cardinal",,"1",,"11:48 05/09/2022"
"deloria",,"Deloria",,"1",,"11:48 05/09/2022"
"echohawk",,"Echohawk",,"1",,"11:48 05/09/2022"
"harjo",,"Harjo",,"1",,"11:48 05/09/2022"
"mankiller",,"Mankiller",,"1",,"11:48 05/09/2022"
"nakos",,"Nakos",,"1",,"11:48 05/09/2022"
"tiger",,"Tiger",,"1",,"11:48 05/09/2022"
"yazzie",,"Yazzie",,"1",,"11:48 05/09/2022"
"yellow robe",,"Yellow Robe",,"1",,"11:48 05/09/2022"
"buffalo",,"Buvol",,"1",,"11:48 05/09/2022"
"springs",,"Springs",,"1",,"11:48 05/09/2022"
