"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"emma",,"Emma",,"7",,"11:48 05/09/2022"
"olivia",,"Olivia",,"1",,"11:48 05/09/2022"
"sophia",,"Sophia",,"8",,"11:48 05/09/2022"
"ava",,"Ava",,"3",,"11:48 05/09/2022"
"isabella",,"Isabella","Isy","5",,"11:48 05/09/2022"
"mia",,"Mia",,"2",,"11:48 05/09/2022"
"abigail",,"Abigail","Abby","7",,"11:48 05/09/2022"
"emily",,"Emily",,"7",,"11:48 05/09/2022"
"charlotte",,"Charlotte","Lottie","10",,"11:48 05/09/2022"
"harper",,"Harper",,"1",,"11:48 05/09/2022"
"madison",,"Madison","Maddy","10",,"11:48 05/09/2022"
"amelia",,"Amelia",,"6",,"11:48 05/09/2022"
"elizabeth",,"Elizabeth","Lizz","9",,"11:48 05/09/2022"
"sofia",,"Sofia",,"6",,"11:48 05/09/2022"
"evelyn",,"Evelyn","Eve","1",,"11:48 05/09/2022"
"chloe",,"Chloe",,"2",,"11:48 05/09/2022"
"ella",,"Ella",,"3",,"11:48 05/09/2022"
"grace",,"Grace",,"2",,"11:48 05/09/2022"
"victoria",,"Victoria","Vicky","6",,"11:48 05/09/2022"
"aubrey",,"Aubrey",,"1",,"11:48 05/09/2022"
"scarlett",,"Scarlett",,"10",,"11:48 05/09/2022"
"zoey",,"Zoey",,"3",,"11:48 05/09/2022"
"addison",,"Addison",,"1",,"11:48 05/09/2022"
"lily",,"Lilie",,"1",,"11:48 05/09/2022"
"lillian",,"Lillian",,"1",,"11:48 05/09/2022"
"natalie",,"Natalie","Nat","10",,"11:48 05/09/2022"
"hannah",,"Hannah",,"9",,"11:48 05/09/2022"
"aria",,"Aria",,"6",,"11:48 05/09/2022"
"layla",,"Layla",,"1",,"11:48 05/09/2022"
"brooklyn",,"Brooklyn","Brook","10",,"11:48 05/09/2022"
"alexa",,"Alexa",,"1",,"11:48 05/09/2022"
"zoe",,"Zoe",,"1",,"11:48 05/09/2022"
"penelope",,"Penelope","Penny","9",,"11:48 05/09/2022"
"riley",,"Riley",,"1",,"11:48 05/09/2022"
"leah",,"Leah",,"1",,"11:48 05/09/2022"
"audrey",,"Audrey",,"1",,"11:48 05/09/2022"
"savannah",,"Savannah",,"1",,"11:48 05/09/2022"
"allison",,"Allison","Alli","1",,"11:48 05/09/2022"
"samantha",,"Samantha","Sam","9",,"11:48 05/09/2022"
"nora",,"Nora",,"10",,"11:48 05/09/2022"
"skylar",,"Skylar",,"8",,"11:48 05/09/2022"
"camila",,"Camila",,"1",,"11:48 05/09/2022"
"anna",,"Anna",,"2",,"11:48 05/09/2022"
"paisley",,"Paisley",,"1",,"11:48 05/09/2022"
"ariana",,"Ariana",,"1",,"11:48 05/09/2022"
"ellie",,"Ellie",,"4",,"11:48 05/09/2022"
"claire",,"Claire",,"7",,"11:48 05/09/2022"
"violet",,"Violet",,"9",,"11:48 05/09/2022"
"stella",,"Stella",,"1",,"11:48 05/09/2022"
"sadie",,"Sadie",,"1",,"11:48 05/09/2022"
"mila",,"Mila",,"1",,"11:48 05/09/2022"
"lucy",,"Lucy",,"7",,"11:48 05/09/2022"
"sarah",,"Sarah",,"8",,"11:48 05/09/2022"
"madelyn",,"Madelyn","Maddy","3",,"11:48 05/09/2022"
"eleanor",,"Eleanor","Ellie","8",,"11:48 05/09/2022"
"kaylee",,"Kaylee",,"4",,"11:48 05/09/2022"
"caroline",,"Caroline","Carry","8",,"11:48 05/09/2022"
"hazel",,"Hazel",,"10",,"11:48 05/09/2022"
"hailey",,"Hailey",,"1",,"11:48 05/09/2022"
"kylie",,"Kylie",,"1",,"11:48 05/09/2022"
"autumn",,"Autumn",,"7",,"11:48 05/09/2022"
"piper",,"Piper",,"10",,"11:48 05/09/2022"
"maya",,"Maya",,"4",,"11:48 05/09/2022"
"serenity",,"Serenity",,"1",,"11:48 05/09/2022"
"mackenzie",,"MacKenzie","Mac","1",,"11:48 05/09/2022"
"bella",,"Bella",,"3",,"11:48 05/09/2022"
"taylor",,"Taylor",,"1",,"11:48 05/09/2022"
"naomi",,"Naomi",,"7",,"11:48 05/09/2022"
"aubree",,"Aubree",,"7",,"11:48 05/09/2022"
"aurora",,"Aurora",,"2",,"11:48 05/09/2022"
"melanie",,"Melanie",,"1",,"11:48 05/09/2022"
"lydia",,"Lydia",,"1",,"11:48 05/09/2022"
"brianna",,"Brianna",,"4",,"11:48 05/09/2022"
"ruby",,"Ruby",,"5",,"11:48 05/09/2022"
"katherine",,"Katherine","Kathy","6",,"11:48 05/09/2022"
"ashley",,"Ashley","Ash","10",,"11:48 05/09/2022"
"alice",,"Alice",,"5",,"11:48 05/09/2022"
"cora",,"Cora",,"1",,"11:48 05/09/2022"
"julia",,"Julia",,"1",,"11:48 05/09/2022"
"madeline",,"Madeline","Maddy","5",,"11:48 05/09/2022"
"faith",,"Faith",,"7",,"11:48 05/09/2022"
"annabelle",,"Annabelle","Anna","10",,"11:48 05/09/2022"
"alyssa",,"Alyssa",,"1",,"11:48 05/09/2022"
"isabelle",,"Isabelle","Isy","7",,"11:48 05/09/2022"
"vivian",,"Vivian",,"1",,"11:48 05/09/2022"
"gianna",,"Gianna",,"1",,"11:48 05/09/2022"
"clara",,"Clara",,"6",,"11:48 05/09/2022"
"alexandra",,"Alexandra","Alex","3",,"11:48 05/09/2022"
"eliana",,"Eliana",,"1",,"11:48 05/09/2022"
"sophie",,"Sophie",,"10",,"11:48 05/09/2022"
"london",,"London",,"3",,"11:48 05/09/2022"
"elena",,"Elena",,"1",,"11:48 05/09/2022"
"kimberly",,"Kimberly","Kim","9",,"11:48 05/09/2022"
"bailey",,"Bailey",,"1",,"11:48 05/09/2022"
"maria",,"Maria",,"1",,"11:48 05/09/2022"
"luna",,"Luna",,"1",,"11:48 05/09/2022"
"willow",,"Willow",,"1",,"11:48 05/09/2022"
"jasmine",,"Jasmine",,"1",,"11:48 05/09/2022"
"kinsley",,"Kinsley",,"1",,"11:48 05/09/2022"
"kayla",,"Kayla",,"1",,"11:48 05/09/2022"
"delilah",,"Delilah",,"1",,"11:48 05/09/2022"
"andrea",,"Andrea",,"1",,"11:48 05/09/2022"
"natalia",,"Natalia","Nat","8",,"11:48 05/09/2022"
"lauren",,"Lauren",,"10",,"11:48 05/09/2022"
"rylee",,"Rylee",,"1",,"11:48 05/09/2022"
"sydney",,"Sydney",,"1",,"11:48 05/09/2022"
"mary",,"Mary",,"6",,"11:48 05/09/2022"
"jade",,"Jade",,"9",,"11:48 05/09/2022"
"liliana",,"Liliana",,"1",,"11:48 05/09/2022"
"brielle",,"Brielle",,"1",,"11:48 05/09/2022"
"ivy",,"Ivy",,"4",,"11:48 05/09/2022"
"trinity",,"Trinity",,"4",,"11:48 05/09/2022"
"ariel",,"Ariel",,"4",,"11:48 05/09/2022"
"lilly",,"Lilly",,"1",,"11:48 05/09/2022"
"paige",,"Paige",,"7",,"11:48 05/09/2022"
"molly",,"Molly",,"10",,"11:48 05/09/2022"
"emilia",,"Emilia",,"1",,"11:48 05/09/2022"
"kendall",,"Kendall",,"6",,"11:48 05/09/2022"
"melody",,"Melody",,"1",,"11:48 05/09/2022"
"isabel",,"Isabel","Isy","3",,"11:48 05/09/2022"
"brooke",,"Brooke",,"8",,"11:48 05/09/2022"
"nicole",,"Nicole",,"5",,"11:48 05/09/2022"
"margaret",,"Margaret","Marge","2",,"11:48 05/09/2022"
"mariah",,"Mariah",,"1",,"11:48 05/09/2022"
"eden",,"Eden",,"1",,"11:48 05/09/2022"
"athena",,"Athena",,"5",,"11:48 05/09/2022"
"amy",,"Amy",,"8",,"11:48 05/09/2022"
"norah",,"Norah",,"4",,"11:48 05/09/2022"
"sara",,"Sara",,"9",,"11:48 05/09/2022"
"angelina",,"Angelina","Angie","4",,"11:48 05/09/2022"
"gracie",,"Gracie",,"1",,"11:48 05/09/2022"
"rose",,"Ruze",,"7",,"11:48 05/09/2022"
"rachel",,"Rachel",,"7",,"11:48 05/09/2022"
"juliana",,"Juliana","Julie","6",,"11:48 05/09/2022"
"laila",,"Laila",,"1",,"11:48 05/09/2022"
"valerie",,"Valerie","Val","5",,"11:48 05/09/2022"
"reese",,"Reese",,"1",,"11:48 05/09/2022"
"elise",,"Elise",,"1",,"11:48 05/09/2022"
"eliza",,"Eliza",,"1",,"11:48 05/09/2022"
"alaina",,"Alaina",,"1",,"11:48 05/09/2022"
"catherine",,"Catherine","Cathy","5",,"11:48 05/09/2022"
"emerson",,"Emerson",,"1",,"11:48 05/09/2022"
"cecilia",,"Cecilia",,"1",,"11:48 05/09/2022"
"genevieve",,"Genevieve","Ginny","6",,"11:48 05/09/2022"
"daisy",,"Daisy",,"4",,"11:48 05/09/2022"
"harmony",,"Harmony",,"1",,"11:48 05/09/2022"
"vanessa",,"Vanessa",,"1",,"11:48 05/09/2022"
"adriana",,"Adriana",,"1",,"11:48 05/09/2022"
"presley",,"Presley",,"1",,"11:48 05/09/2022"
"rebecca",,"Rebecca","Becky","9",,"11:48 05/09/2022"
"destiny",,"Destiny",,"1",,"11:48 05/09/2022"
"hayden",,"Hayden",,"1",,"11:48 05/09/2022"
"julianna",,"Julianna",,"1",,"11:48 05/09/2022"
"michelle",,"Michelle",,"8",,"11:48 05/09/2022"
"adelyn",,"Adelyn",,"1",,"11:48 05/09/2022"
"arabella",,"Arabella",,"1",,"11:48 05/09/2022"
"summer",,"Summer",,"7",,"11:48 05/09/2022"
"callie",,"Callie",,"10",,"11:48 05/09/2022"
"kaitlyn",,"Kaitlyn",,"2",,"11:48 05/09/2022"
"ryleigh",,"Ryleigh",,"1",,"11:48 05/09/2022"
"lila",,"Lila",,"1",,"11:48 05/09/2022"
"daniela",,"Daniela",,"1",,"11:48 05/09/2022"
"arya",,"Arya",,"1",,"11:48 05/09/2022"
"alana",,"Alana",,"1",,"11:48 05/09/2022"
"esther",,"Esther",,"4",,"11:48 05/09/2022"
"gabrielle",,"Gabrielle","Gabby","4",,"11:48 05/09/2022"
"jessica",,"Jessica","Jess","10",,"11:48 05/09/2022"
"charlie",,"Charlie",,"1",,"11:48 05/09/2022"
"stephanie",,"Stephanie","Stef","10",,"11:48 05/09/2022"
"tessa",,"Tessa",,"6",,"11:48 05/09/2022"
"ana",,"Ana",,"1",,"11:48 05/09/2022"
"amaya",,"Amaya",,"1",,"11:48 05/09/2022"
"alexandria",,"Alexandria",,"1",,"11:48 05/09/2022"
"alivia",,"Alivia",,"1",,"11:48 05/09/2022"
"nova",,"Nova",,"1",,"11:48 05/09/2022"
"anastasia",,"Anastasia","Anna","5",,"11:48 05/09/2022"
"iris",,"Iris",,"1",,"11:48 05/09/2022"
"fiona",,"Fiona",,"1",,"11:48 05/09/2022"
"angela",,"Angela",,"1",,"11:48 05/09/2022"
"giselle",,"Giselle",,"1",,"11:48 05/09/2022"
"kate",,"Kate",,"1",,"11:48 05/09/2022"
"lola",,"Lola",,"1",,"11:48 05/09/2022"
"lucia",,"Lucia",,"1",,"11:48 05/09/2022"
"juliette",,"Juliette","Julie","4",,"11:48 05/09/2022"
"teagan",,"Teagan",,"1",,"11:48 05/09/2022"
"sienna",,"Sienna",,"1",,"11:48 05/09/2022"
"georgia",,"Georgia",,"1",,"11:48 05/09/2022"
"hope",,"Hope",,"1",,"11:48 05/09/2022"
"cali",,"Cali",,"4",,"11:48 05/09/2022"
"izabella",,"Izabella","Izy","7",,"11:48 05/09/2022"
"katelyn",,"Katelyn",,"1",,"11:48 05/09/2022"
"juliet",,"Juliet","Julie","4",,"11:48 05/09/2022"
"maggie",,"Maggie",,"1",,"11:48 05/09/2022"
"dakota",,"Dakota",,"3",,"11:48 05/09/2022"
"delaney",,"Delaney",,"3",,"11:48 05/09/2022"
"brynlee",,"Brynlee",,"1",,"11:48 05/09/2022"
"keira",,"Keira",,"1",,"11:48 05/09/2022"
"camille",,"Camille",,"1",,"11:48 05/09/2022"
"leila",,"Leila",,"1",,"11:48 05/09/2022"
"josie",,"Josie",,"1",,"11:48 05/09/2022"
"jennifer",,"Jennifer","Jen","9",,"11:48 05/09/2022"
"melissa",,"Melissa",,"1",,"11:48 05/09/2022"
"gabriela",,"Gabriela",,"1",,"11:48 05/09/2022"
"allie",,"Allie",,"1",,"11:48 05/09/2022"
"eloise",,"Eloise",,"1",,"11:48 05/09/2022"
"cassidy",,"Cassidy","Cas","6",,"11:48 05/09/2022"
"jacqueline",,"Jacqueline","Jacky","8",,"11:48 05/09/2022"
"evangeline",,"Evangeline","Eva","8",,"11:48 05/09/2022"
"jordan",,"Jordan",,"1",,"11:48 05/09/2022"
"paris",,"Paris",,"5",,"11:48 05/09/2022"
"olive",,"Olive",,"6",,"11:48 05/09/2022"
"rosalie",,"Rosalie",,"1",,"11:48 05/09/2022"
"kali",,"Kali",,"1",,"11:48 05/09/2022"
"gemma",,"Gemma",,"1",,"11:48 05/09/2022"
"lilliana",,"Lilliana","Lilie","4",,"11:48 05/09/2022"
"lena",,"Lena",,"1",,"11:48 05/09/2022"
