"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"noah",,"Noah",,"3",,"11:48 05/09/2022"
"liam",,"Liam",,"3",,"11:48 05/09/2022"
"mason",,"Mason",,"4",,"11:48 05/09/2022"
"jacob",,"Jacob",,"8",,"11:48 05/09/2022"
"william",,"William","Will","10",,"11:48 05/09/2022"
"ethan",,"Ethan",,"5",,"11:48 05/09/2022"
"james",,"James",,"7",,"11:48 05/09/2022"
"alexander",,"Alexander","Alex","10",,"11:48 05/09/2022"
"michael",,"Michael","Mike","10",,"11:48 05/09/2022"
"benjamin",,"Benjamin","Ben","10",,"11:48 05/09/2022"
"elijah",,"Elijah","Eli","9",,"11:48 05/09/2022"
"daniel",,"Daniel","Dan","10",,"11:48 05/09/2022"
"aiden",,"Aiden",,"5",,"11:48 05/09/2022"
"logan",,"Logan",,"7",,"11:48 05/09/2022"
"matthew",,"Matthew","Mat","10",,"11:48 05/09/2022"
"lucas",,"Lucas",,"6",,"11:48 05/09/2022"
"jackson",,"Jackson","Jack","9",,"11:48 05/09/2022"
"david",,"David","Dave","9",,"11:48 05/09/2022"
"oliver",,"Oliver","Oli","8",,"11:48 05/09/2022"
"jayden",,"Jayden",,"7",,"11:48 05/09/2022"
"joseph",,"Joseph","Joe","8",,"11:48 05/09/2022"
"gabriel",,"Gabriel","Gabe","8",,"11:48 05/09/2022"
"samuel",,"Samuel","Sam","9",,"11:48 05/09/2022"
"carter",,"Carter",,"8",,"11:48 05/09/2022"
"anthony",,"Anthony","Tony","10",,"11:48 05/09/2022"
"john",,"John",,"8",,"11:48 05/09/2022"
"dylan",,"Dylan",,"5",,"11:48 05/09/2022"
"luke",,"Luke",,"4",,"11:48 05/09/2022"
"henry",,"Henry",,"4",,"11:48 05/09/2022"
"andrew",,"Andrew","Andy","9",,"11:48 05/09/2022"
"isaac",,"Isaac",,"7",,"11:48 05/09/2022"
"christopher",,"Christopher","Chris","9",,"11:48 05/09/2022"
"joshua",,"Joshua","Josh","7",,"11:48 05/09/2022"
"wyatt",,"Wyatt",,"3",,"11:48 05/09/2022"
"sebastian",,"Sebastian","Seb","8",,"11:48 05/09/2022"
"owen",,"Owen",,"6",,"11:48 05/09/2022"
"caleb",,"Caleb",,"5",,"11:48 05/09/2022"
"nathan",,"Nathan",,"6",,"11:48 05/09/2022"
"ryan",,"Ryan",,"7",,"11:48 05/09/2022"
"jack",,"Jack",,"8",,"11:48 05/09/2022"
"hunter",,"Hunter",,"5",,"11:48 05/09/2022"
"levi",,"Levi",,"7",,"11:48 05/09/2022"
"christian",,"Christian",,"3",,"11:48 05/09/2022"
"jaxon",,"Jaxon",,"1",,"11:48 05/09/2022"
"julian",,"Julian",,"7",,"11:48 05/09/2022"
"landon",,"Landon",,"1",,"11:48 05/09/2022"
"grayson",,"Grayson",,"1",,"11:48 05/09/2022"
"jonathan",,"Jonathan","Jon","7",,"11:48 05/09/2022"
"isaiah",,"Isaiah",,"1",,"11:48 05/09/2022"
"charles",,"Charles",,"1",,"11:48 05/09/2022"
"thomas",,"Thomas","Tom","10",,"11:48 05/09/2022"
"aaron",,"Aaron",,"4",,"11:48 05/09/2022"
"eli",,"Eli",,"5",,"11:48 05/09/2022"
"connor",,"Connor",,"1",,"11:48 05/09/2022"
"jeremiah",,"Jeremiah",,"1",,"11:48 05/09/2022"
"cameron",,"Cameron","Cam","6",,"11:48 05/09/2022"
"josiah",,"Josiah",,"1",,"11:48 05/09/2022"
"adrian",,"Adrian",,"3",,"11:48 05/09/2022"
"colton",,"Colton",,"1",,"11:48 05/09/2022"
"jordan",,"Jordan",,"1",,"11:48 05/09/2022"
"brayden",,"Brayden",,"1",,"11:48 05/09/2022"
"nicholas",,"Nicholas","Nick","9",,"11:48 05/09/2022"
"robert",,"Robert","Rob","9",,"11:48 05/09/2022"
"angel",,"Angel",,"1",,"11:48 05/09/2022"
"hudson",,"Hudson",,"4",,"11:48 05/09/2022"
"lincoln",,"Lincoln",,"7",,"11:48 05/09/2022"
"evan",,"Evan",,"1",,"11:48 05/09/2022"
"dominic",,"Dominic","Dom","5",,"11:48 05/09/2022"
"austin",,"Austin",,"1",,"11:48 05/09/2022"
"gavin",,"Gavin",,"1",,"11:48 05/09/2022"
"nolan",,"Nolan",,"1",,"11:48 05/09/2022"
"parker",,"Parker",,"1",,"11:48 05/09/2022"
"adam",,"Adam",,"9",,"11:48 05/09/2022"
"chase",,"Chase",,"1",,"11:48 05/09/2022"
"jace",,"Jace",,"1",,"11:48 05/09/2022"
"ian",,"Ian",,"4",,"11:48 05/09/2022"
"cooper",,"Cooper",,"4",,"11:48 05/09/2022"
"easton",,"Easton",,"1",,"11:48 05/09/2022"
"kevin",,"Kevin",,"6",,"11:48 05/09/2022"
"jose",,"Jose",,"1",,"11:48 05/09/2022"
"tyler",,"Tyler",,"4",,"11:48 05/09/2022"
"brandon",,"Brandon",,"4",,"11:48 05/09/2022"
"asher",,"Asher",,"1",,"11:48 05/09/2022"
"jaxson",,"Jaxson",,"1",,"11:48 05/09/2022"
"mateo",,"Mateo",,"1",,"11:48 05/09/2022"
"jason",,"Jason",,"1",,"11:48 05/09/2022"
"ayden",,"Ayden",,"1",,"11:48 05/09/2022"
"zachary",,"Zachary","Zack","4",,"11:48 05/09/2022"
"carson",,"Carson",,"1",,"11:48 05/09/2022"
"xavier",,"Xavier",,"1",,"11:48 05/09/2022"
"leo",,"Leo",,"3",,"11:48 05/09/2022"
"ezra",,"Ezra",,"1",,"11:48 05/09/2022"
"sawyer",,"Sawyer",,"6",,"11:48 05/09/2022"
"blake",,"Blake",,"5",,"11:48 05/09/2022"
"nathaniel",,"Nathaniel",,"1",,"11:48 05/09/2022"
"ryder",,"Ryder",,"1",,"11:48 05/09/2022"
"theodore",,"Theodore","Theo","8",,"11:48 05/09/2022"
"elias",,"Elias",,"1",,"11:48 05/09/2022"
"tristan",,"Tristan",,"1",,"11:48 05/09/2022"
"roman",,"Roman",,"1",,"11:48 05/09/2022"
"leonardo",,"Leonardo","Leo","7",,"11:48 05/09/2022"
"camden",,"Camden","Cam","4",,"11:48 05/09/2022"
"brody",,"Brody",,"1",,"11:48 05/09/2022"
"luis",,"Luis",,"1",,"11:48 05/09/2022"
"miles",,"Miles",,"1",,"11:48 05/09/2022"
"micah",,"Micah",,"1",,"11:48 05/09/2022"
"vincent",,"Vincent","Vince","6",,"11:48 05/09/2022"
"justin",,"Justin",,"4",,"11:48 05/09/2022"
"declan",,"Declan",,"1",,"11:48 05/09/2022"
"maxwell",,"Maxwell","Max","9",,"11:48 05/09/2022"
"juan",,"Juan",,"1",,"11:48 05/09/2022"
"cole",,"Cole",,"4",,"11:48 05/09/2022"
"damian",,"Damian",,"3",,"11:48 05/09/2022"
"carlos",,"Carlos",,"3",,"11:48 05/09/2022"
"max",,"Max",,"5",,"11:48 05/09/2022"
"harrison",,"Harrison",,"7",,"11:48 05/09/2022"
"weston",,"Weston",,"1",,"11:48 05/09/2022"
"brantley",,"Brantley",,"1",,"11:48 05/09/2022"
"braxton",,"Braxton",,"1",,"11:48 05/09/2022"
"axel",,"Axel",,"3",,"11:48 05/09/2022"
"abel",,"Abel",,"1",,"11:48 05/09/2022"
"wesley",,"Wesley","Wes","4",,"11:48 05/09/2022"
"bryce",,"Bryce",,"1",,"11:48 05/09/2022"
"jayce",,"Jayce",,"1",,"11:48 05/09/2022"
"alex",,"Alex",,"1",,"11:48 05/09/2022"
"everett",,"Everett",,"4",,"11:48 05/09/2022"
"george",,"George",,"4",,"11:48 05/09/2022"
"eric",,"Eric",,"4",,"11:48 05/09/2022"
"ivan",,"Ivan",,"2",,"11:48 05/09/2022"
"emmett",,"Emmett",,"5",,"11:48 05/09/2022"
"kaiden",,"Kaiden",,"3",,"11:48 05/09/2022"
"ashton",,"Ashton","Ash","4",,"11:48 05/09/2022"
"kingston",,"Kingston",,"1",,"11:48 05/09/2022"
"jonah",,"Jonah",,"1",,"11:48 05/09/2022"
"jameson",,"Jameson","Jamie","4",,"11:48 05/09/2022"
"kai",,"Kai",,"1",,"11:48 05/09/2022"
"maddox",,"Maddox",,"1",,"11:48 05/09/2022"
"timothy",,"Timothy","Tim","6",,"11:48 05/09/2022"
"ezekiel",,"Ezekiel","Zeke","3",,"11:48 05/09/2022"
"ryker",,"Ryker",,"3",,"11:48 05/09/2022"
"emmanuel",,"Emmanuel",,"1",,"11:48 05/09/2022"
"hayden",,"Hayden",,"1",,"11:48 05/09/2022"
"antonio",,"Antonio",,"5",,"11:48 05/09/2022"
"bennett",,"Bennett",,"1",,"11:48 05/09/2022"
"steven",,"Steven","Steve","7",,"11:48 05/09/2022"
"richard",,"Richard","Rich","10",,"11:48 05/09/2022"
"jude",,"Jude",,"3",,"11:48 05/09/2022"
"luca",,"Luca",,"3",,"11:48 05/09/2022"
"edward",,"Edward","Ed","9",,"11:48 05/09/2022"
"joel",,"Joel",,"3",,"11:48 05/09/2022"
"victor",,"Victor",,"3",,"11:48 05/09/2022"
"miguel",,"Miguel",,"1",,"11:48 05/09/2022"
"malachi",,"Malachi",,"1",,"11:48 05/09/2022"
"king",,"King",,"1",,"11:48 05/09/2022"
"patrick",,"Patrick","Pat","4",,"11:48 05/09/2022"
"kaleb",,"Kaleb",,"1",,"11:48 05/09/2022"
"bryan",,"Bryan",,"1",,"11:48 05/09/2022"
"alan",,"Alan",,"1",,"11:48 05/09/2022"
"marcus",,"Marcus",,"1",,"11:48 05/09/2022"
"preston",,"Preston",,"1",,"11:48 05/09/2022"
"abraham",,"Abraham","Abe","5",,"11:48 05/09/2022"
"calvin",,"Calvin",,"1",,"11:48 05/09/2022"
"colin",,"Colin",,"1",,"11:48 05/09/2022"
"bradley",,"Bradley",,"1",,"11:48 05/09/2022"
"jeremy",,"Jeremy",,"1",,"11:48 05/09/2022"
"kyle",,"Kyle",,"1",,"11:48 05/09/2022"
"graham",,"Graham",,"1",,"11:48 05/09/2022"
"grant",,"Grant",,"1",,"11:48 05/09/2022"
"jesse",,"Jesse",,"1",,"11:48 05/09/2022"
"kaden",,"Kaden",,"1",,"11:48 05/09/2022"
"oscar",,"Oscar",,"1",,"11:48 05/09/2022"
"aidan",,"Aidan",,"1",,"11:48 05/09/2022"
"tucker",,"Tucker",,"1",,"11:48 05/09/2022"
"avery",,"Avery",,"1",,"11:48 05/09/2022"
"brian",,"Brian",,"1",,"11:48 05/09/2022"
"riley",,"Riley",,"1",,"11:48 05/09/2022"
"mark",,"Mark",,"4",,"11:48 05/09/2022"
"brady",,"Brady",,"1",,"11:48 05/09/2022"
"kenneth",,"Kenneth","Ken","4",,"11:48 05/09/2022"
"paul",,"Paul",,"4",,"11:48 05/09/2022"
"nicolas",,"Nicolas","Nick","4",,"11:48 05/09/2022"
"beau",,"Beau",,"1",,"11:48 05/09/2022"
"dean",,"Dean",,"1",,"11:48 05/09/2022"
"jake",,"Jake",,"3",,"11:48 05/09/2022"
"peter",,"Peter",,"5",,"11:48 05/09/2022"
"xander",,"Xander",,"1",,"11:48 05/09/2022"
"elliot",,"Elliot",,"9",,"11:48 05/09/2022"
"finn",,"Finn",,"9",,"11:48 05/09/2022"
"derek",,"Derek",,"7",,"11:48 05/09/2022"
"sean",,"Sean",,"4",,"11:48 05/09/2022"
"jasper",,"Jasper",,"1",,"11:48 05/09/2022"
"beckett",,"Beckett",,"1",,"11:48 05/09/2022"
"rowan",,"Rowan",,"1",,"11:48 05/09/2022"
"gael",,"Gael",,"1",,"11:48 05/09/2022"
"myles",,"Myles",,"3",,"11:48 05/09/2022"
"tanner",,"Tanner",,"1",,"11:48 05/09/2022"
"waylon",,"Waylon",,"1",,"11:48 05/09/2022"
"charlie",,"Charlie",,"1",,"11:48 05/09/2022"
"paxton",,"Paxton",,"3",,"11:48 05/09/2022"
"brooks",,"Brooks",,"1",,"11:48 05/09/2022"
"zane",,"Zane",,"1",,"11:48 05/09/2022"
"simon",,"Simon",,"4",,"11:48 05/09/2022"
"griffin",,"Griffin",,"1",,"11:48 05/09/2022"
"cody",,"Cody",,"1",,"11:48 05/09/2022"
"dawson",,"Dawson",,"1",,"11:48 05/09/2022"
"river",,"River",,"1",,"11:48 05/09/2022"
"stephen",,"Stephen","Steve","4",,"11:48 05/09/2022"
"clayton",,"Clayton","Clay","6",,"11:48 05/09/2022"
"spencer",,"Spencer",,"4",,"11:48 05/09/2022"
"lukas",,"Lukas",,"1",,"11:48 05/09/2022"
"damien",,"Damien",,"1",,"11:48 05/09/2022"
"dallas",,"Dallas",,"6",,"11:48 05/09/2022"
"conner",,"Conner",,"1",,"11:48 05/09/2022"
"travis",,"Travis",,"1",,"11:48 05/09/2022"
"knox",,"Knox",,"1",,"11:48 05/09/2022"
"raymond",,"Raymond","Ray","8",,"11:48 05/09/2022"
"peyton",,"Peyton",,"4",,"11:48 05/09/2022"
"devin",,"Devin",,"1",,"11:48 05/09/2022"
"felix",,"Felix",,"1",,"11:48 05/09/2022"
"garrett",,"Garrett",,"1",,"11:48 05/09/2022"
