"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"smith",,"Smith",,"10",,"11:48 05/09/2022"
"johnson",,"Johnson",,"10",,"11:48 05/09/2022"
"williams",,"Williams",,"10",,"11:48 05/09/2022"
"jones",,"Jones",,"10",,"11:48 05/09/2022"
"brown",,"Brown",,"6",,"11:48 05/09/2022"
"davis",,"Davis",,"7",,"11:48 05/09/2022"
"miller",,"Miller",,"7",,"11:48 05/09/2022"
"wilson",,"Wilson",,"10",,"11:48 05/09/2022"
"moore",,"Moore",,"8",,"11:48 05/09/2022"
"taylor",,"Taylor",,"9",,"11:48 05/09/2022"
"anderson",,"Anderson",,"8",,"11:48 05/09/2022"
"thomas",,"Thomas",,"6",,"11:48 05/09/2022"
"jackson",,"Jackson",,"10",,"11:48 05/09/2022"
"white",,"White",,"10",,"11:48 05/09/2022"
"harris",,"Harris",,"7",,"11:48 05/09/2022"
"martin",,"Martin",,"1",,"11:48 05/09/2022"
"thompson",,"Thompson",,"10",,"11:48 05/09/2022"
"garcia",,"Garcia",,"2",,"11:48 05/09/2022"
"robinson",,"Robinson",,"7",,"11:48 05/09/2022"
"clark",,"Clark",,"10",,"11:48 05/09/2022"
"lewis",,"Lewis",,"1",,"11:48 05/09/2022"
"lee",,"Lee",,"4",,"11:48 05/09/2022"
"walker",,"Walker",,"10",,"11:48 05/09/2022"
"hall",,"Hall",,"8",,"11:48 05/09/2022"
"allen",,"Allen",,"7",,"11:48 05/09/2022"
"young",,"Young",,"8",,"11:48 05/09/2022"
"king",,"King",,"4",,"11:48 05/09/2022"
"wright",,"Wright",,"4",,"11:48 05/09/2022"
"hill",,"Hill",,"3",,"11:48 05/09/2022"
"scott",,"Scott",,"3",,"11:48 05/09/2022"
"green",,"Green",,"4",,"11:48 05/09/2022"
"adams",,"Adams",,"5",,"11:48 05/09/2022"
"baker",,"Baker",,"5",,"11:48 05/09/2022"
"nelson",,"Nelson",,"8",,"11:48 05/09/2022"
"carter",,"Carter",,"10",,"11:48 05/09/2022"
"mitchell",,"Mitchell",,"10",,"11:48 05/09/2022"
"roberts",,"Roberts",,"4",,"11:48 05/09/2022"
"turner",,"Turner",,"2",,"11:48 05/09/2022"
"phillips",,"Phillips",,"4",,"11:48 05/09/2022"
"campbell",,"Campbell",,"10",,"11:48 05/09/2022"
"parker",,"Parker",,"10",,"11:48 05/09/2022"
"evans",,"Evans",,"5",,"11:48 05/09/2022"
"edwards",,"Edwards",,"5",,"11:48 05/09/2022"
"collins",,"Collins",,"5",,"11:48 05/09/2022"
"stewart",,"Stewart",,"4",,"11:48 05/09/2022"
"morris",,"Morris",,"6",,"11:48 05/09/2022"
"rogers",,"Rogers",,"8",,"11:48 05/09/2022"
"reed",,"Reed",,"7",,"11:48 05/09/2022"
"cook",,"Cook",,"6",,"11:48 05/09/2022"
"morgan",,"Morgan",,"2",,"11:48 05/09/2022"
"bell",,"Bell",,"4",,"11:48 05/09/2022"
"murphy",,"Murphy",,"10",,"11:48 05/09/2022"
"bailey",,"Bailey",,"4",,"11:48 05/09/2022"
"cooper",,"Cooper",,"1",,"11:48 05/09/2022"
"richardson",,"Richardson",,"7",,"11:48 05/09/2022"
"cox",,"Cox",,"3",,"11:48 05/09/2022"
"howard",,"Howard",,"3",,"11:48 05/09/2022"
"ward",,"Ward",,"4",,"11:48 05/09/2022"
"peterson",,"Peterson",,"4",,"11:48 05/09/2022"
"gray",,"Gray",,"10",,"11:48 05/09/2022"
"james",,"James",,"3",,"11:48 05/09/2022"
"watson",,"Watson",,"10",,"11:48 05/09/2022"
"brooks",,"Brooks",,"9",,"11:48 05/09/2022"
"kelly",,"Kelly",,"7",,"11:48 05/09/2022"
"sanders",,"Sanders",,"10",,"11:48 05/09/2022"
"price",,"Price",,"5",,"11:48 05/09/2022"
"bennett",,"Bennett",,"5",,"11:48 05/09/2022"
"wood",,"Wood",,"5",,"11:48 05/09/2022"
"barnes",,"Barnes",,"5",,"11:48 05/09/2022"
"ross",,"Ross",,"3",,"11:48 05/09/2022"
"henderson",,"Henderson",,"8",,"11:48 05/09/2022"
"coleman",,"Coleman",,"6",,"11:48 05/09/2022"
"jenkins",,"Jenkins",,"8",,"11:48 05/09/2022"
"perry",,"Perry",,"4",,"11:48 05/09/2022"
"powell",,"Powell",,"5",,"11:48 05/09/2022"
"long",,"Long",,"6",,"11:48 05/09/2022"
"patterson",,"Patterson",,"5",,"11:48 05/09/2022"
"hughes",,"Hughes",,"4",,"11:48 05/09/2022"
"washington",,"Washington",,"10",,"11:48 05/09/2022"
"butler",,"Butler",,"4",,"11:48 05/09/2022"
"simmons",,"Simmons",,"6",,"11:48 05/09/2022"
"foster",,"Foster",,"6",,"11:48 05/09/2022"
"bryant",,"Bryant",,"6",,"11:48 05/09/2022"
"alexander",,"Alexander",,"8",,"11:48 05/09/2022"
"russell",,"Russell",,"4",,"11:48 05/09/2022"
"griffin",,"Griffin",,"7",,"11:48 05/09/2022"
"myers",,"Myers",,"3",,"11:48 05/09/2022"
"ford",,"Ford",,"10",,"11:48 05/09/2022"
"hamilton",,"Hamilton",,"10",,"11:48 05/09/2022"
"graham",,"Graham",,"4",,"11:48 05/09/2022"
"sullivan",,"Sullivan",,"7",,"11:48 05/09/2022"
"wallace",,"Wallace",,"7",,"11:48 05/09/2022"
"woods",,"Woods",,"6",,"11:48 05/09/2022"
"cole",,"Cole",,"6",,"11:48 05/09/2022"
"west",,"Zapadni",,"6",,"11:48 05/09/2022"
"jordan",,"Jordan",,"1",,"11:48 05/09/2022"
"owens",,"Owens",,"4",,"11:48 05/09/2022"
"reynolds",,"Reynolds",,"10",,"11:48 05/09/2022"
"fisher",,"Fisher",,"6",,"11:48 05/09/2022"
"ellis",,"Ellis",,"3",,"11:48 05/09/2022"
"harrison",,"Harrison",,"10",,"11:48 05/09/2022"
"gibson",,"Gibson",,"1",,"11:48 05/09/2022"
"mcdonald",,"McDonald",,"10",,"11:48 05/09/2022"
"marshall",,"Marshall",,"8",,"11:48 05/09/2022"
"murray",,"Murray",,"10",,"11:48 05/09/2022"
"freeman",,"Freeman",,"10",,"11:48 05/09/2022"
"wells",,"Wells",,"1",,"11:48 05/09/2022"
"webb",,"Webb",,"2",,"11:48 05/09/2022"
"simpson",,"Simpson",,"10",,"11:48 05/09/2022"
"stevens",,"Stevens",,"3",,"11:48 05/09/2022"
"tucker",,"Tucker",,"6",,"11:48 05/09/2022"
"porter",,"Porter",,"3",,"11:48 05/09/2022"
"hunter",,"Hunter",,"6",,"11:48 05/09/2022"
"hicks",,"Hicks",,"1",,"11:48 05/09/2022"
"crawford",,"Crawford",,"10",,"11:48 05/09/2022"
"henry",,"Henry",,"1",,"11:48 05/09/2022"
"boyd",,"Boyd",,"2",,"11:48 05/09/2022"
"mason",,"Mason",,"1",,"11:48 05/09/2022"
"kennedy",,"Kennedy",,"10",,"11:48 05/09/2022"
"warren",,"Warren",,"10",,"11:48 05/09/2022"
"dixon",,"Dixon",,"3",,"11:48 05/09/2022"
"burns",,"Burns",,"6",,"11:48 05/09/2022"
"gordon",,"Gordon",,"7",,"11:48 05/09/2022"
"shaw",,"Shaw",,"2",,"11:48 05/09/2022"
"holmes",,"Holmes",,"10",,"11:48 05/09/2022"
"rice",,"Rice",,"5",,"11:48 05/09/2022"
"robertson",,"Robertson",,"4",,"11:48 05/09/2022"
"hunt",,"Hunt",,"8",,"11:48 05/09/2022"
"black",,"Black",,"10",,"11:48 05/09/2022"
"daniels",,"Daniels",,"3",,"11:48 05/09/2022"
"palmer",,"Palmer",,"7",,"11:48 05/09/2022"
"mills",,"Mills",,"3",,"11:48 05/09/2022"
"nichols",,"Nichols",,"3",,"11:48 05/09/2022"
"grant",,"Grant",,"5",,"11:48 05/09/2022"
"knight",,"Knight",,"7",,"11:48 05/09/2022"
"ferguson",,"Ferguson",,"5",,"11:48 05/09/2022"
"rose",,"Ruze",,"9",,"11:48 05/09/2022"
"stone",,"Stone",,"6",,"11:48 05/09/2022"
"hawkins",,"Hawkins",,"10",,"11:48 05/09/2022"
"dunn",,"Dunn",,"10",,"11:48 05/09/2022"
"perkins",,"Perkins",,"5",,"11:48 05/09/2022"
"hudson",,"Hudson",,"10",,"11:48 05/09/2022"
"spencer",,"Spencer",,"8",,"11:48 05/09/2022"
"gardner",,"Gardner",,"4",,"11:48 05/09/2022"
"stephens",,"Stephens",,"3",,"11:48 05/09/2022"
"payne",,"Payne",,"8",,"11:48 05/09/2022"
"pierce",,"Pierce",,"4",,"11:48 05/09/2022"
"berry",,"Berry",,"2",,"11:48 05/09/2022"
"matthews",,"Matthews",,"2",,"11:48 05/09/2022"
"arnold",,"Arnold",,"1",,"11:48 05/09/2022"
"wagner",,"Wagner",,"1",,"11:48 05/09/2022"
"willis",,"Willis",,"4",,"11:48 05/09/2022"
"watkins",,"Watkins",,"8",,"11:48 05/09/2022"
"carroll",,"Carroll",,"3",,"11:48 05/09/2022"
"duncan",,"Duncan",,"1",,"11:48 05/09/2022"
"snyder",,"Snyder",,"1",,"11:48 05/09/2022"
"hart",,"Hart",,"5",,"11:48 05/09/2022"
"cunningham",,"Cunningham",,"8",,"11:48 05/09/2022"
"bradley",,"Bradley",,"1",,"11:48 05/09/2022"
"lane",,"Lane",,"1",,"11:48 05/09/2022"
"andrews",,"Andrews",,"2",,"11:48 05/09/2022"
"harper",,"Harper",,"4",,"11:48 05/09/2022"
"fox",,"Fox",,"7",,"11:48 05/09/2022"
"riley",,"Riley",,"1",,"11:48 05/09/2022"
"armstrong",,"Armstrong",,"10",,"11:48 05/09/2022"
"carpenter",,"Carpenter",,"9",,"11:48 05/09/2022"
"weaver",,"Weaver",,"1",,"11:48 05/09/2022"
"greene",,"Greene",,"4",,"11:48 05/09/2022"
"lawrence",,"Lawrence",,"4",,"11:48 05/09/2022"
"elliott",,"Elliott",,"10",,"11:48 05/09/2022"
"sims",,"Sims",,"2",,"11:48 05/09/2022"
"austin",,"Austin",,"7",,"11:48 05/09/2022"
"peters",,"Peters",,"1",,"11:48 05/09/2022"
"kelley",,"Kelley",,"1",,"11:48 05/09/2022"
"franklin",,"Franklin",,"10",,"11:48 05/09/2022"
"lawson",,"Lawson",,"1",,"11:48 05/09/2022"
"fields",,"Fields",,"1",,"11:48 05/09/2022"
"ryan",,"Ryan",,"2",,"11:48 05/09/2022"
"schmidt",,"Schmidt",,"1",,"11:48 05/09/2022"
"carr",,"Carr",,"1",,"11:48 05/09/2022"
"wheeler",,"Wheeler",,"3",,"11:48 05/09/2022"
"chapman",,"Chapman",,"5",,"11:48 05/09/2022"
"oliver",,"Oliver",,"1",,"11:48 05/09/2022"
"montgomery",,"Montgomery",,"10",,"11:48 05/09/2022"
"richards",,"Richards",,"1",,"11:48 05/09/2022"
"williamson",,"Williamson",,"6",,"11:48 05/09/2022"
"johnston",,"Johnston",,"8",,"11:48 05/09/2022"
"banks",,"Banks",,"8",,"11:48 05/09/2022"
"meyer",,"Meyer",,"6",,"11:48 05/09/2022"
"bishop",,"Bishop",,"8",,"11:48 05/09/2022"
"mccoy",,"McCoy",,"8",,"11:48 05/09/2022"
"howell",,"Howell",,"4",,"11:48 05/09/2022"
"morrison",,"Morrison",,"8",,"11:48 05/09/2022"
"hansen",,"Hansen",,"4",,"11:48 05/09/2022"
"harvey",,"Harvey",,"1",,"11:48 05/09/2022"
"little",,"Little",,"4",,"11:48 05/09/2022"
"burton",,"Burton",,"1",,"11:48 05/09/2022"
"stanley",,"Stanley",,"1",,"11:48 05/09/2022"
"george",,"George",,"1",,"11:48 05/09/2022"
"jacobs",,"Jacobs",,"1",,"11:48 05/09/2022"
"reid",,"Reid",,"1",,"11:48 05/09/2022"
"kim",,"Kim",,"1",,"11:48 05/09/2022"
"fuller",,"Fuller",,"1",,"11:48 05/09/2022"
"lynch",,"Lynch",,"9",,"11:48 05/09/2022"
"dean",,"Dean",,"1",,"11:48 05/09/2022"
"gilbert",,"Gilbert",,"1",,"11:48 05/09/2022"
"garrett",,"Garrett",,"1",,"11:48 05/09/2022"
"welch",,"Welch",,"1",,"11:48 05/09/2022"
"larson",,"Larson",,"1",,"11:48 05/09/2022"
"frazier",,"Frazier",,"1",,"11:48 05/09/2022"
"burke",,"Burke",,"1",,"11:48 05/09/2022"
"hanson",,"Hanson",,"1",,"11:48 05/09/2022"
"day",,"Day",,"1",,"11:48 05/09/2022"
"moreno",,"Moreno",,"5",,"11:48 05/09/2022"
"bowman",,"Bowman",,"8",,"11:48 05/09/2022"
"fowler",,"Fowler",,"1",,"11:48 05/09/2022"
"brewer",,"Brewer",,"1",,"11:48 05/09/2022"
"hoffman",,"Hoffman",,"1",,"11:48 05/09/2022"
"carlson",,"Carlson",,"1",,"11:48 05/09/2022"
"pearson",,"Pearson",,"1",,"11:48 05/09/2022"
"holland",,"Holland",,"6",,"11:48 05/09/2022"
"douglas",,"Douglas",,"1",,"11:48 05/09/2022"
"fleming",,"Fleming",,"1",,"11:48 05/09/2022"
