"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"elsa",,"Elsa",,"1",,"11:49 05/09/2022"
"alice",,"Alice",,"1",,"11:49 05/09/2022"
"maja",,"Maja",,"1",,"11:49 05/09/2022"
"agnes",,"Agnes",,"1",,"11:49 05/09/2022"
"lilly",,"Lilly",,"1",,"11:49 05/09/2022"
"olivia",,"Olivia",,"1",,"11:49 05/09/2022"
"julia",,"Julia",,"1",,"11:49 05/09/2022"
"ebba",,"Ebba",,"1",,"11:49 05/09/2022"
"linnea",,"Linnea",,"1",,"11:49 05/09/2022"
"molly",,"Molly",,"1",,"11:49 05/09/2022"
"ella",,"Ella",,"1",,"11:49 05/09/2022"
"wilma",,"Wilma",,"1",,"11:49 05/09/2022"
"klara",,"Klara",,"1",,"11:49 05/09/2022"
"stella",,"Stella",,"1",,"11:49 05/09/2022"
"freja",,"Freja",,"1",,"11:49 05/09/2022"
"alicia",,"Alicia",,"1",,"11:49 05/09/2022"
"alva",,"Alva",,"1",,"11:49 05/09/2022"
"alma",,"Alma",,"1",,"11:49 05/09/2022"
"isabelle",,"Isabelle",,"1",,"11:49 05/09/2022"
"ellen",,"Ellen",,"1",,"11:49 05/09/2022"
"saga",,"Saga",,"1",,"11:49 05/09/2022"
"ellie",,"Ellie",,"1",,"11:49 05/09/2022"
"astrid",,"Astrid",,"1",,"11:49 05/09/2022"
"emma",,"Emma",,"1",,"11:49 05/09/2022"
"nellie",,"Nellie",,"1",,"11:49 05/09/2022"
"emilia",,"Emilia",,"1",,"11:49 05/09/2022"
"vera",,"Vera",,"1",,"11:49 05/09/2022"
"signe",,"Signe",,"1",,"11:49 05/09/2022"
"elvira",,"Elvira",,"1",,"11:49 05/09/2022"
"nova",,"Nova",,"1",,"11:49 05/09/2022"
"selma",,"Selma",,"1",,"11:49 05/09/2022"
"ester",,"Ester",,"1",,"11:49 05/09/2022"
"leah",,"Leah",,"1",,"11:49 05/09/2022"
"felicia",,"Felicia",,"1",,"11:49 05/09/2022"
"sara",,"Sara",,"1",,"11:49 05/09/2022"
"sofia",,"Sofia",,"1",,"11:49 05/09/2022"
"elise",,"Elise",,"1",,"11:49 05/09/2022"
"ines",,"Ines",,"1",,"11:49 05/09/2022"
"tyra",,"Tyra",,"1",,"11:49 05/09/2022"
"amanda",,"Amanda",,"1",,"11:49 05/09/2022"
"elin",,"Elin",,"1",,"11:49 05/09/2022"
"ida",,"Ida",,"1",,"11:49 05/09/2022"
"moa",,"Moa",,"1",,"11:49 05/09/2022"
"meja",,"Meja",,"1",,"11:49 05/09/2022"
"isabella",,"Isabella",,"1",,"11:49 05/09/2022"
"tuva",,"Tuva",,"1",,"11:49 05/09/2022"
"nora",,"Nora",,"1",,"11:49 05/09/2022"
"siri",,"Siri",,"1",,"11:49 05/09/2022"
"matilda",,"Matilda",,"1",,"11:49 05/09/2022"
"sigrid",,"Sigrid",,"1",,"11:49 05/09/2022"
"edith",,"Edith",,"1",,"11:49 05/09/2022"
"lovisa",,"Lovisa",,"1",,"11:49 05/09/2022"
"juni",,"Juni",,"1",,"11:49 05/09/2022"
"liv",,"Liv",,"1",,"11:49 05/09/2022"
"lova",,"Lova",,"1",,"11:49 05/09/2022"
"hanna",,"Hanna",,"1",,"11:49 05/09/2022"
"tilde",,"Tilde",,"1",,"11:49 05/09/2022"
"iris",,"Iris",,"1",,"11:49 05/09/2022"
"thea",,"Thea",,"1",,"11:49 05/09/2022"
"emelie",,"Emelie",,"1",,"11:49 05/09/2022"
"melissa",,"Melissa",,"1",,"11:49 05/09/2022"
"cornelia",,"Cornelia",,"1",,"11:49 05/09/2022"
"leia",,"Leia",,"1",,"11:49 05/09/2022"
"ingrid",,"Ingrid",,"1",,"11:49 05/09/2022"
"livia",,"Livia",,"1",,"11:49 05/09/2022"
"jasmine",,"Jasmine",,"1",,"11:49 05/09/2022"
"nathalie",,"Nathalie",,"1",,"11:49 05/09/2022"
"greta",,"Greta",,"1",,"11:49 05/09/2022"
"stina",,"Stina",,"1",,"11:49 05/09/2022"
"joline",,"Joline",,"1",,"11:49 05/09/2022"
"filippa",,"Filippa",,"1",,"11:49 05/09/2022"
"emmy",,"Emmy",,"1",,"11:49 05/09/2022"
"svea",,"Svea",,"1",,"11:49 05/09/2022"
"marta",,"Marta",,"1",,"11:49 05/09/2022"
"tilda",,"Tilda",,"1",,"11:49 05/09/2022"
"hilda",,"Hilda",,"1",,"11:49 05/09/2022"
"majken",,"Majken",,"1",,"11:49 05/09/2022"
"celine",,"Celine",,"1",,"11:49 05/09/2022"
"ellinor",,"Ellinor",,"1",,"11:49 05/09/2022"
"lykke",,"Lykke",,"1",,"11:49 05/09/2022"
"novalie",,"Novalie",,"1",,"11:49 05/09/2022"
"linn",,"Linn",,"1",,"11:49 05/09/2022"
"tindra",,"Tindra",,"1",,"11:49 05/09/2022"
"my",,"My",,"1",,"11:49 05/09/2022"
"mira",,"Mira",,"1",,"11:49 05/09/2022"
"rut",,"Rut",,"1",,"11:49 05/09/2022"
"ronja",,"Ronja",,"1",,"11:49 05/09/2022"
"hilma",,"Hilma",,"1",,"11:49 05/09/2022"
"lisa",,"Lisa",,"1",,"11:49 05/09/2022"
"maria",,"Maria",,"1",,"11:49 05/09/2022"
"elina",,"Elina",,"1",,"11:49 05/09/2022"
"lovis",,"Lovis",,"1",,"11:49 05/09/2022"
"minna",,"Minna",,"1",,"11:49 05/09/2022"
"hedda",,"Hedda",,"1",,"11:49 05/09/2022"
"amelia",,"Amelia",,"1",,"11:49 05/09/2022"
"sally",,"Sally",,"1",,"11:49 05/09/2022"
"nicole",,"Nicole",,"1",,"11:49 05/09/2022"
"victoria",,"Victoria",,"1",,"11:49 05/09/2022"
"luna",,"Luna",,"1",,"11:49 05/09/2022"
"anna",,"Anna",,"1",,"11:49 05/09/2022"
"sofie",,"Sofie",,"1",,"11:49 05/09/2022"
"emilie",,"Emilie",,"1",,"11:49 05/09/2022"
"mia",,"Mia",,"1",,"11:49 05/09/2022"
"amalie",,"Amalie",,"1",,"11:49 05/09/2022"
"aurora",,"Aurora",,"1",,"11:49 05/09/2022"
"jenny",,"Jenny",,"1",,"11:49 05/09/2022"
"frida",,"Frida",,"1",,"11:49 05/09/2022"
"julie",,"Julie",,"1",,"11:49 05/09/2022"
"tiril",,"Tiril",,"1",,"11:49 05/09/2022"
"mathilde",,"Mathilde",,"1",,"11:49 05/09/2022"
"vilde",,"Vilde",,"1",,"11:49 05/09/2022"
"oda",,"Oda",,"1",,"11:49 05/09/2022"
"marie",,"Marie",,"1",,"11:49 05/09/2022"
"eline",,"Eline",,"1",,"11:49 05/09/2022"
"alina",,"Alina",,"1",,"11:49 05/09/2022"
"live",,"Live",,"1",,"11:49 05/09/2022"
"malin",,"Malin",,"1",,"11:49 05/09/2022"
"ada",,"Ada",,"1",,"11:49 05/09/2022"
"mille",,"Mille",,"1",,"11:49 05/09/2022"
"karoline",,"Karoline",,"1",,"11:49 05/09/2022"
"mari",,"Mari",,"1",,"11:49 05/09/2022"
"martine",,"Martine",,"1",,"11:49 05/09/2022"
"mina",,"Mina",,"1",,"11:49 05/09/2022"
"mathea",,"Mathea",,"1",,"11:49 05/09/2022"
"venla",,"Venla",,"1",,"11:49 05/09/2022"
"aada",,"Aada",,"1",,"11:49 05/09/2022"
"aino",,"Aino",,"1",,"11:49 05/09/2022"
"margret",,"Margret",,"1",,"11:49 05/09/2022"
"eva",,"Eva",,"1",,"11:49 05/09/2022"
"hekla",,"Hekla",,"1",,"11:49 05/09/2022"
"kristin",,"Kristin",,"1",,"11:49 05/09/2022"
"viktoria",,"Viktoria",,"1",,"11:49 05/09/2022"
"katrin",,"Katrin",,"1",,"11:49 05/09/2022"
"freyja",,"Freyja",,"1",,"11:49 05/09/2022"
"birta",,"Birta",,"1",,"11:49 05/09/2022"
"sóley",,"Soley",,"1",,"11:49 05/09/2022"
"anita",,"Anita",,"1",,"11:49 05/09/2022"
"helga",,"Helga",,"1",,"11:49 05/09/2022"
"katla",,"Katla",,"1",,"11:49 05/09/2022"
"elisabet",,"Elisabet",,"1",,"11:49 05/09/2022"
"alexandra",,"Alexandra",,"1",,"11:49 05/09/2022"
