"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"william",,"William",,"1",,"11:49 05/09/2022"
"noah",,"Noah",,"1",,"11:49 05/09/2022"
"lucas",,"Lucas",,"1",,"11:49 05/09/2022"
"emil",,"Emil",,"1",,"11:49 05/09/2022"
"oliver",,"Oliver",,"1",,"11:49 05/09/2022"
"oscar",,"Oscar",,"1",,"11:49 05/09/2022"
"victor",,"Victor",,"1",,"11:49 05/09/2022"
"malthe",,"Malthe",,"1",,"11:49 05/09/2022"
"alfred",,"Alfred",,"1",,"11:49 05/09/2022"
"carl",,"Carl",,"1",,"11:49 05/09/2022"
"frederik",,"Frederik",,"1",,"11:49 05/09/2022"
"elias",,"Elias",,"1",,"11:49 05/09/2022"
"magnus",,"Magnus",,"1",,"11:49 05/09/2022"
"valdemar",,"Valdemar",,"1",,"11:49 05/09/2022"
"villads",,"Villads",,"1",,"11:49 05/09/2022"
"alexander",,"Alexander",,"1",,"11:49 05/09/2022"
"christian",,"Christian",,"1",,"11:49 05/09/2022"
"august",,"August",,"1",,"11:49 05/09/2022"
"johan",,"Johan",,"1",,"11:49 05/09/2022"
"felix",,"Felix",,"1",,"11:49 05/09/2022"
"anton",,"Anton",,"1",,"11:49 05/09/2022"
"nohr",,"Nohr",,"1",,"11:49 05/09/2022"
"liam",,"Liam",,"1",,"11:49 05/09/2022"
"aksel",,"Aksel",,"1",,"11:49 05/09/2022"
"mikkel",,"Mikkel",,"1",,"11:49 05/09/2022"
"benjamin",,"Benjamin",,"1",,"11:49 05/09/2022"
"mads",,"Mads",,"1",,"11:49 05/09/2022"
"storm",,"Storm",,"1",,"11:49 05/09/2022"
"mathias",,"Mathias",,"1",,"11:49 05/09/2022"
"adam",,"Adam",,"1",,"11:49 05/09/2022"
"sebastian",,"Sebastian",,"1",,"11:49 05/09/2022"
"albert",,"Albert",,"1",,"11:49 05/09/2022"
"theodor",,"Theodor",,"1",,"11:49 05/09/2022"
"arthur",,"Arthur",,"1",,"11:49 05/09/2022"
"elliot",,"Elliot",,"1",,"11:49 05/09/2022"
"marius",,"Marius",,"1",,"11:49 05/09/2022"
"marcus",,"Marcus",,"1",,"11:49 05/09/2022"
"viggo",,"Viggo",,"1",,"11:49 05/09/2022"
"philip",,"Philip",,"1",,"11:49 05/09/2022"
"tobias",,"Tobias",,"1",,"11:49 05/09/2022"
"villum",,"Villum",,"1",,"11:49 05/09/2022"
"lauge",,"Lauge",,"1",,"11:49 05/09/2022"
"thor",,"Thor",,"1",,"11:49 05/09/2022"
"jakob",,"Jakob",,"1",,"11:49 05/09/2022"
"laurits",,"Laurits",,"1",,"11:49 05/09/2022"
"theo",,"Theo",,"1",,"11:49 05/09/2022"
"jonathan",,"Jonathan",,"1",,"11:49 05/09/2022"
"asger",,"Asger",,"1",,"11:49 05/09/2022"
"silas",,"Silas",,"1",,"11:49 05/09/2022"
"milas",,"Milas",,"1",,"11:49 05/09/2022"
"hugo",,"Hugo",,"1",,"11:49 05/09/2022"
"charlie",,"Charlie",,"1",,"11:49 05/09/2022"
"axel",,"Axel",,"1",,"11:49 05/09/2022"
"vincent",,"Vincent",,"1",,"11:49 05/09/2022"
"leo",,"Leo",,"1",,"11:49 05/09/2022"
"ludvig",,"Ludvig",,"1",,"11:49 05/09/2022"
"arvid",,"Arvid",,"1",,"11:49 05/09/2022"
"nils",,"Nils",,"1",,"11:49 05/09/2022"
"filip",,"Filip",,"1",,"11:49 05/09/2022"
"leon",,"Leon",,"1",,"11:49 05/09/2022"
"melvin",,"Melvin",,"1",,"11:49 05/09/2022"
"viktor",,"Viktor",,"1",,"11:49 05/09/2022"
"valter",,"Valter",,"1",,"11:49 05/09/2022"
"edvin",,"Edvin",,"1",,"11:49 05/09/2022"
"isak",,"Isak",,"1",,"11:49 05/09/2022"
"harry",,"Harry",,"1",,"11:49 05/09/2022"
"olle",,"Olle",,"1",,"11:49 05/09/2022"
"love",,"Love",,"1",,"11:49 05/09/2022"
"sixten",,"Sixten",,"1",,"11:49 05/09/2022"
"erik",,"Erik",,"1",,"11:49 05/09/2022"
"adrian",,"Adrian",,"1",,"11:49 05/09/2022"
"albin",,"Albin",,"1",,"11:49 05/09/2022"
"gustav",,"Gustav",,"1",,"11:49 05/09/2022"
"melker",,"Melker",,"1",,"11:49 05/09/2022"
"malte",,"Malte",,"1",,"11:49 05/09/2022"
"ebbe",,"Ebbe",,"1",,"11:49 05/09/2022"
"gabriel",,"Gabriel",,"1",,"11:49 05/09/2022"
"alvin",,"Alvin",,"1",,"11:49 05/09/2022"
"max",,"Max",,"1",,"11:49 05/09/2022"
"josef",,"Josef",,"1",,"11:49 05/09/2022"
"casper",,"Casper",,"1",,"11:49 05/09/2022"
"colin",,"Colin",,"1",,"11:49 05/09/2022"
"sam",,"Sam",,"1",,"11:49 05/09/2022"
"noel",,"Noel",,"1",,"11:49 05/09/2022"
"loke",,"Loke",,"1",,"11:49 05/09/2022"
"loui",,"Loui",,"1",,"11:49 05/09/2022"
"henry",,"Henry",,"1",,"11:49 05/09/2022"
"wilmer",,"Wilmer",,"1",,"11:49 05/09/2022"
"kevin",,"Kevin",,"1",,"11:49 05/09/2022"
"sigge",,"Sigge",,"1",,"11:49 05/09/2022"
"vidar",,"Vidar",,"1",,"11:49 05/09/2022"
"jacob",,"Jacob",,"1",,"11:49 05/09/2022"
"frank",,"Frank",,"1",,"11:49 05/09/2022"
"matteo",,"Matteo",,"1",,"11:49 05/09/2022"
"milton",,"Milton",,"1",,"11:49 05/09/2022"
"jack",,"Jack",,"1",,"11:49 05/09/2022"
"milo",,"Milo",,"1",,"11:49 05/09/2022"
"elton",,"Elton",,"1",,"11:49 05/09/2022"
"ville",,"Ville",,"1",,"11:49 05/09/2022"
"simon",,"Simon",,"1",,"11:49 05/09/2022"
"wilhelm",,"Wilhelm",,"1",,"11:49 05/09/2022"
"samuel",,"Samuel",,"1",,"11:49 05/09/2022"
"vilgot",,"Vilgot",,"1",,"11:49 05/09/2022"
"julian",,"Julian",,"1",,"11:49 05/09/2022"
"otto",,"Otto",,"1",,"11:49 05/09/2022"
"john",,"John",,"1",,"11:49 05/09/2022"
"elis",,"Elis",,"1",,"11:49 05/09/2022"
"daniel",,"Daniel",,"1",,"11:49 05/09/2022"
"ivar",,"Ivar",,"1",,"11:49 05/09/2022"
"joel",,"Joel",,"1",,"11:49 05/09/2022"
"tage",,"Tage",,"1",,"11:49 05/09/2022"
"david",,"David",,"1",,"11:49 05/09/2022"
"aron",,"Aron",,"1",,"11:49 05/09/2022"
"hjalmar",,"Hjalmar",,"1",,"11:49 05/09/2022"
"kian",,"Kian",,"1",,"11:49 05/09/2022"
"rasmus",,"Rasmus",,"1",,"11:49 05/09/2022"
"eddie",,"Eddie",,"1",,"11:49 05/09/2022"
"maximilian",,"Maximilian",,"1",,"11:49 05/09/2022"
"algot",,"Algot",,"1",,"11:49 05/09/2022"
"linus",,"Linus",,"1",,"11:49 05/09/2022"
"alex",,"Alex",,"1",,"11:49 05/09/2022"
"ali",,"Ali",,"1",,"11:49 05/09/2022"
"edward",,"Edward",,"1",,"11:49 05/09/2022"
"ture",,"Ture",,"1",,"11:49 05/09/2022"
"elvin",,"Elvin",,"1",,"11:49 05/09/2022"
"folke",,"Folke",,"1",,"11:49 05/09/2022"
"levi",,"Levi",,"1",,"11:49 05/09/2022"
"oskar",,"Oskar",,"1",,"11:49 05/09/2022"
"markus",,"Markus",,"1",,"11:49 05/09/2022"
"kasper",,"Kasper",,"1",,"11:49 05/09/2022"
"jonas",,"Jonas",,"1",,"11:49 05/09/2022"
"henrik",,"Henrik",,"1",,"11:49 05/09/2022"
"sander",,"Sander",,"1",,"11:49 05/09/2022"
"kristian",,"Kristian",,"1",,"11:49 05/09/2022"
"johannes",,"Johannes",,"1",,"11:49 05/09/2022"
"mathéo",,"Matheo",,"1",,"11:49 05/09/2022"
"nikolai",,"Nikolai",,"1",,"11:49 05/09/2022"
"martin",,"Martin",,"1",,"11:49 05/09/2022"
"mohammad",,"Mohammad",,"1",,"11:49 05/09/2022"
"olav",,"Olav",,"1",,"11:49 05/09/2022"
"hakon",,"Hakon",,"1",,"11:49 05/09/2022"
"sondre",,"Sondre",,"1",,"11:49 05/09/2022"
"andreas",,"Andreas",,"1",,"11:49 05/09/2022"
"even",,"Even",,"1",,"11:49 05/09/2022"
"sigurd",,"Sigurd",,"1",,"11:49 05/09/2022"
"herman",,"Herman",,"1",,"11:49 05/09/2022"
"iver",,"Iver",,"1",,"11:49 05/09/2022"
"onni",,"Onni",,"1",,"11:49 05/09/2022"
"eino",,"Eino",,"1",,"11:49 05/09/2022"
"kristjan",,"Kristjan",,"1",,"11:49 05/09/2022"
"jon",,"Jon",,"1",,"11:49 05/09/2022"
"kristofer",,"Kristofer",,"1",,"11:49 05/09/2022"
"gunnar",,"Gunnar",,"1",,"11:49 05/09/2022"
"benedikt",,"Benedikt",,"1",,"11:49 05/09/2022"
"dagur",,"Dagur",,"1",,"11:49 05/09/2022"
"arnar",,"Arnar",,"1",,"11:49 05/09/2022"
"bjarki",,"Bjarki",,"1",,"11:49 05/09/2022"
"kari",,"Kari",,"1",,"11:49 05/09/2022"
"andri",,"Andri",,"1",,"11:49 05/09/2022"
"robert",,"Robert",,"1",,"11:49 05/09/2022"
"johann",,"Johann",,"1",,"11:49 05/09/2022"
"baltasar",,"Baltasar",,"1",,"11:49 05/09/2022"
"einar",,"Einar",,"1",,"11:49 05/09/2022"
