"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"oliver",,"Oliver",,"1",,"11:49 05/09/2022"
"george",,"George",,"1",,"11:49 05/09/2022"
"harry",,"Harry",,"1",,"11:49 05/09/2022"
"jack",,"Jack",,"1",,"11:49 05/09/2022"
"jacob",,"Jacob",,"1",,"11:49 05/09/2022"
"noah",,"Noah",,"1",,"11:49 05/09/2022"
"charlie",,"Charlie",,"1",,"11:49 05/09/2022"
"thomas",,"Thomas",,"1",,"11:49 05/09/2022"
"oscar",,"Oscar",,"1",,"11:49 05/09/2022"
"william",,"William",,"1",,"11:49 05/09/2022"
"james",,"James",,"1",,"11:49 05/09/2022"
"henry",,"Henry",,"1",,"11:49 05/09/2022"
"leo",,"Leo",,"1",,"11:49 05/09/2022"
"alfie",,"Alfie",,"1",,"11:49 05/09/2022"
"joshua",,"Joshua",,"1",,"11:49 05/09/2022"
"freddie",,"Freddie",,"1",,"11:49 05/09/2022"
"archie",,"Archie",,"1",,"11:49 05/09/2022"
"ethan",,"Ethan",,"1",,"11:49 05/09/2022"
"isaac",,"Isaac",,"1",,"11:49 05/09/2022"
"alexander",,"Alexander",,"1",,"11:49 05/09/2022"
"joseph",,"Joseph",,"1",,"11:49 05/09/2022"
"edward",,"Edward",,"1",,"11:49 05/09/2022"
"samuel",,"Samuel",,"1",,"11:49 05/09/2022"
"max",,"Max",,"1",,"11:49 05/09/2022"
"daniel",,"Daniel",,"1",,"11:49 05/09/2022"
"arthur",,"Arthur",,"1",,"11:49 05/09/2022"
"lucas",,"Lucas",,"1",,"11:49 05/09/2022"
"logan",,"Logan",,"1",,"11:49 05/09/2022"
"theo",,"Theo",,"1",,"11:49 05/09/2022"
"harrison",,"Harrison",,"1",,"11:49 05/09/2022"
"benjamin",,"Benjamin",,"1",,"11:49 05/09/2022"
"mason",,"Mason",,"1",,"11:49 05/09/2022"
"sebastian",,"Sebastian",,"1",,"11:49 05/09/2022"
"finley",,"Finley",,"1",,"11:49 05/09/2022"
"adam",,"Adam",,"1",,"11:49 05/09/2022"
"dylan",,"Dylan",,"1",,"11:49 05/09/2022"
"zachary",,"Zachary",,"1",,"11:49 05/09/2022"
"riley",,"Riley",,"1",,"11:49 05/09/2022"
"teddy",,"Teddy",,"1",,"11:49 05/09/2022"
"theodore",,"Theodore",,"1",,"11:49 05/09/2022"
"david",,"David",,"1",,"11:49 05/09/2022"
"toby",,"Toby",,"1",,"11:49 05/09/2022"
"jake",,"Jake",,"1",,"11:49 05/09/2022"
"louie",,"Louie",,"1",,"11:49 05/09/2022"
"elijah",,"Elijah",,"1",,"11:49 05/09/2022"
"reuben",,"Reuben",,"1",,"11:49 05/09/2022"
"arlo",,"Arlo",,"1",,"11:49 05/09/2022"
"hugo",,"Hugo",,"1",,"11:49 05/09/2022"
"luca",,"Luca",,"1",,"11:49 05/09/2022"
"jaxon",,"Jaxon",,"1",,"11:49 05/09/2022"
"matthew",,"Matthew",,"1",,"11:49 05/09/2022"
"harvey",,"Harvey",,"1",,"11:49 05/09/2022"
"reggie",,"Reggie",,"1",,"11:49 05/09/2022"
"michael",,"Michael",,"1",,"11:49 05/09/2022"
"harley",,"Harley",,"1",,"11:49 05/09/2022"
"jude",,"Jude",,"1",,"11:49 05/09/2022"
"albert",,"Albert",,"1",,"11:49 05/09/2022"
"tommy",,"Tommy",,"1",,"11:49 05/09/2022"
"luke",,"Luke",,"1",,"11:49 05/09/2022"
"stanley",,"Stanley",,"1",,"11:49 05/09/2022"
"jenson",,"Jenson",,"1",,"11:49 05/09/2022"
"frankie",,"Frankie",,"1",,"11:49 05/09/2022"
"jayden",,"Jayden",,"1",,"11:49 05/09/2022"
"gabriel",,"Gabriel",,"1",,"11:49 05/09/2022"
"elliot",,"Elliot",,"1",,"11:49 05/09/2022"
"ronnie",,"Ronnie",,"1",,"11:49 05/09/2022"
"charles",,"Charles",,"1",,"11:49 05/09/2022"
"louis",,"Louis",,"1",,"11:49 05/09/2022"
"elliott",,"Elliott",,"1",,"11:49 05/09/2022"
"frederick",,"Frederick",,"1",,"11:49 05/09/2022"
"nathan",,"Nathan",,"1",,"11:49 05/09/2022"
"lewis",,"Lewis",,"1",,"11:49 05/09/2022"
"blake",,"Blake",,"1",,"11:49 05/09/2022"
"rory",,"Rory",,"1",,"11:49 05/09/2022"
"ollie",,"Ollie",,"1",,"11:49 05/09/2022"
"ryan",,"Ryan",,"1",,"11:49 05/09/2022"
"tyler",,"Tyler",,"1",,"11:49 05/09/2022"
"jackson",,"Jackson",,"1",,"11:49 05/09/2022"
"dexter",,"Dexter",,"1",,"11:49 05/09/2022"
"alex",,"Alex",,"1",,"11:49 05/09/2022"
"austin",,"Austin",,"1",,"11:49 05/09/2022"
"kai",,"Kai",,"1",,"11:49 05/09/2022"
"albie",,"Albie",,"1",,"11:49 05/09/2022"
"caleb",,"Caleb",,"1",,"11:49 05/09/2022"
"carter",,"Carter",,"1",,"11:49 05/09/2022"
"bobby",,"Bobby",,"1",,"11:49 05/09/2022"
"ezra",,"Ezra",,"1",,"11:49 05/09/2022"
"ellis",,"Ellis",,"1",,"11:49 05/09/2022"
"leon",,"Leon",,"1",,"11:49 05/09/2022"
"roman",,"Roman",,"1",,"11:49 05/09/2022"
"ibrahim",,"Ibrahim",,"1",,"11:49 05/09/2022"
"aaron",,"Aaron",,"1",,"11:49 05/09/2022"
"liam",,"Liam",,"1",,"11:49 05/09/2022"
"jesse",,"Jesse",,"1",,"11:49 05/09/2022"
"jasper",,"Jasper",,"1",,"11:49 05/09/2022"
"felix",,"Felix",,"1",,"11:49 05/09/2022"
"jamie",,"Jamie",,"1",,"11:49 05/09/2022"
"osian",,"Osian",,"1",,"11:49 05/09/2022"
"harri",,"Harri",,"1",,"11:49 05/09/2022"
"jac",,"Jac",,"1",,"11:49 05/09/2022"
"rhys",,"Rhys",,"1",,"11:49 05/09/2022"
"evan",,"Evan",,"1",,"11:49 05/09/2022"
"morgan",,"Morgan",,"1",,"11:49 05/09/2022"
"rowan",,"Rowan",,"1",,"11:49 05/09/2022"
"owen",,"Owen",,"1",,"11:49 05/09/2022"
"sonny",,"Sonny",,"1",,"11:49 05/09/2022"
"elis",,"Elis",,"1",,"11:49 05/09/2022"
"kian",,"Kian",,"1",,"11:49 05/09/2022"
"eli",,"Eli",,"1",,"11:49 05/09/2022"
"gethin",,"Gethin",,"1",,"11:49 05/09/2022"
"cody",,"Cody",,"1",,"11:49 05/09/2022"
"owain",,"Owain",,"1",,"11:49 05/09/2022"
"ashton",,"Ashton",,"1",,"11:49 05/09/2022"
"ifan",,"Ifan",,"1",,"11:49 05/09/2022"
"levi",,"Levi",,"1",,"11:49 05/09/2022"
"seth",,"Seth",,"1",,"11:49 05/09/2022"
"harris",,"Harris",,"1",,"11:49 05/09/2022"
"finlay",,"Finlay",,"1",,"11:49 05/09/2022"
"callum",,"Callum",,"1",,"11:49 05/09/2022"
"cameron",,"Cameron",,"1",,"11:49 05/09/2022"
"brodie",,"Brodie",,"1",,"11:49 05/09/2022"
"andrew",,"Andrew",,"1",,"11:49 05/09/2022"
"connor",,"Connor",,"1",,"11:49 05/09/2022"
"muhammad",,"Muhammad",,"1",,"11:49 05/09/2022"
"kyle",,"Kyle",,"1",,"11:49 05/09/2022"
"finn",,"Finn",,"1",,"11:49 05/09/2022"
"fraser",,"Fraser",,"1",,"11:49 05/09/2022"
"murray",,"Murray",,"1",,"11:49 05/09/2022"
"john",,"John",,"1",,"11:49 05/09/2022"
"arran",,"Arran",,"1",,"11:49 05/09/2022"
"angus",,"Angus",,"1",,"11:49 05/09/2022"
"cole",,"Cole",,"1",,"11:49 05/09/2022"
"robert",,"Robert",,"1",,"11:49 05/09/2022"
"cooper",,"Cooper",,"1",,"11:49 05/09/2022"
"aiden",,"Aiden",,"1",,"11:49 05/09/2022"
"ben",,"Ben",,"1",,"11:49 05/09/2022"
"euan",,"Euan",,"1",,"11:49 05/09/2022"
"josh",,"Josh",,"1",,"11:49 05/09/2022"
"blair",,"Blair",,"1",,"11:49 05/09/2022"
"robbie",,"Robbie",,"1",,"11:49 05/09/2022"
"hamish",,"Hamish",,"1",,"11:49 05/09/2022"
"sam",,"Sam",,"1",,"11:49 05/09/2022"
"aidan",,"Aidan",,"1",,"11:49 05/09/2022"
"jay",,"Jay",,"1",,"11:49 05/09/2022"
"christopher",,"Christopher",,"1",,"11:49 05/09/2022"
"lachlan",,"Lachlan",,"1",,"11:49 05/09/2022"
"calum",,"Calum",,"1",,"11:49 05/09/2022"
"carson",,"Carson",,"1",,"11:49 05/09/2022"
"calvin",,"Calvin",,"1",,"11:49 05/09/2022"
"callan",,"Callan",,"1",,"11:49 05/09/2022"
"conor",,"Conor",,"1",,"11:49 05/09/2022"
"sean",,"Sean",,"1",,"11:49 05/09/2022"
"oisin",,"Oisin",,"1",,"11:49 05/09/2022"
"cian",,"Cian",,"1",,"11:49 05/09/2022"
"patrick",,"Patrick",,"1",,"11:49 05/09/2022"
"fionn",,"Fionn",,"1",,"11:49 05/09/2022"
"cillian",,"Cillian",,"1",,"11:49 05/09/2022"
"rian",,"Rian",,"1",,"11:49 05/09/2022"
"tom",,"Tom",,"1",,"11:49 05/09/2022"
"eoin",,"Eoin",,"1",,"11:49 05/09/2022"
"ronan",,"Ronan",,"1",,"11:49 05/09/2022"
"senan",,"Senan",,"1",,"11:49 05/09/2022"
"mark",,"Mark",,"1",,"11:49 05/09/2022"
"cathal",,"Cathal",,"1",,"11:49 05/09/2022"
"danny",,"Danny",,"1",,"11:49 05/09/2022"
"donnacha",,"Donnacha",,"1",,"11:49 05/09/2022"
"eoghan",,"Eoghan",,"1",,"11:49 05/09/2022"
"shane",,"Shane",,"1",,"11:49 05/09/2022"
"scott",,"Scott",,"1",,"11:49 05/09/2022"
"peter",,"Peter",,"1",,"11:49 05/09/2022"
"dara",,"Dara",,"1",,"11:49 05/09/2022"
"shay",,"Shay",,"1",,"11:49 05/09/2022"
"billy",,"Billy",,"1",,"11:49 05/09/2022"
"anthony",,"Anthony",,"1",,"11:49 05/09/2022"
"martin",,"Martin",,"1",,"11:49 05/09/2022"
"kevin",,"Kevin",,"1",,"11:49 05/09/2022"
"lorcan",,"Lorcan",,"1",,"11:49 05/09/2022"
"cormac",,"Cormac",,"1",,"11:49 05/09/2022"
"tomas",,"Tomas",,"1",,"11:49 05/09/2022"
"brian",,"Brian",,"1",,"11:49 05/09/2022"
"killian",,"Killian",,"1",,"11:49 05/09/2022"
"jonathan",,"Jonathan",,"1",,"11:49 05/09/2022"
"zach",,"Zach",,"1",,"11:49 05/09/2022"
"daragh",,"Daragh",,"1",,"11:49 05/09/2022"
"hugh",,"Hugh",,"1",,"11:49 05/09/2022"
"colin",,"Colin",,"1",,"11:49 05/09/2022"
"craig",,"Craig",,"1",,"11:49 05/09/2022"
"richard",,"Richard",,"1",,"11:49 05/09/2022"
"tristan",,"Tristan",,"1",,"11:49 05/09/2022"
"darren",,"Darren",,"1",,"11:49 05/09/2022"
"denis",,"Denis",,"1",,"11:49 05/09/2022"
"philip",,"Philip",,"1",,"11:49 05/09/2022"
"simon",,"Simon",,"1",,"11:49 05/09/2022"
"filip",,"Filip",,"1",,"11:49 05/09/2022"
"gerard",,"Gerard",,"1",,"11:49 05/09/2022"
"karl",,"Karl",,"1",,"11:49 05/09/2022"
"eric",,"Eric",,"1",,"11:49 05/09/2022"
"seamus",,"Seamus",,"1",,"11:49 05/09/2022"
"brendan",,"Brendan",,"1",,"11:49 05/09/2022"
"shaun",,"Shaun",,"1",,"11:49 05/09/2022"
"steven",,"Steven",,"1",,"11:49 05/09/2022"
"marcus",,"Marcus",,"1",,"11:49 05/09/2022"
"keith",,"Keith",,"1",,"11:49 05/09/2022"
"dillon",,"Dillon",,"1",,"11:49 05/09/2022"
"glen",,"Glen",,"1",,"11:49 05/09/2022"
"barry",,"Barry",,"1",,"11:49 05/09/2022"
"declan",,"Declan",,"1",,"11:49 05/09/2022"
"emmet",,"Emmet",,"1",,"11:49 05/09/2022"
"jordan",,"Jordan",,"1",,"11:49 05/09/2022"
"donal",,"Donal",,"1",,"11:49 05/09/2022"
"ian",,"Ian",,"1",,"11:49 05/09/2022"
"gary",,"Gary",,"1",,"11:49 05/09/2022"
"neil",,"Neil",,"1",,"11:49 05/09/2022"
"emmanuel",,"Emmanuel",,"1",,"11:49 05/09/2022"
"kayden",,"Kayden",,"1",,"11:49 05/09/2022"
"paul",,"Paul",,"1",,"11:49 05/09/2022"
"milan",,"Milan",,"1",,"11:49 05/09/2022"
"daan",,"Daan",,"1",,"11:49 05/09/2022"
"bram",,"Bram",,"1",,"11:49 05/09/2022"
"tim",,"Tim",,"1",,"11:49 05/09/2022"
"lars",,"Lars",,"1",,"11:49 05/09/2022"
"ruben",,"Ruben",,"1",,"11:49 05/09/2022"
"julian",,"Julian",,"1",,"11:49 05/09/2022"
"siem",,"Siem",,"1",,"11:49 05/09/2022"
"vince",,"Vince",,"1",,"11:49 05/09/2022"
