"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"gruber",,"Gruber",,"9",,"11:49 05/09/2022"
"huber",,"Huber",,"3",,"11:49 05/09/2022"
"bauer",,"Bauer",,"5",,"11:49 05/09/2022"
"wagner",,"Wagner",,"6",,"11:49 05/09/2022"
"muller",,"Muller",,"4",,"11:49 05/09/2022"
"pichler",,"Pichler",,"4",,"11:49 05/09/2022"
"steiner",,"Steiner",,"6",,"11:49 05/09/2022"
"moser",,"Moser",,"6",,"11:49 05/09/2022"
"mayer",,"Mayer",,"6",,"11:49 05/09/2022"
"hofer",,"Hofer",,"5",,"11:49 05/09/2022"
"leitner",,"Leitner",,"5",,"11:49 05/09/2022"
"berger",,"Berger",,"6",,"11:49 05/09/2022"
"fuchs",,"Fuchs",,"1",,"11:49 05/09/2022"
"eder",,"Eder",,"1",,"11:49 05/09/2022"
"fischer",,"Fischer",,"5",,"11:49 05/09/2022"
"schmid",,"Schmid",,"4",,"11:49 05/09/2022"
"winkler",,"Winkler",,"3",,"11:49 05/09/2022"
"weber",,"Weber",,"1",,"11:49 05/09/2022"
"schwarz",,"Schwarz",,"10",,"11:49 05/09/2022"
"maier",,"Maier",,"6",,"11:49 05/09/2022"
"schneider",,"Schneider",,"7",,"11:49 05/09/2022"
"reiter",,"Reiter",,"4",,"11:49 05/09/2022"
"mayr",,"Mayr",,"2",,"11:49 05/09/2022"
"schmidt",,"Schmidt",,"9",,"11:49 05/09/2022"
"wimmer",,"Wimmer",,"4",,"11:49 05/09/2022"
"egger",,"Egger",,"1",,"11:49 05/09/2022"
"brunner",,"Brunner",,"1",,"11:49 05/09/2022"
"lang",,"Lang",,"6",,"11:49 05/09/2022"
"baumgartner",,"Baumgartner",,"3",,"11:49 05/09/2022"
"auer",,"Auer",,"1",,"11:49 05/09/2022"
"binder",,"Binder",,"3",,"11:49 05/09/2022"
"lechner",,"Lechner",,"3",,"11:49 05/09/2022"
"wolf",,"Vlk",,"4",,"11:49 05/09/2022"
"wallner",,"Wallner",,"3",,"11:49 05/09/2022"
"aigner",,"Aigner",,"4",,"11:49 05/09/2022"
"ebner",,"Ebner",,"4",,"11:49 05/09/2022"
"koller",,"Koller",,"4",,"11:49 05/09/2022"
"lehner",,"Lehner",,"4",,"11:49 05/09/2022"
"haas",,"Haas",,"5",,"11:49 05/09/2022"
"schuster",,"Schuster",,"9",,"11:49 05/09/2022"
"peeters",,"Peeters",,"3",,"11:49 05/09/2022"
"janssens",,"Janssens",,"3",,"11:49 05/09/2022"
"maes",,"Maes",,"1",,"11:49 05/09/2022"
"jacobs",,"Jacobs",,"6",,"11:49 05/09/2022"
"mertens",,"Mertens",,"6",,"11:49 05/09/2022"
"willems",,"Willems",,"5",,"11:49 05/09/2022"
"claes",,"Claes",,"4",,"11:49 05/09/2022"
"goossens",,"Goossens",,"3",,"11:49 05/09/2022"
"wouters",,"Wouters",,"3",,"11:49 05/09/2022"
"de smet",,"De Smet",,"3",,"11:49 05/09/2022"
"dubois",,"Dubois",,"3",,"11:49 05/09/2022"
"lambert",,"Lambert",,"9",,"11:49 05/09/2022"
"dupont",,"Dupont",,"10",,"11:49 05/09/2022"
"martin",,"Martin",,"10",,"11:49 05/09/2022"
"simon",,"Simon",,"7",,"11:49 05/09/2022"
"novák",,"Novak",,"3",,"11:49 05/09/2022"
"svoboda",,"Svoboda",,"1",,"11:49 05/09/2022"
"novotný",,"Novotny",,"1",,"11:49 05/09/2022"
"dvorák",,"Dvorak",,"3",,"11:49 05/09/2022"
"cerný",,"Cerny",,"3",,"11:49 05/09/2022"
"procházka",,"Prochazka",,"4",,"11:49 05/09/2022"
"kucera",,"Kucera",,"1",,"11:49 05/09/2022"
"veselý",,"Vesely",,"3",,"11:49 05/09/2022"
"horák",,"Horak",,"3",,"11:49 05/09/2022"
"nemec",,"Nemec",,"3",,"11:49 05/09/2022"
"bernard",,"Bernard",,"5",,"11:49 05/09/2022"
"thomas",,"Thomas",,"5",,"11:49 05/09/2022"
"robert",,"Robert",,"3",,"11:49 05/09/2022"
"richard",,"Richard",,"4",,"11:49 05/09/2022"
"petit",,"Petit",,"8",,"11:49 05/09/2022"
"durand",,"Durand",,"8",,"11:49 05/09/2022"
"leroy",,"Leroy",,"4",,"11:49 05/09/2022"
"moreau",,"Moreau",,"5",,"11:49 05/09/2022"
"laurent",,"Laurent",,"10",,"11:49 05/09/2022"
"lefebvre",,"Lefebvre",,"1",,"11:49 05/09/2022"
"michel",,"Michel",,"6",,"11:49 05/09/2022"
"garcia",,"Garcia",,"5",,"11:49 05/09/2022"
"david",,"David",,"4",,"11:49 05/09/2022"
"bertrand",,"Bertrand",,"5",,"11:49 05/09/2022"
"roux",,"Roux",,"10",,"11:49 05/09/2022"
"vincent",,"Vincent",,"6",,"11:49 05/09/2022"
"fournier",,"Fournier",,"5",,"11:49 05/09/2022"
"morel",,"Morel",,"4",,"11:49 05/09/2022"
"girard",,"Girard",,"5",,"11:49 05/09/2022"
"andré",,"Andre",,"4",,"11:49 05/09/2022"
"lefèvre",,"Lefevre",,"6",,"11:49 05/09/2022"
"mercier",,"Mercier",,"3",,"11:49 05/09/2022"
"bonnet",,"Bonnet",,"7",,"11:49 05/09/2022"
"françois",,"Francois",,"2",,"11:49 05/09/2022"
"meyer",,"Meyer",,"7",,"11:49 05/09/2022"
"schulz",,"Schulz",,"8",,"11:49 05/09/2022"
"becker",,"Becker",,"4",,"11:49 05/09/2022"
"hoffmann",,"Hoffmann",,"6",,"11:49 05/09/2022"
"murphy",,"Murphy",,"9",,"11:49 05/09/2022"
"kelly",,"Kelly",,"7",,"11:49 05/09/2022"
"sullivan",,"Sullivan",,"7",,"11:49 05/09/2022"
"walsh",,"Walsh",,"6",,"11:49 05/09/2022"
"smith",,"Smith",,"9",,"11:49 05/09/2022"
"o'brien",,"O'Brien",,"6",,"11:49 05/09/2022"
"byrne",,"Byrne",,"7",,"11:49 05/09/2022"
"ryan",,"Ryan",,"7",,"11:49 05/09/2022"
"o'connor",,"O'Connor",,"6",,"11:49 05/09/2022"
"o'neill",,"O'Neill",,"6",,"11:49 05/09/2022"
"reilly",,"Reilly",,"5",,"11:49 05/09/2022"
"doyle",,"Doyle",,"5",,"11:49 05/09/2022"
"mccarthy",,"McCarthy",,"9",,"11:49 05/09/2022"
"gallagher",,"Gallagher",,"10",,"11:49 05/09/2022"
"doherty",,"Doherty",,"6",,"11:49 05/09/2022"
"kennedy",,"Kennedy",,"2",,"11:49 05/09/2022"
"lynch",,"Lynch",,"9",,"11:49 05/09/2022"
"murray",,"Murray",,"4",,"11:49 05/09/2022"
"quinn",,"Quinn",,"4",,"11:49 05/09/2022"
"moore",,"Moore",,"4",,"11:49 05/09/2022"
"de jong",,"De Jong",,"8",,"11:49 05/09/2022"
"jansen",,"Jansen",,"7",,"11:49 05/09/2022"
"de vries",,"De Vries",,"5",,"11:49 05/09/2022"
"van den berg",,"Van den Berg",,"5",,"11:49 05/09/2022"
"van dyk",,"Van Dyk",,"7",,"11:49 05/09/2022"
"bakker",,"Bakker",,"3",,"11:49 05/09/2022"
"janssen",,"Janssen",,"3",,"11:49 05/09/2022"
"visser",,"Visser",,"4",,"11:49 05/09/2022"
"smit",,"Smit",,"1",,"11:49 05/09/2022"
"de boer",,"De Boer",,"5",,"11:49 05/09/2022"
"mulder",,"Mulder",,"4",,"11:49 05/09/2022"
"de groot",,"De Groot",,"4",,"11:49 05/09/2022"
"bos",,"Bos",,"3",,"11:49 05/09/2022"
"vos",,"Vos",,"1",,"11:49 05/09/2022"
"peters",,"Peters",,"7",,"11:49 05/09/2022"
"hendriks",,"Hendriks",,"9",,"11:49 05/09/2022"
"van leeuwen",,"Van Leeuwen",,"2",,"11:49 05/09/2022"
"dekker",,"Dekker",,"3",,"11:49 05/09/2022"
"brouwer",,"Brouwer",,"3",,"11:49 05/09/2022"
"de wit",,"De Wit",,"5",,"11:49 05/09/2022"
"dijkstra",,"Dijkstra",,"3",,"11:49 05/09/2022"
"smits",,"Smits",,"3",,"11:49 05/09/2022"
"de graaf",,"De Graaf",,"3",,"11:49 05/09/2022"
"van der meer",,"Van der Meer",,"4",,"11:49 05/09/2022"
"bianchi",,"Bianchi",,"5",,"11:49 05/09/2022"
"bernasconi",,"Bernasconi",,"3",,"11:49 05/09/2022"
"fontana",,"Fontana",,"3",,"11:49 05/09/2022"
"crivelli",,"Crivelli",,"3",,"11:49 05/09/2022"
"galli",,"Galli",,"3",,"11:49 05/09/2022"
"cereghetti",,"Cereghetti",,"3",,"11:49 05/09/2022"
"colombo",,"Colombo",,"9",,"11:49 05/09/2022"
"rossi",,"Rossi",,"7",,"11:49 05/09/2022"
"ferrari",,"Ferrari",,"4",,"11:49 05/09/2022"
"cavadini",,"Cavadini",,"5",,"11:49 05/09/2022"
"meier",,"Meier",,"5",,"11:49 05/09/2022"
"keller",,"Keller",,"3",,"11:49 05/09/2022"
"baumann",,"Baumann",,"3",,"11:49 05/09/2022"
"gerber",,"Gerber",,"1",,"11:49 05/09/2022"
"frei",,"Frei",,"4",,"11:49 05/09/2022"
"jones",,"Jones",,"7",,"11:49 05/09/2022"
"taylor",,"Taylor",,"8",,"11:49 05/09/2022"
"brown",,"Brown",,"8",,"11:49 05/09/2022"
"williams",,"Williams",,"7",,"11:49 05/09/2022"
"wilson",,"Wilson",,"2",,"11:49 05/09/2022"
"johnson",,"Johnson",,"8",,"11:49 05/09/2022"
"davies",,"Davies",,"8",,"11:49 05/09/2022"
"robinson",,"Robinson",,"8",,"11:49 05/09/2022"
"wright",,"Wright",,"7",,"11:49 05/09/2022"
"thompson",,"Thompson",,"8",,"11:49 05/09/2022"
"evans",,"Evans",,"8",,"11:49 05/09/2022"
"walker",,"Walker",,"8",,"11:49 05/09/2022"
"white",,"White",,"5",,"11:49 05/09/2022"
"roberts",,"Roberts",,"4",,"11:49 05/09/2022"
"green",,"Green",,"4",,"11:49 05/09/2022"
"hall",,"Hall",,"5",,"11:49 05/09/2022"
"wood",,"Wood",,"5",,"11:49 05/09/2022"
"jackson",,"Jackson",,"7",,"11:49 05/09/2022"
"clarke",,"Clarke",,"8",,"11:49 05/09/2022"
"robertson",,"Robertson",,"4",,"11:49 05/09/2022"
"thomson",,"Thomson",,"7",,"11:49 05/09/2022"
"campbell",,"Campbell",,"4",,"11:49 05/09/2022"
"stewart",,"Stewart",,"5",,"11:49 05/09/2022"
"anderson",,"Anderson",,"5",,"11:49 05/09/2022"
"scott",,"Scott",,"6",,"11:49 05/09/2022"
"macdonald",,"MacDonald",,"7",,"11:49 05/09/2022"
"reid",,"Reid",,"6",,"11:49 05/09/2022"
"clark",,"Clark",,"6",,"11:49 05/09/2022"
"ross",,"Ross",,"7",,"11:49 05/09/2022"
"young",,"Young",,"7",,"11:49 05/09/2022"
"mitchell",,"Mitchell",,"7",,"11:49 05/09/2022"
"watson",,"Watson",,"5",,"11:49 05/09/2022"
"paterson",,"Paterson",,"8",,"11:49 05/09/2022"
"morrison",,"Morrison",,"5",,"11:49 05/09/2022"
"sanders",,"Sanders",,"8",,"11:49 05/09/2022"
"lewis",,"Lewis",,"6",,"11:49 05/09/2022"
"hughes",,"Hughes",,"7",,"11:49 05/09/2022"
"morgan",,"Morgan",,"8",,"11:49 05/09/2022"
"griffiths",,"Griffiths",,"8",,"11:49 05/09/2022"
"edwards",,"Edwards",,"5",,"11:49 05/09/2022"
"james",,"James",,"5",,"11:49 05/09/2022"
"rees",,"Rees",,"6",,"11:49 05/09/2022"
"jenkins",,"Jenkins",,"6",,"11:49 05/09/2022"
"owen",,"Owen",,"5",,"11:49 05/09/2022"
"price",,"Price",,"6",,"11:49 05/09/2022"
"phillips",,"Phillips",,"4",,"11:49 05/09/2022"
"moss",,"Moss",,"3",,"11:49 05/09/2022"
"driscoll",,"Driscoll",,"8",,"11:49 05/09/2022"
"andre",,"Andre",,"1",,"11:49 05/09/2022"
"lefevre",,"Lefevre",,"1",,"11:49 05/09/2022"
"francois",,"Francois",,"1",,"11:49 05/09/2022"
"legrand",,"Legrand",,"8",,"11:49 05/09/2022"
"garnier",,"Garnier",,"7",,"11:49 05/09/2022"
"faure",,"Faure",,"6",,"11:49 05/09/2022"
"rousseau",,"Rousseau",,"7",,"11:49 05/09/2022"
"blanc",,"Blanc",,"8",,"11:49 05/09/2022"
"guerin",,"Guerin",,"2",,"11:49 05/09/2022"
"henry",,"Henry",,"3",,"11:49 05/09/2022"
"roussel",,"Roussel",,"2",,"11:49 05/09/2022"
"nicolas",,"Nicolas",,"3",,"11:49 05/09/2022"
"schafer",,"Schafer",,"7",,"11:49 05/09/2022"
"koch",,"Koch",,"4",,"11:49 05/09/2022"
"richter",,"Richter",,"6",,"11:49 05/09/2022"
"klein",,"Klein",,"5",,"11:49 05/09/2022"
"schroder",,"Schroder",,"2",,"11:49 05/09/2022"
"neumann",,"Neumann",,"2",,"11:49 05/09/2022"
"zimmermann",,"Zimmermann",,"2",,"11:49 05/09/2022"
