"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","-","-","—","—","—"
"male","male","muz",,,,"11:48 05/09/2022"
"average","average","prumer",,,,"11:48 05/09/2022"
"black","black hair","cerne vlasy",,,,"11:48 05/09/2022"
"shorthair","short","kratky",,,,"11:48 05/09/2022"
"greeneyes","green eyes","zelene oci",,,,"11:48 05/09/2022"
"adult","adult","pro dospele",,,,"11:48 05/09/2022"
"he","he","on",,,,"11:48 05/09/2022"
"him","him","ho",,,,"11:48 05/09/2022"
"his","his","jeho",,,,"11:48 05/09/2022"
"female","female","zena",,,,"11:48 05/09/2022"
"brown","brown hair","hnede vlasy",,,,"11:48 05/09/2022"
"longhair","long","dlouhe vlasy",,,,"11:48 05/09/2022"
"she","she","ona",,,,"11:48 05/09/2022"
"her","her","jeji",,,,"11:48 05/09/2022"
"skinny","skinny","hubeny",,,,"11:48 05/09/2022"
"blueeyes","blue eyes","modre oci",,,,"11:48 05/09/2022"
"overweight","large","nadvaha",,,,"11:48 12/12/2022"
"red","red hair","cervene vlasy",,,,"11:48 05/09/2022"
"tall","tall","vysoky",,,,"11:48 05/09/2022"
"blonde","blonde hair","blond vlasy",,,,"11:48 05/09/2022"
"browneyes","brown eyes","hnede oci",,,,"11:48 05/09/2022"
"purple","purple hair","fialove vlasy",,,,"11:48 05/09/2022"
"nonbinary","Non-binary","Nebinarni",,,,"11:48 05/09/2022"
"bald","bald","plesy",,,,"11:48 05/09/2022"
"they","they","jsou",,,,"11:48 05/09/2022"
"them","them","je",,,,"11:48 05/09/2022"
"their","their","jejich",,,,"11:48 05/09/2022"
"hshort","short","kratky",,,,"11:48 05/09/2022"
"ginger","ginger hair","zrzave vlasy",,,,"11:48 05/09/2022"
"verytall","very tall","velmi vysoky",,,,"11:48 05/09/2022"
"white","white hair","bile vlasy",,,,"11:48 05/09/2022"
"green","green hair","zelene vlasy",,,,"11:48 05/09/2022"
"greyeyes","grey eyes","sede oci",,,,"11:48 05/09/2022"
"veryshort","very short","velmi kratky",,,,"11:48 05/09/2022"
"grey","grey hair","sedive vlasy",,,,"11:48 05/09/2022"
"haverage","average height","prumerna vyska",,,,"11:48 05/09/2022"
"blue","blue hair","modre vlasy",,,,"11:48 05/09/2022"
"pink","pink hair","ruzove vlasy",,,,"11:48 05/09/2022"
"lb","lb","lb",,,,"11:48 05/09/2022"
"muscular","muscular","svaly",,,,"11:48 05/09/2022"
"youngadult","young adult","mlady dospely",,,,"11:48 05/09/2022"
"shoe size","shoe size","velikost obuvi",,,,"11:48 05/09/2022"
"shoe size estimate","estimate","odhad",,,,"11:48 05/09/2022"
"mr","Mr","Pan",,,,"11:48 05/09/2022"
"mx","Mx","Mx",,,,"11:48 05/09/2022"
"ms","Ms","Pani",,,,"11:48 05/09/2022"
"age","Age","Vek",,,,"11:48 05/09/2022"
"date of birth","Date of Birth","Datum narozeni",,,,"11:48 05/09/2022"
"gender","Gender","Pohlavi",,,,"11:48 05/09/2022"
"height","Height","Vyska",,,,"11:48 05/09/2022"
"build","Build","Sestavte",,,,"11:48 05/09/2022"
"hair","Hair","Vlasy",,,,"11:48 05/09/2022"
"eyes","Eyes","Oci",,,,"11:48 05/09/2022"
"glasses","Glasses","Bryle",,,,"11:48 05/09/2022"
"yes","Yes","Ano",,,,"11:48 05/09/2022"
"facial hair","Facial Hair","Chlupy na obliceji",,,,"11:48 05/09/2022"
"blood type","Blood Type","Krevni skupina",,,,"11:48 05/09/2022"
"address","Address","Adresa",,,,"11:48 05/09/2022"
"workplace","Workplace","Pracoviste",,,,"11:48 05/09/2022"
"job title","Job Title","Nazev prace",,,,"11:48 05/09/2022"
"work hours","Work Hours","Pracovni doba",,,,"11:48 05/09/2022"
"salary","Salary","Plat",,,,"11:48 05/09/2022"
"additional notes","Additional Notes","Dalsi poznamky",,,,"11:48 05/09/2022"
"no","No","Ne",,,,"11:48 05/09/2022"
"profile","Profile","Profil",,,,"11:48 05/09/2022"
"interest","Interest","Uroky",,,,"11:48 05/09/2022"
"interest-nature","Nature","Priroda",,,,"11:48 05/09/2022"
"none","None","Zadne",,,,"11:48 05/09/2022"
"partner first name","Partner first name","Krestni jmeno partnera",,,,"11:48 05/09/2022"
"first name initial","First name initial","Pocatecni pismeno krestniho jmena",,,,"11:48 05/09/2022"
"handwriting","Handwriting","Rukopis",,,,"11:48 05/09/2022"
"affliction","Affliction","Postizeni",,,,"11:48 05/09/2022"
"affliction-highbloodpressure","high blood pressure","vysoky krevni tlak",,,,"11:48 05/09/2022"
"interest-whiskey","whiskey","whisky",,,,"11:48 05/09/2022"
