"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"buffalo","Buffalo","Buvol",,"8",,"11:49 05/09/2022"
"python","Python","Krajta",,"8",,"11:49 05/09/2022"
"lion","Lion","Lev",,"7",,"11:49 05/09/2022"
"eagle","Eagle","Orel",,"7",,"11:49 05/09/2022"
"fish","Fish","Ryby",,"6",,"11:49 05/09/2022"
"trout","Trout","Pstruh",,"6",,"11:49 05/09/2022"
"wolf","Wolf","Vlk",,"6",,"11:49 05/09/2022"
"elephant","Elephant","Slon",,"5",,"11:49 05/09/2022"
"dog","Dog","Pes",,"6",,"11:49 05/09/2022"
"porcupine","Porcupine","Dikobraz",,"7",,"11:49 05/09/2022"
"alpaca","Alpaca","Alpaka",,"6",,"11:49 05/09/2022"
"rat","Rat","Krysy",,"6",,"11:49 05/09/2022"
"lemming","Lemming","Lemming",,"5",,"11:49 05/09/2022"
"cockroach","Cockroach","Svabi",,"5",,"11:49 05/09/2022"
"squirrel","Squirrel","Veverka",,"6",,"11:49 05/09/2022"
"hare","Hare","Zajic",,"7",,"11:49 05/09/2022"
"jackal","Jackal","Sakal",,"7",,"11:49 05/09/2022"
"turkey","Turkey","Krocan",,"6",,"11:49 05/09/2022"
"pelican","Pelican","Pelikan",,"8",,"11:49 05/09/2022"
"magpie","Magpie","Straka",,"8",,"11:49 05/09/2022"
"sea lion","Sea Lion","Morsky lev",,"4",,"11:49 05/09/2022"
"baboon","Baboon","Pavian",,"4",,"11:49 05/09/2022"
"fox","Fox","Fox",,"8",,"11:49 05/09/2022"
"deer","Deer","Jelen",,"7",,"11:49 05/09/2022"
"kangaroo","Kangaroo","Klokan",,"5",,"11:49 05/09/2022"
"buckeye","Buckeye","Buckeye",,"4",,"11:49 05/09/2022"
"possum","Possum","Vacice",,"4",,"11:49 05/09/2022"
"skunk","Skunk","Skunk",,"4",,"11:49 05/09/2022"
"finch","Finch","Finch",,"5",,"11:49 05/09/2022"
"cat","Cat","Kocka",,"6",,"11:49 05/09/2022"
"leopard","Leopard","Leopardi",,"7",,"11:49 05/09/2022"
"boa","Boa","Boa",,"4",,"11:49 05/09/2022"
"partridge","Partridge","Koroptev",,"7",,"11:49 05/09/2022"
"vulture","Vulture","Supi",,"5",,"11:49 05/09/2022"
"cobra","Cobra","Cobra",,"6",,"11:49 05/09/2022"
"dragon","Dragon","Drak",,"10",,"11:49 05/09/2022"
"lizard","Lizard","Jesterka",,"7",,"11:49 05/09/2022"
"heron","Heron","Volavka",,"6",,"11:49 05/09/2022"
"armadillo","Armadillo","Pasovec",,"8",,"11:49 05/09/2022"
"crow","Crow","Vrana",,"9",,"11:49 05/09/2022"
"sloth","Sloth","Lenochodi",,"7",,"11:49 05/09/2022"
"badger","Badger","Jezevec",,"6",,"11:49 05/09/2022"
"admiral","Admiral","Admiral",,"5",,"11:49 05/09/2022"
"mouse","Mouse","Mys",,"5",,"11:49 05/09/2022"
"rabbit","Rabbit","Kralik",,"6",,"11:49 05/09/2022"
"iguana","Iguana","Leguan",,"4",,"11:49 05/09/2022"
"stork","Stork","Uzavirani",,"5",,"11:49 05/09/2022"
"falcon","Falcon","Sokol",,"6",,"11:49 05/09/2022"
"zebra","Zebra","Zebra",,"5",,"11:49 05/09/2022"
"crab","Crab","Krab",,"3",,"11:49 05/09/2022"
"monkey","Monkey","Opice",,"7",,"11:49 05/09/2022"
"pheasant","Pheasant","Bazant",,"7",,"11:49 05/09/2022"
"sparrow","Sparrow","Vrabec",,"7",,"11:49 05/09/2022"
"spider","Spider","Pavouk",,"7",,"11:49 05/09/2022"
"snake","Snake","Had",,"6",,"11:49 05/09/2022"
"cow","Cow","Krava",,"7",,"11:49 05/09/2022"
"goose","Goose","Husi",,"8",,"11:49 05/09/2022"
"duck","Duck","Kachna",,"7",,"11:49 05/09/2022"
"swan","Swan","Labut",,"9",,"11:49 05/09/2022"
"hyena","Hyena","Hyena",,"5",,"11:49 05/09/2022"
"dolphin","Dolphin","Delfin",,"5",,"11:49 05/09/2022"
"albatross","Albatross","Albatros",,"8",,"11:49 05/09/2022"
"jackrabbit","Jackrabbit","Jackrabbit",,"6",,"11:49 05/09/2022"
"ferret","Ferret","Fretka",,"6",,"11:49 05/09/2022"
"clam","Clam","Skeble",,"6",,"11:49 05/09/2022"
"cockle","Cockle","Cockle",,"6",,"11:49 05/09/2022"
"lobster","Lobster","Humr",,"8",,"11:49 05/09/2022"
"shark","Shark","Zralok",,"7",,"11:49 05/09/2022"
"mockingbird","Drozd","Mockingbird",,"10",,"11:49 05/09/2022"
"raven","Raven","Havran",,"10",,"11:49 05/09/2022"
