"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"red","Red","Cervena","cervena","2",,"11:49 05/09/2022"
"scarlet","Scarlet","Sarlatova","cervena","10",,"11:49 05/09/2022"
"ruby","Ruby","Rubin","cervena","9",,"11:49 05/09/2022"
"crimson","Crimson","Crimson","cervena","10",,"11:49 05/09/2022"
"cherry","Cherry","Cherry","cervena","7",,"11:49 05/09/2022"
"jam","Jam","Jam","cervena","4",,"11:49 05/09/2022"
"merlot","Merlot","Merlot","cervena","4",,"11:49 05/09/2022"
"white","White","Bila","bila","1",,"11:49 05/09/2022"
"pearl","Pearl","Perla","bila","4",,"11:49 05/09/2022"
"ivory","Ivory","Slonova kost","bila","5",,"11:49 05/09/2022"
"cotton","Cotton","Bavlna","bila","7",,"11:49 05/09/2022"
"porcelain","Porcelain","Porcelan","bila","4",,"11:49 05/09/2022"
"snow","Snow","Snih","bila","3",,"11:49 05/09/2022"
"yellow","Yellow","Zluty","zluta","2",,"11:49 05/09/2022"
"buttermilk","Buttermilk","Podmasli","zluta","3",,"11:49 05/09/2022"
"canary","Canary","Kanarek","zluta","6",,"11:49 05/09/2022"
"gold","Gold","Zlato","zluta","5",,"11:49 05/09/2022"
"golden","Golden","Zlaty","zluta","5",,"11:49 05/09/2022"
"butterscotch","Butterscotch","Maslove bonbony","zluta","5",,"11:49 05/09/2022"
"pineapple","Pineapple","Ananas","zluta","5",,"11:49 05/09/2022"
"honey","Honey","Med","zluta","6",,"11:49 05/09/2022"
"lemon","Lemon","Citron","zluta","8",,"11:49 05/09/2022"
"daffodil","Daffodil","Narcis","zluta","8",,"11:49 05/09/2022"
"medallion","Medallion","Medailon","zluta","7",,"11:49 05/09/2022"
"hornet","Hornet","Srsen","zluta","10",,"11:49 05/09/2022"
"bumblebee","Bumblebee","Cmelak","zluta","7",,"11:49 05/09/2022"
"orange","Orange","Oranzova","oranzova","3",,"11:49 05/09/2022"
"tangerine","Tangerine","Mandarinka","oranzova","9",,"11:49 05/09/2022"
"marigold","Marigold","Mesicek lekarsky","oranzova","7",,"11:49 05/09/2022"
"smoldering","Smouldering","Doutnajici","oranzova","5",,"11:49 05/09/2022"
"ginger","Ginger","Zazvor","oranzova","9",,"11:49 05/09/2022"
"amber","Amber","Amber","oranzova","10",,"11:49 05/09/2022"
"rust","Rust","Rez","oranzova","6",,"11:49 05/09/2022"
"bronze","Bronze","Bronz","oranzova","4",,"11:49 05/09/2022"
"pink","Pink","Ruzova","ruzova","3",,"11:49 05/09/2022"
"blush","Blush","Cervenat se","ruzova","4",,"11:49 05/09/2022"
"punch","Punch","Puncova","ruzova","5",,"11:49 05/09/2022"
"rouge","Rouge","Rouge","ruzova","8",,"11:49 05/09/2022"
"strawberry","Strawberry","Jahodova","ruzova","6",,"11:49 05/09/2022"
"salmon","Salmon","Lososova","ruzova","5",,"11:49 05/09/2022"
"coral","Coral","Koralova","ruzova","7",,"11:49 05/09/2022"
"flamingo","Flamingo","Plamenak","ruzova","10",,"11:49 05/09/2022"
"purple","Purple","Fialova","fialova","5",,"11:49 05/09/2022"
"violet","Violet","Fialova","fialova","8",,"11:49 05/09/2022"
"lilac","Lilac","Lila","fialova","6",,"11:49 05/09/2022"
"plum","Plum","Svestka","fialova","5",,"11:49 05/09/2022"
"iris","Iris","Iris","fialova","4",,"11:49 05/09/2022"
"mulberry","Mulberry","Moruse","fialova","7",,"11:49 05/09/2022"
"orchid","Orchid","Orchidej","fialova","8",,"11:49 05/09/2022"
"blue","Blue","Modra","modra","3",,"11:49 05/09/2022"
"indigo","Indigo","Indigo","modra","7",,"11:49 05/09/2022"
"navy","Navy","Namornictvo","modra","4",,"11:49 05/09/2022"
"cerulean","Cerulean","Cerulean","modra","9",,"11:49 05/09/2022"
"sapphire","Sapphire","Safir","modra","9",,"11:49 05/09/2022"
"cobalt","Cobalt","Kobalt","modra","7",,"11:49 05/09/2022"
"denim","Denim","Dzinovina","modra","2",,"11:49 05/09/2022"
"azure","Azure","Azure","modra","8",,"11:49 05/09/2022"
"green","Green","Zelena","zelena","1",,"11:49 05/09/2022"
"juniper","Juniper","Jalovec","zelena","6",,"11:49 05/09/2022"
"sage","Sage","Salvej","zelena","5",,"11:49 05/09/2022"
"lime","Lime","Limetka","zelena","5",,"11:49 05/09/2022"
"olive","Olive","Olivovy","zelena","5",,"11:49 05/09/2022"
"jade","Jade","Jade","zelena","10",,"11:49 05/09/2022"
"mint","Mint","Matovy","zelena","7",,"11:49 05/09/2022"
"moss","Moss","Mech","zelena","6",,"11:49 05/09/2022"
