"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"group","Group","Skupina",,"1",,"11:49 05/09/2022"
"finance","Finance","Finance",,"1",,"11:49 05/09/2022"
"holdings co.","Holdings Co.","Holdings Co.",,"1",,"11:49 05/09/2022"
"holdings","Holdings","Holdingy",,"1",,"11:49 05/09/2022"
"credit union","Credit Union","Druzstvo sporitelny",,"1",,"11:49 05/09/2022"
"bank group","Bank Group","Bankovni skupina",,"1",,"11:49 05/09/2022"
"financial","Financial","Financni",,"1",,"11:49 05/09/2022"
"financial group","Financial Group","Financni skupina",,"1",,"11:49 05/09/2022"
"bank","Bank","Banka",,"1",,"11:49 05/09/2022"
"savings company","Savings Company","Sporitelni spolecnost",,"1",,"11:49 05/09/2022"
"investments","Investments","Investice",,"1",,"11:49 05/09/2022"
"sterling","Sterling","Sterling",,"1",,"11:49 05/09/2022"
"state","State","Statistika",,"1",,"11:49 05/09/2022"
"east","East","Vychodni",,"1",,"11:49 05/09/2022"
"west","West","Zapadni",,"1",,"11:49 05/09/2022"
"savings bank","Savings Bank","Sporitelna",,"1",,"11:49 05/09/2022"
"trust","Trust","Duveryhodny",,"1",,"11:49 05/09/2022"
"state bank","State Bank","Statni banka",,"1",,"11:49 05/09/2022"
"choice","Choice","Volba",,"1",,"11:49 05/09/2022"
"mutual","Mutual","Vzajemne",,"1",,"11:49 05/09/2022"
"co-operative","Co-operative","Kooperace",,"1",,"11:49 05/09/2022"
"aspen","Aspen","Osika",,"1",,"11:49 05/09/2022"
"banking group","Banking Group","Bankovni skupina",,"1",,"11:49 05/09/2022"
"banking","Banking","Bankovnictvi",,"1",,"11:49 05/09/2022"
"& partners","& Partners","& Partneri",,"1",,"11:49 05/09/2022"
"accounts","Accounts","Ucty",,"1",,"11:49 05/09/2022"
"standard","Standard","Standard",,"1",,"11:49 05/09/2022"
"reserve","Reserve","Rezerevy",,"1",,"11:49 05/09/2022"
"monopoly","Monopoly","Monopol",,"1",,"11:49 05/09/2022"
