"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"electric","Electric","Elektricky",,"1","Y","11:49 05/09/2022"
"thunder","Thunder","Hrom",,"1","Y","11:49 05/09/2022"
"spark","Spark","Jiskra",,"1",,"11:49 05/09/2022"
"power","Power","Napajeni",,"1","Y","11:49 05/09/2022"
"infamous","Infamous","Nechvalne proslule",,"1",,"11:49 05/09/2022"
"devil","Devil","Dabel",,"1","Y","11:49 05/09/2022"
"punk","Punk","Punk",,"1",,"11:49 05/09/2022"
"flash","Flash","Flash",,"1",,"11:49 05/09/2022"
"superpower","Superpower","Supervelmoc",,"1",,"11:49 05/09/2022"
"revolver","Revolver","Revolver",,"1",,"11:49 05/09/2022"
"famous","Famous","Slavne",,"1","Y","11:49 05/09/2022"
"brassknuckle","Brassknuckle","Brassknuckle",,"1",,"11:49 05/09/2022"
"radioactive","Radioactive","Radioaktivni",,"1","Y","11:49 05/09/2022"
"angel face","Angel Face","Andelska tvar",,"1",,"11:49 05/09/2022"
"velvet","Velvet","Sametovy",,"1",,"11:49 05/09/2022"
"blitzkrieg","Blitzkrieg","Bleskovy",,"1",,"11:49 05/09/2022"
"hardcore","Hardcore","Hardcore",,"1","Y","11:49 05/09/2022"
"notorious","Notorious","Povestny",,"1",,"11:49 05/09/2022"
"rampage","Rampage","Zurivy",,"1",,"11:49 05/09/2022"
"slam","Slam","Nabourat (en: slam)",,"1",,"11:49 05/09/2022"
