"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"iris","Iris","Fialovka","fialova","1","Y","11:49 05/09/2022"
"orchid","Orchid","Orchidej","fialova","1","Y","11:49 05/09/2022"
"juniper","Juniper","Jalovec","zelena","1","Y","11:49 05/09/2022"
"sage","Sage","Salvej","zelena","1","Y","11:49 05/09/2022"
"olive","Olive","Olivovnik","zelena","1","Y","11:49 05/09/2022"
"hickory","Hickory","Oresak","hneda","1","Y","11:49 05/09/2022"
"rose","Rose","Ruze","cervena","1","Y","11:49 05/09/2022"
"lily","Lily","Lilie","bila","1","Y","11:49 05/09/2022"
"hyacinth","Hyacinth","Hyacint","bila","1","Y","11:49 05/09/2022"
"carnation","Carnation","Karafiat","cervena","1","Y","11:49 05/09/2022"
"daffodil","Daffodil","Narcis","zluta","1","Y","11:49 05/09/2022"
"marigold","Marigold","Mesicek","zluta","1","Y","11:49 05/09/2022"
"ivy","Ivy","Brectan","zelena","1","Y","11:49 05/09/2022"
"jasmine","Jasmine","Jasmin","bila","1","Y","11:49 05/09/2022"
"briar","Briar","Vres","zelena","1","Y","11:49 05/09/2022"
"lavender","Lavender","Levandule","fialova","1","Y","11:49 05/09/2022"
"indigo","Indigo","Indigova","modra","1","Y","11:49 05/09/2022"
"rosemary","Rosemary","Rozmaryn","zelena","1","Y","11:49 05/09/2022"
