"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"alpha","Alpha","Alfa",,"8","Y","11:49 05/09/2022"
"beta","Beta","Beta",,"7","Y","11:49 05/09/2022"
"gamma","Gamma","Gama",,"6","Y","11:49 05/09/2022"
"delta","Delta","Delta",,"5","Y","11:49 05/09/2022"
"epsilon","Epsilon","Epsilon",,"4","Y","11:49 05/09/2022"
"zeta","Zeta","Zeta",,"4","Y","11:49 05/09/2022"
"eta","Eta","Eta",,"1","Y","11:49 05/09/2022"
"theta","Theta","Theta",,"3","Y","11:49 05/09/2022"
"iota","Iota","Iota",,"3","Y","11:49 05/09/2022"
"kappa","Kappa","Kappa",,"3","Y","11:49 05/09/2022"
"lambda","Lambda","Lambda",,"5","Y","11:49 05/09/2022"
"mu","Mu","Mu",,"1","Y","11:49 05/09/2022"
"nu","Nu","Nu",,"1","Y","11:49 05/09/2022"
"xi","Xi","Xi",,"3","Y","11:49 05/09/2022"
"omicron","Omicron","Omicron",,"4","Y","11:49 05/09/2022"
"pi","Pi","Pi",,"1","Y","11:49 05/09/2022"
"rho","Rho","Rho",,"2","Y","11:49 05/09/2022"
"sigma","Sigma","Sigma",,"3","Y","11:49 05/09/2022"
"tau","Tau","Tau",,"4","Y","11:49 05/09/2022"
"upsilon","Upsilon","Upsilon",,"3","Y","11:49 05/09/2022"
"phi",,"Phi",,"1","Y","11:49 05/09/2022"
"chi",,"Chi",,"2","Y","11:49 05/09/2022"
"psi",,"Psi",,"3","Y","11:49 05/09/2022"
"omega",,"Omega",,"4","Y","11:49 05/09/2022"
