"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","-","-","—","—","—"
"lobby","lobby","hala",,,,"11:49 05/09/2022"
"ground floor","ground floor","prizemi",,,,"11:49 05/09/2022"
"floor landing","floor landing","podlazi",,,,"11:49 05/09/2022"
"jobposting","Job Posting","Vyhlaseni vyberoveho rizeni",,,,"11:49 05/09/2022"
"postedby","posted by","odeslano uzivatelem",,,,"11:49 05/09/2022"
"isperpetrator","is perpetrator of","je pachatelem",,,,"11:49 05/09/2022"
"street","street","ulice",,,,"11:49 05/09/2022"
"residence","residence","rezidence",,,,"11:49 05/09/2022"
"landing","landing","pristani",,,,"11:49 05/09/2022"
"key","Key","Klic",,,,"11:49 05/09/2022"
"birthday","born on","narozeny dne",,,,"11:49 05/09/2022"
"age","age","vek",,,,"11:49 05/09/2022"
"belongsto","belongs to","patri do",,,,"11:49 05/09/2022"
"sentby","sent by","zaslany",,,,"11:49 05/09/2022"
"located in the","located in the","nachazejici se v",,,,"11:49 05/09/2022"
"building","building","budova",,,,"11:49 05/09/2022"
"menu","Menu","Nabidka",,,,"11:49 05/09/2022"
"worksat","works at","pracuje v",,,,"11:49 05/09/2022"
"as a","as a","jako",,,,"11:49 05/09/2022"
"livesat","lives at","zije na adrese",,,,"11:49 05/09/2022"
"locatedat","located at","se nachazi na adrese",,,,"11:49 05/09/2022"
"for","for","pro",,,,"11:49 05/09/2022"
"workshours","works hours","pracovni doba",,,,"11:49 05/09/2022"
"unknown","Unknown","Neznamy",,,,"11:49 05/09/2022"
"citizen","citizen","obcan",,,,"11:49 05/09/2022"
"purchasedat","purchased at","zakoupene v",,,,"11:49 05/09/2022"
"foundat","found at","najdete na adrese",,,,"11:49 05/09/2022"
"deceased","Deceased","Zemrela",,,,"11:49 05/09/2022"
"paid by","paid by","vyplaci",,,,"11:49 05/09/2022"
"purchasedby","purchased by","zakoupene spolecnosti",,,,"11:49 05/09/2022"
"purchased","purchased","zakoupeno",,,,"11:49 05/09/2022"
"at","at","na adrese",,,,"11:49 05/09/2022"
"matches","matches","odpovida",,,,"11:49 05/09/2022"
"friend","friend","pritel",,,,"11:49 05/09/2022"
"birthdaycard","Birthday Card","Narozeninove prani",,,,"11:49 05/09/2022"
"workteam","works with","pracuje s",,,,"11:49 05/09/2022"
"lover","lover of","milovnik",,,,"11:49 05/09/2022"
"workother","works with","pracuje s",,,,"11:49 05/09/2022"
"isfriendswith","is friends with","se prateli s",,,,"11:49 05/09/2022"
"familiarwork","works with","pracuje s",,,,"11:49 05/09/2022"
"neighbor","neighbour of","souseda",,,,"11:49 05/09/2022"
"purchasedtime","purchased between","zakoupene mezi",,,,"11:49 05/09/2022"
"soldat","sold at","prodava se v",,,,"11:49 05/09/2022"
"open","Open","Otevrit",,,,"11:49 05/09/2022"
"every day","every day","kazdy den",,,,"11:49 05/09/2022"
"vacant","Vacant","Volne misto",,,,"11:49 05/09/2022"
"businessbackroom","Backroom Office","Kancelar Backroom",,,,"11:49 05/09/2022"
"office","Office","Kancelar",,,,"11:49 05/09/2022"
"eaterykitchen","Kitchen","Kuchyne",,,,"11:49 05/09/2022"
"customlink","Created Link","Vytvoreny odkaz",,,,"11:49 05/09/2022"
"photoof",,"z",,,,"11:49 05/09/2022"
"photograph","Photograph","Fotografie",,,,"11:49 05/09/2022"
"workswith","works with","pracuje s",,,,"11:49 05/09/2022"
"containspassword","contains password","obsahuje heslo",,,,"11:49 05/09/2022"
"makesreferenceto","makes reference to","odkazuje na",,,,"11:49 05/09/2022"
"string_autofact","[Automatically Created]","[Automaticky vytvoreno]",,,,"11:49 05/09/2022"
"string_customfact","[Player-Created]","[Vytvoreno hraci]",,,,"11:49 05/09/2022"
"food","Food","Potraviny",,,,"11:49 05/09/2022"
"24 hours","24 hours","24 hodin",,,,"11:49 05/09/2022"
"snacks","Snacks","Obcerstveni",,,,"11:49 05/09/2022"
"drink","Drink","Napoj",,,,"11:49 05/09/2022"
"foundon","found on","nalezene na",,,,"11:49 05/09/2022"
"isinrelationshipwith","in relationship with","ve vztahu k",,,,"11:49 05/09/2022"
"referencedin","referenced in","na ktere se odkazuje v",,,,"11:49 05/09/2022"
"boundary","boundary","hranice",,,,"11:49 05/09/2022"
"park","park","park",,,,"11:49 05/09/2022"
"commerical","commercial","komercni",,,,"11:49 05/09/2022"
"industrial","industrial","prumyslove",,,,"11:49 05/09/2022"
"residential","residential","rezidencni",,,,"11:49 05/09/2022"
"familiarresidence","neighbour of","souseda",,,,"11:49 05/09/2022"
"set","Set","Sada",,,,"11:49 05/09/2022"
