"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"interaction","Interaction","Interakce",,,,"11:49 05/09/2022"
"movement","Movement","Pohyb",,,,"11:49 05/09/2022"
"evidence","Evidence","Dukazy",,,,"11:49 05/09/2022"
"caseboard","Case Board","Pripadova komise",,,,"11:49 05/09/2022"
"citydirectory","City Directory","Adresar mest",,,,"11:49 05/09/2022"
"map","Map","Mapa",,,,"11:49 05/09/2022"
"doors","Doors","Dvere",,,,"11:49 05/09/2022"
"passwords","Passcodes","Pristupove kody",,,,"11:49 05/09/2022"
"passingtime","Passing Time","Uplynuly cas",,,,"11:49 05/09/2022"
"playerapartment","Player Apartment","Hracsky apartman",,,,"11:49 05/09/2022"
"citizens","Citizens","Obcane",,,,"11:49 05/09/2022"
"lockpicking","Lock-picking","Prolamovani zamku",,,,"11:49 05/09/2022"
"barging","Barging","Barazovani",,,,"11:49 05/09/2022"
"airducts","Air Ducts","Vzduchovody",,,,"11:49 05/09/2022"
"stealth","Stealth","Stealth",,,,"11:49 05/09/2022"
"combat","Combat","Bojove",,,,"11:49 05/09/2022"
"felonies","Felonies","Trestne ciny",,,,"11:49 05/09/2022"
"alarms","Alarms & Security","Alarmy a zabezpeceni",,,,"11:49 05/09/2022"
"money","Money","Penize",,,,"11:49 05/09/2022"
"upgrades","Upgrades","Upgrady",,,,"11:49 05/09/2022"
"telephones","Telephones","Telefony",,,,"11:49 05/09/2022"
"computers","Crunchers","Crunchers",,,,"11:49 05/09/2022"
"fingerprints","Fingerprints","Otisky prstu",,,,"11:49 05/09/2022"
"footprints","Footprints","Stopy",,,,"11:49 05/09/2022"
"spatter","Spatter","Rozstrik",,,,"11:49 05/09/2022"
"shells","Murder Weapons","Vrazedne zbrane",,,,"11:49 05/09/2022"
"dialogue","Dialogue","Dialog",,,,"11:49 05/09/2022"
"phones","Telephones","Telefony",,,,"11:49 05/09/2022"
"inventory","Inventory","Inventura",,,,"11:49 05/09/2022"
"statuses","Statuses","Statuty",,,,"11:49 05/09/2022"
"enforcers","Enforcers","Vymahaci",,,,"11:49 05/09/2022"
"surveillance","Surveillance","Dohled",,,,"11:49 05/09/2022"
"historyheader","This section archives everything that's public knowledge, or that you've looked at or investigated. Memory for places and citizens are infinite, but only the last 40 objects are recollect-able.","V teto casti se archivuje vse, co je verejne zname nebo co jste si prohledli ci prozkoumali. Pamet na mista a obcany je nekonecna, ale vzpominat lze pouze na poslednich 40 objektu.",,,,"11:49 05/09/2022"
"passcodesheader","This section archives all discovered passcodes.","V teto casti jsou archivovany vsechny nalezene pristupove kody.",,,,"11:49 05/09/2022"
"phonenumbersheader","This section archives all discovered phone numbers.","V teto casti jsou archivovana vsechna nalezena telefonni cisla.",,,,"11:49 05/09/2022"
"contentsheader","This section details standard detective operating procedure on a variety of topics.","V teto casti jsou podrobne popsany standardni detektivni operacni postupy tykajici se ruznych temat.",,,,"11:49 05/09/2022"
"ko","Incapacitation","Zneskodneni",,,,"11:49 05/09/2022"
"murders","Murders/Crime Scenes","Vrazdy / mista cinu",,,,"11:49 05/09/2022"
"sidejobs","Side Jobs","Vedlejsi prace",,,,"11:49 05/09/2022"
"socialcredit","Social Credit","Socialni uver",,,,"11:49 05/09/2022"
"breakingandentering","Breaking & Entering","Vloupani a vniknuti",,,,"14:56 31/10/2022"
"commercialproperty","Commercial Property","Komercni nemovitosti",,,,"14:56 31/10/2022"
"escaping","Escaping","Utek z",,,,"14:56 31/10/2022"
"custom_stealthcombat","Stealth & Combat","Stealth a boj",,,,"15:36 02/11/2022"
"arresting","Arresting","Zatceni",,,,"11:57 07/03/2023"
