"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"generating","Generating","Generovani",,,,"11:49 05/09/2022"
"start","Start","Start",,,,"11:49 05/09/2022"
"setupcityboundary","Setting up Boundary","Nastaveni hranice",,,,"11:49 05/09/2022"
"generatedistricts","Creating Districts","Vytvareni okresu",,,,"11:49 05/09/2022"
"generateblocks","Creating Blocks","Vytvareni bloku",,,,"11:49 05/09/2022"
"generatedensity","Creating Density","Vytvareni hustoty",,,,"11:49 05/09/2022"
"generatezoning","Creating Zones","Vytvareni zon",,,,"11:49 05/09/2022"
"loadbasemap","Loading Base Map","Nacitani zakladni mapy",,,,"11:49 05/09/2022"
"generatebuildings","Creating Buildings","Vytvareni budov",,,,"11:49 05/09/2022"
"generatepathfinding","Creating Path-finding Grid","Vytvoreni mrizky pro vyhledavani cest",,,,"11:49 05/09/2022"
"generateroads","Creating Streets","Vytvareni ulic",,,,"11:49 05/09/2022"
"generatecitizens","Creating Citizens","Vytvareni obcanu",,,,"11:49 05/09/2022"
"generaterelationships","Creating Relationships","Vytvareni vztahu",,,,"11:49 05/09/2022"
"generatecriminals","Creating Criminals","Vytvareni zlocincu",,,,"11:49 05/09/2022"
"generateroutines","Creating Routines","Vytvareni rutin",,,,"11:49 05/09/2022"
"generatepaths","Calculating Paths","Vypocet cest",,,,"11:49 05/09/2022"
"gatherdata","Gathering Data","Sber dat",,,,"11:49 05/09/2022"
"generateevidence","Creating Evidence","Vytvareni dukazu",,,,"11:49 05/09/2022"
"simulateday","Simulating Day","Simulace dne",,,,"11:49 05/09/2022"
"generatepathsfollowingsimday","Calculating Paths","Vypocet cest",,,,"11:49 05/09/2022"
"postdaysimulation","Gathering Data","Sber dat",,,,"11:49 05/09/2022"
"population","Population","Obyvatelstvo",,,,"11:49 05/09/2022"
"ready","Ready","Pripraveno",,,,"11:49 05/09/2022"
"prepping","Preparing","Priprava",,,,"11:49 05/09/2022"
"removecompletedroutines","Removing Completed Routines","Odstraneni dokoncenych rutin",,,,"11:49 05/09/2022"
"setupemmisiontextures","Creating Emission Textures","Vytvareni emisnich textur",,,,"11:49 05/09/2022"
"gather","Gathering Data","Sber dat",,,,"11:49 05/09/2022"
"finalizing","Finalizing","Finalizace",,,,"11:49 05/09/2022"
"generateinteriors","Creating Interiors","Vytvareni interieru",,,,"11:49 05/09/2022"
"generateblueprints","Creating Blueprints","Vytvareni planu",,,,"11:49 05/09/2022"
"generaterooms","Creating Rooms","Vytvareni mistnosti",,,,"11:49 05/09/2022"
"loadrooms","Loading Rooms","Nakladaci mistnosti",,,,"11:49 05/09/2022"
"connectrooms","Connecting Rooms","Propojene pokoje",,,,"11:49 05/09/2022"
"preparecitizens","Preparing Citizens","Priprava obcanu",,,,"11:49 05/09/2022"
"savingdata","Saving Data","Ukladani dat",,,,"11:49 05/09/2022"
"entering","Entering","Vstup na stranky",,,,"11:49 05/09/2022"
"calculatenearest","Optimizing Paths","Optimalizace cest",,,,"11:49 05/09/2022"
"generatecompanies","Creating Companies","Vytvareni spolecnosti",,,,"11:49 05/09/2022"
"generatejobs","Creating Jobs","Vytvareni pracovnich mist",,,,"11:49 05/09/2022"
"generateairducts","Generating Air Ducts","Generovani vzduchovodu",,,,"11:49 05/09/2022"
"loadchapter","Loading Chapter","Nacitani kapitoly",,,,"11:49 05/09/2022"
"loadobjects","Loading Objects","Nacitani objektu",,,,"11:49 05/09/2022"
"loadstate","Loading Game State","Nacitani stavu hry",,,,"11:49 15/11/2022"
"presim","Simulating Past Events","Simulace udalosti",,,,"11:49 05/09/2022"
"loadcomplete","Complete","Hotovo",,,,"11:49 05/09/2022"
"parsingfile","Loading Save File","Nahravani ulozene hry",,,,"11:49 05/09/2022"
