"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-",,"— ","— ","— "
"tutorialenable_title","Enable Tutorial","Povolit vyukovy program",,,,"11:49 05/09/2022"
"tutorialenable_body","Would you like to enable the tutorial text to guide you through how to play? This is recommended for new players.\n\nIn Shadows of Doubt the tutorial will guide you through how to use mechanics, though connecting the dots throughout the case is on your shoulders detective!\n\nHelp can also be accessed at any time through your 'Detective Handbook' through the main menu, or with |controls.notebook| and selecting the 'help' section.","Chcete povolit vyukovy text, ktery vas provede hrou? To doporucujeme novym hracum.\n\nV Shadows of Doubt vas tutorial provede pouzivanim mechanik, i kdyz propojeni bodu v celem pripadu je na vasich detektivnich bedrech!\n\nNapoveda je take kdykoli pristupna prostrednictvim vasi 'detektivni prirucky' v hlavnim menu nebo pomoci |controls.notebook| a vyberem sekce "napoveda".",,,,"11:49 28/02/2023"
"no","No","Ne",,,,"11:49 05/09/2022"
"yes","Yes","Ano",,,,"11:49 05/09/2022"
"tutorialend_title","Continue...","Pokracovat...",,,,"11:49 05/09/2022"
"tutorialend_body","You've reached the end of the guided story mission. You still have plenty to do and explore, but it will be without guidance. It's up to you now detective...\n\nRemember: You can still enable or disable gameplay hints using the game option menu at any time.","Dosahli jste konce pribehove mise s pruvodcem. Stale mate co delat a prozkoumavat, ale bude to bez vedeni. Nyni je to na vas, detektive...\n\nPamatujte: Herni napovedy muzete kdykoli zapnout nebo vypnout pomoci nabidky moznosti hry.",,,,"11:49 05/09/2022"
"tutorialpubliccitydir_title","City Directory","Adresar mest",,,,"11:49 05/09/2022"
"tutorialpubliccitydir_body","In addition to your apartment, you'll often be able to find city directories in public places such as bars and restaurants.","Krome sveho bytu muzete casto najit mestske adresare i na verejnych mistech, jako jsou bary a restaurace.",,,,"11:49 05/09/2022"
"tutorialapartment_title","Your Apartment","Vas apartman",,,,"11:49 05/09/2022"
"tutorialapartment_body","You can return to your apartment any time you like. To find it, open the map and use the small button with the house icon to the upper left.","Do sveho apartmanu se muzete vratit, kdykoli budete chtit. Chcete-li jej najit, otevrete mapu a pouzijte male tlacitko s ikonou domu vlevo nahore.",,,,"11:49 05/09/2022"
"customfactrename_title","Custom String","Vlastni retezec",,,,"11:49 05/09/2022"
"customfactrename_body","Name your created string link.","Vytvoreny retezcovy odkaz pojmenujte.",,,,"11:49 05/09/2022"
"cancel","Cancel","Zrusit",,,,"11:49 05/09/2022"
"lang_change_title","Language Change","Zmena jazyka",,,,"11:49 05/09/2022"
"lang_change_body","You must restart the game for the new language to take effect. Would you like to do this now? Make sure you have saved your game!","Aby se novy jazyk projevil, musite hru restartovat. Chcete to udelat nyni? Ujistete se, ze jste hru ulozili!",,,,"11:49 05/09/2022"
"restart","Restart","Restartovani",,,,"11:49 05/09/2022"
"continue","Continue","Pokracovat",,,,"11:49 05/09/2022"
"dropitem_title","Inventory Full","Plna inventura",,,,"11:49 05/09/2022"
"dropitem_body","Your inventory is full! Please drop something to purchase this item...","Vas inventar je plny! Uhodte prosim neco, abyste si mohli zakoupit tuto polozku...",,,,"11:49 05/09/2022"
"confirm","Confirm","Potvrdte",,,,"11:49 05/09/2022"
"createcase_title","New Case","Novy pripad",,,,"11:49 05/09/2022"
"createcase_body","Create a new case board with this name.","Vytvorte novou desku pripadu s timto nazvem.",,,,"11:49 05/09/2022"
"noactivecase_title","No Active Case","Zadny aktivni pripad",,,,"11:49 05/09/2022"
"noactivecase_body","There is no active case selected. Would you like to create a new one?","Neni vybran zadny aktivni pripad. Chcete vytvorit novy?",,,,"11:49 05/09/2022"
"renamecase_title","Rename Case","Prejmenovani pripadu",,,,"11:49 05/09/2022"
"renamecase_body","Rename this case.","Prejmenujte tento pripad.",,,,"11:49 05/09/2022"
"closecase_title","Close Case?","Uzavreny pripad?",,,,"11:49 05/09/2022"
"closecase_body","Are you sure you want to close this case? You'll lose all pinned information on your board.","Urcite chcete tento pripad uzavrit? Prijdete o vsechny pripnute informace na nastence.",,,,"11:49 05/09/2022"
"citydelete_title","Delete City?","Vymazat mesto?",,,,"11:49 05/09/2022"
"citydelete_body","Are you sure you want to delete this city?","Opravdu chcete toto mesto smazat?",,,,"11:49 05/09/2022"
"charactername_title","Rename Character","Prejmenovani postavy",,,,"11:49 05/09/2022"
"charactername_body","Enter your character name.","Zadejte jmeno sve postavy.",,,,"11:49 05/09/2022"
"cityname_title","Rename City","Prejmenovani mesta",,,,"11:49 05/09/2022"
"cityname_body","Enter your city name.","Zadejte nazev mesta.",,,,"11:49 05/09/2022"
"sharecode_title","Edit Share Code","Upravit kod sdileni",,,,"11:49 05/09/2022"
