"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","—","—","—"
"map","Toggle Map","Prepnout mapu",,,,"11:49 05/09/2022"
"map_detail","Used to help navigate between locations","Slouzi k navigaci mezi misty",,,,"11:49 05/09/2022"
"locate on map","Locate on Map","Vyhledat na mape",,,,"11:49 05/09/2022"
"plot route","Plot Route","Trasa pozemku",,,,"11:49 05/09/2022"
"auto travel","Auto Travel","Auto Travel",,,,"11:49 05/09/2022"
"editor_elevator","Place elevators. Rotate them by selecting once placed","Umistete vytahy. Po umisteni je vyberem otocte",,,,"11:49 05/09/2022"
"editor_stairwell","Place stairs. Rotate them by selecting once placed","Umisteni schodu. Po umisteni je vyberem otocte.",,,,"11:49 05/09/2022"
"editor_secondaryentrance","Place secondary entrances","Umisteni sekundarnich vchodu",,,,"11:49 05/09/2022"
"editor_mainentrance","Place main entrance","Misto hlavniho vchodu",,,,"11:49 05/09/2022"
"editor_rotatefloor","Rotate a node to face a different direction","Otoceni uzlu do jineho smeru",,,,"11:49 05/09/2022"
"editor_designatewalls","Designate wall tiles","Urceni obkladu na stenu",,,,"11:49 05/09/2022"
"editor_designateaddress","Designate addresses","Urceni adres",,,,"11:49 05/09/2022"
"editor_designatefloor","Designate floor/ceiling","Oznaceni podlahy/stropu",,,,"11:49 05/09/2022"
"editor_notool","Deselect tool","Nastroj pro zruseni vyberu",,,,"11:49 05/09/2022"
"editor_forceroom","Force the current room to be something in particular","Vynutit, aby se aktualni mistnost stala necim konkretnim",,,,"11:49 05/09/2022"
"mapdrag","Resize Map","Zmena velikosti mapy",,,,"11:49 05/09/2022"
"mapdrag_detail","Drag to resize the map","Zmena velikosti mapy tazenim",,,,"11:49 05/09/2022"
"mapfloordown","Move Down a Floor","Presun o patro nize",,,,"11:49 05/09/2022"
"mapfloordown_detail","Move the map view down a floor.","Presunuti zobrazeni mapy o patro nize.",,,,"11:49 05/09/2022"
"mapfloorup","Move Up a Floor","Presun o patro vys",,,,"11:49 05/09/2022"
"mapfloorup_detail","Move the map view up a floor.","Presunte zobrazeni mapy o patro vys.",,,,"11:49 05/09/2022"
"openlocationasevidence","Open Current Location Folder","Otevrit slozku Aktualni umisteni",,,,"11:49 05/09/2022"
"openlocationasevidence_detail","Open a folder containing information on your current location.","Otevrete slozku obsahujici informace o vasi aktualni poloze.",,,,"11:49 05/09/2022"
"centreonplayer","Center on Player","Stred na hrace",,,,"11:49 05/09/2022"
"centreonplayer_detail","Center the map on your current position.","Vycentrujte mapu na aktualni polohu.",,,,"11:49 05/09/2022"
"cash","Money","Penize",,,,"11:49 05/09/2022"
"cash_detail","How much money you have.","Kolik mate penez.",,,,"11:49 05/09/2022"
"togglearrow","Toggle Direction Arrow","Prepinani smerove sipky",,,,"11:49 05/09/2022"
"togglearrow_detail","Toggle the direction arrow you see in first person, showing you where to go. You can always press and hold tab to view the map when not in this screen.","Prepnete smerovou sipku, kterou vidite v prvni osobe a ktera vam ukazuje, kam mate jit. Kdyz nejste na teto obrazovce, muzete vzdy stisknout a podrzet kartu a zobrazit mapu.",,,,"11:49 05/09/2022"
"accept job","Accept Job","Prijmout praci",,,,"11:49 05/09/2022"
"take item","Take Item","Vezmete si polozku",,,,"11:49 05/09/2022"
"pinwindow","Pin/Unpin","Pripnuti/Odepnuti",,,,"11:49 05/09/2022"
"pinwindow_detail","Pin/unpin this evidence item to/from the case board.","Pripnete/odpojte tento dukazni prostredek k desce kufriku.",,,,"11:49 05/09/2022"
"openapartment","Open Apartment Folder","Otevrit slozku Apartman",,,,"11:49 05/09/2022"
"openapartment_detail","Open a folder containing information on your apartment.","Otevrete slozku s informacemi o svem byte.",,,,"11:49 05/09/2022"
"stickynote","New Sticky Note","Nova samolepici poznamka",,,,"11:49 05/09/2022"
"sticknote_detail","Create a sticky note to add to the case board. You can write whatever you want on it.","Vytvorte samolepici poznamku, kterou pridate na nastenku pripadu. Muzete na nej napsat, co chcete.",,,,"11:49 05/09/2022"
"sync","Sync Disks","Sync disky",,,,"11:49 05/09/2022"
"sync_detail","Sync disks are DNA based upgrades you can acquire and equip to gain extra ability.","Sync disky jsou vylepseni zalozena na DNA, ktera muzete ziskat a vybavit, abyste ziskali dalsi schopnosti.",,,,"11:49 05/09/2022"
"locate on map detail","Locate this location on the map...","Najdete toto misto na mape...",,,,"11:49 05/09/2022"
"plot route detail","Plot a route to this location...","Naplanujte trasu do teto lokality...",,,,"11:49 05/09/2022"
"nocase","Select No Case","Vyberte moznost Bez obalu",,,,"11:49 05/09/2022"
