"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"hong kong","Hong Kong","Hongkong",,"1",,"11:49 05/09/2022"
"chinatown","Chinatown","Cinska ctvrt",,"1",,"11:49 05/09/2022"
"guangzhou","Guangzhou","Guangzhou",,"1",,"11:49 05/09/2022"
"changsha","Changsha","Changsha",,"1",,"11:49 05/09/2022"
"beijing","Beijing","Peking",,"1",,"11:49 05/09/2022"
"chongqing","Chongqing","Chongqing",,"1",,"11:49 05/09/2022"
"nanning","Nanning","Nanning",,"1",,"11:49 05/09/2022"
"shanghai","Shanghai","Sanghaj",,"1",,"11:49 05/09/2022"
"yantai","Yantai","Yantai",,"1",,"11:49 05/09/2022"
"jining","Jining","Jining",,"1",,"11:49 05/09/2022"
"changchun","Changchun","Changchun",,"1",,"11:49 05/09/2022"
"jilin","Jilin","Jilin",,"1",,"11:49 05/09/2022"
"hebei","Hebei","Hebei",,"1",,"11:49 05/09/2022"
"tokyo","Tokyo","Tokio",,"1",,"11:49 05/09/2022"
"yokohama","Yokohama","Yokohama",,"1",,"11:49 05/09/2022"
"osaka","Osaka","Osaka",,"1",,"11:49 05/09/2022"
"hokkaido","Hokkaido","Hokkaido",,"1",,"11:49 05/09/2022"
"kyoto","Kyoto","Kjoto",,"1",,"11:49 05/09/2022"
"tottori","Tottori","Tottori",,"1",,"11:49 05/09/2022"
"okinawa","Okinawa","Okinawa",,"1",,"11:49 05/09/2022"
"miyazaki","Miyazaki","Miyazaki",,"1",,"11:49 05/09/2022"
"kumamoto","Kumamoto","Kumamoto",,"1",,"11:49 05/09/2022"
"taipei","Taipei","Taipei",,"1",,"11:49 05/09/2022"
"sapporo","Sapporo","Sapporo",,"1",,"11:49 05/09/2022"
"seoul","Seoul","Soul",,"1",,"11:49 05/09/2022"
"gangwon","Gangwon","Gangwon",,"1",,"11:49 05/09/2022"
"jindo","Jindo","Jindo",,"1",,"11:49 05/09/2022"
"suncheon","Suncheon","Suncheon",,"1",,"11:49 05/09/2022"
"quanzhou","Quanzhou","Quanzhou",,"1",,"11:49 05/09/2022"
"xiamen","Xiamen","Xiamen",,"1",,"11:49 05/09/2022"
"hengsha","Hengsha","Hengsha",,"1",,"11:49 05/09/2022"
"shenzen","Shenzen","Shenzen",,"1",,"11:49 05/09/2022"
"weifang","Weifang","Weifang",,"1",,"11:49 05/09/2022"
"jinhua","Jinhua","Jinhua",,"1",,"11:49 05/09/2022"
"hefei","Hefei","Hefei",,"1",,"11:49 05/09/2022"
"shanwei","Shanwei","Shanwei",,"1",,"11:49 05/09/2022"
"shogun","Shogun","Shogun",,"1",,"11:49 05/09/2022"
"shaoguan","Shaoguan","Shaoguan",,"1",,"11:49 05/09/2022"
"sanya","Sanya","Sanya",,"1",,"11:49 05/09/2022"
"ordos","Ordos","Ordos",,"1",,"11:49 05/09/2022"
"saitama","Saitama","Saitama",,"1",,"11:49 05/09/2022"
"yamanashi","Yamanashi","Yamanashi",,"1",,"11:49 05/09/2022"
"ibaraki","Ibaraki","Ibaraki",,"1",,"11:49 05/09/2022"
"fukushima","Fukushima","Fukusima",,"1",,"11:49 05/09/2022"
"sendai","Sendai","Sendai",,"1",,"11:49 05/09/2022"
"akita","Akita","Akita",,"1",,"11:49 05/09/2022"
"nagoya","Nagoya","Nagoya",,"1",,"11:49 05/09/2022"
"kobe","Kobe","Kobe",,"1",,"11:49 05/09/2022"
