"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"lobby","Lobby","Hala",,"1",,"11:34 19/10/2022"
"retailinformal","Shop","Obchod",,"1",,"11:34 19/10/2022"
"privateoffice","Private Office","Soukroma kancelar",,"1",,"11:34 19/10/2022"
"kitchen","Kitchen","Kuchyne",,"1",,"11:34 19/10/2022"
"bathroom","Bathroom","Koupelna",,"1",,"11:34 19/10/2022"
"officespace","Office","Kancelar",,"1",,"11:34 19/10/2022"
"reception","Reception","Recepce",,"1",,"11:34 19/10/2022"
"livingroom","Living Room","Obyvaci pokoj",,"1",,"11:34 19/10/2022"
"hallway","Hallway","Chodba",,"1",,"11:34 19/10/2022"
"bedroom","Bedroom","Loznice",,"1",,"11:34 19/10/2022"
"cupboard","Cupboard","Skrin",,"1",,"11:34 19/10/2022"
"study","Study","Studovna",,"1",,"11:34 19/10/2022"
"utility","Utility Room","Uzitkova mistnost",,"1",,"11:34 19/10/2022"
"showerroom","Shower Room","Sprchovy kout",,"1",,"11:34 19/10/2022"
"diningroom","Dining Room","Jidelna",,"1",,"11:34 19/10/2022"
"backstreet","Backstreet","Zadni ulice",,"1",,"11:34 19/10/2022"
"storeroom","Storeroom","Skladiste",,"1",,"11:34 19/10/2022"
"yard","Yard","Dvur",,"1",,"11:34 19/10/2022"
"diner","Diner","Jidelna",,"1",,"11:34 19/10/2022"
"bar","Bar","Bar",,"1",,"11:34 19/10/2022"
"industrial","industrial","prumyslove",,,,"11:34 19/10/2022"
"apartmentmasterbedroom","Bedroom","Loznice",,,,"11:34 19/10/2022"
"apartmentkitchen","Kitchen","Kuchyne",,,,"11:34 19/10/2022"
"apartmentlivingroom","Living Room","Obyvaci pokoj",,,,"11:34 19/10/2022"
"apartmentbathroom","Bathroom","Koupelna",,,,"11:34 19/10/2022"
"apartmentcloset","Closet","Skrin",,,,"11:34 19/10/2022"
"eaterydiningroom","Bar","Bar",,,,"11:34 19/10/2022"
"eaterykitchen","Kitchen","Kuchyne",,,,"11:34 19/10/2022"
"apartmentshowerroom","Shower Room","Sprchovy kout",,,,"11:34 19/10/2022"
"apartmentstudy","Study","Studie",,,,"11:34 19/10/2022"
"street","Street","Ulice",,,,"11:34 19/10/2022"
"informal","informal","neformalni",,,,"11:34 19/10/2022"
"null","Null","Null",,,,"11:34 19/10/2022"
"atrium","Atrium","Atrium",,,,"11:34 19/10/2022"
"rooftop","Rooftop","Strecha",,,,"11:34 19/10/2022"
"controlroom","Control Room","Ridici mistnost",,,,"11:34 19/10/2022"
"park","Park","Park",,,,"11:34 19/10/2022"
"path","Path","Cesta",,,,"11:34 19/10/2022"
"businessbackroom","Backroom","Zazemi",,,,"11:34 19/10/2022"
"americandiner","Diner","Diner",,,,"11:34 19/10/2022"
"breakroom","Break Room","Odpocivarna",,,,"11:34 19/10/2022"
"bathroomunisex","Bathroom","Koupelna",,,,"11:34 19/10/2022"
"office","Office","Kancelar",,,,"11:34 19/10/2022"
"alley","Alley","Ulicka",,,,"11:34 19/10/2022"
"bathroommale","Bathroom","Koupelna",,,,"11:34 19/10/2022"
"workplacecanteen","Canteen","Jidelna",,,,"11:34 19/10/2022"
"industrialfloor","Industrial Floor","Prumyslova podlaha",,,,"11:34 19/10/2022"
"businessstoreroom","Storeroom","Skladiste",,,,"11:34 19/10/2022"
"launderette","Launderette","Pradelna",,,,"11:34 19/10/2022"
"bathroomfemale","Bathroom","Koupelna",,,,"11:34 19/10/2022"
"housefrontage","Street","Ulice",,,,"11:34 19/10/2022"
"corporatelobby","Lobby","Hala",,,,"11:34 19/10/2022"
"corporatecorridoor","Corridor","Koridor",,,,"11:34 19/10/2022"
"utilitycupboardcommon","Utility Cupboard","Uzitkova skrin",,,,"11:34 19/10/2022"
"industrialstoreroom","Storeroom","Skladiste",,,,"11:34 19/10/2022"
"industrialoffice","Industrial Office","Prumyslova kancelar",,,,"11:34 19/10/2022"
"buildingbathroommale","Bathroom","Koupelna",,,,"11:34 19/10/2022"
"buildingbathroomfemale","Bathroom","Koupelna",,,,"11:34 19/10/2022"
"powerroom","Power Room","Power Room",,,,"11:34 19/10/2022"
"rooftopvent","Vent","Ventilace",,,,"11:34 19/10/2022"
"apartmentsecondbedroom","Bedroom","Loznice",,,,"11:34 19/10/2022"
"apartmentthirdbedroom","Bedroom","Loznice",,,,"11:34 19/10/2022"
"apartmentutilityroom","Utility Room","Uzitkova mistnost",,,,"11:34 19/10/2022"
"apartmentreceptionroom","Reception","Recepce",,,,"11:34 19/10/2022"
