"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"aaron",,"Aaron",,"2",,"11:48 05/09/2022"
"absolan",,"Absolan",,"1",,"11:48 05/09/2022"
"adrian",,"Adrian",,"1",,"11:48 05/09/2022"
"adric",,"Adric",,"1",,"11:48 05/09/2022"
"ajou",,"Ajou",,"1",,"11:48 05/09/2022"
"akil",,"Akil",,"1",,"11:48 05/09/2022"
"algernon",,"Algernon",,"1",,"11:48 05/09/2022"
"alphonse",,"Alphonse",,"1",,"11:48 05/09/2022"
"alwan",,"Alwan",,"1",,"11:48 05/09/2022"
"amadom",,"Amadom",,"1",,"11:48 05/09/2022"
"aman",,"Aman",,"1",,"11:48 05/09/2022"
"amani",,"Amani",,"2",,"11:48 05/09/2022"
"amber",,"Amber",,"1",,"11:48 05/09/2022"
"amos",,"Amos",,"8",,"11:48 05/09/2022"
"andre",,"Andre",,"1",,"11:48 05/09/2022"
"andreas",,"Andreas",,"1",,"11:48 05/09/2022"
"anthone",,"Anthone",,"1",,"11:48 05/09/2022"
"antiere",,"Antiere",,"1",,"11:48 05/09/2022"
"antoine",,"Antoine",,"1",,"11:48 05/09/2022"
"antonio",,"Antonio",,"6",,"11:48 05/09/2022"
"aray",,"Aray",,"1",,"11:48 05/09/2022"
"arcus",,"Arcus",,"1",,"11:48 05/09/2022"
"armstrong",,"Armstrong",,"6",,"11:48 05/09/2022"
"autry",,"Autry",,"1",,"11:48 05/09/2022"
"azibo",,"Azibo",,"1",,"11:48 05/09/2022"
"baron",,"Baron",,"1",,"11:48 05/09/2022"
"barrington",,"Barrington",,"1",,"11:48 05/09/2022"
"bartt",,"Bartt",,"1",,"11:48 05/09/2022"
"benjamin",,"Benjamin","Ben","3",,"11:48 05/09/2022"
"benton",,"Benton",,"1",,"11:48 05/09/2022"
"bevaun",,"Bevaun",,"1",,"11:48 05/09/2022"
"booker",,"Booker",,"3",,"11:48 05/09/2022"
"bowie",,"Bowie",,"1",,"11:48 05/09/2022"
"brendon",,"Brendon",,"1",,"11:48 05/09/2022"
"busta",,"Busta",,"4",,"11:48 05/09/2022"
"calbert",,"Calbert",,"3",,"11:48 05/09/2022"
"calvin",,"Calvin",,"3",,"11:48 05/09/2022"
"cameron",,"Cameron","Cam","9",,"11:48 05/09/2022"
"canard",,"Canard",,"1",,"11:48 05/09/2022"
"carl",,"Carl",,"7",,"11:48 05/09/2022"
"carnell",,"Carnell",,"1",,"11:48 05/09/2022"
"cartier",,"Cartier",,"1",,"11:48 05/09/2022"
"casim",,"Casim",,"1",,"11:48 05/09/2022"
"cassius",,"Cassius",,"1",,"11:48 05/09/2022"
"cavin",,"Cavin",,"1",,"11:48 05/09/2022"
"chante",,"Chante",,"3",,"11:48 05/09/2022"
"christopher",,"Christopher","Chris","2",,"11:48 05/09/2022"
"clarence",,"Clarence",,"4",,"11:48 05/09/2022"
"clayton",,"Clayton",,"3",,"11:48 05/09/2022"
"cleavant",,"Cleavant",,"1",,"11:48 05/09/2022"
"cleavon",,"Cleavon",,"1",,"11:48 05/09/2022"
"clement",,"Clement",,"1",,"11:48 05/09/2022"
"clendon",,"Clendon",,"1",,"11:48 05/09/2022"
"clester",,"Clester",,"1",,"11:48 05/09/2022"
"cleveland",,"Cleveland",,"1",,"11:48 05/09/2022"
"clifton",,"Clifton",,"1",,"11:48 05/09/2022"
"clinton",,"Clinton",,"1",,"11:48 05/09/2022"
"cody",,"Cody",,"1",,"11:48 05/09/2022"
"cordell",,"Cordell",,"1",,"11:48 05/09/2022"
"corey",,"Corey",,"3",,"11:48 05/09/2022"
"cornelius",,"Cornelius",,"1",,"11:48 05/09/2022"
"cornell",,"Cornell",,"1",,"11:48 05/09/2022"
"cornia",,"Cornia",,"1",,"11:48 05/09/2022"
"d'andre",,"D'andre",,"6",,"11:48 05/09/2022"
"d'andrea",,"D'andrea",,"2",,"11:48 05/09/2022"
"d'angelo",,"D'angelo",,"6",,"11:48 05/09/2022"
"d'ante",,"D'ante",,"1",,"11:48 05/09/2022"
"d'lon",,"D'lon",,"1",,"11:48 05/09/2022"
"d'marco",,"D'marco",,"1",,"11:48 05/09/2022"
"d'marcus",,"D'marcus",,"1",,"11:48 05/09/2022"
"d'marreio",,"D'marreio",,"1",,"11:48 05/09/2022"
"d'sean",,"D'Sean",,"1",,"11:48 05/09/2022"
"d'shaun",,"D'shaun",,"1",,"11:48 05/09/2022"
"da-jon",,"Da-Jon",,"1",,"11:48 05/09/2022"
"da-juan",,"Da-Juan",,"1",,"11:48 05/09/2022"
"da-shawn",,"Da-Shawn",,"1",,"11:48 05/09/2022"
"daevin",,"Daevin",,"1",,"11:48 05/09/2022"
"daevon",,"Daevon",,"1",,"11:48 05/09/2022"
"dajon",,"Dajon",,"1",,"11:48 05/09/2022"
"dajuan",,"Dajuan",,"1",,"11:48 05/09/2022"
"dallan",,"Dallan",,"1",,"11:48 05/09/2022"
"dallen",,"Dallen",,"1",,"11:48 05/09/2022"
"dalton",,"Dalton",,"1",,"11:48 05/09/2022"
"damarco",,"Damarco",,"1",,"11:48 05/09/2022"
"damon",,"Damon",,"1",,"11:48 05/09/2022"
"damone",,"Damone",,"1",,"11:48 05/09/2022"
"dandrae",,"Dandrae",,"1",,"11:48 05/09/2022"
"dandras",,"Dandras",,"1",,"11:48 05/09/2022"
"dangelo",,"Dangelo",,"1",,"11:48 05/09/2022"
"daquain",,"Daquain",,"1",,"11:48 05/09/2022"
"darel",,"Darel",,"1",,"11:48 05/09/2022"
"darell",,"Darell",,"1",,"11:48 05/09/2022"
"darik",,"Darik",,"1",,"11:48 05/09/2022"
"darius",,"Darius",,"4",,"11:48 05/09/2022"
"darnay",,"Darnay",,"1",,"11:48 05/09/2022"
"darnel",,"Darnel",,"3",,"11:48 05/09/2022"
"darrian",,"Darrian",,"1",,"11:48 05/09/2022"
"daryn",,"Daryn",,"1",,"11:48 05/09/2022"
"dauntay",,"Dauntay",,"1",,"11:48 05/09/2022"
"davian",,"Davian",,"1",,"11:48 05/09/2022"
"davion",,"Davion",,"1",,"11:48 05/09/2022"
"dayton",,"Dayton",,"1",,"11:48 05/09/2022"
"de'ron",,"De'ron",,"1",,"11:48 05/09/2022"
"de'shane",,"De'Shane",,"1",,"11:48 05/09/2022"
"de'vegas",,"De'vegas",,"1",,"11:48 05/09/2022"
"de-angelo",,"De-Angelo",,"6",,"11:48 05/09/2022"
"de-john",,"De-John",,"1",,"11:48 05/09/2022"
"de-morris",,"De-Morris",,"1",,"11:48 05/09/2022"
"deaengelo",,"Deaengelo",,"1",,"11:48 05/09/2022"
"deandra",,"Deandra",,"1",,"11:48 05/09/2022"
"deandrae",,"Deandrae",,"1",,"11:48 05/09/2022"
"deangelo",,"Deangelo",,"1",,"11:48 05/09/2022"
"deaundra",,"Deaundra",,"1",,"11:48 05/09/2022"
"deaven",,"Deaven",,"1",,"11:48 05/09/2022"
"dedrian",,"Dedrian",,"1",,"11:48 05/09/2022"
"deelon",,"Deelon",,"1",,"11:48 05/09/2022"
"dejohn",,"Dejohn",,"1",,"11:48 05/09/2022"
"delane",,"Delane",,"1",,"11:48 05/09/2022"
"delford",,"Delford",,"1",,"11:48 05/09/2022"
"dell",,"Dell",,"1",,"11:48 05/09/2022"
"delmar",,"Delmar",,"1",,"11:48 05/09/2022"
"delon",,"Delon",,"1",,"11:48 05/09/2022"
"delonn",,"Delonn",,"1",,"11:48 05/09/2022"
"delroy",,"Delroy",,"1",,"11:48 05/09/2022"
"demaine",,"Demaine",,"1",,"11:48 05/09/2022"
"demarion",,"Demarion",,"1",,"11:48 05/09/2022"
"demery",,"Demery",,"1",,"11:48 05/09/2022"
"demetrius",,"Demetrius",,"1",,"11:48 05/09/2022"
"demonde",,"Demonde",,"1",,"11:48 05/09/2022"
"demont",,"Demont",,"1",,"11:48 05/09/2022"
"dennard",,"Dennard",,"1",,"11:48 05/09/2022"
"denzel",,"Denzel",,"10",,"11:48 05/09/2022"
"deole",,"Deole",,"1",,"11:48 05/09/2022"
"deon",,"Deon",,"3",,"11:48 05/09/2022"
"dequain",,"Dequain",,"1",,"11:48 05/09/2022"
"deron",,"Deron",,"1",,"11:48 05/09/2022"
"derrick",,"Derrick",,"1",,"11:48 05/09/2022"
"deshane",,"Deshane",,"1",,"11:48 05/09/2022"
"devain",,"Devain",,"1",,"11:48 05/09/2022"
"deval",,"Deval",,"1",,"11:48 05/09/2022"
"devan",,"Devan",,"1",,"11:48 05/09/2022"
"deven",,"Deven",,"1",,"11:48 05/09/2022"
"devondre",,"Devondre",,"1",,"11:48 05/09/2022"
"devontae",,"Devontae",,"3",,"11:48 05/09/2022"
"dewain",,"Dewain",,"1",,"11:48 05/09/2022"
"dewan",,"Dewan",,"1",,"11:48 05/09/2022"
"dexter",,"Dexter",,"1",,"11:48 05/09/2022"
"diondre",,"Diondre",,"1",,"11:48 05/09/2022"
"diron",,"Diron",,"1",,"11:48 05/09/2022"
"dixon",,"Dixon",,"1",,"11:48 05/09/2022"
"donall",,"Donall",,"1",,"11:48 05/09/2022"
"dontrell",,"Dontrell",,"1",,"11:48 05/09/2022"
"dorsey",,"Dorsey",,"1",,"11:48 05/09/2022"
"duane",,"Duane",,"1",,"11:48 05/09/2022"
"dubal",,"Dubal",,"1",,"11:48 05/09/2022"
"duron",,"Duron",,"1",,"11:48 05/09/2022"
"duval",,"Duval",,"1",,"11:48 05/09/2022"
"eason",,"Eason",,"1",,"11:48 05/09/2022"
"eddie",,"Eddie",,"1",,"11:48 05/09/2022"
"edgerin",,"Edgerin",,"1",,"11:48 05/09/2022"
"edward",,"Edward","Ed","3",,"11:48 05/09/2022"
"edwyn",,"Edwyn",,"1",,"11:48 05/09/2022"
"eldrick",,"Eldrick",,"1",,"11:48 05/09/2022"
"elton",,"Elton",,"1",,"11:48 05/09/2022"
"emmet",,"Emmet",,"4",,"11:48 05/09/2022"
"ennis",,"Ennis",,"1",,"11:48 05/09/2022"
"ernard",,"Ernard",,"1",,"11:48 05/09/2022"
"erskine",,"Erskine",,"1",,"11:48 05/09/2022"
"ervan",,"Ervan",,"1",,"11:48 05/09/2022"
"evander",,"Evander",,"1",,"11:48 05/09/2022"
"fayard",,"Fayard",,"1",,"11:48 05/09/2022"
"ferric",,"Ferric",,"1",,"11:48 05/09/2022"
"garfield",,"Garfield",,"1",,"11:48 05/09/2022"
"garlan",,"Garlan",,"1",,"11:48 05/09/2022"
"garon",,"Garon",,"1",,"11:48 05/09/2022"
"gerain",,"Gerain",,"1",,"11:48 05/09/2022"
"geroy",,"Geroy",,"1",,"11:48 05/09/2022"
"ghana",,"Ghana",,"1",,"11:48 05/09/2022"
"glover",,"Glover",,"7",,"11:48 05/09/2022"
"godrell",,"Godrell",,"1",,"11:48 05/09/2022"
"grant",,"Grant",,"1",,"11:48 05/09/2022"
"guyton",,"Guyton",,"1",,"11:48 05/09/2022"
"hareem",,"Hareem",,"1",,"11:48 05/09/2022"
"hasan",,"Hasan",,"1",,"11:48 05/09/2022"
"hosea",,"Hosea",,"1",,"11:48 05/09/2022"
"isiah",,"Isiah",,"1",,"11:48 05/09/2022"
"ivory",,"Ivory",,"5",,"11:48 05/09/2022"
"ja-ron",,"Ja-ron",,"1",,"11:48 05/09/2022"
"jacoury",,"Jacoury",,"1",,"11:48 05/09/2022"
"jaedyn",,"Jaedyn",,"1",,"11:48 05/09/2022"
"jahquil",,"Jahquil",,"1",,"11:48 05/09/2022"
"jamaall",,"Jamaall",,"8",,"11:48 05/09/2022"
"jamaar",,"Jamaar",,"1",,"11:48 05/09/2022"
"jamal",,"Jamal",,"10",,"11:48 05/09/2022"
"jamar",,"Jamar",,"1",,"11:48 05/09/2022"
"jamarco",,"Jamarco",,"1",,"11:48 05/09/2022"
"jamarr",,"Jamarr",,"1",,"11:48 05/09/2022"
"jamel",,"Jamel",,"1",,"11:48 05/09/2022"
"jamero",,"Jamero",,"1",,"11:48 05/09/2022"
"janard",,"Janard",,"1",,"11:48 05/09/2022"
"janile",,"Janile",,"1",,"11:48 05/09/2022"
"jaquin",,"Jaquin",,"10",,"11:48 05/09/2022"
"jared",,"Jared",,"8",,"11:48 05/09/2022"
"jarek",,"Jarek",,"1",,"11:48 05/09/2022"
"jarel",,"Jarel",,"1",,"11:48 05/09/2022"
"jarell",,"Jarell",,"1",,"11:48 05/09/2022"
"jaric",,"Jaric",,"1",,"11:48 05/09/2022"
"jarmarr",,"Jarmarr",,"1",,"11:48 05/09/2022"
"jarrick",,"Jarrick",,"1",,"11:48 05/09/2022"
"jarvis",,"Jarvis",,"1",,"11:48 05/09/2022"
"jason",,"Jason",,"1",,"11:48 05/09/2022"
"jaumar",,"Jaumar",,"1",,"11:48 05/09/2022"
"javan",,"Javan",,"1",,"11:48 05/09/2022"
"jefferson",,"Jefferson",,"1",,"11:48 05/09/2022"
"jemarcus",,"Jemarcus",,"1",,"11:48 05/09/2022"
"jenell",,"Jenell",,"1",,"11:48 05/09/2022"
"jermain",,"Jermain",,"1",,"11:48 05/09/2022"
