"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"aiguo",,"Aiguo",,"1",,"11:48 05/09/2022"
"an",,"An",,"1",,"11:48 05/09/2022"
"angúo",,"Anguo",,"1",,"11:48 05/09/2022"
"bai",,"Bai",,"1",,"11:48 05/09/2022"
"bingwen",,"Bingwen",,"1",,"11:48 05/09/2022"
"bo",,"Bo",,"1",,"11:48 05/09/2022"
"bohai",,"Bohai",,"1",,"11:48 05/09/2022"
"bojing",,"Bojing",,"1",,"11:48 05/09/2022"
"bolin",,"Bolin",,"1",,"11:48 05/09/2022"
"boqin",,"Boqin",,"1",,"11:48 05/09/2022"
"changpu",,"Changpu",,"1",,"11:48 05/09/2022"
"chanming",,"Chanming",,"1",,"11:48 05/09/2022"
"chao",,"Chao",,"1",,"11:48 05/09/2022"
"chaoxiang",,"Chaoxiang",,"1",,"11:48 05/09/2022"
"chen",,"Chen",,"1",,"11:48 05/09/2022"
"cheng",,"Cheng",,"1",,"11:48 05/09/2022"
"chenglei",,"Chenglei",,"1",,"11:48 05/09/2022"
"cheung",,"Cheung",,"1",,"11:48 05/09/2022"
"chi",,"Chi",,"1",,"11:48 05/09/2022"
"chongan",,"Chongan",,"1",,"11:48 05/09/2022"
"chongkun",,"Chongkun",,"1",,"11:48 05/09/2022"
"chonglin",,"Chonglin",,"1",,"11:48 05/09/2022"
"chuanli",,"Chuanli",,"1",,"11:48 05/09/2022"
"chung",,"Chung",,"1",,"11:48 05/09/2022"
"délì",,"Deli",,"1",,"11:48 05/09/2022"
"déshì",,"Deshi",,"1",,"11:48 05/09/2022"
"déwei",,"Dewei",,"1",,"11:48 05/09/2022"
"da",,"Da",,"1",,"11:48 05/09/2022"
"dai",,"Dai",,"1",,"11:48 05/09/2022"
"delun",,"Delun",,"1",,"11:48 05/09/2022"
"deming",,"Deming",,"1",,"11:48 05/09/2022"
"dingbang",,"Dingbang",,"1",,"11:48 05/09/2022"
"dingxiang",,"Dingxiang",,"1",,"11:48 05/09/2022"
"dong",,"Dong",,"1",,"11:48 05/09/2022"
"donghai",,"Donghai",,"1",,"11:48 05/09/2022"
"duyi",,"Duyi",,"1",,"11:48 05/09/2022"
"enlai",,"Enlai",,"1",,"11:48 05/09/2022"
"fa",,"Fa",,"1",,"11:48 05/09/2022"
"fai",,"Fai",,"1",,"11:48 05/09/2022"
"fang",,"Fang",,"1",,"11:48 05/09/2022"
"feng",,"Feng",,"1",,"11:48 05/09/2022"
"fengge",,"Fengge",,"1",,"11:48 05/09/2022"
"fu",,"Fu",,"1",,"11:48 05/09/2022"
"fuhua",,"Fuhua",,"1",,"11:48 05/09/2022"
"gan",,"Gan",,"1",,"11:48 05/09/2022"
"gang",,"Gang",,"1",,"11:48 05/09/2022"
"geming",,"Geming",,"1",,"11:48 05/09/2022"
"gen",,"Gen",,"1",,"11:48 05/09/2022"
"genghis",,"Genghis",,"1",,"11:48 05/09/2022"
"guang",,"Guang",,"1",,"11:48 05/09/2022"
"guangli",,"Guangli",,"1",,"11:48 05/09/2022"
"gui",,"Gui",,"1",,"11:48 05/09/2022"
"guiren",,"Guiren",,"1",,"11:48 05/09/2022"
"guoliang",,"Guoliang",,"1",,"11:48 05/09/2022"
"guotin",,"Guotin",,"1",,"11:48 05/09/2022"
"guowei",,"Guowei",,"1",,"11:48 05/09/2022"
"guozhi",,"Guozhi",,"1",,"11:48 05/09/2022"
"hai",,"Hai",,"1",,"11:48 05/09/2022"
"he",,"He",,"1",,"11:48 05/09/2022"
"heng",,"Heng",,"1",,"11:48 05/09/2022"
"ho",,"Ho",,"1",,"11:48 05/09/2022"
"hong",,"Hong",,"1",,"11:48 05/09/2022"
"honghui",,"Honghui",,"1",,"11:48 05/09/2022"
"hongqi",,"Hongqi",,"1",,"11:48 05/09/2022"
"hop",,"Hop",,"1",,"11:48 05/09/2022"
"huan",,"Huan",,"1",,"11:48 05/09/2022"
"huang fu",,"Huang Fu",,"1",,"11:48 05/09/2022"
"hui",,"Hui",,"1",,"11:48 05/09/2022"
"hulin",,"Hulin",,"1",,"11:48 05/09/2022"
"hung",,"Hung",,"1",,"11:48 05/09/2022"
"huojin",,"Huojin",,"1",,"11:48 05/09/2022"
"jaw-long",,"Jaw-long",,"1",,"11:48 05/09/2022"
"jian",,"Jian",,"1",,"11:48 05/09/2022"
"jiang",,"Jiang",,"1",,"11:48 05/09/2022"
"jianguo",,"Jianguo",,"1",,"11:48 05/09/2022"
"jianjun",,"Jianjun",,"1",,"11:48 05/09/2022"
"jianyu",,"Jianyu",,"1",,"11:48 05/09/2022"
"jin",,"Jin",,"1",,"11:48 05/09/2022"
"jing",,"Jing",,"1",,"11:48 05/09/2022"
"jingguo",,"Jingguo",,"1",,"11:48 05/09/2022"
"jinhai",,"Jinhai",,"1",,"11:48 05/09/2022"
"jinjing",,"Jinjing",,"1",,"11:48 05/09/2022"
"jun",,"Jun",,"1",,"11:48 05/09/2022"
"junjie",,"Junjie",,"1",,"11:48 05/09/2022"
"kang",,"Kang",,"1",,"11:48 05/09/2022"
"keung",,"Keung",,"1",,"11:48 05/09/2022"
"kong",,"Kong",,"1",,"11:48 05/09/2022"
"lì",,"Li",,"1",,"11:48 05/09/2022"
"lei",,"Lei",,"1",,"11:48 05/09/2022"
"li",,"Li",,"1",,"11:48 05/09/2022"
"liang",,"Liang",,"1",,"11:48 05/09/2022"
"liko",,"Liko",,"1",,"11:48 05/09/2022"
"ling",,"Ling",,"1",,"11:48 05/09/2022"
"liu",,"Liu",,"1",,"11:48 05/09/2022"
"liwei",,"Liwei",,"1",,"11:48 05/09/2022"
"lok",,"Lok",,"1",,"11:48 05/09/2022"
"longwei",,"Longwei",,"1",,"11:48 05/09/2022"
"manchu",,"Manchu",,"1",,"11:48 05/09/2022"
"ming-húa",,"Ming-hua",,"1",,"11:48 05/09/2022"
"mingli",,"Mingli",,"1",,"11:48 05/09/2022"
"ming-tun",,"Ming-tun",,"1",,"11:48 05/09/2022"
"minsheng",,"Minsheng",,"1",,"11:48 05/09/2022"
"minzhe",,"Minzhe",,"1",,"11:48 05/09/2022"
"nianzu",,"Nianzu",,"1",,"11:48 05/09/2022"
"on",,"nem",,"1",,"11:48 05/09/2022"
"park",,"Park",,"1",,"11:48 05/09/2022"
"peng",,"Peng",,"1",,"11:48 05/09/2022"
"pengfei",,"Pengfei",,"1",,"11:48 05/09/2022"
"ping",,"Ping",,"1",,"11:48 05/09/2022"
"qi",,"Qi",,"1",,"11:48 05/09/2022"
"qianfan",,"Qianfan",,"1",,"11:48 05/09/2022"
"qiang",,"Qiang",,"1",,"11:48 05/09/2022"
"qingshan",,"Qingshan",,"1",,"11:48 05/09/2022"
"qingsheng",,"Qingsheng",,"1",,"11:48 05/09/2022"
"qiquiang",,"Qiquiang",,"1",,"11:48 05/09/2022"
"qiu",,"Qiu",,"1",,"11:48 05/09/2022"
"quan",,"Quan",,"1",,"11:48 05/09/2022"
"quon",,"Quon",,"1",,"11:48 05/09/2022"
"renshu",,"Renshu",,"1",,"11:48 05/09/2022"
"rong",,"Rong",,"1",,"11:48 05/09/2022"
"ru",,"Ru",,"1",,"11:48 05/09/2022"
"shàoqiáng",,"Shaoqiang",,"1",,"11:48 05/09/2022"
"shìlín",,"Shilin",,"1",,"11:48 05/09/2022"
"shan",,"Shan",,"1",,"11:48 05/09/2022"
"shanyuan",,"Shanyuan",,"1",,"11:48 05/09/2022"
"shen",,"Shen",,"1",,"11:48 05/09/2022"
"shi",,"Shi",,"1",,"11:48 05/09/2022"
"shing",,"Shing",,"1",,"11:48 05/09/2022"
"shining",,"Shining",,"1",,"11:48 05/09/2022"
"shirong",,"Shirong",,"1",,"11:48 05/09/2022"
"shoi-ming",,"Shoi-ming",,"1",,"11:48 05/09/2022"
"shoushan",,"Shoushan",,"1",,"11:48 05/09/2022"
"shunyuan",,"Shunyuan",,"1",,"11:48 05/09/2022"
"shu-sai-chong",,"Shu-sai-chong",,"1",,"11:48 05/09/2022"
"siyu",,"Siyu",,"1",,"11:48 05/09/2022"
"sueh-yén",,"Sueh-yen",,"1",,"11:48 05/09/2022"
"sying",,"Sying",,"1",,"11:48 05/09/2022"
"tao",,"Tao",,"1",,"11:48 05/09/2022"
"tengfei",,"Tengfei",,"1",,"11:48 05/09/2022"
"tingzhe",,"Tingzhe",,"1",,"11:48 05/09/2022"
"tsun-chùng",,"Tsun-chung",,"1",,"11:48 05/09/2022"
"tung",,"Tung",,"1",,"11:48 05/09/2022"
"wang",,"Wang",,"1",,"11:48 05/09/2022"
"wei",,"Wei",,"1",,"11:48 05/09/2022"
"weimin",,"Weimin",,"1",,"11:48 05/09/2022"
"weisheng",,"Weisheng",,"1",,"11:48 05/09/2022"
"weiyuan",,"Weiyuan",,"1",,"11:48 05/09/2022"
"weizhe",,"Weizhe",,"1",,"11:48 05/09/2022"
"wencheng",,"Wencheng",,"1",,"11:48 05/09/2022"
"wenyan",,"Wenyan",,"1",,"11:48 05/09/2022"
"wing",,"Wing",,"1",,"11:48 05/09/2022"
"wuzhou",,"Wuzhou",,"1",,"11:48 05/09/2022"
"xiang",,"Xiang",,"1",,"11:48 05/09/2022"
"xianliang",,"Xianliang",,"1",,"11:48 05/09/2022"
"xiaobo",,"Xiaobo",,"1",,"11:48 05/09/2022"
"xiaodan",,"Xiaodan",,"1",,"11:48 05/09/2022"
"xiaojian",,"Xiaojian",,"1",,"11:48 05/09/2022"
"xiaosi",,"Xiaosi",,"1",,"11:48 05/09/2022"
"xiaowen",,"Xiaowen",,"1",,"11:48 05/09/2022"
"xiasheng",,"Xiasheng",,"1",,"11:48 05/09/2022"
"xin",,"Xin",,"1",,"11:48 05/09/2022"
"xing",,"Xing",,"1",,"11:48 05/09/2022"
"xiu",,"Xiu",,"1",,"11:48 05/09/2022"
"xue",,"Xue",,"1",,"11:48 05/09/2022"
"xueqin",,"Xueqin",,"1",,"11:48 05/09/2022"
"xueyou",,"Xueyou",,"1",,"11:48 05/09/2022"
"yang",,"Yang",,"1",,"11:48 05/09/2022"
"yanlin",,"Yanlin",,"1",,"11:48 05/09/2022"
"yaochuan",,"Yaochuan",,"1",,"11:48 05/09/2022"
"yaoting",,"Yaoting",,"1",,"11:48 05/09/2022"
"yaozu",,"Yaozu",,"1",,"11:48 05/09/2022"
"ye",,"Ye",,"1",,"11:48 05/09/2022"
"yi",,"Yi",,"1",,"11:48 05/09/2022"
"yingjie",,"Yingjie",,"1",,"11:48 05/09/2022"
"yingpei",,"Yingpei",,"1",,"11:48 05/09/2022"
"yong",,"Yong",,"1",,"11:48 05/09/2022"
"yongliang",,"Yongliang",,"1",,"11:48 05/09/2022"
"yongnian",,"Yongnian",,"1",,"11:48 05/09/2022"
"yongrui",,"Yongrui",,"1",,"11:48 05/09/2022"
"yongzheng",,"Yongzheng",,"1",,"11:48 05/09/2022"
"you",,"You",,"1",,"11:48 05/09/2022"
"yuanjun",,"Yuanjun",,"1",,"11:48 05/09/2022"
"yunxu",,"Yunxu",,"1",,"11:48 05/09/2022"
"yusheng",,"Yusheng",,"1",,"11:48 05/09/2022"
"zedong",,"Zedong",,"1",,"11:48 05/09/2022"
"zemin",,"Zemin",,"1",,"11:48 05/09/2022"
"zenguang",,"Zenguang",,"1",,"11:48 05/09/2022"
"zhìxin",,"Zhixin",,"1",,"11:48 05/09/2022"
"zhìyuan",,"Zhiyuan",,"1",,"11:48 05/09/2022"
"zhen",,"Zhen",,"1",,"11:48 05/09/2022"
"zhengzhong",,"Zhengzhong",,"1",,"11:48 05/09/2022"
"zhensheng",,"Zhensheng",,"1",,"11:48 05/09/2022"
"zhihuán",,"Zhihuan",,"1",,"11:48 05/09/2022"
"zhiqiang",,"Zhiqiang",,"1",,"11:48 05/09/2022"
"zhong",,"Zhong",,"1",,"11:48 05/09/2022"
"zian",,"Zian",,"1",,"11:48 05/09/2022"
"zihao",,"Zihao",,"1",,"11:48 05/09/2022"
"zixin",,"Zixin",,"1",,"11:48 05/09/2022"
