"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"li",,"Li",,"1",,"11:48 05/09/2022"
"wang",,"Wang",,"1",,"11:48 05/09/2022"
"zhang",,"Zhang",,"1",,"11:48 05/09/2022"
"liu",,"Liu",,"1",,"11:48 05/09/2022"
"chen",,"Chen",,"1",,"11:48 05/09/2022"
"yang",,"Yang",,"1",,"11:48 05/09/2022"
"zhao",,"Zhao",,"1",,"11:48 05/09/2022"
"huang",,"Huang",,"1",,"11:48 05/09/2022"
"zhou",,"Zhou",,"1",,"11:48 05/09/2022"
"wu",,"Wu",,"1",,"11:48 05/09/2022"
"xu",,"Xu",,"1",,"11:48 05/09/2022"
"sun",,"Sun",,"1",,"11:48 05/09/2022"
"hu",,"Hu",,"1",,"11:48 05/09/2022"
"zhu",,"Zhu",,"1",,"11:48 05/09/2022"
"gao",,"Gao",,"1",,"11:48 05/09/2022"
"lin",,"Lin",,"1",,"11:48 05/09/2022"
"he",,"He",,"1",,"11:48 05/09/2022"
"guo",,"Guo",,"1",,"11:48 05/09/2022"
"ma",,"Ma",,"1",,"11:48 05/09/2022"
"luo",,"Luo",,"1",,"11:48 05/09/2022"
"liang",,"Liang",,"1",,"11:48 05/09/2022"
"song",,"Song",,"1",,"11:48 05/09/2022"
"zheng",,"Zheng",,"1",,"11:48 05/09/2022"
"xie",,"Xie",,"1",,"11:48 05/09/2022"
"han",,"Han",,"1",,"11:48 05/09/2022"
"tang",,"Tang",,"1",,"11:48 05/09/2022"
"feng",,"Feng",,"1",,"11:48 05/09/2022"
"yu",,"Yu",,"1",,"11:48 05/09/2022"
"dong",,"Dong",,"1",,"11:48 05/09/2022"
"xiao",,"Xiao",,"1",,"11:48 05/09/2022"
"cheng",,"Cheng",,"1",,"11:48 05/09/2022"
"cao",,"Cao",,"1",,"11:48 05/09/2022"
"yuan",,"Yuan",,"1",,"11:48 05/09/2022"
"deng",,"Deng",,"1",,"11:48 05/09/2022"
"fu",,"Fu",,"1",,"11:48 05/09/2022"
"shen",,"Shen",,"1",,"11:48 05/09/2022"
"zeng",,"Zeng",,"1",,"11:48 05/09/2022"
"peng",,"Peng",,"1",,"11:48 05/09/2022"
"lu",,"Lu",,"1",,"11:48 05/09/2022"
"su",,"Su",,"1",,"11:48 05/09/2022"
"jiang",,"Jiang",,"1",,"11:48 05/09/2022"
"cai",,"Cai",,"1",,"11:48 05/09/2022"
"jia",,"Jia",,"1",,"11:48 05/09/2022"
"ding",,"Ding",,"1",,"11:48 05/09/2022"
"wei",,"Wei",,"1",,"11:48 05/09/2022"
"xue",,"Xue",,"1",,"11:48 05/09/2022"
"ye",,"Ye",,"1",,"11:48 05/09/2022"
"yan",,"Yan",,"1",,"11:48 05/09/2022"
"pan",,"Pan",,"1",,"11:48 05/09/2022"
"du",,"Du",,"1",,"11:48 05/09/2022"
"dai",,"Dai",,"1",,"11:48 05/09/2022"
"xia",,"Xia",,"1",,"11:48 05/09/2022"
"zhong",,"Zhong",,"1",,"11:48 05/09/2022"
"tian",,"Tian",,"1",,"11:48 05/09/2022"
"ren",,"Ren",,"1",,"11:48 05/09/2022"
"fan",,"Fan",,"1",,"11:48 05/09/2022"
"fang",,"Fang",,"1",,"11:48 05/09/2022"
"shi",,"Shi",,"1",,"11:48 05/09/2022"
"yao",,"Yao",,"1",,"11:48 05/09/2022"
"tan",,"Tan",,"1",,"11:48 05/09/2022"
"sheng",,"Sheng",,"1",,"11:48 05/09/2022"
"zou",,"Zou",,"1",,"11:48 05/09/2022"
"xiong",,"Xiong",,"1",,"11:48 05/09/2022"
"jin",,"Jin",,"1",,"11:48 05/09/2022"
"hao",,"Hao",,"1",,"11:48 05/09/2022"
"kong",,"Kong",,"1",,"11:48 05/09/2022"
"bai",,"Bai",,"1",,"11:48 05/09/2022"
"cui",,"Cui",,"1",,"11:48 05/09/2022"
"kang",,"Kang",,"1",,"11:48 05/09/2022"
"mao",,"Mao",,"1",,"11:48 05/09/2022"
"qiu",,"Qiu",,"1",,"11:48 05/09/2022"
"qin",,"Qin",,"1",,"11:48 05/09/2022"
"gu",,"Gu",,"1",,"11:48 05/09/2022"
"hou",,"Hou",,"1",,"11:48 05/09/2022"
"shao",,"Shao",,"1",,"11:48 05/09/2022"
"meng",,"Meng",,"1",,"11:48 05/09/2022"
"long",,"Long",,"1",,"11:48 05/09/2022"
"wan",,"Wan",,"1",,"11:48 05/09/2022"
"duan",,"Duan",,"1",,"11:48 05/09/2022"
"qian",,"Qian",,"1",,"11:48 05/09/2022"
"yin",,"Yin",,"1",,"11:48 05/09/2022"
"yi",,"Yi",,"1",,"11:48 05/09/2022"
"chang",,"Chang",,"1",,"11:48 05/09/2022"
"qiao",,"Qiao",,"1",,"11:48 05/09/2022"
"lai",,"Lai",,"1",,"11:48 05/09/2022"
"gong",,"Gong",,"1",,"11:48 05/09/2022"
"wen",,"Wen",,"1",,"11:48 05/09/2022"
