"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"aarav",,"Aarav",,"1",,"11:48 05/09/2022"
"aarush",,"Aarush",,"1",,"11:48 05/09/2022"
"aayush",,"Aayush",,"1",,"11:48 05/09/2022"
"advik",,"Advik",,"1",,"11:48 05/09/2022"
"akarsh",,"Akarsh",,"1",,"11:48 05/09/2022"
"arnav",,"Arnav",,"1",,"11:48 05/09/2022"
"aniruddh",,"Aniruddh",,"1",,"11:48 05/09/2022"
"bhavin",,"Bhavin",,"1",,"11:48 05/09/2022"
"chirag",,"Chirag",,"1",,"11:48 05/09/2022"
"darshit",,"Darshit",,"1",,"11:48 05/09/2022"
"devansh",,"Devansh",,"1",,"11:48 05/09/2022"
"dhruv",,"Dhruv",,"1",,"11:48 05/09/2022"
"divit",,"Divit",,"1",,"11:48 05/09/2022"
"divyansh",,"Divyansh",,"1",,"11:48 05/09/2022"
"eshan",,"Eshan",,"1",,"11:48 05/09/2022"
"faiyaz",,"Faiyaz",,"1",,"11:48 05/09/2022"
"gurkiran",,"Gurkiran",,"1",,"11:48 05/09/2022"
"hansh",,"Hansh",,"1",,"11:48 05/09/2022"
"harikiran",,"Harikiran",,"1",,"11:48 05/09/2022"
"himmat",,"Himmat",,"1",,"11:48 05/09/2022"
"hiran",,"Hiran",,"1",,"11:48 05/09/2022"
"indrajit",,"Indrajit",,"1",,"11:48 05/09/2022"
"indranil",,"Indranil",,"1",,"11:48 05/09/2022"
"jayesh",,"Jayesh",,"1",,"11:48 05/09/2022"
"kiaan",,"Kiaan",,"1",,"11:48 05/09/2022"
"lakshit",,"Lakshit",,"1",,"11:48 05/09/2022"
"lakshay",,"Lakshay",,"1",,"11:48 05/09/2022"
"madhup",,"Madhup",,"1",,"11:48 05/09/2022"
"mitul",,"Mitul",,"1",,"11:48 05/09/2022"
"neerav",,"Neerav",,"1",,"11:48 05/09/2022"
"nishith",,"Nishith",,"1",,"11:48 05/09/2022"
"ojas",,"Ojas",,"1",,"11:48 05/09/2022"
"pranay",,"Pranay",,"1",,"11:48 05/09/2022"
"priyansh",,"Priyansh",,"1",,"11:48 05/09/2022"
"rachit",,"Rachit",,"1",,"11:48 05/09/2022"
"reyansh",,"Reyansh",,"1",,"11:48 05/09/2022"
"ranbir",,"Ranbir",,"1",,"11:48 05/09/2022"
"rohan",,"Rohan",,"1",,"11:48 05/09/2022"
"sahil",,"Sahil",,"1",,"11:48 05/09/2022"
"samar",,"Samar",,"1",,"11:48 05/09/2022"
"shaan",,"Shaan",,"1",,"11:48 05/09/2022"
"shlok",,"Shlok",,"1",,"11:48 05/09/2022"
"shray",,"Shray",,"1",,"11:48 05/09/2022"
"shreyas",,"Shreyas",,"1",,"11:48 05/09/2022"
"tushar",,"Tushar",,"1",,"11:48 05/09/2022"
"uthkarsh",,"Uthkarsh",,"1",,"11:48 05/09/2022"
"vaibhav",,"Vaibhav",,"1",,"11:48 05/09/2022"
"vihaan",,"Vihaan",,"1",,"11:48 05/09/2022"
"vivaan",,"Vivaan",,"1",,"11:48 05/09/2022"
"yakshit",,"Yakshit",,"1",,"11:48 05/09/2022"
"aadi",,"Aadi",,"1",,"11:48 05/09/2022"
"aarnav",,"Aarnav",,"1",,"11:48 05/09/2022"
"abdul",,"Abdul",,"1",,"11:48 05/09/2022"
"abeer",,"Abeer",,"1",,"11:48 05/09/2022"
"abhimanyu",,"Abhimanyu",,"1",,"11:48 05/09/2022"
"abhiramnew",,"Abhiramnew",,"1",,"11:48 05/09/2022"
"aditya",,"Aditya",,"1",,"11:48 05/09/2022"
"advaith",,"Advaith",,"1",,"11:48 05/09/2022"
"advay",,"Advay",,"1",,"11:48 05/09/2022"
"agastya",,"Agastya",,"1",,"11:48 05/09/2022"
"akshay",,"Akshay",,"1",,"11:48 05/09/2022"
"amol",,"Amol",,"1",,"11:48 05/09/2022"
"anay",,"Anay",,"1",,"11:48 05/09/2022"
"anirudhnew",,"Anirudhnew",,"1",,"11:48 05/09/2022"
"anmol",,"Anmol",,"1",,"11:48 05/09/2022"
"ansh",,"Ansh",,"1",,"11:48 05/09/2022"
"arin",,"Arin",,"1",,"11:48 05/09/2022"
"arjun",,"Arjun",,"1",,"11:48 05/09/2022"
"aryan",,"Aryan",,"1",,"11:48 05/09/2022"
"atharv",,"Atharv",,"1",,"11:48 05/09/2022"
"avi",,"Avi",,"1",,"11:48 05/09/2022"
"ayaan",,"Ayaan",,"1",,"11:48 05/09/2022"
"ayush",,"Ayush",,"1",,"11:48 05/09/2022"
"ayushman",,"Ayushman",,"1",,"11:48 05/09/2022"
"azaan",,"Azaan",,"1",,"11:48 05/09/2022"
"azad",,"Azad",,"1",,"11:48 05/09/2022"
"daksh",,"Daksh",,"1",,"11:48 05/09/2022"
"darsh",,"Darsh",,"1",,"11:48 05/09/2022"
"dev",,"Dev",,"1",,"11:48 05/09/2022"
"farhan",,"Farhan",,"1",,"11:48 05/09/2022"
"gautam",,"Gautam",,"1",,"11:48 05/09/2022"
"harsh",,"Harsh",,"1",,"11:48 05/09/2022"
"harshil",,"Harshil",,"1",,"11:48 05/09/2022"
"hredhaan",,"Hredhaan",,"1",,"11:48 05/09/2022"
"isaac",,"Isaac",,"1",,"11:48 05/09/2022"
"ishaan",,"Ishaan",,"1",,"11:48 05/09/2022"
"jainew",,"Jainew",,"1",,"11:48 05/09/2022"
"jason",,"Jason",,"1",,"11:48 05/09/2022"
"kabir",,"Kabir",,"1",,"11:48 05/09/2022"
"kalpit",,"Kalpit",,"1",,"11:48 05/09/2022"
"karan",,"Karan",,"1",,"11:48 05/09/2022"
"krish",,"Krish",,"1",,"11:48 05/09/2022"
"krishna",,"Krishna",,"1",,"11:48 05/09/2022"
"laksh",,"Laksh",,"1",,"11:48 05/09/2022"
"manannew",,"Manannew",,"1",,"11:48 05/09/2022"
"mohammed",,"Mohammed",,"1",,"11:48 05/09/2022"
"nachiket",,"Nachiket",,"1",,"11:48 05/09/2022"
"naksh",,"Naksh",,"1",,"11:48 05/09/2022"
"nakul",,"Nakul",,"1",,"11:48 05/09/2022"
"neel",,"Neel",,"1",,"11:48 05/09/2022"
"om",,"Om",,"1",,"11:48 05/09/2022"
"parth",,"Parth",,"1",,"11:48 05/09/2022"
"pranav",,"Pranav",,"1",,"11:48 05/09/2022"
"praneel",,"Praneel",,"1",,"11:48 05/09/2022"
"pranit",,"Pranit",,"1",,"11:48 05/09/2022"
"pratyush",,"Pratyush",,"1",,"11:48 05/09/2022"
"raghav",,"Raghav",,"1",,"11:48 05/09/2022"
"ranveer",,"Ranveer",,"1",,"11:48 05/09/2022"
"rayaan",,"Rayaan",,"1",,"11:48 05/09/2022"
"rehaannew",,"Rehaannew",,"1",,"11:48 05/09/2022"
"rishi",,"Rishi",,"1",,"11:48 05/09/2022"
"ronith",,"Ronith",,"1",,"11:48 05/09/2022"
"rudranew",,"Rudranew",,"1",,"11:48 05/09/2022"
"rushil",,"Rushil",,"1",,"11:48 05/09/2022"
"ryan",,"Ryan",,"1",,"11:48 05/09/2022"
"sai",,"Sai",,"1",,"11:48 05/09/2022"
"saksham",,"Saksham",,"1",,"11:48 05/09/2022"
"samaksh",,"Samaksh",,"1",,"11:48 05/09/2022"
"samarth",,"Samarth",,"1",,"11:48 05/09/2022"
"samesh",,"Samesh",,"1",,"11:48 05/09/2022"
"sarthak",,"Sarthak",,"1",,"11:48 05/09/2022"
"sathviknew",,"Sathviknew",,"1",,"11:48 05/09/2022"
"shaurya",,"Shaurya",,"1",,"11:48 05/09/2022"
"shivansh",,"Shivansh",,"1",,"11:48 05/09/2022"
"siddharth",,"Siddharth",,"1",,"11:48 05/09/2022"
"tejas",,"Tejas",,"1",,"11:48 05/09/2022"
"vedant",,"Vedant",,"1",,"11:48 05/09/2022"
"veer",,"Veer",,"1",,"11:48 05/09/2022"
"viaannew",,"Viaannew",,"1",,"11:48 05/09/2022"
"viraj",,"Viraj",,"1",,"11:48 05/09/2022"
"yash",,"Yash",,"1",,"11:48 05/09/2022"
"yug",,"Yug",,"1",,"11:48 05/09/2022"
"zayan",,"Zayan",,"1",,"11:48 05/09/2022"
