"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"fetu",,"Fetu",,"1",,"11:48 05/09/2022"
"fetuao",,"Fetuao",,"1",,"11:48 05/09/2022"
"iosefa",,"Iosefa",,"1",,"11:48 05/09/2022"
"lagi",,"Lagi",,"1",,"11:48 05/09/2022"
"lelei",,"Lelei",,"1",,"11:48 05/09/2022"
"loto",,"Loto",,"1",,"11:48 05/09/2022"
"manuia",,"Manuia",,"1",,"11:48 05/09/2022"
"maru",,"Maru",,"1",,"11:48 05/09/2022"
"ne'igalomeatiga",,"Ne'igalomeatiga",,"1",,"11:48 05/09/2022"
"puleleiite",,"Puleleiite",,"1",,"11:48 05/09/2022"
"rangi",,"Rangi",,"1",,"11:48 05/09/2022"
"sefa",,"Sefa",,"1",,"11:48 05/09/2022"
"tamati",,"Tamati",,"1",,"11:48 05/09/2022"
"tane",,"Tane",,"1",,"11:48 05/09/2022"
