"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"abadi",,"Abadi",,"1",,"11:48 05/09/2022"
"abboud",,"Abboud",,"1",,"11:48 05/09/2022"
"almasi",,"Almasi",,"1",,"11:48 05/09/2022"
"amari",,"Amari",,"1",,"11:48 05/09/2022"
"antar",,"Antar",,"1",,"11:48 05/09/2022"
"antoun",,"Antoun",,"1",,"11:48 05/09/2022"
"arian",,"Arian",,"1",,"11:48 05/09/2022"
"asfour",,"Asfour",,"1",,"11:48 05/09/2022"
"asghar",,"Asghar",,"1",,"11:48 05/09/2022"
"asker",,"Asker",,"1",,"11:48 05/09/2022"
"aswad",,"Aswad",,"1",,"11:48 05/09/2022"
"atiyeh",,"Atiyeh",,"1",,"11:48 05/09/2022"
"attia",,"Attia",,"1",,"11:48 05/09/2022"
"awad",,"Awad",,"1",,"11:48 05/09/2022"
"ba",,"Ba",,"1",,"11:48 05/09/2022"
"baba",,"Baba",,"1",,"11:48 05/09/2022"
"bahar",,"Bahar",,"1",,"11:48 05/09/2022"
"basara",,"Basara",,"1",,"11:48 05/09/2022"
"baz",,"Baz",,"1",,"11:48 05/09/2022"
"bishara",,"Bishara",,"1",,"11:48 05/09/2022"
"bitar",,"Bitar",,"1",,"11:48 05/09/2022"
"botros",,"Botros",,"1",,"11:48 05/09/2022"
"boulos",,"Boulos",,"1",,"11:48 05/09/2022"
"boutros",,"Boutros",,"1",,"11:48 05/09/2022"
"cham",,"Cham",,"1",,"11:48 05/09/2022"
"dagher",,"Dagher",,"1",,"11:48 05/09/2022"
"daher",,"Daher",,"1",,"11:48 05/09/2022"
"deeb",,"Deeb",,"1",,"11:48 05/09/2022"
"essa",,"Essa",,"1",,"11:48 05/09/2022"
"fakhoury",,"Fakhoury",,"1",,"11:48 05/09/2022"
"ganem",,"Ganem",,"1",,"11:48 05/09/2022"
"ganim",,"Ganim",,"1",,"11:48 05/09/2022"
"gerges",,"Gerges",,"1",,"11:48 05/09/2022"
"ghannam",,"Ghannam",,"1",,"11:48 05/09/2022"
"guirguis",,"Guirguis",,"1",,"11:48 05/09/2022"
"hadad",,"Hadad",,"1",,"11:48 05/09/2022"
"haddad",,"Haddad",,"1",,"11:48 05/09/2022"
"haik",,"Haik",,"1",,"11:48 05/09/2022"
"hajjar",,"Hajjar",,"1",,"11:48 05/09/2022"
"hakimi",,"Hakimi",,"1",,"11:48 05/09/2022"
"halabi",,"Halabi",,"1",,"11:48 05/09/2022"
"hanania",,"Hanania",,"1",,"11:48 05/09/2022"
"handal",,"Handal",,"1",,"11:48 05/09/2022"
"harb",,"Harb",,"1",,"11:48 05/09/2022"
"isa",,"Isa",,"1",,"11:48 05/09/2022"
"issa",,"Issa",,"1",,"11:48 05/09/2022"
"kalb",,"Kalb",,"1",,"11:48 05/09/2022"
"kanaan",,"Kanaan",,"1",,"11:48 05/09/2022"
"kassab",,"Kassab",,"1",,"11:48 05/09/2022"
"kassis",,"Kassis",,"1",,"11:48 05/09/2022"
"kattan",,"Kattan",,"1",,"11:48 05/09/2022"
"khouri",,"Khouri",,"1",,"11:48 05/09/2022"
"khoury",,"Khoury",,"1",,"11:48 05/09/2022"
"kouri",,"Kouri",,"1",,"11:48 05/09/2022"
"koury",,"Koury",,"1",,"11:48 05/09/2022"
"maalouf",,"Maalouf",,"1",,"11:48 05/09/2022"
"maloof",,"Maloof",,"1",,"11:48 05/09/2022"
"malouf",,"Malouf",,"1",,"11:48 05/09/2022"
"maroun",,"Maroun",,"1",,"11:48 05/09/2022"
"masih",,"Masih",,"1",,"11:48 05/09/2022"
"mifsud",,"Mifsud",,"1",,"11:48 05/09/2022"
"mikhail",,"Mikhail",,"1",,"11:48 05/09/2022"
"moghadam",,"Moghadam",,"1",,"11:48 05/09/2022"
"morcos",,"Morcos",,"1",,"11:48 05/09/2022"
"nader",,"Nader",,"1",,"11:48 05/09/2022"
"nahas",,"Nahas",,"1",,"11:48 05/09/2022"
"naifeh",,"Naifeh",,"1",,"11:48 05/09/2022"
"najjar",,"Najjar",,"1",,"11:48 05/09/2022"
"naser",,"Naser",,"1",,"11:48 05/09/2022"
"nassar",,"Nassar",,"1",,"11:48 05/09/2022"
"nazari",,"Nazari",,"1",,"11:48 05/09/2022"
"quraishi",,"Quraishi",,"1",,"11:48 05/09/2022"
"qureshi",,"Qureshi",,"1",,"11:48 05/09/2022"
"rahal",,"Rahal",,"1",,"11:48 05/09/2022"
"sabbag",,"Sabbag",,"1",,"11:48 05/09/2022"
"sabbagh",,"Sabbagh",,"1",,"11:48 05/09/2022"
"safar",,"Safar",,"1",,"11:48 05/09/2022"
"said",,"Said",,"1",,"11:48 05/09/2022"
"salib",,"Salib",,"1",,"11:48 05/09/2022"
"saliba",,"Saliba",,"1",,"11:48 05/09/2022"
"samaha",,"Samaha",,"1",,"11:48 05/09/2022"
"sarraf",,"Sarraf",,"1",,"11:48 05/09/2022"
"sayegh",,"Sayegh",,"1",,"11:48 05/09/2022"
"seif",,"Seif",,"1",,"11:48 05/09/2022"
"shadid",,"Shadid",,"1",,"11:48 05/09/2022"
"shalhoub",,"Shalhoub",,"1",,"11:48 05/09/2022"
"shammas",,"Shammas",,"1",,"11:48 05/09/2022"
"shamon",,"Shamon",,"1",,"11:48 05/09/2022"
"shamoon",,"Shamoon",,"1",,"11:48 05/09/2022"
"shamoun",,"Shamoun",,"1",,"11:48 05/09/2022"
"sleiman",,"Sleiman",,"1",,"11:48 05/09/2022"
"tahan",,"Tahan",,"1",,"11:48 05/09/2022"
"tannous",,"Tannous",,"1",,"11:48 05/09/2022"
"toma",,"Toma",,"1",,"11:48 05/09/2022"
"totah",,"Totah",,"1",,"11:48 05/09/2022"
"touma",,"Touma",,"1",,"11:48 05/09/2022"
"tuma",,"Tuma",,"1",,"11:48 05/09/2022"
"wasem",,"Wasem",,"1",,"11:48 05/09/2022"
"zogby",,"Zogby",,"1",,"11:48 05/09/2022"
