"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"aiyana",,"Aiyana",,"1",,"11:48 05/09/2022"
"aponi",,"Aponi",,"1",,"11:48 05/09/2022"
"atepa",,"Atepa",,"1",,"11:48 05/09/2022"
"catori",,"Catori",,"1",,"11:48 05/09/2022"
"chenoa",,"Chenoa",,"1",,"11:48 05/09/2022"
"dyani",,"Dyani",,"1",,"11:48 05/09/2022"
"enola",,"Enola",,"1",,"11:48 05/09/2022"
"halona",,"Halona",,"1",,"11:48 05/09/2022"
"imala",,"Imala",,"1",,"11:48 05/09/2022"
"kasa",,"Kasa",,"1",,"11:48 05/09/2022"
"kimi",,"Kimi",,"1",,"11:48 05/09/2022"
"dena",,"Dena",,"1",,"11:48 05/09/2022"
"leotie",,"Leotie",,"1",,"11:48 05/09/2022"
"lulu",,"Lulu",,"1",,"11:48 05/09/2022"
"mai",,"Mai",,"1",,"11:48 05/09/2022"
"nadie",,"Nadie",,"1",,"11:48 05/09/2022"
"nakoma",,"Nakoma",,"1",,"11:48 05/09/2022"
"nina",,"Nina",,"1",,"11:48 05/09/2022"
"nita",,"Nita",,"1",,"11:48 05/09/2022"
"nova",,"Nova",,"1",,"11:48 05/09/2022"
"poloma",,"Poloma",,"1",,"11:48 05/09/2022"
"wenona",,"Wenona",,"1",,"11:48 05/09/2022"
