"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"amelia",,"Amelia",,"1",,"11:49 05/09/2022"
"olivia",,"Olivia",,"1",,"11:49 05/09/2022"
"ava",,"Ava",,"1",,"11:49 05/09/2022"
"isla",,"Isla",,"1",,"11:49 05/09/2022"
"emily",,"Emily",,"1",,"11:49 05/09/2022"
"ella",,"Ella",,"1",,"11:49 05/09/2022"
"mia",,"Mia",,"1",,"11:49 05/09/2022"
"isabella",,"Isabella",,"1",,"11:49 05/09/2022"
"lily",,"Lilie",,"1",,"11:49 05/09/2022"
"evie",,"Evie",,"1",,"11:49 05/09/2022"
"sophie",,"Sophie",,"1",,"11:49 05/09/2022"
"ruby",,"Ruby",,"1",,"11:49 05/09/2022"
"grace",,"Grace",,"1",,"11:49 05/09/2022"
"freya",,"Freya",,"1",,"11:49 05/09/2022"
"poppy",,"Poppy",,"1",,"11:49 05/09/2022"
"sophia",,"Sophia",,"1",,"11:49 05/09/2022"
"seren",,"Seren",,"1",,"11:49 05/09/2022"
"isabelle",,"Isabelle",,"1",,"11:49 05/09/2022"
"millie",,"Millie",,"1",,"11:49 05/09/2022"
"ffion",,"Ffion",,"1",,"11:49 05/09/2022"
"daisy",,"Daisy",,"1",,"11:49 05/09/2022"
"sienna",,"Sienna",,"1",,"11:49 05/09/2022"
"chloe",,"Chloe",,"1",,"11:49 05/09/2022"
"scarlett",,"Scarlett",,"1",,"11:49 05/09/2022"
"phoebe",,"Phoebe",,"1",,"11:49 05/09/2022"
"erin",,"Erin",,"1",,"11:49 05/09/2022"
"megan",,"Megan",,"1",,"11:49 05/09/2022"
"layla",,"Layla",,"1",,"11:49 05/09/2022"
"florence",,"Florence",,"1",,"11:49 05/09/2022"
"rosie",,"Rosie",,"1",,"11:49 05/09/2022"
"imogen",,"Imogen",,"1",,"11:49 05/09/2022"
"eva",,"Eva",,"1",,"11:49 05/09/2022"
"charlotte",,"Charlotte",,"1",,"11:49 05/09/2022"
"ellie",,"Ellie",,"1",,"11:49 05/09/2022"
"elsie",,"Elsie",,"1",,"11:49 05/09/2022"
"lola",,"Lola",,"1",,"11:49 05/09/2022"
"maisie",,"Maisie",,"1",,"11:49 05/09/2022"
"sofia",,"Sofia",,"1",,"11:49 05/09/2022"
"jessica",,"Jessica",,"1",,"11:49 05/09/2022"
"esme",,"Esme",,"1",,"11:49 05/09/2022"
"harper",,"Harper",,"1",,"11:49 05/09/2022"
"thea",,"Thea",,"1",,"11:49 05/09/2022"
"matilda",,"Matilda",,"1",,"11:49 05/09/2022"
"molly",,"Molly",,"1",,"11:49 05/09/2022"
"evelyn",,"Evelyn",,"1",,"11:49 05/09/2022"
"gracie",,"Gracie",,"1",,"11:49 05/09/2022"
"mali",,"Mali",,"1",,"11:49 05/09/2022"
"lilly",,"Lilly",,"1",,"11:49 05/09/2022"
"willow",,"Willow",,"1",,"11:49 05/09/2022"
"lucy",,"Lucy",,"1",,"11:49 05/09/2022"
"lottie",,"Lottie",,"1",,"11:49 05/09/2022"
"alice",,"Alice",,"1",,"11:49 05/09/2022"
"bella",,"Bella",,"1",,"11:49 05/09/2022"
"emilia",,"Emilia",,"1",,"11:49 05/09/2022"
"georgia",,"Georgia",,"1",,"11:49 05/09/2022"
"lacey",,"Lacey",,"1",,"11:49 05/09/2022"
"martha",,"Martha",,"1",,"11:49 05/09/2022"
"darcie",,"Darcie",,"1",,"11:49 05/09/2022"
"mila",,"Mila",,"1",,"11:49 05/09/2022"
"ivy",,"Ivy",,"1",,"11:49 05/09/2022"
"amber",,"Amber",,"1",,"11:49 05/09/2022"
"harriet",,"Harriet",,"1",,"11:49 05/09/2022"
"eliza",,"Eliza",,"1",,"11:49 05/09/2022"
"jasmine",,"Jasmine",,"1",,"11:49 05/09/2022"
"nia",,"Nia",,"1",,"11:49 05/09/2022"
"alys",,"Alys",,"1",,"11:49 05/09/2022"
"aria",,"Aria",,"1",,"11:49 05/09/2022"
"faith",,"Faith",,"1",,"11:49 05/09/2022"
"holly",,"Holly",,"1",,"11:49 05/09/2022"
"lexi",,"Lexi",,"1",,"11:49 05/09/2022"
"annabelle",,"Annabelle",,"1",,"11:49 05/09/2022"
"carys",,"Carys",,"1",,"11:49 05/09/2022"
"brooke",,"Brooke",,"1",,"11:49 05/09/2022"
"efa",,"Efa",,"1",,"11:49 05/09/2022"
"robyn",,"Robyn",,"1",,"11:49 05/09/2022"
"summer",,"Summer",,"1",,"11:49 05/09/2022"
"abigail",,"Abigail",,"1",,"11:49 05/09/2022"
"elizabeth",,"Elizabeth",,"1",,"11:49 05/09/2022"
"maya",,"Maya",,"1",,"11:49 05/09/2022"
"mollie",,"Mollie",,"1",,"11:49 05/09/2022"
"emma",,"Emma",,"1",,"11:49 05/09/2022"
"cadi",,"Cadi",,"1",,"11:49 05/09/2022"
"hannah",,"Hannah",,"1",,"11:49 05/09/2022"
"violet",,"Violet",,"1",,"11:49 05/09/2022"
"lili",,"Lili",,"1",,"11:49 05/09/2022"
"lois",,"Lois",,"1",,"11:49 05/09/2022"
"nancy",,"Nancy",,"1",,"11:49 05/09/2022"
"anna",,"Anna",,"1",,"11:49 05/09/2022"
"lowri",,"Lowri",,"1",,"11:49 05/09/2022"
"madison",,"Madison",,"1",,"11:49 05/09/2022"
"paige",,"Paige",,"1",,"11:49 05/09/2022"
"amelie",,"Amelie",,"1",,"11:49 05/09/2022"
"bonnie",,"Bonnie",,"1",,"11:49 05/09/2022"
"eira",,"Eira",,"1",,"11:49 05/09/2022"
"mya",,"Mya",,"1",,"11:49 05/09/2022"
"skyla",,"Skyla",,"1",,"11:49 05/09/2022"
"darcey",,"Darcey",,"1",,"11:49 05/09/2022"
"ela",,"Ela",,"1",,"11:49 05/09/2022"
"eleanor",,"Eleanor",,"1",,"11:49 05/09/2022"
"elin",,"Elin",,"1",,"11:49 05/09/2022"
"eilidh",,"Eilidh",,"1",,"11:49 05/09/2022"
"katie",,"Katie",,"1",,"11:49 05/09/2022"
"orla",,"Orla",,"1",,"11:49 05/09/2022"
"skye",,"Skye",,"1",,"11:49 05/09/2022"
"leah",,"Leah",,"1",,"11:49 05/09/2022"
"zoe",,"Zoe",,"1",,"11:49 05/09/2022"
"amy",,"Amy",,"1",,"11:49 05/09/2022"
"hollie",,"Hollie",,"1",,"11:49 05/09/2022"
"niamh",,"Niamh",,"1",,"11:49 05/09/2022"
"rebecca",,"Rebecca",,"1",,"11:49 05/09/2022"
"zara",,"Zara",,"1",,"11:49 05/09/2022"
"abbie",,"Abbie",,"1",,"11:49 05/09/2022"
"kayla",,"Kayla",,"1",,"11:49 05/09/2022"
"cara",,"Cara",,"1",,"11:49 05/09/2022"
"sarah",,"Sarah",,"1",,"11:49 05/09/2022"
"rose",,"Ruze",,"1",,"11:49 05/09/2022"
"ayla",,"Ayla",,"1",,"11:49 05/09/2022"
"rachel",,"Rachel",,"1",,"11:49 05/09/2022"
"iona",,"Iona",,"1",,"11:49 05/09/2022"
"julia",,"Julia",,"1",,"11:49 05/09/2022"
"darcy",,"Darcy",,"1",,"11:49 05/09/2022"
"lauren",,"Lauren",,"1",,"11:49 05/09/2022"
"arianna",,"Arianna",,"1",,"11:49 05/09/2022"
"eve",,"Eve",,"1",,"11:49 05/09/2022"
"caitlin",,"Caitlin",,"1",,"11:49 05/09/2022"
"beth",,"Beth",,"1",,"11:49 05/09/2022"
"maria",,"Maria",,"1",,"11:49 05/09/2022"
"heidi",,"Heidi",,"1",,"11:49 05/09/2022"
"hope",,"Hope",,"1",,"11:49 05/09/2022"
"ariana",,"Ariana",,"1",,"11:49 05/09/2022"
"georgie",,"Georgie",,"1",,"11:49 05/09/2022"
"sadie",,"Sadie",,"1",,"11:49 05/09/2022"
"aoife",,"Aoife",,"1",,"11:49 05/09/2022"
"kate",,"Kate",,"1",,"11:49 05/09/2022"
"saoirse",,"Saoirse",,"1",,"11:49 05/09/2022"
"caoimhe",,"Caoimhe",,"1",,"11:49 05/09/2022"
"roisin",,"Roisin",,"1",,"11:49 05/09/2022"
"ciara",,"Ciara",,"1",,"11:49 05/09/2022"
"fiadh",,"Fiadh",,"1",,"11:49 05/09/2022"
"faye",,"Faye",,"1",,"11:49 05/09/2022"
"laura",,"Laura",,"1",,"11:49 05/09/2022"
"clodagh",,"Clodagh",,"1",,"11:49 05/09/2022"
"eabha",,"Eabha",,"1",,"11:49 05/09/2022"
"sadhbh",,"Sadhbh",,"1",,"11:49 05/09/2022"
"ellen",,"Ellen",,"1",,"11:49 05/09/2022"
"aine",,"Aine",,"1",,"11:49 05/09/2022"
"aoibhinn",,"Aoibhinn",,"1",,"11:49 05/09/2022"
"clara",,"Clara",,"1",,"11:49 05/09/2022"
"mary",,"Mary",,"1",,"11:49 05/09/2022"
"nicole",,"Nicole",,"1",,"11:49 05/09/2022"
"alannah",,"Alannah",,"1",,"11:49 05/09/2022"
"alexandra",,"Alexandra",,"1",,"11:49 05/09/2022"
"lena",,"Lena",,"1",,"11:49 05/09/2022"
"aisling",,"Aisling",,"1",,"11:49 05/09/2022"
"annie",,"Annie",,"1",,"11:49 05/09/2022"
"aoibheann",,"Aoibheann",,"1",,"11:49 05/09/2022"
"meabh",,"Meabh",,"1",,"11:49 05/09/2022"
"hanna",,"Hanna",,"1",,"11:49 05/09/2022"
"sara",,"Sara",,"1",,"11:49 05/09/2022"
"maja",,"Maja",,"1",,"11:49 05/09/2022"
"victoria",,"Victoria",,"1",,"11:49 05/09/2022"
"eimear",,"Eimear",,"1",,"11:49 05/09/2022"
"lara",,"Lara",,"1",,"11:49 05/09/2022"
"tara",,"Tara",,"1",,"11:49 05/09/2022"
"ruth",,"Ruth",,"1",,"11:49 05/09/2022"
"hazel",,"Hazel",,"1",,"11:49 05/09/2022"
"grainne",,"Grainne",,"1",,"11:49 05/09/2022"
"shauna",,"Shauna",,"1",,"11:49 05/09/2022"
"louise",,"Louise",,"1",,"11:49 05/09/2022"
"katelyn",,"Katelyn",,"1",,"11:49 05/09/2022"
"michaela",,"Michaela",,"1",,"11:49 05/09/2022"
"kayleigh",,"Kayleigh",,"1",,"11:49 05/09/2022"
"michelle",,"Michelle",,"1",,"11:49 05/09/2022"
"aoibhe",,"Aoibhe",,"1",,"11:49 05/09/2022"
"gemma",,"Gemma",,"1",,"11:49 05/09/2022"
"alicia",,"Alicia",,"1",,"11:49 05/09/2022"
"leona",,"Leona",,"1",,"11:49 05/09/2022"
"ailbhe",,"Ailbhe",,"1",,"11:49 05/09/2022"
"aimee",,"Aimee",,"1",,"11:49 05/09/2022"
"alanna",,"Alanna",,"1",,"11:49 05/09/2022"
"fiona",,"Fiona",,"1",,"11:49 05/09/2022"
"alison",,"Alison",,"1",,"11:49 05/09/2022"
"catherine",,"Catherine",,"1",,"11:49 05/09/2022"
"danielle",,"Danielle",,"1",,"11:49 05/09/2022"
"naomi",,"Naomi",,"1",,"11:49 05/09/2022"
"nicola",,"Nicola",,"1",,"11:49 05/09/2022"
"oliwia",,"Oliwia",,"1",,"11:49 05/09/2022"
"lisa",,"Lisa",,"1",,"11:49 05/09/2022"
"margaret",,"Margaret",,"1",,"11:49 05/09/2022"
"sorcha",,"Sorcha",,"1",,"11:49 05/09/2022"
"jodie",,"Jodie",,"1",,"11:49 05/09/2022"
"andrea",,"Andrea",,"1",,"11:49 05/09/2022"
"kelly",,"Kelly",,"1",,"11:49 05/09/2022"
"zuzanna",,"Zuzanna",,"1",,"11:49 05/09/2022"
"laoise",,"Laoise",,"1",,"11:49 05/09/2022"
"leanne",,"Leanne",,"1",,"11:49 05/09/2022"
"alana",,"Alana",,"1",,"11:49 05/09/2022"
"chelsea",,"Chelsea",,"1",,"11:49 05/09/2022"
"claire",,"Claire",,"1",,"11:49 05/09/2022"
"emer",,"Emer",,"1",,"11:49 05/09/2022"
"siobhan",,"Siobhan",,"1",,"11:49 05/09/2022"
"hayley",,"Hayley",,"1",,"11:49 05/09/2022"
"natalia",,"Natalia",,"1",,"11:49 05/09/2022"
"casey",,"Casey",,"1",,"11:49 05/09/2022"
"jade",,"Jade",,"1",,"11:49 05/09/2022"
"kathleen",,"Kathleen",,"1",,"11:49 05/09/2022"
"julie",,"Julie",,"1",,"11:49 05/09/2022"
"melissa",,"Melissa",,"1",,"11:49 05/09/2022"
"ines",,"Ines",,"1",,"11:49 05/09/2022"
"jeanne",,"Jeanne",,"1",,"11:49 05/09/2022"
"adele",,"Adele",,"1",,"11:49 05/09/2022"
"juliette",,"Juliette",,"1",,"11:49 05/09/2022"
"camille",,"Camille",,"1",,"11:49 05/09/2022"
"lea",,"Lea",,"1",,"11:49 05/09/2022"
"lina",,"Lina",,"1",,"11:49 05/09/2022"
"josephine",,"Josephine",,"1",,"11:49 05/09/2022"
"manon",,"Manon",,"1",,"11:49 05/09/2022"
"nina",,"Nina",,"1",,"11:49 05/09/2022"
"margaux",,"Margaux",,"1",,"11:49 05/09/2022"
"lou",,"Lou",,"1",,"11:49 05/09/2022"
"anaïs",,"Anais",,"1",,"11:49 05/09/2022"
