"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"retailowner","Retail Owner","Majitel maloobchodu",,,,"11:48 05/09/2022"
"retailmanager","Retail Manager","Vedouci maloobchodu",,,,"11:48 05/09/2022"
"shopkeeper","Shopkeeper","Prodavac",,,,"11:48 05/09/2022"
"generalmanager","General Manager","Generalni reditel",,,,"11:48 05/09/2022"
"headofhr","Head of HR","HR oddeleni",,,,"11:48 05/09/2022"
"personalassistant","Personal Assistant","Osobni asistent",,,,"11:48 05/09/2022"
"officemanager","Office Manager","Vedouci kancelare",,,,"11:48 05/09/2022"
"headofoperations","Head of Operations","Vedouci provozu",,,,"11:48 05/09/2022"
"hradministrator","HR Administrator","Spravce lidskych zdroju",,,,"11:48 05/09/2022"
"marketingexecutive","Marketing Executive","Marketingovy manazer",,,,"11:48 05/09/2022"
"accountant","Accountant","Ucetni",,,,"11:48 05/09/2022"
"qatechnician","QA Technician","Technik kontroly kvality",,,,"11:48 05/09/2022"
"customerservicetechnician","Customer Service Technician","Technik zakaznickeho servisu",,,,"11:48 05/09/2022"
"buyer","Buyer","Kupujici",,,,"11:48 05/09/2022"
"receptionist","Receptionist","Recepcni",,,,"11:48 05/09/2022"
"officetemp","Office Temporary Worker","Docasny pracovnik v kancelari",,,,"11:48 05/09/2022"
"warehousemanager","Warehouse Manager","Vedouci skladu",,,,"11:48 05/09/2022"
"administrator","Administrator","Spravce",,,,"11:48 05/09/2022"
"warehousetechnician","Warehouse Technician","Skladovy technik",,,,"11:48 05/09/2022"
"machinist","Machinist","Strojnik",,,,"11:48 05/09/2022"
"securityguard","Security Guard","Bezpecnostni straz",,,,"11:48 05/09/2022"
"janitor","Janitor","Udrzbar",,,,"11:48 05/09/2022"
"barstaff","Bar Staff","Personal baru",,,,"11:48 05/09/2022"
"retired","Retired","Vyslouzily",,,,"11:48 05/09/2022"
"barkeeper","Barkeeper","Barman",,,,"11:48 05/09/2022"
"headchef","Head Chef","Sefkuchar",,,,"11:48 05/09/2022"
"souschef","Sous Chef","Zastupce sefkuchare",,,,"11:48 05/09/2022"
"kitchenhand","Kitchen Hand","Kuchynska ruka",,,,"11:48 05/09/2022"
"companydirector","Company Director","Reditel spolecnosti",,,,"11:48 05/09/2022"
"waiter","Waiter","Cisnik",,,,"11:48 05/09/2022"
"floormanager","Floor Manager","Vedouci podlahove plochy",,,,"11:48 05/09/2022"
"foreman","Foreman","Predak",,,,"11:48 05/09/2022"
"engineer","Engineer","Inzenyr",,,,"11:48 05/09/2022"
"sitemanager","Site Manager","Vedouci pracoviste",,,,"11:48 05/09/2022"
"safetyofficer","Safety Officer","Bezpecnostni pracovnik",,,,"11:48 05/09/2022"
"r&dmanager","R&D Manager","Manazer vyzkumu a vyvoje",,,,"11:48 05/09/2022"
"shippingmanager","Shipping Manager","Vedouci prepravy",,,,"11:48 05/09/2022"
"buildingmanager","Building Manager","Spravce budovy",,,,"11:48 05/09/2022"
"securityguard2","Security Guard","Bezpecnostni straz",,,,"11:48 05/09/2022"
"buildingjanitor","Building Janitor","Udrzbar budovy",,,,"11:48 05/09/2022"
"hiredkiller","Hired Killer","Najemny vrah",,,,"11:48 05/09/2022"
"unemployed","Unemployed","Nezamestnani",,,,"11:48 05/09/2022"
"waitstaff","Wait Staff","Cisnici",,,,"11:48 05/09/2022"
"shopassistant","Shop Assistant","Prodejni asistent",,,,"11:48 05/09/2022"
"securityguarddesk","Security Guard","Bezpecnostni straz",,,,"11:48 05/09/2022"
"selfemployedstreetstallvendor","Street Stall Vendor","Poulicni stankovy prodejce",,,,"11:48 05/09/2022"
"laundryworker","Laundry Worker","Pracovnik v pradelne",,,,"11:48 05/09/2022"
"enforcer","Enforcer","Exekutor",,,,"11:48 05/09/2022"
"enforcercaptain","Enforcer Captain","Velitel exekutoru",,,,"11:48 05/09/2022"
"dataanalyst","Data Analyst","Datovy analytik",,,,"11:48 05/09/2022"
"chiefmedicalofficer","Chief Medical Officer","Hlavni lekar",,,,"11:48 05/09/2022"
"medicalofficer","Medical Officer","Lekarsky urednik",,,,"11:48 05/09/2022"
"nurse","Nurse","Zdravotni sestra",,,,"11:48 05/09/2022"
"elgenclinicmanager","El Gen Clinic Manager","Vedouci kliniky El Gen",,,,"11:48 05/09/2022"
"elgenrep","El Gen Representative","Zastupce spolecnosti El Gen",,,,"11:48 05/09/2022"
"selfemployedlandlord","Landlord","Pronajimatel",,,,"11:48 05/09/2022"
"selfemployedweaponsdealer","Weapons Dealer","Prodejce zbrani",,,,"11:48 05/09/2022"
"weaponsdealer","Weapons Dealer","Prodejce zbrani",,,,"11:48 05/09/2022"
"blackmarketdoctor","Black Market Doctor","Lekar na cernem trhu",,,,"11:48 05/09/2022"
"blackmarkettrader","Black Market Trader","Obchodnik na cernem trhu",,,,"11:48 05/09/2022"
"criminalaccountant","Accountant","Ucetni",,,,"11:48 05/09/2022"
"debtcollector","Debt Collector","Vymahani pohledavek",,,,"11:48 05/09/2022"
"gamblingdenowner","Gambling Den Owner","Majitel hazardniho doupete",,,,"11:48 05/09/2022"
"supervisor","Supervisor","Supervisor",,,,"11:48 05/09/2022"
