"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"diner","Diner","Diner",,"10",,"11:49 05/09/2022"
"dining car","Dining Car","Jidelni vuz",,"6",,"11:49 05/09/2022"
"dining","Dining","Jidelna",,"5",,"11:49 05/09/2022"
"restaurant","Restaurant","Restaurace",,"7",,"11:49 05/09/2022"
"cafe","Cafe","Kavarna",,"9",,"11:49 05/09/2022"
"chophouse","Chophouse","Steakhouse",,"3",,"11:49 05/09/2022"
"sandwich bar","Sandwich Bar","Sendvicovy bar",,"4",,"11:49 05/09/2022"
"sandwich hut","Sandwich Hut","Sandwich Hut",,"2",,"11:49 05/09/2022"
"bbq","BBQ","GRILOVANI",,"5",,"11:49 05/09/2022"
"chicken basket","Chicken Basket","Kosik s kurecim masem",,"1",,"11:49 05/09/2022"
"hamburgers","Hamburgers","Hamburgery",,"3",,"11:49 05/09/2022"
"grill","Grill","Gril",,"6",,"11:49 05/09/2022"
"canteen","Canteen","Kantyna",,"5",,"11:49 05/09/2022"
"kitchen","Kitchen","Kuchyne",,"7",,"11:49 05/09/2022"
"express","Express","Expresni",,"5",,"11:49 05/09/2022"
"americana","Americana","Americke",,"4",,"11:49 05/09/2022"
