"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"stores","Stores","Obchody",,"1",,"11:49 05/09/2022"
"foods","Foods","Potraviny",,"1",,"11:49 05/09/2022"
"wholefoods","Wholefoods","Celozrnne potraviny",,"1",,"11:49 05/09/2022"
"health store","Health Store","Obchod se zdravim",,"1",,"11:49 05/09/2022"
"fine foods","Fine Foods","Jemne potraviny",,"1",,"11:49 05/09/2022"
"market","Market","Trh",,"1",,"11:49 05/09/2022"
"24","24","24",,"1",,"11:49 05/09/2022"
"savings","Savings","Uspory",,"1",,"11:49 05/09/2022"
"cost cut","Cost Cut","Snizeni nakladu",,"1",,"11:49 05/09/2022"
"express","Express","Expresni",,"1",,"11:49 05/09/2022"
"news & booze","News & Booze","Novinky a alkohol",,"1",,"11:49 05/09/2022"
"checkout","Checkout","Pokladna",,"1",,"11:49 05/09/2022"
"retail","Retail","Maloobchod",,"1",,"11:49 05/09/2022"
"essentials","Essentials","Zakladni",,"1",,"11:49 05/09/2022"
