"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"lucky","Lucky","Stastny",,"1","Y","11:49 05/09/2022"
"lucky cat","Lucky Cat","Stastna kocka",,"1",,"11:49 05/09/2022"
"wok","Wok","Wok",,"1","Y","11:49 05/09/2022"
"panda","Panda","Panda",,"1",,"11:49 05/09/2022"
"moon","Moon","Mesic",,"1",,"11:49 05/09/2022"
"jade express","Jade Express","Jade Express",,"1",,"11:49 05/09/2022"
"great moon","Great Moon","Velky mesic",,"1",,"11:49 05/09/2022"
"lucky bowl","Lucky Bowl","Stastna miska",,"1",,"11:49 05/09/2022"
"lucky wok","Lucky Wok","Stastny Wok",,"1",,"11:49 05/09/2022"
"sun hibachi","Sun Hibachi","Slunce Hibachi",,"1",,"11:49 05/09/2022"
"grand star","Grand Star","Velka hvezda",,"1",,"11:49 05/09/2022"
"red dragon","Red Dragon","Cerveny drak",,"1",,"11:49 05/09/2022"
"dragon","Dragon","Drak",,"1","Y","11:49 05/09/2022"
"saffron","Saffron","Safran",,"1","Y","11:49 05/09/2022"
"spice house","Spice House","Dum koreni",,"1",,"11:49 05/09/2022"
"yellow dragon","Yellow Dragon","Zluty drak",,"1",,"11:49 05/09/2022"
"blue dragon","Blue Dragon","Modry drak",,"1",,"11:49 05/09/2022"
"green dragon","Green Dragon","Zeleny drak",,"1",,"11:49 05/09/2022"
"mighty dragon","Mighty Dragon","Mocny drak",,"1",,"11:49 05/09/2022"
"indigo dragon","Indigo Dragon","Indigovy drak",,"1",,"11:49 05/09/2022"
"lucky eastern","Lucky Eastern","Stastny Vychod",,"1",,"11:49 05/09/2022"
"bamboo","Bamboo","Bambus",,"1",,"11:49 05/09/2022"
"dynasty","Dynasty","Dynastie",,"1",,"11:49 05/09/2022"
"mandarin chef","Mandarin Chef","Mandarinsky sefkuchar",,"1",,"11:49 05/09/2022"
"flaming wok","Flaming Wok","Plamenici Wok",,"1",,"11:49 05/09/2022"
"lucky broth","Lucky Broth","Stastny vyvar",,"1",,"11:49 05/09/2022"
"palace","Palace","Palac",,"1","Y","11:49 05/09/2022"
"cherry blossom","Cherry Blossom","Tresnovy kvet",,"1",,"11:49 05/09/2022"
"juniper","Juniper","Jalovec",,"1",,"11:49 05/09/2022"
"eastern spice","Eastern Spice","Vychodni koreni",,"1",,"11:49 05/09/2022"
"aromatic","Aromatic","Aromaticke",,"1","Y","11:49 05/09/2022"
"lucky panda","Lucky Panda","Stastna panda",,"1",,"11:49 05/09/2022"
"lotus flower","Lotus Flower","Lotosovy kvet",,"1",,"11:49 05/09/2022"
"sapphire lantern","Sapphire Lantern","Safirova lampa",,"1",,"11:49 05/09/2022"
"jade lantern","Jade Lantern","Nefritova lampa",,"1",,"11:49 05/09/2022"
"orange lantern","Orange Lantern","Oranzova lampa",,"1",,"11:49 05/09/2022"
"red lantern","Red Lantern","Cervena lampa",,"1",,"11:49 05/09/2022"
"indigo lantern","Indigo Lantern","Indigova lampa",,"1",,"11:49 05/09/2022"
"emperor's","Emperor's","Cisaruv",,"1","Y","11:49 05/09/2022"
"sun","Sun","Slunce",,"1",,"11:49 05/09/2022"
"rising sun","Rising Sun","Vychazejici slunce",,"1",,"11:49 05/09/2022"
"sumo","Sumo","Sumo",,"1",,"11:49 05/09/2022"
"indigo","Indigo","Indigo",,"1","Y","11:49 05/09/2022"
"sweet broth","Sweet Broth","Sladky vyvar",,"1",,"11:49 05/09/2022"
"five spice","Five Spice","Pet koreni",,"1",,"11:49 05/09/2022"
"lucky chopstick","Lucky Chopstick","Stastna hulka",,"1",,"11:49 05/09/2022"
"lucky oyster","Lucky Oyster","Stastna ustrice",,"1",,"11:49 05/09/2022"
"sake","Sake","Sake",,"1","Y","11:49 05/09/2022"
"soy palace","Soy Palace","Sojovy palac",,"1",,"11:49 05/09/2022"
"ginger king","Ginger King","Kral zazvoru",,"1",,"11:49 05/09/2022"
"sesame seed","Sesame Seed","Sezamove seminko",,"1",,"11:49 05/09/2022"
"pepper","Pepper","Pepr",,"1","Y","11:49 05/09/2022"
"lucky sesame","Lucky Sesame","Stastny sezam",,"1",,"11:49 05/09/2022"
"sansho","Sansho","Sansho",,"1",,"11:49 05/09/2022"
"orange blossom","Orange Blossom","Oranzovy kvet",,"1",,"11:49 05/09/2022"
"ginger","Ginger","Zazvor",,"1","Y","11:49 05/09/2022"
"cassia","Cassia","Kasie",,"1","Y","11:49 05/09/2022"
"sesame","Sesame","Sezam",,"1",,"11:49 05/09/2022"
"kaohsiung","Kaohsiung","Kaohsiung",,"1",,"11:49 05/09/2022"
"lotus","Lotus","Lotos",,"1","Y","11:49 05/09/2022"
"shangqiu","Shangqiu","Shangqiu",,"1","Y","11:49 05/09/2022"
"emerald","Emerald","Smaragd",,"1","Y","11:49 05/09/2022"
"changsha","Changsha","Changsha",,"1","Y","11:49 05/09/2022"
"zhengzhou","Zhengzhou","Zhengzhou",,"1","Y","11:49 05/09/2022"
"nanchang","Nanchang","Nanchang",,"1","Y","11:49 05/09/2022"
"golden","Golden","Zlaty",,"1","Y","11:49 05/09/2022"
