"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"health & fitness","Health & Fitness","Zdravi a fitness",,"1",,"11:49 05/09/2022"
"whole","Whole","Cele",,"1",,"11:49 05/09/2022"
"wellbeing","Wellbeing","Blahobyt",,"1",,"11:49 05/09/2022"
"total fitness","Total Fitness","Total Fitness",,"1",,"11:49 05/09/2022"
"best health","Best Health","Nejlepsi zdravi",,"1",,"11:49 05/09/2022"
"vita","Vita","Vita",,"1",,"11:49 05/09/2022"
"vital","Vital","Vital",,"1",,"11:49 05/09/2022"
"alive","Alive","Zive",,"1",,"11:49 05/09/2022"
"stronger bodies","Stronger Bodies","Silnejsi tela",,"1",,"11:49 05/09/2022"
"evolve","Evolve","Vyvijet",,"1",,"11:49 05/09/2022"
"evolution","Evolution","Evoluce",,"1",,"11:49 05/09/2022"
"adaptive","Adaptive","Adaptivni",,"1",,"11:49 05/09/2022"
"bodywork","Bodywork","Prace s telem",,"1",,"11:49 05/09/2022"
"green","Green","Zelena",,"1",,"11:49 05/09/2022"
"invincible","Invincible","Neporazitelny",,"1",,"11:49 05/09/2022"
"harmony","Harmony","Harmonie",,"1",,"11:49 05/09/2022"
"core","Core","Jadro",,"1",,"11:49 05/09/2022"
"pulse","Pulse","Pulsni",,"1",,"11:49 05/09/2022"
"brawn","Brawn","Sval",,"1",,"11:49 05/09/2022"
"primal","Primal","Primarni (en: primal)",,"1",,"11:49 05/09/2022"
"peak","Peak","Vrchol",,"1",,"11:49 05/09/2022"
"flex","Flex","Ohunout",,"1",,"11:49 05/09/2022"
