"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","-","-","—","—","—"
"candor-modelcitizen","Model Citizen","Vzorny obcan",,,,"11:49 05/09/2022"
"starch-sugardaddy","Sugar Daddy","Sugar Daddy",,,,"11:49 05/09/2022"
"kensington-spartaninsuranceschemes","Spartan Insurance","Spartan pojisteni",,,,"11:49 05/09/2022"
"blackmarket-infiltrator","Infiltrator","Infiltrator",,,,"11:49 05/09/2022"
"blackmarket-interceptor","Interceptor","Interceptor",,,,"11:49 05/09/2022"
"blackmarket-trespasser","Trespasser","Narusitel",,,,"11:49 05/09/2022"
"candor-cartographer","Cartographer","Kartograf",,,,"11:49 05/09/2022"
"candor-community","Community","Spolecenstvi",,,,"11:49 05/09/2022"
"candor-publicservice","Public Service","Verejna sluzba",,,,"11:49 05/09/2022"
"elgen-beauty","Beauty","Krasa",,,,"11:49 05/09/2022"
"elgen-constitution","Constitution","Ustava",,,,"11:49 05/09/2022"
"elgen-frame","Frame","Ram",,,,"11:49 05/09/2022"
"elgen-physique","Physique","Physique",,,,"11:49 05/09/2022"
"elgen-tenacity","Tenacity","Houzevnatost",,,,"11:49 05/09/2022"
"elgen-vigor","Vigor","Vigor",,,,"11:49 05/09/2022"
"kaizen-doveplus","Dove+","Holubice+",,,,"11:49 05/09/2022"
"kensington-ambassadorscheme","Ambassador Scheme","Program velvyslancu",,,,"11:49 05/09/2022"
"starch-brandambassador","Starch Brand Ambassador","Ambasador znacky Starch",,,,"11:49 05/09/2022"
"increase time citizens are knocked out by |value%|%","Increase time citizens are knocked out by |value%|%","Zvyseni casu vyrazeni obcanu o |value%|%",,,,"11:49 05/09/2022"
"or","OR","NEBO",,,,"11:49 05/09/2022"
"increase time security systems are disabled by breaker switches by |value%|%","Increase time security systems are disabled by breaker switches by |value%|%","Zvyseni doby, po kterou jsou bezpecnostni systemy vypnuty vypinaci, o |value%|%",,,,"11:49 05/09/2022"
"gain |city.currency||value| for tying address information to citizen names","Gain |city.currency||value| for tying address information to citizen names","Zisk |city.currency||value| pro vazbu informaci o adrese na jmena obcanu",,,,"11:49 05/09/2022"
"gain |city.currency||value| for gathering citizen passcodes","Gain |city.currency||value| for gathering citizen passcodes","Zisk |city.currency||value| pro shromazdovani pristupovych kodu obcanu",,,,"11:49 05/09/2022"
"increase speed of lockpicking by |value%|%","Increase speed of lockpicking by |value%|%","Zvyseni rychlosti lockpickingu o |value%|%",,,,"11:49 05/09/2022"
"increase efficiency of lockpicking by |value%|%, resulting in needing fewer lockpicks","Increase efficiency of lockpicking by |value%|%, resulting in needing fewer lockpicks","Zvyseni ucinnosti paceni zamku o |value%|%, coz povede k mensi potrebe pacek na zamky",,,,"11:49 05/09/2022"
"entering the lockpicking stance only no longer counts as an illegal action","Entering the lockpicking stance only no longer counts as an illegal action","Vstup pouze do pozice lockpickera se jiz nepovazuje za nelegalni akci.",,,,"11:49 05/09/2022"
"recieve |city.currecy||value| for exploring new locations","Recieve |city.currecy||value| for exploring new locations","Ziskat |city.currecy||value| za prozkoumani novych mist",,,,"11:49 05/09/2022"
"recieve |city.currecy||value| for exploring ventilation ducts","Recieve |city.currecy||value| for exploring ventilation ducts","Ziskat |city.currecy||value| pro pruzkum vetracich kanalu",,,,"11:49 05/09/2022"
"recieve |value%|% more money for completing side jobs","Recieve |value%|% more money for completing side jobs","Ziskejte |value%|% vice penez za plneni vedlejsich ukolu",,,,"11:49 05/09/2022"
"increase inventory capacity by |value|","Increase inventory capacity by |value|","Zvyseni kapacity zasob o |value|",,,,"11:49 05/09/2022"
"earn |city.currency||value| for each item of trash disposed in refuse containers around the city","Earn |city.currency||value| for each item of trash disposed in refuse containers around the city","Ziskejte |city.currency||value| za kazdou polozku odpadu vyhozenou do kontejneru na odpadky ve meste.",,,,"11:49 05/09/2022"
"earn |city.currency||value| for each unique book read","Earn |city.currency||value| for each unique book read","Vydelejte |city.currency||value| za kazdou prectenou knihu",,,,"11:49 05/09/2022"
"earn up to |city.currency||value| for photographs of restaurant kitchens. value decreases with hygeine level, max 1 photo per company per day.","Earn up to |city.currency||value| for photographs of restaurant kitchens. Value decreases with hygeine level, max 1 photo per company per day.","Ziskejte az |city.currency||value| za fotografie kuchyni restauraci. Hodnota se snizuje s urovni hygieny, maximalne 1 fotografie na podnik za den.",,,,"11:49 05/09/2022"
