"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"open","Open","Otevrit",,,,"11:49 05/09/2022"
"close","Close","Zavrit",,,,"11:49 05/09/2022"
"turn on","Turn on","Zapnout",,,,"11:49 05/09/2022"
"turn off","Turn off","Vypnout",,,,"11:49 05/09/2022"
"lock","Lock","Zamek",,,,"11:49 05/09/2022"
"unlock","Unlock","Odemknuti stranky",,,,"11:49 05/09/2022"
"interact","Interact","Interakce",,,,"11:49 05/09/2022"
"button","Button","Tlacitko",,,,"11:49 05/09/2022"
"inspect","Inspect","Prozkoumat",,,,"11:49 05/09/2022"
"pick up","Pick Up","Sebrat",,,,"11:49 05/09/2022"
"case file","Case File","Soubor pripadu",,,,"11:49 05/09/2022"
"knock","Knock","Zatukat",,,,"11:49 05/09/2022"
"lockpick","Lock-pick","Lock-pick",,,,"11:49 05/09/2022"
"access","Access","Pristup na",,,,"11:49 05/09/2022"
"read","Read","Prectete si",,,,"11:49 05/09/2022"
"peek","Peek","Podivat se",,,,"11:49 05/09/2022"
"return","Return","Navrat na",,,,"11:49 05/09/2022"
"lockpicking","Lock-picking","Prolamovani zamku",,,,"11:49 05/09/2022"
"evasion","Evasion","Vyhybani se",,,,"11:49 05/09/2022"
"evade","Evade","Vyhnout se",,,,"11:49 05/09/2022"
"punch","Punch","Zmlatit",,,,"11:49 05/09/2022"
"take","Take","Vzit",,,,"11:49 05/09/2022"
"talk to","Talk To","Promluvte si s",,,,"11:49 05/09/2022"
"say","Say","Reknete",,,,"11:49 05/09/2022"
"view file...","View File...","Zobrazit soubor...",,,,"11:49 05/09/2022"
"flush","Flush","Splachovani",,,,"11:49 05/09/2022"
"hide","Hide","Skryt",,,,"11:49 05/09/2022"
"crawl into","Crawl Into","Vlezt do",,,,"11:49 05/09/2022"
"go through","Go Through","Projit",,,,"11:49 05/09/2022"
"use","Use","Pouzijte",,,,"11:49 05/09/2022"
"arm","Arm","Rameno",,,,"11:49 05/09/2022"
"reivew job","Review Job","Recenze prace",,,,"11:49 05/09/2022"
"previous month","Previous Month","Predchozi mesic",,,,"11:49 05/09/2022"
"next month","Next Month","Pristi mesic",,,,"11:49 05/09/2022"
"review job","Review Job","Recenze prace",,,,"11:49 05/09/2022"
"look underneath","Look Underneath","Podivejte se pod nej",,,,"11:49 05/09/2022"
"put back","Put Back","Vratit zpet",,,,"11:49 05/09/2022"
"sleep","Sleep","Spanek",,,,"11:49 05/09/2022"
"get up","Get Up","Vstavejte",,,,"11:49 05/09/2022"
"answer","Answer","Odpoved",,,,"11:49 05/09/2022"
"end call","End Call","Ukonceni hovoru",,,,"11:49 05/09/2022"
"get in","Get In","Vstupte",,,,"11:49 05/09/2022"
"enter","Enter","Vstupte na",,,,"11:49 05/09/2022"
"put down","Put Down","Odlozit",,,,"11:49 05/09/2022"
"throw","Throw","Hodit",,,,"11:49 05/09/2022"
"sit down","Sit Down","Posadte se",,,,"11:49 05/09/2022"
"take (lockpick)","Take (Lock-pick)","Vzit (Lock-pick)",,,,"11:49 05/09/2022"
"call","Call","Volejte",,,,"11:49 05/09/2022"
"cancel","Cancel","Zrusit",,,,"11:49 05/09/2022"
"set alarm (sleep)","Set Alarm (Sleep)","Nastaveni budiku (spanek)",,,,"11:49 05/09/2022"
"set hours/minutes","Set Hours/Minutes","Nastaveni hodin/minut",,,,"11:49 05/09/2022"
"pass time","Pass Time","Pass Time",,,,"11:49 05/09/2022"
"set alarm (pass time)","Set Alarm (Pass Time)","Nastaveni budiku (Pass Time)",,,,"11:49 05/09/2022"
"scoot","Scoot","Scoot",,,,"11:49 05/09/2022"
"time forward","Time Forward","Cas dopredu",,,,"11:49 05/09/2022"
"time back","Time Back","Cas zpet",,,,"11:49 05/09/2022"
"barge","Barge","Barka",,,,"11:49 05/09/2022"
"counter","Counter","Skrinka",,,,"11:49 05/09/2022"
"jump","Jump","Skok",,,,"11:49 05/09/2022"
"crouch","Crouch","Prikrcit",,,,"11:49 05/09/2022"
"sprint","Sprint","Sprint",,,,"11:49 05/09/2022"
"flashlight","Flashlight","Svitilna",,,,"11:49 05/09/2022"
"scroll","Scroll/Context Menu","Posouvani/kontextova nabidka",,,,"11:49 05/09/2022"
"zoom in","Zoom In","Priblizeni",,,,"11:49 05/09/2022"
"zoom out","Zoom Out","Zvetseni",,,,"11:49 05/09/2022"
"end conversation","End Conversation","Ukonceni konverzace",,,,"11:49 05/09/2022"
"sit","Sit","Posadte se na",,,,"11:49 05/09/2022"
"operate","Operate","Provozujte",,,,"11:49 05/09/2022"
