"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"evening","evening","vecer",,,,"11:49 05/09/2022"
"morning","morning","rano",,,,"11:49 05/09/2022"
"scan","Scan","Skenovani",,,,"11:49 05/09/2022"
"confirmed","Confirmed","Potvrzeno",,,,"11:49 05/09/2022"
"bookclub","Book Club","Knizni klub",,,,"11:49 05/09/2022"
"botanyclub","Botany Club","Botanicky klub",,,,"11:49 05/09/2022"
"chessclub","Chess Club","Sachovy klub",,,,"11:49 05/09/2022"
"dramagroup","Drama Group","Dramaticka skupina",,,,"11:49 05/09/2022"
"gunclub","Gun Club","Gun Club",,,,"11:49 05/09/2022"
"historyclub","History Club","Historicky klub",,,,"11:49 05/09/2022"
"scificlub","Sci-Fi Club","Sci-fi klub",,,,"11:49 05/09/2022"
"cheatersmeet","Date","Datum",,,,"11:49 05/09/2022"
"datenight","Date Night","Nocni rande",,,,"11:49 05/09/2022"
"knittingclub","Knitting Club","Klub pleteni",,,,"11:49 05/09/2022"
"winetastersclub","Wine Tasters Club","Klub degustatoru",,,,"11:49 05/09/2022"
"tarotclub","Tarot Club","Tarotovy klub",,,,"11:49 05/09/2022"
"boss","boss","sef",,,,"11:49 05/09/2022"
"redgumsmeetup","Red Gums Meetup","Setkani Red Gums",,,,"11:49 05/09/2022"
"pokerclub","Poker Club","Pokerovy klub",,,,"11:49 05/09/2022"
"afternoon","afternoon","odpoledne",,,,"11:49 05/09/2022"
"the |city.name| herald","|city.name| Herald","|city.name| hlaseni",,,,"11:49 05/09/2022"
"newsstand_ticker","Candor News 24/7 — 24時間営業","Candor News 24/7 - 24時間営業",,,,"11:49 05/09/2022"
"sir","sir","vazeny pane",,,,"11:49 05/09/2022"
"null","Null","Null",,,,"11:49 05/09/2022"
"ma'am","ma'am","vazena pani",,,,"11:49 05/09/2022"
"east","east","vychodni",,,,"11:25 19/10/2022"
"west","west","zapadni",,,,"11:25 19/10/2022"
"north","north","severni",,,,"11:25 19/10/2022"
"south","south","jizni",,,,"11:25 19/10/2022"
"static_killer_ref_1","The psychopath killer","Psychopaticky vrah",,,,"11:25 02/12/2022"
"static_killer_ref_2","The Scarlet Killer","Sarlatovy vrah",,,,"11:25 02/12/2022"
"static_killer_ref_3","The Enigma Killer","Zabijak Enigma",,,,"11:25 02/12/2022"
"static_killer_ref_4","The Psychopath Slayer","Premozitel psychopatu",,,,"11:25 02/12/2022"
"static_killer_ref_5","The Street Stalker","Poulicni slidil",,,,"11:25 02/12/2022"
"static_killer_ref_6","The Grim Reaper","Smrtka",,,,"11:25 02/12/2022"
"static_killer_ref_7","The Nightwalker","Nocni chodec",,,,"11:25 02/12/2022"
"static_killer_ref_8","The Night Prowler","Nocni straka",,,,"11:25 02/12/2022"
"static_killer_ref_9","The Big City Killer","Zabijak velkomesta",,,,"11:25 02/12/2022"
"static_killer_ref_10","The Starlight Slayer","Hvezdny zabijak",,,,"11:25 02/12/2022"
