"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"abanu",,"Abanu",,"3",,"11:48 05/09/2022"
"ajani",,"Ajani",,"2",,"11:48 05/09/2022"
"akello",,"Akello",,"10",,"11:48 05/09/2022"
"amari",,"Amari",,"9",,"11:48 05/09/2022"
"azizi",,"Azizi",,"7",,"11:48 05/09/2022"
"barack",,"Barack",,"9",,"11:48 05/09/2022"
"ebo",,"Ebo",,"4",,"11:48 05/09/2022"
"garian",,"Garian",,"1",,"11:48 05/09/2022"
"haji",,"Haji",,"3",,"11:48 05/09/2022"
"iniko",,"Iniko",,"1",,"11:48 05/09/2022"
"kato",,"Kato",,"6",,"11:48 05/09/2022"
"kojo",,"Kojo",,"5",,"11:48 05/09/2022"
"odion",,"Odion",,"8",,"11:48 05/09/2022"
"okello",,"Okello",,"9",,"11:48 05/09/2022"
"omari",,"Omari",,"8",,"11:48 05/09/2022"
"shango",,"Shango",,"1",,"11:48 05/09/2022"
"taye",,"Taye",,"3",,"11:48 05/09/2022"
"zesiro",,"Zesiro",,"1",,"11:48 05/09/2022"
"adisa",,"Adisa",,"3",,"11:48 05/09/2022"
"akachi",,"Akachi",,"3",,"11:48 05/09/2022"
"ayo",,"Ayo",,"3",,"11:48 05/09/2022"
"amare",,"Amare",,"5",,"11:48 05/09/2022"
"ayodele",,"Ayodele",,"5",,"11:48 05/09/2022"
"baako",,"Baako",,"3",,"11:48 05/09/2022"
"babatunde",,"Babatunde",,"2",,"11:48 05/09/2022"
"cayman",,"Cayman",,"7",,"11:48 05/09/2022"
"berko",,"Berko",,"5",,"11:48 05/09/2022"
"chidike",,"Chidike","Chidi","9",,"11:48 05/09/2022"
"chuks",,"Chuks",,"6",,"11:48 05/09/2022"
"dakarai",,"Dakarai","Dak","4",,"11:48 05/09/2022"
"femi",,"Femi",,"3",,"11:48 05/09/2022"
"emeka",,"Emeka",,"1",,"11:48 05/09/2022"
"imamu",,"Imamu",,"1",,"11:48 05/09/2022"
"imari",,"Imari",,"3",,"11:48 05/09/2022"
"jabari",,"Jabari",,"1",,"11:48 05/09/2022"
"jaheem",,"Jaheem",,"3",,"11:48 05/09/2022"
"jaz",,"Jaz",,"7",,"11:48 05/09/2022"
"jelani",,"Jelani",,"7",,"11:48 05/09/2022"
"kanye",,"Kanye",,"10",,"11:48 05/09/2022"
"keyon",,"Keyon",,"7",,"11:48 05/09/2022"
"khari",,"Khari",,"7",,"11:48 05/09/2022"
"kofi",,"Kofi",,"5",,"11:48 05/09/2022"
"kwame",,"Kwame",,"8",,"11:48 05/09/2022"
"kwanza",,"Kwanza",,"3",,"11:48 05/09/2022"
"lekan",,"Lekan",,"5",,"11:48 05/09/2022"
"mosi",,"Mosi",,"5",,"11:48 05/09/2022"
"simba",,"Simba",,"7",,"11:48 05/09/2022"
"talib",,"Talib",,"9",,"11:48 05/09/2022"
"tuma",,"Tuma",,"6",,"11:48 05/09/2022"
"wekesa",,"Wekesa",,"3",,"11:48 05/09/2022"
"zaire",,"Zaire",,"8",,"11:48 05/09/2022"
