"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"alexandra",,"Alexandra",,"7",,"11:48 05/09/2022"
"alexis",,"Alexis",,"8",,"11:48 05/09/2022"
"alyssa",,"Alyssa",,"9",,"11:48 05/09/2022"
"angel",,"Angel",,"7",,"11:48 05/09/2022"
"aniyah",,"Aniyah",,"4",,"11:48 05/09/2022"
"brianna",,"Brianna",,"9",,"11:48 05/09/2022"
"chloe",,"Chloe",,"3",,"11:48 05/09/2022"
"destiny",,"Destiny",,"9",,"11:48 05/09/2022"
"diamond",,"Diamond",,"6",,"11:48 05/09/2022"
"gabrielle",,"Gabrielle",,"6",,"11:48 05/09/2022"
"hailey",,"Hailey",,"4",,"11:48 05/09/2022"
"hannah",,"Hannah",,"5",,"11:48 05/09/2022"
"imani",,"Imani",,"6",,"11:48 05/09/2022"
"jada",,"Jada",,"2",,"11:48 05/09/2022"
"jasmine",,"Jasmine","Jas","7",,"11:48 05/09/2022"
"jayla",,"Jayla",,"5",,"11:48 05/09/2022"
"jordan",,"Jordan",,"6",,"11:48 05/09/2022"
"kayla",,"Kayla",,"4",,"11:48 05/09/2022"
"kennedy",,"Kennedy",,"1",,"11:48 05/09/2022"
"kiara",,"Kiara",,"6",,"11:48 05/09/2022"
"laila",,"Laila",,"6",,"11:48 05/09/2022"
"madison",,"Madison","Maddy","6",,"11:48 05/09/2022"
"makayla",,"Makayla","Micky","4",,"11:48 05/09/2022"
"nevaeh",,"Nevaeh",,"2",,"11:48 05/09/2022"
"sydney",,"Sydney",,"1",,"11:48 05/09/2022"
"taylor",,"Taylor",,"1",,"11:48 05/09/2022"
"tiana",,"Tiana",,"4",,"11:48 05/09/2022"
"trinity",,"Trinity",,"10",,"11:48 05/09/2022"
"abrianna",,"Abrianna",,"3",,"11:48 05/09/2022"
"adalia",,"Adalia",,"2",,"11:48 05/09/2022"
"adelaide",,"Adelaide",,"8",,"11:48 05/09/2022"
"africa",,"Africa",,"5",,"11:48 05/09/2022"
"afyia",,"Afyia",,"1",,"11:48 05/09/2022"
"aiesha",,"Aiesha",,"4",,"11:48 05/09/2022"
"akeiyla",,"Akeiyla",,"1",,"11:48 05/09/2022"
"akira",,"Akira",,"10",,"11:48 05/09/2022"
"akiriya",,"Akiriya",,"3",,"11:48 05/09/2022"
"aleale",,"Aleale",,"3",,"11:48 05/09/2022"
"alisa",,"Alisa",,"3",,"11:48 05/09/2022"
"alisha",,"Alisha",,"5",,"11:48 05/09/2022"
"althea",,"Althea",,"3",,"11:48 05/09/2022"
"amarika",,"Amarika",,"5",,"11:48 05/09/2022"
"amber",,"Amber",,"10",,"11:48 05/09/2022"
"angelina",,"Angelina","Angie","8",,"11:48 05/09/2022"
"angelique",,"Angelique",,"9",,"11:48 05/09/2022"
"aretha",,"Aretha",,"3",,"11:48 05/09/2022"
"aurelia",,"Aurelia",,"1",,"11:48 05/09/2022"
"ayana",,"Ayana",,"1",,"11:48 05/09/2022"
"bertena",,"Bertena",,"1",,"11:48 05/09/2022"
"bertrise",,"Bertrise",,"1",,"11:48 05/09/2022"
"bethany",,"Bethany","Beth","3",,"11:48 05/09/2022"
"brear",,"Brear",,"1",,"11:48 05/09/2022"
"breeanne",,"Breeanne",,"1",,"11:48 05/09/2022"
"breeauna",,"Breeauna",,"1",,"11:48 05/09/2022"
"breelyn",,"Breelyn",,"1",,"11:48 05/09/2022"
"breeon",,"Breeon",,"1",,"11:48 05/09/2022"
"breona",,"Breona",,"1",,"11:48 05/09/2022"
"breonia",,"Breonia",,"1",,"11:48 05/09/2022"
"breyona",,"Breyona",,"1",,"11:48 05/09/2022"
"brie",,"Brie",,"4",,"11:48 05/09/2022"
"briona",,"Briona",,"1",,"11:48 05/09/2022"
"brione",,"Brione",,"1",,"11:48 05/09/2022"
"britny",,"Britny",,"1",,"11:48 05/09/2022"
"bryah",,"Bryah",,"1",,"11:48 05/09/2022"
"butterfly",,"Butterfly",,"4",,"11:48 05/09/2022"
"cambria",,"Cambria",,"1",,"11:48 05/09/2022"
"candice",,"Candice",,"1",,"11:48 05/09/2022"
"candience",,"Candience",,"1",,"11:48 05/09/2022"
"cantrice",,"Cantrice",,"1",,"11:48 05/09/2022"
"carsandra",,"Carsandra",,"1",,"11:48 05/09/2022"
"caryne",,"Caryne",,"1",,"11:48 05/09/2022"
"cassandra",,"Cassandra",,"1",,"11:48 05/09/2022"
"catrina",,"Catrina",,"1",,"11:48 05/09/2022"
"chanise",,"Chanise",,"1",,"11:48 05/09/2022"
"chantoya",,"Chantoya",,"1",,"11:48 05/09/2022"
"chantrelle",,"Chantrelle",,"3",,"11:48 05/09/2022"
"charlotte",,"Charlotte",,"5",,"11:48 05/09/2022"
"charmaine",,"Charmaine",,"4",,"11:48 05/09/2022"
"chellise",,"Chellise",,"1",,"11:48 05/09/2022"
"chemier",,"Chemier",,"1",,"11:48 05/09/2022"
"chrystyna",,"Chrystyna",,"1",,"11:48 05/09/2022"
"cleona",,"Cleona",,"1",,"11:48 05/09/2022"
"corine",,"Corine",,"1",,"11:48 05/09/2022"
"cozzie",,"Cozzie",,"1",,"11:48 05/09/2022"
"cyiarra",,"Cyiarra",,"1",,"11:48 05/09/2022"
"daeshanda",,"Daeshanda",,"1",,"11:48 05/09/2022"
"daeshawna",,"Daeshawna",,"1",,"11:48 05/09/2022"
"daeshona",,"Daeshona",,"1",,"11:48 05/09/2022"
"dakota",,"Dakota",,"5",,"11:48 05/09/2022"
"daloris",,"Daloris",,"7",,"11:48 05/09/2022"
"dana",,"Dana",,"1",,"11:48 05/09/2022"
"danielle",,"Danielle","Danny","6",,"11:48 05/09/2022"
"dashawna",,"Dashawna",,"1",,"11:48 05/09/2022"
"dashay",,"Dashay",,"1",,"11:48 05/09/2022"
"davina",,"Davina",,"5",,"11:48 05/09/2022"
"davonte",,"Davonte",,"1",,"11:48 05/09/2022"
"deandra",,"DeAndra",,"1",,"11:48 05/09/2022"
"debara",,"Debara",,"1",,"11:48 05/09/2022"
"de-celle",,"De-celle",,"1",,"11:48 05/09/2022"
"dedra",,"Dedra",,"1",,"11:48 05/09/2022"
"deejay",,"Deejay",,"1",,"11:48 05/09/2022"
"deisha",,"Deisha",,"1",,"11:48 05/09/2022"
"delilah",,"Delilah",,"1",,"11:48 05/09/2022"
"de-lisha",,"De-lisha",,"1",,"11:48 05/09/2022"
"denelle",,"Denelle",,"1",,"11:48 05/09/2022"
"denisha",,"Denisha",,"1",,"11:48 05/09/2022"
"de-nossis",,"De-nossis",,"1",,"11:48 05/09/2022"
"deshawna",,"Deshawna",,"1",,"11:48 05/09/2022"
"desiree",,"Desiree",,"1",,"11:48 05/09/2022"
"desreta",,"Desreta",,"1",,"11:48 05/09/2022"
"devisha",,"Devisha",,"1",,"11:48 05/09/2022"
"devon",,"Devon",,"1",,"11:48 05/09/2022"
"de-wanda",,"De-wanda",,"1",,"11:48 05/09/2022"
"dominique",,"Dominique",,"1",,"11:48 05/09/2022"
"dondrea",,"Dondrea",,"1",,"11:48 05/09/2022"
"donna",,"Donna",,"1",,"11:48 05/09/2022"
"dorsey",,"Dorsey",,"1",,"11:48 05/09/2022"
"duchess",,"Duchess",,"1",,"11:48 05/09/2022"
"earlene",,"Earlene",,"1",,"11:48 05/09/2022"
"ebony",,"Ebony",,"4",,"11:48 05/09/2022"
"edwina",,"Edwina",,"1",,"11:48 05/09/2022"
"eleasha",,"Eleasha",,"1",,"11:48 05/09/2022"
"eleesha",,"Eleesha",,"1",,"11:48 05/09/2022"
"elesha",,"Elesha",,"1",,"11:48 05/09/2022"
"ellesha",,"Ellesha",,"1",,"11:48 05/09/2022"
"elois",,"Elois",,"1",,"11:48 05/09/2022"
"ernestine",,"Ernestine",,"1",,"11:48 05/09/2022"
"eyana",,"Eyana",,"1",,"11:48 05/09/2022"
"ezola",,"Ezola",,"1",,"11:48 05/09/2022"
"fajah",,"Fajah",,"1",,"11:48 05/09/2022"
"fawn",,"Fawn",,"1",,"11:48 05/09/2022"
"francelle",,"Francelle",,"1",,"11:48 05/09/2022"
"gardenia",,"Gardenia",,"1",,"11:48 05/09/2022"
"gelisa",,"Gelisa",,"1",,"11:48 05/09/2022"
"gemma",,"Gemma",,"1",,"11:48 05/09/2022"
"germaine",,"Germaine",,"1",,"11:48 05/09/2022"
"gerree",,"Gerree",,"1",,"11:48 05/09/2022"
"gracilyn",,"Gracilyn",,"1",,"11:48 05/09/2022"
"gwendolyn",,"Gwendolyn",,"2",,"11:48 05/09/2022"
"henrietta",,"Henrietta",,"1",,"11:48 05/09/2022"
"hosanna",,"Hosanna",,"1",,"11:48 05/09/2022"
"hyacinth",,"Hyacinth",,"1",,"11:48 05/09/2022"
"ilida",,"Ilida",,"1",,"11:48 05/09/2022"
"illishaimelda",,"IllishaImelda",,"1",,"11:48 05/09/2022"
"ja'breic",,"Ja'breic",,"1",,"11:48 05/09/2022"
"ja-cheyla",,"Ja-Cheyla",,"1",,"11:48 05/09/2022"
"jacinta",,"Jacinta",,"1",,"11:48 05/09/2022"
"jack-ee",,"Jack-ee",,"1",,"11:48 05/09/2022"
"jacquie",,"Jacquie",,"1",,"11:48 05/09/2022"
"jai'breon",,"Jai'breon",,"1",,"11:48 05/09/2022"
"jailah",,"Jailah",,"1",,"11:48 05/09/2022"
"jai'lysa",,"Jai'lysa",,"1",,"11:48 05/09/2022"
"jaisyn",,"Jaisyn",,"1",,"11:48 05/09/2022"
"jai-vonna",,"Jai-Vonna",,"1",,"11:48 05/09/2022"
"jaleasa",,"Jaleasa",,"1",,"11:48 05/09/2022"
"jaleesa",,"Jaleesa",,"1",,"11:48 05/09/2022"
"jalicia",,"Jalicia",,"1",,"11:48 05/09/2022"
"ja-lisa",,"Ja-Lisa",,"1",,"11:48 05/09/2022"
"jalissa",,"Jalissa",,"1",,"11:48 05/09/2022"
"jamila",,"Jamila",,"4",,"11:48 05/09/2022"
"janeka",,"Janeka",,"1",,"11:48 05/09/2022"
"janice",,"Janice",,"1",,"11:48 05/09/2022"
"ja'quaelah",,"Ja'Quaelah",,"1",,"11:48 05/09/2022"
"jarrika",,"Jarrika",,"1",,"11:48 05/09/2022"
"jasmeka",,"Jasmeka",,"1",,"11:48 05/09/2022"
"jatara",,"Jatara",,"1",,"11:48 05/09/2022"
"jataria",,"Jataria",,"1",,"11:48 05/09/2022"
"jatoria",,"Jatoria",,"1",,"11:48 05/09/2022"
"javina",,"Javina",,"1",,"11:48 05/09/2022"
"jelan",,"Jelan",,"1",,"11:48 05/09/2022"
"jessica",,"Jessica",,"1",,"11:48 05/09/2022"
"joanne",,"Joanne","Jo","5",,"11:48 05/09/2022"
"jocelyn",,"Jocelyn",,"4",,"11:48 05/09/2022"
"joelle",,"Joelle",,"1",,"11:48 05/09/2022"
"johnetta",,"Johnetta",,"1",,"11:48 05/09/2022"
"jordynn",,"Jordynn",,"1",,"11:48 05/09/2022"
"jovita",,"Jovita",,"1",,"11:48 05/09/2022"
"j'vonte'",,"J'vonte'",,"1",,"11:48 05/09/2022"
"kaandra",,"Kaandra",,"1",,"11:48 05/09/2022"
"kadisha",,"Kadisha",,"1",,"11:48 05/09/2022"
"kaja",,"Kaja",,"1",,"11:48 05/09/2022"
"kala",,"Kala",,"1",,"11:48 05/09/2022"
"kaleena",,"Kaleena",,"1",,"11:48 05/09/2022"
"kalina",,"Kalina",,"1",,"11:48 05/09/2022"
"kalinda",,"Kalinda",,"1",,"11:48 05/09/2022"
"kalindi",,"Kalindi",,"1",,"11:48 05/09/2022"
"kalinna",,"Kalinna",,"1",,"11:48 05/09/2022"
"kalisa",,"Kalisa",,"1",,"11:48 05/09/2022"
"kalise",,"Kalise",,"1",,"11:48 05/09/2022"
"kalisha",,"Kalisha",,"1",,"11:48 05/09/2022"
"kallyn",,"Kallyn",,"1",,"11:48 05/09/2022"
"kalynda",,"Kalynda",,"1",,"11:48 05/09/2022"
"kaneasha",,"Kaneasha",,"1",,"11:48 05/09/2022"
"kanita",,"Kanita",,"1",,"11:48 05/09/2022"
"karah",,"Karah",,"1",,"11:48 05/09/2022"
"kareen",,"Kareen",,"3",,"11:48 05/09/2022"
"karlene",,"Karlene",,"1",,"11:48 05/09/2022"
"karysha",,"Karysha",,"1",,"11:48 05/09/2022"
"ka-sean",,"Ka-Sean",,"1",,"11:48 05/09/2022"
"kashawn",,"Kashawn",,"1",,"11:48 05/09/2022"
"kasmira",,"Kasmira",,"1",,"11:48 05/09/2022"
"k'brianey",,"K'Brianey",,"1",,"11:48 05/09/2022"
"kea",,"Kea",,"1",,"11:48 05/09/2022"
"keandra",,"Keandra",,"3",,"11:48 05/09/2022"
"keisha",,"Keisha",,"6",,"11:48 05/09/2022"
"kendria",,"Kendria",,"1",,"11:48 05/09/2022"
"kenya",,"Kenya",,"6",,"11:48 05/09/2022"
"keshila",,"Keshila",,"1",,"11:48 05/09/2022"
"khianna",,"Khianna",,"1",,"11:48 05/09/2022"
"khryssa",,"Khryssa",,"1",,"11:48 05/09/2022"
