"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"artem",,"Artem",,"1",,"11:48 05/09/2022"
"ivan",,"Ivan",,"1",,"11:48 05/09/2022"
"timofei",,"Timofei",,"1",,"11:48 05/09/2022"
"maxim",,"Maxim",,"1",,"11:48 05/09/2022"
"daniil",,"Daniil",,"1",,"11:48 05/09/2022"
"davit",,"Davit",,"1",,"11:48 05/09/2022"
"narek",,"Narek",,"1",,"11:48 05/09/2022"
"alex",,"Alex",,"1",,"11:48 05/09/2022"
"tigran",,"Tigran",,"1",,"11:48 05/09/2022"
"gor",,"Gor",,"1",,"11:48 05/09/2022"
"hayk",,"Hayk",,"1",,"11:48 05/09/2022"
"artur",,"Artur",,"1",,"11:48 05/09/2022"
"arman",,"Arman",,"1",,"11:48 05/09/2022"
"alen",,"Alen",,"1",,"11:48 05/09/2022"
"erik",,"Erik",,"1",,"11:48 05/09/2022"
"samvel",,"Samvel",,"1",,"11:48 05/09/2022"
"armen",,"Armen",,"1",,"11:48 05/09/2022"
"ashot",,"Ashot",,"1",,"11:48 05/09/2022"
"aram",,"Aram",,"1",,"11:48 05/09/2022"
"aren",,"Aren",,"1",,"11:48 05/09/2022"
"artyom",,"Artyom",,"1",,"11:48 05/09/2022"
"gagik",,"Gagik",,"1",,"11:48 05/09/2022"
"gevorg",,"Gevorg",,"1",,"11:48 05/09/2022"
"sargis",,"Sargis",,"1",,"11:48 05/09/2022"
"arsen",,"Arsen",,"1",,"11:48 05/09/2022"
"hovhannes",,"Hovhannes",,"1",,"11:48 05/09/2022"
"miqayel",,"Miqayel",,"1",,"11:48 05/09/2022"
"areg",,"Areg",,"1",,"11:48 05/09/2022"
"vahe",,"Vahe",,"1",,"11:48 05/09/2022"
"levon",,"Levon",,"1",,"11:48 05/09/2022"
"robert",,"Robert",,"1",,"11:48 05/09/2022"
"karen",,"Karen",,"1",,"11:48 05/09/2022"
"daniel",,"Daniel",,"1",,"11:48 05/09/2022"
"mark",,"Mark",,"1",,"11:48 05/09/2022"
"vardan",,"Vardan",,"1",,"11:48 05/09/2022"
"suren",,"Suren",,"1",,"11:48 05/09/2022"
"mher",,"Mher",,"1",,"11:48 05/09/2022"
"andranik",,"Andranik",,"1",,"11:48 05/09/2022"
"harutyun",,"Harutyun",,"1",,"11:48 05/09/2022"
"ruben",,"Ruben",,"1",,"11:48 05/09/2022"
"garik",,"Garik",,"1",,"11:48 05/09/2022"
"hakob",,"Hakob",,"1",,"11:48 05/09/2022"
"alexandr",,"Alexandr",,"1",,"11:48 05/09/2022"
"edgar",,"Edgar",,"1",,"11:48 05/09/2022"
"grigor",,"Grigor",,"1",,"11:48 05/09/2022"
"rafael",,"Rafael",,"1",,"11:48 05/09/2022"
"sergey",,"Sergey",,"1",,"11:48 05/09/2022"
"albert",,"Albert",,"1",,"11:48 05/09/2022"
"eduard",,"Eduard",,"1",,"11:48 05/09/2022"
"vahan",,"Vahan",,"1",,"11:48 05/09/2022"
"avet",,"Avet",,"1",,"11:48 05/09/2022"
"yusif",,"Yusif",,"1",,"11:48 05/09/2022"
"huseyn",,"Huseyn",,"1",,"11:48 05/09/2022"
"ali",,"Ali",,"1",,"11:48 05/09/2022"
"omar",,"Omar",,"1",,"11:48 05/09/2022"
"mahammad",,"Mahammad",,"1",,"11:48 05/09/2022"
"tunar",,"Tunar",,"1",,"11:48 05/09/2022"
"murad",,"Murad",,"1",,"11:48 05/09/2022"
"aykhan",,"Aykhan",,"1",,"11:48 05/09/2022"
"ughur",,"Ughur",,"1",,"11:48 05/09/2022"
"ibrahim",,"Ibrahim",,"1",,"11:48 05/09/2022"
"rasmus",,"Rasmus",,"1",,"11:48 05/09/2022"
"robin",,"Robin",,"1",,"11:48 05/09/2022"
"oliver",,"Oliver",,"1",,"11:48 05/09/2022"
"artjom",,"Artjom",,"1",,"11:48 05/09/2022"
"maksim",,"Maksim",,"1",,"11:48 05/09/2022"
"martin",,"Martin",,"1",,"11:48 05/09/2022"
"kaspar",,"Kaspar",,"1",,"11:48 05/09/2022"
"oskar",,"Oskar",,"1",,"11:48 05/09/2022"
"henri",,"Henri",,"1",,"11:48 05/09/2022"
"markus",,"Markus",,"1",,"11:48 05/09/2022"
"romet",,"Romet",,"1",,"11:48 05/09/2022"
"hugo",,"Hugo",,"1",,"11:48 05/09/2022"
"karl",,"Karl",,"1",,"11:48 05/09/2022"
"sebastian",,"Sebastian",,"1",,"11:48 05/09/2022"
"marten",,"Marten",,"1",,"11:48 05/09/2022"
"sander",,"Sander",,"1",,"11:48 05/09/2022"
"nikita",,"Nikita",,"1",,"11:48 05/09/2022"
"kristofer",,"Kristofer",,"1",,"11:48 05/09/2022"
"mattias",,"Mattias",,"1",,"11:48 05/09/2022"
"kirill",,"Kirill",,"1",,"11:48 05/09/2022"
"giorgi",,"Giorgi",,"1",,"11:48 05/09/2022"
"anikoloz",,"Anikoloz",,"1",,"11:48 05/09/2022"
"andria",,"Andria",,"1",,"11:48 05/09/2022"
"gabrieli",,"Gabrieli",,"1",,"11:48 05/09/2022"
"luka",,"Luka",,"1",,"11:48 05/09/2022"
"saba",,"Saba",,"1",,"11:48 05/09/2022"
"daviti",,"Daviti",,"1",,"11:48 05/09/2022"
"aleksandre",,"Aleksandre",,"1",,"11:48 05/09/2022"
"roberts",,"Roberts",,"1",,"11:48 05/09/2022"
"markuss",,"Markuss",,"1",,"11:48 05/09/2022"
"artjoms",,"Artjoms",,"1",,"11:48 05/09/2022"
"ralfs",,"Ralfs",,"1",,"11:48 05/09/2022"
"gustavs",,"Gustavs",,"1",,"11:48 05/09/2022"
"maksims",,"Maksims",,"1",,"11:48 05/09/2022"
"artūrs",,"Arturs",,"1",,"11:48 05/09/2022"
"aleksandrs",,"Aleksandrs",,"1",,"11:48 05/09/2022"
"emils",,"Emils",,"1",,"11:48 05/09/2022"
"daniels",,"Daniels",,"1",,"11:48 05/09/2022"
"lukas",,"Lukas",,"1",,"11:48 05/09/2022"
"dominykas",,"Dominykas",,"1",,"11:48 05/09/2022"
"matas",,"Matas",,"1",,"11:48 05/09/2022"
"jonas",,"Jonas",,"1",,"11:48 05/09/2022"
"jokūbas",,"Jokubas",,"1",,"11:48 05/09/2022"
"nojus",,"Nojus",,"1",,"11:48 05/09/2022"
"domas",,"Domas",,"1",,"11:48 05/09/2022"
"benas",,"Benas",,"1",,"11:48 05/09/2022"
"emilis",,"Emilis",,"1",,"11:48 05/09/2022"
"kajus",,"Kajus",,"1",,"11:48 05/09/2022"
"domantas",,"Domantas",,"1",,"11:48 05/09/2022"
"gabrielius",,"Gabrielius",,"1",,"11:48 05/09/2022"
"dovydas",,"Dovydas",,"1",,"11:48 05/09/2022"
"danielius",,"Danielius",,"1",,"11:48 05/09/2022"
"arnas",,"Arnas",,"1",,"11:48 05/09/2022"
"herkus",,"Herkus",,"1",,"11:48 05/09/2022"
"motiejus",,"Motiejus",,"1",,"11:48 05/09/2022"
"ignas",,"Ignas",,"1",,"11:48 05/09/2022"
"adomas",,"Adomas",,"1",,"11:48 05/09/2022"
"joris",,"Joris",,"1",,"11:48 05/09/2022"
"aleksander",,"Aleksander",,"1",,"11:48 05/09/2022"
"mikhail",,"Mikhail",,"1",,"11:48 05/09/2022"
"dmitri",,"Dmitri",,"1",,"11:48 05/09/2022"
"andrei",,"Andrei",,"1",,"11:48 05/09/2022"
"igor",,"Igor",,"1",,"11:48 05/09/2022"
"ilya",,"Ilya",,"1",,"11:48 05/09/2022"
"alexei",,"Alexei",,"1",,"11:48 05/09/2022"
"matvei",,"Matvei",,"1",,"11:48 05/09/2022"
"vladimir",,"Vladimir",,"1",,"11:48 05/09/2022"
"roman",,"Roman",,"1",,"11:48 05/09/2022"
"yaroslav",,"Yaroslav",,"1",,"11:48 05/09/2022"
"fyodor",,"Fyodor",,"1",,"11:48 05/09/2022"
"sergei",,"Sergei",,"1",,"11:48 05/09/2022"
"lev",,"Lev",,"1",,"11:48 05/09/2022"
"stepan",,"Stepan",,"1",,"11:48 05/09/2022"
"konstantin",,"Konstantin",,"1",,"11:48 05/09/2022"
"vladislav",,"Vladislav",,"1",,"11:48 05/09/2022"
"georgi",,"Georgi",,"1",,"11:48 05/09/2022"
"nikolai",,"Nikolai",,"1",,"11:48 05/09/2022"
"gleb",,"Gleb",,"1",,"11:48 05/09/2022"
"timur",,"Timur",,"1",,"11:48 05/09/2022"
"pavel",,"Pavel",,"1",,"11:48 05/09/2022"
"matviy",,"Matviy",,"1",,"11:48 05/09/2022"
"andriy",,"Andriy",,"1",,"11:48 05/09/2022"
"danilo",,"Danilo",,"1",,"11:48 05/09/2022"
"dmitro",,"Dmitro",,"1",,"11:48 05/09/2022"
"denis",,"Denis",,"1",,"11:48 05/09/2022"
"yuri",,"Yuri",,"1",,"11:48 05/09/2022"
"markiyan",,"Markiyan",,"1",,"11:48 05/09/2022"
"bogdan",,"Bogdan",,"1",,"11:48 05/09/2022"
"sviatoslav",,"Sviatoslav",,"1",,"11:48 05/09/2022"
"ostap",,"Ostap",,"1",,"11:48 05/09/2022"
