"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"garcia",,"Garcia",,"10",,"11:48 05/09/2022"
"rodriguez",,"Rodriguez",,"10",,"11:48 05/09/2022"
"martinez",,"Martinez",,"9",,"11:48 05/09/2022"
"hernandez",,"Hernandez",,"9",,"11:48 05/09/2022"
"lopez",,"Lopez",,"8",,"11:48 05/09/2022"
"gonzalez",,"Gonzalez",,"8",,"11:48 05/09/2022"
"perez",,"Perez",,"8",,"11:48 05/09/2022"
"sanchez",,"Sanchez",,"8",,"11:48 05/09/2022"
"ramirez",,"Ramirez",,"8",,"11:48 05/09/2022"
"torres",,"Torres",,"8",,"11:48 05/09/2022"
"flores",,"Flores",,"8",,"11:48 05/09/2022"
"rivera",,"Rivera",,"8",,"11:48 05/09/2022"
"gomez",,"Gomez",,"2",,"11:48 05/09/2022"
"diaz",,"Diaz",,"7",,"11:48 05/09/2022"
"reyes",,"Reyes",,"7",,"11:48 05/09/2022"
"morales",,"Morales",,"6",,"11:48 05/09/2022"
"cruz",,"Cruz",,"9",,"11:48 05/09/2022"
"ortiz",,"Ortiz",,"7",,"11:48 05/09/2022"
"gutierrez",,"Gutierrez",,"6",,"11:48 05/09/2022"
"chavez",,"Chavez",,"5",,"11:48 05/09/2022"
"ramos",,"Ramos",,"6",,"11:48 05/09/2022"
"gonzales",,"Gonzales",,"6",,"11:48 05/09/2022"
"ruiz",,"Ruiz",,"6",,"11:48 05/09/2022"
"alvarez",,"Alvarez",,"6",,"11:48 05/09/2022"
"mendoza",,"Mendoza",,"6",,"11:48 05/09/2022"
"vasquez",,"Vasquez",,"6",,"11:48 05/09/2022"
"castillo",,"Castillo",,"6",,"11:48 05/09/2022"
"jimenez",,"Jimenez",,"4",,"11:48 05/09/2022"
"moreno",,"Moreno",,"5",,"11:48 05/09/2022"
"romero",,"Romero",,"10",,"11:48 05/09/2022"
"herrera",,"Herrera",,"5",,"11:48 05/09/2022"
"medina",,"Medina",,"4",,"11:48 05/09/2022"
"aguilar",,"Aguilar",,"1",,"11:48 05/09/2022"
"garza",,"Garza",,"4",,"11:48 05/09/2022"
"castro",,"Castro",,"7",,"11:48 05/09/2022"
"vargas",,"Vargas",,"6",,"11:48 05/09/2022"
"fernandez",,"Fernandez",,"8",,"11:48 05/09/2022"
"guzman",,"Guzman",,"8",,"11:48 05/09/2022"
"munoz",,"Munoz",,"1",,"11:48 05/09/2022"
"mendez",,"Mendez",,"4",,"11:48 05/09/2022"
"salazar",,"Salazar",,"1",,"11:48 05/09/2022"
"soto",,"Soto",,"1",,"11:48 05/09/2022"
"delgado",,"Delgado",,"8",,"11:48 05/09/2022"
"rios",,"Rios",,"4",,"11:48 05/09/2022"
"alvarado",,"Alvarado",,"1",,"11:48 05/09/2022"
"sandoval",,"Sandoval",,"1",,"11:48 05/09/2022"
"contreras",,"Contreras",,"1",,"11:48 05/09/2022"
"valdez",,"Valdez",,"1",,"11:48 05/09/2022"
"guerrero",,"Guerrero",,"1",,"11:48 05/09/2022"
"ortega",,"Ortega",,"7",,"11:48 05/09/2022"
"estrada",,"Estrada",,"8",,"11:48 05/09/2022"
"nunez",,"Nunez",,"1",,"11:48 05/09/2022"
"maldonado",,"Maldonado",,"9",,"11:48 05/09/2022"
"vega",,"Vega",,"6",,"11:48 05/09/2022"
"vazquez",,"Vazquez",,"9",,"11:48 05/09/2022"
"santiago",,"Santiago",,"10",,"11:48 05/09/2022"
"dominguez",,"Dominguez",,"4",,"11:48 05/09/2022"
"espinoza",,"Espinoza",,"4",,"11:48 05/09/2022"
"silva",,"Silva",,"1",,"11:48 05/09/2022"
"padilla",,"Padilla",,"1",,"11:48 05/09/2022"
"marquez",,"Marquez",,"1",,"11:48 05/09/2022"
"cortez",,"Cortez",,"6",,"11:48 05/09/2022"
"rojas",,"Rojas",,"6",,"11:48 05/09/2022"
"acosta",,"Acosta",,"7",,"11:48 05/09/2022"
"figueroa",,"Figueroa",,"3",,"11:48 05/09/2022"
"luna",,"Luna",,"9",,"11:48 05/09/2022"
"juarez",,"Juarez",,"9",,"11:48 05/09/2022"
"navarro",,"Navarro",,"10",,"11:48 05/09/2022"
"campos",,"Campos",,"6",,"11:48 05/09/2022"
"molina",,"Molina",,"2",,"11:48 05/09/2022"
"avila",,"Avila",,"1",,"11:48 05/09/2022"
"ayala",,"Ayala",,"2",,"11:48 05/09/2022"
"carrillo",,"Carrillo",,"1",,"11:48 05/09/2022"
"duran",,"Duran",,"4",,"11:48 05/09/2022"
"santos",,"Santos",,"6",,"11:48 05/09/2022"
"salinas",,"Salinas",,"1",,"11:48 05/09/2022"
"robles",,"Robles",,"1",,"11:48 05/09/2022"
"solis",,"Solis",,"1",,"11:48 05/09/2022"
"lara",,"Lara",,"7",,"11:48 05/09/2022"
"cervantes",,"Cervantes",,"1",,"11:48 05/09/2022"
"aguirre",,"Aguirre",,"1",,"11:48 05/09/2022"
"deleon",,"Deleon",,"1",,"11:48 05/09/2022"
"miranda",,"Miranda",,"1",,"11:48 05/09/2022"
"cardenas",,"Cardenas",,"1",,"11:48 05/09/2022"
"trujillo",,"Trujillo",,"1",,"11:48 05/09/2022"
"velasquez",,"Velasquez",,"1",,"11:48 05/09/2022"
"fuentes",,"Fuentes",,"1",,"11:48 05/09/2022"
"cabrera",,"Cabrera",,"1",,"11:48 05/09/2022"
"leon",,"Leon",,"1",,"11:48 05/09/2022"
"rivas",,"Rivas",,"1",,"11:48 05/09/2022"
"montoya",,"Montoya",,"8",,"11:48 05/09/2022"
"calderon",,"Calderon",,"1",,"11:48 05/09/2022"
"serrano",,"Serrano",,"1",,"11:48 05/09/2022"
"gallegos",,"Gallegos",,"1",,"11:48 05/09/2022"
"rosales",,"Rosales",,"1",,"11:48 05/09/2022"
"castaneda",,"Castaneda",,"1",,"11:48 05/09/2022"
"villarreal",,"Villarreal",,"1",,"11:48 05/09/2022"
"guerra",,"Guerra",,"1",,"11:48 05/09/2022"
"trevino",,"Trevino",,"1",,"11:48 05/09/2022"
"pacheco",,"Pacheco",,"4",,"11:48 05/09/2022"
"ibarra",,"Ibarra",,"1",,"11:48 05/09/2022"
"valencia",,"Valencia",,"6",,"11:48 05/09/2022"
"macias",,"Macias",,"1",,"11:48 05/09/2022"
"camacho",,"Camacho",,"1",,"11:48 05/09/2022"
"salas",,"Salas",,"1",,"11:48 05/09/2022"
"orozco",,"Orozco",,"1",,"11:48 05/09/2022"
"roman",,"Roman",,"7",,"11:48 05/09/2022"
"zamora",,"Zamora",,"1",,"11:48 05/09/2022"
"suarez",,"Suarez",,"1",,"11:48 05/09/2022"
"franco",,"Franco",,"3",,"11:48 05/09/2022"
"barrera",,"Barrera",,"1",,"11:48 05/09/2022"
"mercado",,"Mercado",,"1",,"11:48 05/09/2022"
"santana",,"Santana",,"7",,"11:48 05/09/2022"
"valenzuela",,"Valenzuela",,"1",,"11:48 05/09/2022"
"escobar",,"Escobar",,"5",,"11:48 05/09/2022"
"rangel",,"Rangel",,"4",,"11:48 05/09/2022"
"melendez",,"Melendez",,"1",,"11:48 05/09/2022"
"velez",,"Velez",,"1",,"11:48 05/09/2022"
"lozano",,"Lozano",,"1",,"11:48 05/09/2022"
"velazquez",,"Velazquez",,"1",,"11:48 05/09/2022"
"arias",,"Arias",,"1",,"11:48 05/09/2022"
"mora",,"Mora",,"1",,"11:48 05/09/2022"
"delacruz",,"Delacruz",,"8",,"11:48 05/09/2022"
"galvan",,"Galvan",,"1",,"11:48 05/09/2022"
"zuniga",,"Zuniga",,"1",,"11:48 05/09/2022"
"cantu",,"Cantu",,"1",,"11:48 05/09/2022"
"villanueva",,"Villanueva",,"1",,"11:48 05/09/2022"
"meza",,"Meza",,"1",,"11:48 05/09/2022"
"acevedo",,"Acevedo",,"1",,"11:48 05/09/2022"
"cisneros",,"Cisneros",,"1",,"11:48 05/09/2022"
"arroyo",,"Arroyo",,"5",,"11:48 05/09/2022"
"pineda",,"Pineda",,"1",,"11:48 05/09/2022"
"andrade",,"Andrade",,"1",,"11:48 05/09/2022"
"tapia",,"Tapia",,"1",,"11:48 05/09/2022"
"sosa",,"Sosa",,"1",,"11:48 05/09/2022"
"villa",,"Villa",,"1",,"11:48 05/09/2022"
"rocha",,"Rocha",,"6",,"11:48 05/09/2022"
"rubio",,"Rubio",,"4",,"11:48 05/09/2022"
"zavala",,"Zavala",,"1",,"11:48 05/09/2022"
"montes",,"Montes",,"4",,"11:48 05/09/2022"
"bonilla",,"Bonilla",,"1",,"11:48 05/09/2022"
"arellano",,"Arellano",,"1",,"11:48 05/09/2022"
"rosario",,"Rosario",,"1",,"11:48 05/09/2022"
"davila",,"Davila",,"1",,"11:48 05/09/2022"
"villegas",,"Villegas",,"1",,"11:48 05/09/2022"
"huerta",,"Huerta",,"1",,"11:48 05/09/2022"
"mata",,"Mata",,"1",,"11:48 05/09/2022"
"beltran",,"Beltran",,"1",,"11:48 05/09/2022"
"barajas",,"Barajas",,"1",,"11:48 05/09/2022"
"benitez",,"Benitez",,"1",,"11:48 05/09/2022"
"esparza",,"Esparza",,"1",,"11:48 05/09/2022"
"cordova",,"Cordova",,"1",,"11:48 05/09/2022"
"murillo",,"Murillo",,"1",,"11:48 05/09/2022"
"salgado",,"Salgado",,"1",,"11:48 05/09/2022"
"rosas",,"Rosas",,"1",,"11:48 05/09/2022"
"cuevas",,"Cuevas",,"1",,"11:48 05/09/2022"
"palacios",,"Palacios",,"1",,"11:48 05/09/2022"
"guevara",,"Guevara",,"1",,"11:48 05/09/2022"
"quintero",,"Quintero",,"1",,"11:48 05/09/2022"
"lucero",,"Lucero",,"1",,"11:48 05/09/2022"
"medrano",,"Medrano",,"1",,"11:48 05/09/2022"
"bautista",,"Bautista",,"7",,"11:48 05/09/2022"
"lugo",,"Lugo",,"1",,"11:48 05/09/2022"
"espinosa",,"Espinosa",,"5",,"11:48 05/09/2022"
"marin",,"Marin",,"4",,"11:48 05/09/2022"
"cortes",,"Cortes",,"4",,"11:48 05/09/2022"
"magana",,"Magana",,"1",,"11:48 05/09/2022"
"quintana",,"Quintana",,"1",,"11:48 05/09/2022"
"corona",,"Corona",,"1",,"11:48 05/09/2022"
"trejo",,"Trejo",,"6",,"11:48 05/09/2022"
"bernal",,"Bernal",,"1",,"11:48 05/09/2022"
"nieves",,"Nieves",,"1",,"11:48 05/09/2022"
"villalobos",,"Villalobos",,"4",,"11:48 05/09/2022"
"enriquez",,"Enriquez",,"1",,"11:48 05/09/2022"
"reyna",,"Reyna",,"1",,"11:48 05/09/2022"
"jaramillo",,"Jaramillo",,"1",,"11:48 05/09/2022"
"saenz",,"Saenz",,"1",,"11:48 05/09/2022"
"quinones",,"Quinones",,"1",,"11:48 05/09/2022"
"delarosa",,"Delarosa",,"7",,"11:48 05/09/2022"
"avalos",,"Avalos",,"1",,"11:48 05/09/2022"
"esquivel",,"Esquivel",,"1",,"11:48 05/09/2022"
"nava",,"Nava",,"1",,"11:48 05/09/2022"
"cano",,"Cano",,"1",,"11:48 05/09/2022"
"bravo",,"Bravo",,"1",,"11:48 05/09/2022"
"duarte",,"Duarte",,"1",,"11:48 05/09/2022"
"galindo",,"Galindo",,"1",,"11:48 05/09/2022"
"correa",,"Correa",,"1",,"11:48 05/09/2022"
"parra",,"Parra",,"1",,"11:48 05/09/2022"
"rodriquez",,"Rodriquez",,"1",,"11:48 05/09/2022"
"saldana",,"Saldana",,"1",,"11:48 05/09/2022"
"leal",,"Leal",,"1",,"11:48 05/09/2022"
"sierra",,"Sierra",,"1",,"11:48 05/09/2022"
"blanco",,"Blanco",,"1",,"11:48 05/09/2022"
"becerra",,"Becerra",,"1",,"11:48 05/09/2022"
"brown",,"Brown",,"1",,"11:48 05/09/2022"
"carrasco",,"Carrasco",,"1",,"11:48 05/09/2022"
"portillo",,"Portillo",,"1",,"11:48 05/09/2022"
"tovar",,"Tovar",,"1",,"11:48 05/09/2022"
"alfaro",,"Alfaro",,"1",,"11:48 05/09/2022"
"vera",,"Vera",,"1",,"11:48 05/09/2022"
"zapata",,"Zapata",,"1",,"11:48 05/09/2022"
"muniz",,"Muniz",,"1",,"11:48 05/09/2022"
"cardona",,"Cardona",,"1",,"11:48 05/09/2022"
"vigil",,"Vigil",,"1",,"11:48 05/09/2022"
"saucedo",,"Saucedo",,"1",,"11:48 05/09/2022"
"baez",,"Baez",,"1",,"11:48 05/09/2022"
"hurtado",,"Hurtado",,"1",,"11:48 05/09/2022"
"amaya",,"Amaya",,"1",,"11:48 05/09/2022"
"escobedo",,"Escobedo",,"1",,"11:48 05/09/2022"
"peralta",,"Peralta",,"1",,"11:48 05/09/2022"
"arredondo",,"Arredondo",,"1",,"11:48 05/09/2022"
"aguilera",,"Aguilera",,"1",,"11:48 05/09/2022"
"zepeda",,"Zepeda",,"1",,"11:48 05/09/2022"
"rosado",,"Rosado",,"1",,"11:48 05/09/2022"
"hinojosa",,"Hinojosa",,"1",,"11:48 05/09/2022"
"gallardo",,"Gallardo",,"1",,"11:48 05/09/2022"
