"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"arihi",,"Arihi",,"1",,"11:48 05/09/2022"
"asoese",,"Asoese",,"1",,"11:48 05/09/2022"
"ele'ele",,"Ele'ele",,"1",,"11:48 05/09/2022"
"emere",,"Emere",,"1",,"11:48 05/09/2022"
"fetuilelagi",,"Fetuilelagi",,"1",,"11:48 05/09/2022"
"huihana",,"Huihana",,"1",,"11:48 05/09/2022"
"iosefina",,"Iosefina",,"1",,"11:48 05/09/2022"
"la",,"La",,"1",,"11:48 05/09/2022"
"lalago",,"Lalago",,"1",,"11:48 05/09/2022"
"lelei",,"Lelei",,"1",,"11:48 05/09/2022"
"masina",,"Masina",,"1",,"11:48 05/09/2022"
"moana",,"Moana",,"1",,"11:48 05/09/2022"
"penina",,"Penina",,"1",,"11:48 05/09/2022"
"pogisa",,"Pogisa",,"1",,"11:48 05/09/2022"
"rongomaiwhenua",,"Rongomaiwhenua",,"1",,"11:48 05/09/2022"
"sefina",,"Sefina",,"1",,"11:48 05/09/2022"
"sinasamoa",,"Sinasamoa",,"1",,"11:48 05/09/2022"
"solosolo",,"Solosolo",,"1",,"11:48 05/09/2022"
"t'ali'au",,"T'ali'au",,"1",,"11:48 05/09/2022"
"tagioalisi",,"Tagioalisi",,"1",,"11:48 05/09/2022"
"teuila",,"Teuila",,"1",,"11:48 05/09/2022"
"tifaimoana",,"Tifaimoana",,"1",,"11:48 05/09/2022"
"vailea",,"Vailea",,"1",,"11:48 05/09/2022"
"wiki",,"Wiki",,"1",,"11:48 05/09/2022"
