"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"sato",,"Sato",,"1",,"11:48 05/09/2022"
"suzuki",,"Suzuki",,"1",,"11:48 05/09/2022"
"takahashi",,"Takahashi",,"1",,"11:48 05/09/2022"
"tanaka",,"Tanaka",,"1",,"11:48 05/09/2022"
"watanabe",,"Watanabe",,"1",,"11:48 05/09/2022"
"ito",,"Ito",,"1",,"11:48 05/09/2022"
"yamamoto",,"Yamamoto",,"1",,"11:48 05/09/2022"
"nakamura",,"Nakamura",,"1",,"11:48 05/09/2022"
"kobayashi",,"Kobayashi",,"1",,"11:48 05/09/2022"
"kato",,"Kato",,"1",,"11:48 05/09/2022"
"yoshida",,"Yoshida",,"1",,"11:48 05/09/2022"
"yamada",,"Yamada",,"1",,"11:48 05/09/2022"
"sasaki",,"Sasaki",,"1",,"11:48 05/09/2022"
"yamaguchi",,"Yamaguchi",,"1",,"11:48 05/09/2022"
"saito",,"Saito",,"1",,"11:48 05/09/2022"
"matsumoto",,"Matsumoto",,"1",,"11:48 05/09/2022"
"inoue",,"Inoue",,"1",,"11:48 05/09/2022"
"kimura",,"Kimura",,"1",,"11:48 05/09/2022"
"hayashi",,"Hayashi",,"1",,"11:48 05/09/2022"
"shimizu",,"Shimizu",,"1",,"11:48 05/09/2022"
"yamazaki",,"Yamazaki",,"1",,"11:48 05/09/2022"
"mori",,"Mori",,"1",,"11:48 05/09/2022"
"abe",,"Abe",,"1",,"11:48 05/09/2022"
"ikeda",,"Ikeda",,"1",,"11:48 05/09/2022"
"hashimoto",,"Hashimoto",,"1",,"11:48 05/09/2022"
"yamashita",,"Yamashita",,"1",,"11:48 05/09/2022"
"ishikawa",,"Ishikawa",,"1",,"11:48 05/09/2022"
"nakajima",,"Nakajima",,"1",,"11:48 05/09/2022"
"maeda",,"Maeda",,"1",,"11:48 05/09/2022"
"fujita",,"Fujita",,"1",,"11:48 05/09/2022"
"ogawa",,"Ogawa",,"1",,"11:48 05/09/2022"
"goto",,"Goto",,"1",,"11:48 05/09/2022"
"okada",,"Okada",,"1",,"11:48 05/09/2022"
"hasegawa",,"Hasegawa",,"1",,"11:48 05/09/2022"
"murakami",,"Murakami",,"1",,"11:48 05/09/2022"
"kondo",,"Kondo",,"1",,"11:48 05/09/2022"
"ishii",,"Ishii",,"1",,"11:48 05/09/2022"
"sakamoto",,"Sakamoto",,"1",,"11:48 05/09/2022"
"endo",,"Endo",,"1",,"11:48 05/09/2022"
"aoki",,"Aoki",,"1",,"11:48 05/09/2022"
"fujii",,"Fujii",,"1",,"11:48 05/09/2022"
"nishimura",,"Nishimura",,"1",,"11:48 05/09/2022"
"fukuda",,"Fukuda",,"1",,"11:48 05/09/2022"
"ota",,"Ota",,"1",,"11:48 05/09/2022"
"miura",,"Miura",,"1",,"11:48 05/09/2022"
"fujiwara",,"Fujiwara",,"1",,"11:48 05/09/2022"
"okamoto",,"Okamoto",,"1",,"11:48 05/09/2022"
"matsuda",,"Matsuda",,"1",,"11:48 05/09/2022"
"nakagawa",,"Nakagawa",,"1",,"11:48 05/09/2022"
"nakano",,"Nakano",,"1",,"11:48 05/09/2022"
"harada",,"Harada",,"1",,"11:48 05/09/2022"
"ono",,"Ono",,"1",,"11:48 05/09/2022"
"tamura",,"Tamura",,"1",,"11:48 05/09/2022"
"takeuchi",,"Takeuchi",,"1",,"11:48 05/09/2022"
"kaneko",,"Kaneko",,"1",,"11:48 05/09/2022"
"wada",,"Wada",,"1",,"11:48 05/09/2022"
"nakayama",,"Nakayama",,"1",,"11:48 05/09/2022"
"ishida",,"Ishida",,"1",,"11:48 05/09/2022"
"ueda",,"Ueda",,"1",,"11:48 05/09/2022"
"morita",,"Morita",,"1",,"11:48 05/09/2022"
"hara",,"Hara",,"1",,"11:48 05/09/2022"
"shibata",,"Shibata",,"1",,"11:48 05/09/2022"
"sakai",,"Sakai",,"1",,"11:48 05/09/2022"
"kudo",,"Kudo",,"1",,"11:48 05/09/2022"
"yokoyama",,"Yokoyama",,"1",,"11:48 05/09/2022"
"miyazaki",,"Miyazaki",,"1",,"11:48 05/09/2022"
"miyamoto",,"Miyamoto",,"1",,"11:48 05/09/2022"
"uchida",,"Uchida",,"1",,"11:48 05/09/2022"
"takagi",,"Takagi",,"1",,"11:48 05/09/2022"
"ando",,"Ando",,"1",,"11:48 05/09/2022"
"taniguchi",,"Taniguchi",,"1",,"11:48 05/09/2022"
"ohno",,"Ohno",,"1",,"11:48 05/09/2022"
"maruyama",,"Maruyama",,"1",,"11:48 05/09/2022"
"imai",,"Imai",,"1",,"11:48 05/09/2022"
"takada",,"Takada",,"1",,"11:48 05/09/2022"
"fujimoto",,"Fujimoto",,"1",,"11:48 05/09/2022"
"takeda",,"Takeda",,"1",,"11:48 05/09/2022"
"murata",,"Murata",,"1",,"11:48 05/09/2022"
"ueno",,"Ueno",,"1",,"11:48 05/09/2022"
"sugiyama",,"Sugiyama",,"1",,"11:48 05/09/2022"
"masuda",,"Masuda",,"1",,"11:48 05/09/2022"
"sugawara",,"Sugawara",,"1",,"11:48 05/09/2022"
"hirano",,"Hirano",,"1",,"11:48 05/09/2022"
"kojima",,"Kojima",,"1",,"11:48 05/09/2022"
"otsuka",,"Otsuka",,"1",,"11:48 05/09/2022"
"chiba",,"Chiba",,"1",,"11:48 05/09/2022"
"kubo",,"Kubo",,"1",,"11:48 05/09/2022"
"matsui",,"Matsui",,"1",,"11:48 05/09/2022"
"iwasaki",,"Iwasaki",,"1",,"11:48 05/09/2022"
"sakurai",,"Sakurai",,"1",,"11:48 05/09/2022"
"kinoshita",,"Kinoshita",,"1",,"11:48 05/09/2022"
"noguchi",,"Noguchi",,"1",,"11:48 05/09/2022"
"matsuo",,"Matsuo",,"1",,"11:48 05/09/2022"
"nomura",,"Nomura",,"1",,"11:48 05/09/2022"
"kikuchi",,"Kikuchi",,"1",,"11:48 05/09/2022"
"sano",,"Sano",,"1",,"11:48 05/09/2022"
"onishi",,"Onishi",,"1",,"11:48 05/09/2022"
"sugimoto",,"Sugimoto",,"1",,"11:48 05/09/2022"
"arai",,"Arai",,"1",,"11:48 05/09/2022"
