"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"mohammed",,"Mohammed",,"1",,"11:48 05/09/2022"
"yosef",,"Yosef",,"1",,"11:48 05/09/2022"
"david",,"David",,"1",,"11:48 05/09/2022"
"daniel",,"Daniel",,"1",,"11:48 05/09/2022"
"uri",,"Uri",,"1",,"11:48 05/09/2022"
"omer",,"Omer",,"1",,"11:48 05/09/2022"
"eitan",,"Eitan",,"1",,"11:48 05/09/2022"
"ariel",,"Ariel",,"1",,"11:48 05/09/2022"
"noam",,"Noam",,"1",,"11:48 05/09/2022"
"adam",,"Adam",,"1",,"11:48 05/09/2022"
"yusuf",,"Yusuf",,"1",,"11:48 05/09/2022"
"eymen",,"Eymen",,"1",,"11:48 05/09/2022"
"mustafa",,"Mustafa",,"1",,"11:48 05/09/2022"
"berat",,"Berat",,"1",,"11:48 05/09/2022"
"miraç",,"Mirac",,"1",,"11:48 05/09/2022"
"ayaz",,"Ayaz",,"1",,"11:48 05/09/2022"
"ahmet",,"Ahmet",,"1",,"11:48 05/09/2022"
"mehmet",,"Mehmet",,"1",,"11:48 05/09/2022"
"muhammed",,"Muhammed",,"1",,"11:48 05/09/2022"
"kerem",,"Kerem",,"1",,"11:48 05/09/2022"
"emir",,"Emir",,"1",,"11:48 05/09/2022"
"ali",,"Ali",,"1",,"11:48 05/09/2022"
"hamza",,"Hamza",,"1",,"11:48 05/09/2022"
"çinar",,"Cinar",,"1",,"11:48 05/09/2022"
"muhammed ali",,"Muhammed Ali",,"1",,"11:48 05/09/2022"
"yigit",,"Yigit",,"1",,"11:48 05/09/2022"
"yunus emre",,"Yunus Emre",,"1",,"11:48 05/09/2022"
"ibrahim",,"Ibrahim",,"1",,"11:48 05/09/2022"
"enes",,"Enes",,"1",,"11:48 05/09/2022"
"poyraz",,"Poyraz",,"1",,"11:48 05/09/2022"
"hüseyin",,"Huseyin",,"1",,"11:48 05/09/2022"
"ömer faruk",,"Omer Faruk",,"1",,"11:48 05/09/2022"
"emirhan",,"Emirhan",,"1",,"11:48 05/09/2022"
"umut",,"Umut",,"1",,"11:48 05/09/2022"
"furkan",,"Furkan",,"1",,"11:48 05/09/2022"
"muhammed emin",,"Muhammed Emin",,"1",,"11:48 05/09/2022"
"hasan",,"Hasan",,"1",,"11:48 05/09/2022"
"mert",,"Mert",,"1",,"11:48 05/09/2022"
"ömer asaf",,"Omer Asaf",,"1",,"11:48 05/09/2022"
"rüzgar",,"Ruzgar",,"1",,"11:48 05/09/2022"
"abdullah",,"Abdullah",,"1",,"11:48 05/09/2022"
"ismail",,"Ismail",,"1",,"11:48 05/09/2022"
"burak",,"Burak",,"1",,"11:48 05/09/2022"
"deniz",,"Deniz",,"1",,"11:48 05/09/2022"
"alperen",,"Alperen",,"1",,"11:48 05/09/2022"
"arda",,"Arda",,"1",,"11:48 05/09/2022"
"yasin",,"Yasin",,"1",,"11:48 05/09/2022"
"talha",,"Talha",,"1",,"11:48 05/09/2022"
"muahammed emir",,"Muahammed Emir",,"1",,"11:48 05/09/2022"
"baran",,"Baran",,"1",,"11:48 05/09/2022"
"eren",,"Eren",,"1",,"11:48 05/09/2022"
"ertugrul",,"Ertugrul",,"1",,"11:48 05/09/2022"
"mehmet aliv aras",,"Mehmet Aliv Aras",,"1",,"11:48 05/09/2022"
"bünyamin",,"Bunyamin",,"1",,"11:48 05/09/2022"
"bilal",,"Bilal",,"1",,"11:48 05/09/2022"
"emre",,"Emre",,"1",,"11:48 05/09/2022"
"yagiz",,"Yagiz",,"1",,"11:48 05/09/2022"
"selim",,"Selim",,"1",,"11:48 05/09/2022"
"mohammad",,"Mohammad",,"1",,"11:48 05/09/2022"
"ahmad",,"Ahmad",,"1",,"11:48 05/09/2022"
"omar",,"Omar",,"1",,"11:48 05/09/2022"
"abdalrahman",,"Abdalrahman",,"1",,"11:48 05/09/2022"
"abdallah",,"Abdallah",,"1",,"11:48 05/09/2022"
"zaid",,"Zaid",,"1",,"11:48 05/09/2022"
"rayan",,"Rayan",,"1",,"11:48 05/09/2022"
"mahmoud",,"Mahmoud",,"1",,"11:48 05/09/2022"
"hamzah",,"Hamzah",,"1",,"11:48 05/09/2022"
"ameer",,"Ameer",,"1",,"11:48 05/09/2022"
"yamin",,"Yamin",,"1",,"11:48 05/09/2022"
"ayham",,"Ayham",,"1",,"11:48 05/09/2022"
"khaled",,"Khaled",,"1",,"11:48 05/09/2022"
"karam",,"Karam",,"1",,"11:48 05/09/2022"
"qusai",,"Qusai",,"1",,"11:48 05/09/2022"
"hashem",,"Hashem",,"1",,"11:48 05/09/2022"
