"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"jensen",,"Jensen",,"1",,"11:49 05/09/2022"
"nielsen",,"Nielsen",,"1",,"11:49 05/09/2022"
"hansen",,"Hansen",,"1",,"11:49 05/09/2022"
"pedersen",,"Pedersen",,"1",,"11:49 05/09/2022"
"andersen",,"Andersen",,"1",,"11:49 05/09/2022"
"christensen",,"Christensen",,"1",,"11:49 05/09/2022"
"larsen",,"Larsen",,"1",,"11:49 05/09/2022"
"sørensen",,"Sørensen",,"1",,"11:49 05/09/2022"
"rasmussen",,"Rasmussen",,"1",,"11:49 05/09/2022"
"jørgensen",,"Jørgensen",,"1",,"11:49 05/09/2022"
"petersen",,"Petersen",,"1",,"11:49 05/09/2022"
"madsen",,"Madsen",,"1",,"11:49 05/09/2022"
"kristensen",,"Kristensen",,"1",,"11:49 05/09/2022"
"olsen",,"Olsen",,"1",,"11:49 05/09/2022"
"thomsen",,"Thomsen",,"1",,"11:49 05/09/2022"
"christiansen",,"Christiansen",,"1",,"11:49 05/09/2022"
"poulsen",,"Poulsen",,"1",,"11:49 05/09/2022"
"johansen",,"Johansen",,"1",,"11:49 05/09/2022"
"møller",,"Møller",,"1",,"11:49 05/09/2022"
"johnson",,"Johnson",,"1",,"11:49 05/09/2022"
"nilsen",,"Nilsen",,"1",,"11:49 05/09/2022"
"kristiansen",,"Kristiansen",,"1",,"11:49 05/09/2022"
"karlsen",,"Karlsen",,"1",,"11:49 05/09/2022"
"johnsen",,"Johnsen",,"1",,"11:49 05/09/2022"
"pettersen",,"Pettersen",,"1",,"11:49 05/09/2022"
"eriksen",,"Eriksen",,"1",,"11:49 05/09/2022"
"berg",,"Berg",,"1",,"11:49 05/09/2022"
"haugen",,"Haugen",,"1",,"11:49 05/09/2022"
"hagen",,"Hagen",,"1",,"11:49 05/09/2022"
"johannessen",,"Johannessen",,"1",,"11:49 05/09/2022"
"andreassen",,"Andreassen",,"1",,"11:49 05/09/2022"
"jacobsen",,"Jacobsen",,"1",,"11:49 05/09/2022"
"halvorsen",,"Halvorsen",,"1",,"11:49 05/09/2022"
"andersson",,"Andersson",,"1",,"11:49 05/09/2022"
"johansson",,"Johansson",,"1",,"11:49 05/09/2022"
"karlsson",,"Karlsson",,"1",,"11:49 05/09/2022"
"nilsson",,"Nilsson",,"1",,"11:49 05/09/2022"
"eriksson",,"Eriksson",,"1",,"11:49 05/09/2022"
"larsson",,"Larsson",,"1",,"11:49 05/09/2022"
"olsson",,"Olsson",,"1",,"11:49 05/09/2022"
"persson",,"Persson",,"1",,"11:49 05/09/2022"
"svensson",,"Svensson",,"1",,"11:49 05/09/2022"
"gustafsson",,"Gustafsson",,"1",,"11:49 05/09/2022"
"pettersson",,"Pettersson",,"1",,"11:49 05/09/2022"
"jonsson",,"Jonsson",,"1",,"11:49 05/09/2022"
"jansson",,"Jansson",,"1",,"11:49 05/09/2022"
"hansson",,"Hansson",,"1",,"11:49 05/09/2022"
"bengtsson",,"Bengtsson",,"1",,"11:49 05/09/2022"
"jönsson",,"Jonsson",,"1",,"11:49 05/09/2022"
"lindberg",,"Lindberg",,"1",,"11:49 05/09/2022"
"jakobsson",,"Jakobsson",,"1",,"11:49 05/09/2022"
"magnusson",,"Magnusson",,"1",,"11:49 05/09/2022"
"olofsson",,"Olofsson",,"1",,"11:49 05/09/2022"
