"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"sofia",,"Sofia",,"1",,"11:49 05/09/2022"
"maria",,"Maria",,"1",,"11:49 05/09/2022"
"lucia",,"Lucia",,"1",,"11:49 05/09/2022"
"martina",,"Martina",,"1",,"11:49 05/09/2022"
"catalina",,"Catalina",,"1",,"11:49 05/09/2022"
"elena",,"Elena",,"1",,"11:49 05/09/2022"
"emilia",,"Emilia",,"1",,"11:49 05/09/2022"
"valentina",,"Valentina",,"1",,"11:49 05/09/2022"
"paula",,"Paula",,"1",,"11:49 05/09/2022"
"zoe",,"Zoe",,"1",,"11:49 05/09/2022"
"juana",,"Juana",,"1",,"11:49 05/09/2022"
"isidora",,"Isidora",,"1",,"11:49 05/09/2022"
"florencia",,"Florencia",,"1",,"11:49 05/09/2022"
"maite",,"Maite",,"1",,"11:49 05/09/2022"
"josefa",,"Josefa",,"1",,"11:49 05/09/2022"
"amanda",,"Amanda",,"1",,"11:49 05/09/2022"
"antonella",,"Antonella",,"1",,"11:49 05/09/2022"
"agustina",,"Agustina",,"1",,"11:49 05/09/2022"
"isabella",,"Isabella",,"1",,"11:49 05/09/2022"
"antonia",,"Antonia",,"1",,"11:49 05/09/2022"
"julieta",,"Julieta",,"1",,"11:49 05/09/2022"
"trinidad",,"Trinidad",,"1",,"11:49 05/09/2022"
"fernanda",,"Fernanda",,"1",,"11:49 05/09/2022"
"renata",,"Renata",,"1",,"11:49 05/09/2022"
"javiera",,"Javiera",,"1",,"11:49 05/09/2022"
"ignacia",,"Ignacia",,"1",,"11:49 05/09/2022"
"mia",,"Mia",,"1",,"11:49 05/09/2022"
"victoria",,"Victoria",,"1",,"11:49 05/09/2022"
"emily",,"Emily",,"1",,"11:49 05/09/2022"
"francisca",,"Francisca",,"1",,"11:49 05/09/2022"
"constanza",,"Constanza",,"1",,"11:49 05/09/2022"
"monserrat",,"Monserrat",,"1",,"11:49 05/09/2022"
"matilda",,"Matilda",,"1",,"11:49 05/09/2022"
"laura",,"Laura",,"1",,"11:49 05/09/2022"
"camila",,"Camila",,"1",,"11:49 05/09/2022"
"salome",,"Salome",,"1",,"11:49 05/09/2022"
"luciana",,"Luciana",,"1",,"11:49 05/09/2022"
"mariana",,"Mariana",,"1",,"11:49 05/09/2022"
"gabriela",,"Gabriela",,"1",,"11:49 05/09/2022"
"valeria",,"Valeria",,"1",,"11:49 05/09/2022"
"sara",,"Sara",,"1",,"11:49 05/09/2022"
"regina",,"Regina",,"1",,"11:49 05/09/2022"
"ximena",,"Ximena",,"1",,"11:49 05/09/2022"
"alejandra",,"Alejandra",,"1",,"11:49 05/09/2022"
"elizabeth",,"Elizabeth",,"1",,"11:49 05/09/2022"
"beatriz",,"Beatriz",,"1",,"11:49 05/09/2022"
"ramona",,"Ramona",,"1",,"11:49 05/09/2022"
"liz",,"Liz",,"1",,"11:49 05/09/2022"
"concepcion",,"Concepcion",,"1",,"11:49 05/09/2022"
"carolina",,"Carolina",,"1",,"11:49 05/09/2022"
"mabel",,"Mabel",,"1",,"11:49 05/09/2022"
"raquel",,"Raquel",,"1",,"11:49 05/09/2022"
"noemi",,"Noemi",,"1",,"11:49 05/09/2022"
"emma",,"Emma",,"1",,"11:49 05/09/2022"
