"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"hardware","Hardware","Hardware",,"1",,"11:49 05/09/2022"
"diy","DIY","DIY",,"1",,"11:49 05/09/2022"
"essentials","Essentials","Zaklady",,"1",,"11:49 05/09/2022"
"hardware store","Hardware Store","Obchod s hardwarem",,"1",,"11:49 05/09/2022"
"crafts & hardware","Crafts & Hardware","Remesla a hardware",,"1",,"11:49 05/09/2022"
"house & home","House & Home","Dum a domov",,"1",,"11:49 05/09/2022"
"screws & nails","Screws & Nails","Srouby a hrebiky",,"1",,"11:49 05/09/2022"
"silver hammer","Silver Hammer","Stribrne kladivo",,"1",,"11:49 05/09/2022"
"diy store","DIY Store","Obchod pro kutily",,"1",,"11:49 05/09/2022"
"hardware & rental","Hardware & Rental","Hardware a pronajem",,"1",,"11:49 05/09/2022"
"tools","Tools","Nastroje",,"1",,"11:49 05/09/2022"
"building supplies","Building Supplies","Stavebni potreby",,"1",,"11:49 05/09/2022"
"trading post","Trading Post","Obchodni posta",,"1",,"11:49 05/09/2022"
"plumbing supplies","Plumbing Supplies","Instalaterske potreby",,"1",,"11:49 05/09/2022"
"resources","Resources","Zdroje",,"1",,"11:49 05/09/2022"
"toolworks","Toolworks","Nastrojarna",,"1",,"11:49 05/09/2022"
"tool supply","Tool Supply","Zasobovani naradim",,"1",,"11:49 05/09/2022"
"hardware company","Hardware Company","Hardwarova spolecnost",,"1",,"11:49 05/09/2022"
"value hardware","Value Hardware","Hodnotny hardware",,"1",,"11:49 05/09/2022"
"ironmonger","Ironmonger","Zelezarstvi",,"1",,"11:49 05/09/2022"
"ironmongers","Ironmongers","Zelezarstvi",,"1",,"11:49 05/09/2022"
"tool company","Tool Company","Spolecnost Tool Company",,"1",,"11:49 05/09/2022"
"diy company","DIY Company","Spolecnost pro kutily",,"1",,"11:49 05/09/2022"
"home improvement","Home Improvement","Stavebniny",,"1",,"11:49 05/09/2022"
"home center","Home Center","Domaci centrum",,"1",,"11:49 05/09/2022"
