"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"mint","Mint","Matovy",,"1",,"11:49 05/09/2022"
"commerce*","Commerce","Obchod",,"1","Y","11:49 05/09/2022"
"presideo","Presideo","Prezidium",,"1",,"11:49 05/09/2022"
"consult*","Consult","Poradte se s",,"1","Y","11:49 05/09/2022"
"accountment*","Accountment","Ucetnictvi",,"1","Y","11:49 05/09/2022"
"offinex","Offinex","Offinex",,"1",,"11:49 05/09/2022"
"weaton","Weaton","Weaton",,"1",,"11:49 05/09/2022"
"desklab","Desklab","Desklab",,"1",,"11:49 05/09/2022"
"comission","Comission","Komise",,"1",,"11:49 05/09/2022"
"portfolio*","Portfolio","Portfolio",,"1","Y","11:49 05/09/2022"
"revenue tree","Revenue Tree","Strom prijmu",,"1",,"11:49 05/09/2022"
"sync","Sync","Sync",,"1",,"11:49 05/09/2022"
"triplex","Triplex","Triplex",,"1",,"11:49 05/09/2022"
"creditable*","Creditable","Zapocitatelne",,"1","Y","11:49 05/09/2022"
"information*","Information","Informace",,"1","Y","11:49 05/09/2022"
"cost effective*","Cost Effective","Rentabilni",,"1","Y","11:49 05/09/2022"
"grey*","Grey","Sed(en: grey)",,"1","Y","11:49 05/09/2022"
