"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"greasy","Greasy","Mastny",,"1","Y","11:49 05/09/2022"
"popeye","Popeye","Pepek namornik",,"1",,"11:49 05/09/2022"
"grizzly","Grizzly","Grizzly",,"1","Y","11:49 05/09/2022"
"salt n pepper","Salt N Pepper","Sul a pepr",,"1",,"11:49 05/09/2022"
"salty","Salty","Slane",,"1","Y","11:49 05/09/2022"
"beefed","Beefed","Zvetsene",,"1",,"11:49 05/09/2022"
"gigantic","Gigantic","Obri",,"1","Y","11:49 05/09/2022"
"butter","Butter","Maslo",,"1","Y","11:49 05/09/2022"
"excess","Excess","Prebytek",,"1","Y","11:49 05/09/2022"
"cheeky","Cheeky","Drzy",,"1","Y","11:49 05/09/2022"
"chomp","Chomp","Chomp",,"1","Y","11:49 05/09/2022"
"glutton","Glutton","Glutton",,"1","Y","11:49 05/09/2022"
"carnivore","Carnivore","Masozravci",,"1",,"11:49 05/09/2022"
"foodbowl","Foodbowl","Jidelni miska",,"1",,"11:49 05/09/2022"
"meatlocker","Meatlocker","Mraznicka",,"1",,"11:49 05/09/2022"
"hamshack","Hamshack","Sunkarna",,"1",,"11:49 05/09/2022"
"juggernaut","Juggernaut","Juggernaut",,"1",,"11:49 05/09/2022"
"trucker's","Trucker's","Kamionovy",,"1","Y","11:49 05/09/2022"
"ox","Ox","Ox",,"1","Y","11:49 05/09/2022"
"phat","Phat","Phat",,"1","Y","11:49 05/09/2022"
"salt & oil","Salt & Oil","Sul a olej",,"1",,"11:49 05/09/2022"
"tastehaven","Tastehaven","Chutny raj",,"1",,"11:49 05/09/2022"
"doublesize","Doublesize","Dvojnasob",,"1","Y","11:49 05/09/2022"
"beefeater","Beefeat","Beefeat",,"1",,"11:49 05/09/2022"
