"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","-","-","—","—","—"
"citizen","Citizen","Obcan",,,,"11:49 05/09/2022"
"lightswitch","Light Switch","Spinac svetla",,,,"11:49 05/09/2022"
"door","Door","Dvere",,,,"11:49 05/09/2022"
"doorhandle","Door Handle","Dverni klika",,,,"11:49 05/09/2022"
"building","building","budova",,,,"11:49 05/09/2022"
"location","location","umisteni",,,,"11:49 05/09/2022"
"buildingdirectory","Building Directory","Adresar budov",,,,"11:49 05/09/2022"
"employeedirectory","Employee Directory","Adresar zamestnancu",,,,"11:49 05/09/2022"
"citydirectory","City Directory","Adresar mest",,,,"11:49 05/09/2022"
"ceilingbulb","Ceiling Light","Stropni svetlo",,,,"11:49 05/09/2022"
"1930sceilinglight","Ceiling Light","Stropni svetlo",,,,"11:49 05/09/2022"
"doorunderneathpeek","Peek Under Door","Nahlednuti pod dvere",,,,"11:49 05/09/2022"
"television","Television","Televize",,,,"11:49 05/09/2022"
"fridge","Fridge","Lednice",,,,"11:49 05/09/2022"
"chair","Chair","Zidle",,,,"11:49 05/09/2022"
"toilet","Toilet","Toaleta",,,,"11:49 05/09/2022"
"bed","Bed","Postel",,,,"11:49 05/09/2022"
"shopcounter","Counter","Prepazka",,,,"11:49 05/09/2022"
"drawera","Drawer","Zasuvka",,,,"11:49 05/09/2022"
"drawerb","Drawer","Zasuvka",,,,"11:49 05/09/2022"
"bedsidelamp","Lamp","Lampa",,,,"11:49 05/09/2022"
"key","Key","Klic",,,,"11:49 05/09/2022"
"residentscontract","Tenancy Agreement","Najemni smlouva",,,,"11:49 05/09/2022"
"jobnote","Job Listing","Vypis pracovnich nabidek",,,,"11:49 05/09/2022"
"companyroster","Employee Details","Podrobnosti o zamestnancich",,,,"11:49 05/09/2022"
"tradingcard","Trading Card","Obchodni karta",,,,"11:49 05/09/2022"
"lockera","Locker","Skrinka",,,,"11:49 05/09/2022"
"lockerb","Locker","Skrinka",,,,"11:49 05/09/2022"
"lockerc","Locker","Skrinka",,,,"11:49 05/09/2022"
"lockerd","Locker","Skrinka",,,,"11:49 05/09/2022"
"lockere","Locker","Skrinka",,,,"11:49 05/09/2022"
"lockerf","Locker","Skrinka",,,,"11:49 05/09/2022"
"countera","Cupboard","Skrin",,,,"11:49 05/09/2022"
"counterb","Cupboard","Skrin",,,,"11:49 05/09/2022"
"counterc","Cupboard","Skrin",,,,"11:49 05/09/2022"
"counterd","Cupboard","Skrin",,,,"11:49 05/09/2022"
"drawerc","Drawer","Zasuvka",,,,"11:49 05/09/2022"
"tapa","Tap","Klepnete na",,,,"11:49 05/09/2022"
"tapb","Tap","Klepnete na",,,,"11:49 05/09/2022"
"tapf","Tap","Klepnete na",,,,"11:49 05/09/2022"
"tapg","Tap","Klepnete na",,,,"11:49 05/09/2022"
"businesscard","Business Card","Vizitka",,,,"11:49 05/09/2022"
"photo","Photo","Foto",,,,"11:49 05/09/2022"
"drawerd","Drawer","Zasuvka",,,,"11:49 05/09/2022"
"drawere","Drawer","Zasuvka",,,,"11:49 05/09/2022"
"hidingplace","Hiding Place","Ukryt",,,,"11:49 05/09/2022"
"nameplacard","Name Placard","Jmenovka",,,,"11:49 05/09/2022"
"desklamp","Desk Lamp","Stolni lampa",,,,"11:49 05/09/2022"
"microcruncher","Micro Cruncher","Micro Cruncher",,,,"11:49 05/09/2022"
"airvent","Air Vent","Vzduchovy ventilator",,,,"11:49 05/09/2022"
"cabineta","Cabinet","Kabinet",,,,"11:49 05/09/2022"
"shopcounterwork","Shop Counter","Prodejni pult",,,,"11:49 05/09/2022"
"shopcounterbuy","Shop Counter","Prodejni pult",,,,"11:49 05/09/2022"
"birthdaycard","Birthday Card","Narozeninove prani",,,,"11:49 05/09/2022"
"keypad","Keypad","Klavesnice",,,,"11:49 05/09/2022"
"officecubicle","Office Cubicle","Kancelarska koje",,,,"11:49 05/09/2022"
"menu","Menu","Nabidka",,,,"11:49 05/09/2022"
"jobposting","Job Posting","Vyhlaseni vyberoveho rizeni",,,,"11:49 05/09/2022"
"photograph","Photograph","Fotografie",,,,"11:49 05/09/2022"
"calendar","Calendar","Kalendar",,,,"11:49 05/09/2022"
"ovena","Oven","Trouba",,,,"11:49 05/09/2022"
"pinnednote","Note","Poznamka",,,,"11:49 05/09/2022"
"doormata","Door Mat","Rohozka",,,,"11:49 05/09/2022"
"playerbedsleepb","Bed","Postel",,,,"11:49 05/09/2022"
"playerbedsleepc","Bed","Postel",,,,"11:49 05/09/2022"
"vintagetelephone","Telephone","Telefon",,,,"11:49 05/09/2022"
