"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"philadelphia","Philadelphia","Philadelphia",,"1",,"11:49 05/09/2022"
"newark","Newark","Newark",,"1",,"11:49 05/09/2022"
"madison","Madison","Madison",,"1",,"11:49 05/09/2022"
"boston","Boston","Boston",,"1",,"11:49 05/09/2022"
"vermont","Vermont","Vermont",,"1",,"11:49 05/09/2022"
"hampshire","Hampshire","Hampshire",,"1",,"11:49 05/09/2022"
"columbus","Columbus","Columbus",,"1",,"11:49 05/09/2022"
"indiana","Indiana","Indiana",,"1",,"11:49 05/09/2022"
"kentucky","Kentucky","Kentucky",,"1",,"11:49 05/09/2022"
"nashville","Nashville","Nashville",,"1",,"11:49 05/09/2022"
"charleston","Charleston","Charleston",,"1",,"11:49 05/09/2022"
"myers","Myers","Myers",,"1",,"11:49 05/09/2022"
"charlotte","Charlotte","Charlotte",,"1",,"11:49 05/09/2022"
"pheonix","Pheonix","Pheonix",,"1",,"11:49 05/09/2022"
"angeles","Angeles","Angeles",,"1",,"11:49 05/09/2022"
"manhattanville","Manhattanville","Manhattanville",,"1",,"11:49 05/09/2022"
"lincoln","Lincoln","Lincoln",,"1",,"11:49 05/09/2022"
"witchita","Witchita","Witchita",,"1",,"11:49 05/09/2022"
"pine","Pine","Pine",,"1",,"11:49 05/09/2022"
"memphis","Memphis","Memphis",,"1",,"11:49 05/09/2022"
"little america","Little America","Mala Amerika",,"1",,"11:49 05/09/2022"
"bowling","Bowling","Bowling",,"1",,"11:49 05/09/2022"
"lexington","Lexington","Lexington",,"1",,"11:49 05/09/2022"
"lynchburg","Lynchburg","Lynchburg",,"1",,"11:49 05/09/2022"
"cherryville","Cherryville","Cherryville",,"1",,"11:49 05/09/2022"
"richmond","Richmond","Richmond",,"1",,"11:49 05/09/2022"
"washington","Washington","Washington",,"1",,"11:49 05/09/2022"
"lancaster","Lancaster","Lancaster",,"1",,"11:49 05/09/2022"
"hershey","Hershey","Hershey",,"1",,"11:49 05/09/2022"
"little","Little","Little",,"1",,"11:49 05/09/2022"
"springfield","Springfield","Springfield",,"1",,"11:49 05/09/2022"
"maine","Maine","Maine",,"1",,"11:49 05/09/2022"
"st john","St John","Jana",,"1",,"11:49 05/09/2022"
"caribou","Caribou","Karibu",,"1",,"11:49 05/09/2022"
"victoria","Victoria","Victoria",,"1",,"11:49 05/09/2022"
"sherbrooke","Sherbrooke","Sherbrooke",,"1",,"11:49 05/09/2022"
"kitchener","Kitchener","Kitchener",,"1",,"11:49 05/09/2022"
"fairchild","Fairchild","Fairchild",,"1",,"11:49 05/09/2022"
"chicago","Chicago","Chicago",,"1",,"11:49 05/09/2022"
"appleton","Appleton","Appleton",,"1",,"11:49 05/09/2022"
"la crosse","La Crosse","La Crosse",,"1",,"11:49 05/09/2022"
"davenport","Davenport","Davenport",,"1",,"11:49 05/09/2022"
"new austin","New Austin","Novy Austin",,"1",,"11:49 05/09/2022"
"grand forks","Grand Forks","Grand Forks",,"1",,"11:49 05/09/2022"
"salem","Salem","Salem",,"1",,"11:49 05/09/2022"
"bakersville","Bakersville","Bakersville",,"1",,"11:49 05/09/2022"
"fairview","Fairview","Fairview",,"1",,"11:49 05/09/2022"
"wolf","Wolf","Vlk",,"1",,"11:49 05/09/2022"
"laurel","Laurel","Laurel",,"1",,"11:49 05/09/2022"
"dillon","Dillon","Dillon",,"1",,"11:49 05/09/2022"
"olympia","Olympia","Olympia",,"1",,"11:49 05/09/2022"
"everett","Everett","Everett",,"1",,"11:49 05/09/2022"
"albany","Albany","Albany",,"1",,"11:49 05/09/2022"
"redding","Redding","Redding",,"1",,"11:49 05/09/2022"
"reno","Reno","Reno",,"1",,"11:49 05/09/2022"
"henderson","Henderson","Henderson",,"1",,"11:49 05/09/2022"
"lawrenceville","Lawrenceville","Lawrenceville",,"1",,"11:49 05/09/2022"
"vermillion","Vermillion","Vermillion",,"1",,"11:49 05/09/2022"
"rochester","Rochester","Rochester",,"1",,"11:49 05/09/2022"
"jackson","Jackson","Jackson",,"1",,"11:49 05/09/2022"
"franklyn","Franklyn","Franklyn",,"1",,"11:49 05/09/2022"
"knoxville","Knoxville","Knoxville",,"1",,"11:49 05/09/2022"
"baltimore","Baltimore","Baltimore",,"1",,"11:49 05/09/2022"
"barclay","Barclay","Barclay",,"1",,"11:49 05/09/2022"
"clinton","Clinton","Clinton",,"1",,"11:49 05/09/2022"
"bowery","Bowery","Bowery",,"1",,"11:49 05/09/2022"
"glendale","Glendale","Glendale",,"1",,"11:49 05/09/2022"
